Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Pattern Type,Material,Neckline,Sleeve Style,Length,Occasion,Package Include,Type,Decoration,Fit Type,Fabric Elasticity,Sheer,Care Instructions,Sleeve Type
Sheer Mesh Stripes Teddy Bodysuit,$6.74,$8.99,Wine Red,SKU: DE5051-bwls1-wr,"""https://image.geeko.ltd/small/0d3af0a3-3cd6-403e-97d7-0f990812096b-71258-pc"", ""https://image.geeko.ltd/small/0d3af0a3-3cd6-403e-97d7-0f990812096b-71258-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy, Patchwork, Contrast Mesh, V-Neck, Long Sleeve, Mini, Bedroom, 1* Lingerie,,,,,,,
Sheer Mesh Stripes Teddy Bodysuit,$6.74,$8.99,Black,SKU: DE5051-bwls1-bk,"""https://image.geeko.ltd/small/ccea81ee-5364-4d83-a329-4857f7886c94-97754-pc"", ""https://image.geeko.ltd/small/ccea81ee-5364-4d83-a329-4857f7886c94-97754-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy, Patchwork, Contrast Mesh, V-Neck, Long Sleeve, Mini, Bedroom, 1* Lingerie,,,,,,,
Floral Pattern Tie Neck Top,$14.62,$19.49,,SKU: WMSU0004-bwdf-or,"""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-sec"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-0"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-1"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-2"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-3"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-4"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-5"", ""https://image.geeko.ltd/small/52753671-e487-46a6-b6e5-432cc3dda5d1-21033-pc-6""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Floral, 100%Polyester, Tie Neck, Long Sleeve, Regular, Daily, 1*Blouse, Blouses, Tied Detail, Regular, Slight Stretch, No, Machine wash or professional dry clean,
Off Shoulder Long Sleeve Lace Top,$12.82,$17.09,,SKU: YDF0520-bwdf2-bk,"""https://image.geeko.ltd/small/8b8b9c5e-5371-4f0f-9839-4fd67b78b514-47140-pc"", ""https://image.geeko.ltd/small/8b8b9c5e-5371-4f0f-9839-4fd67b78b514-47140-pc-sec"", ""https://image.geeko.ltd/small/8b8b9c5e-5371-4f0f-9839-4fd67b78b514-47140-pc-0"", ""https://image.geeko.ltd/small/8b8b9c5e-5371-4f0f-9839-4fd67b78b514-47140-pc-1""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Floral, 100%Polyester, Off the Shoulder, Long Sleeve, Regular, Daily, 1* Blouse, Blouses, Lace, Regular, Slight Stretch, No," Hand wash, do not dry clean",
Sheer Eyelash Lace Teddy Bodysuit,$6.74,$8.99,,SKU: DE3792-bwls1-w,"""https://image.geeko.ltd/small/55175f2a-af94-4c41-85a3-2f31eb798c89-16841-pc"", ""https://image.geeko.ltd/small/55175f2a-af94-4c41-85a3-2f31eb798c89-16841-pc-sec""","L(8-10), M(6), S(4)","L, M, S","L(12-14), M(10), S(8)","L(12-14), M(10), S(8)","L(40-42), M(38), S(36)","G(L), M(M), P(S)","L(40-42), M(38), S(36)","L, M, S", Sexy, Lace, Polyester/Lace, V-Neck, Sleeveless, Regular, Club, 1* Lingerie,,,,,,,
Eyelash Print Casual Tank Top,$6.74,$8.99,,SKU: MJ0433Z-bwdf2-w,"""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc-sec"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc-0"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc-1"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc-2"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc-3"", ""https://image.geeko.ltd/small/0e8812fe-397d-48ca-bb23-c1c06a9f2511-42459-pc-4""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Basics, Figure," 94%Viscose,6%Elastane", O-neck, Sleeveless, Regular, Daily, 1*Top, Tank, Others, Regular, Non-Stretch, No, Machine wash or professional dry clean,
Striped High Slit Tied Detail Longline Top,$14.11,$18.81,Blue,SKU: LZR18633-bwdf2-bl,"""https://image.geeko.ltd/small/93d23664-a180-43d8-97ab-57326b9b8e1a-02599-pc"", ""https://image.geeko.ltd/small/93d23664-a180-43d8-97ab-57326b9b8e1a-02599-pc-sec"", ""https://image.geeko.ltd/small/93d23664-a180-43d8-97ab-57326b9b8e1a-02599-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Striped, 100%Polyester, Turn-down Collar, Long Sleeve, Long," Daily,Vacation", 1*Shirt, Shirt," Button,Slit,Tied Detail", Regular, Slight Stretch,,,
Striped High Slit Tied Detail Longline Top,$14.11,$18.81,Pink,SKU: LZR18633-bwdf2-pi,"""https://image.geeko.ltd/small/1d0fd66e-5ce6-4170-bf21-d4d94d143dd1-02600-pc"", ""https://image.geeko.ltd/small/1d0fd66e-5ce6-4170-bf21-d4d94d143dd1-02600-pc-sec"", ""https://image.geeko.ltd/small/1d0fd66e-5ce6-4170-bf21-d4d94d143dd1-02600-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Striped, 100%Polyester, Turn-down Collar, Long Sleeve, Long," Daily,Vacation", 1*Shirt, Shirt," Button,Slit,Tied Detail", Regular, Slight Stretch,,,
Rhinestone Heart Pattern Tank Top,,$10.4,,SKU: WMJX0003-bwdf-bk,"""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc-sec"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc-0"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc-1"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc-2"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc-3"", ""https://image.geeko.ltd/small/db0708b9-60fa-4050-ad9a-f43185804166-77608-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Heart," 95%Cotton,5%Elastane", O-neck, Sleeveless, Regular, Daily, 1*Top, Tank, Rhinestone, Skinny, Slight Stretch, No," Hand wash, do not dry clean",
Criss Cross Asymmetrical Neck Ribbed Tank Top,$5.52,$7.36,,SKU: LZR18331-bwdf2-r,"""https://image.geeko.ltd/small/7a48b5da-ace6-4e66-b1f9-af5853899481-18547-pc"", ""https://image.geeko.ltd/small/7a48b5da-ace6-4e66-b1f9-af5853899481-18547-pc-sec"", ""https://image.geeko.ltd/small/7a48b5da-ace6-4e66-b1f9-af5853899481-18547-pc-0"", ""https://image.geeko.ltd/small/7a48b5da-ace6-4e66-b1f9-af5853899481-18547-pc-1""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Chic,Sexy", Plain," 90%Viscose,10%Elastane", Asymmetrical Neck, Sleeveless, Regular, Daily, 1*Top," Ribbed Top,Tank", Criss Cross, Skinny, Non-Stretch, No, Machine wash or professional dry clean,
