Product Name,Product Price,Images,Contains,Package Quantity,Net weight,TCIN,UPC,Item Number (DPCI),Origin,Grocery Disclaimer,May Contain,Dietary Needs,Features,State of Readiness,Street Date
Chef Boyardee Frozen Family Size Chicken Alfredo Penne - 40oz,$8.49,"https://target.scene7.com/is/image/Target/GUEST_163f0587-b1c1-462b-8a4e-f29c32eafc72?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8e1cc9ab-a4d7-4bd4-9b7c-ee026d9df313?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_157b7a27-fc73-4bb5-8b9d-90b0cacc4d75?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_3ba82d23-26b7-4836-80e7-8f6c7eb45209?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_7d1065d6-4f8b-4ed0-9ec1-200174ebf244?wid=800&hei=800&qlt=80&fmt=pjpeg"," Wheat, Soy, Milk", 1, 40 Ounces, 89984206, 064144001576, 270-11-5859, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,,
Chef Boyardee Frozen Family Size Spaghetti & Meatballs - 40oz,$8.49,"https://target.scene7.com/is/image/Target/GUEST_77b9869b-48db-4708-b3b6-456632a38694?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_ebe64223-f966-4844-9dee-34e268a5af6e?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_af276edc-5e3f-4d60-824d-e3a4e99c19a3?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_4a53057d-c852-46d7-910d-cac2fbece4d2?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_4a8dd52c-75c2-4a82-8bab-961b9d91f09d?wid=800&hei=800&qlt=80&fmt=pjpeg"," Wheat, Soy, Milk", 1, 40 Ounces, 89984200, 064144003211, 270-11-3852, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,,
Bertolli Frozen Chicken Florentine & Farfalle - 22oz,$7.69,"https://target.scene7.com/is/image/Target/GUEST_cb6e7a41-310f-40e1-8d1a-76eaf2dd9a4a?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_9423518d-6bec-442e-9819-103f0e229749?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_a58df1c8-a6a8-48a4-a833-875f7dd765fe?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_eaa51687-be72-4b0e-9140-37abe9141aef?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_ca1a3911-8382-48e9-b2b3-4d11e2dc1684?wid=800&hei=800&qlt=80&fmt=pjpeg"," Eggs, Soy, Milk, Wheat", 1, 22 Ounces, 13050421, 031000671044, 270-11-0158, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,,
Stouffer's Family Size Frozen Lasagna with Meat & Sauce - 38oz,$10.49,"https://target.scene7.com/is/image/Target/GUEST_6d623fd6-190b-44a1-b585-46f6a0dcf1e0?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1d609c7e-17f7-483d-a375-6116ccb117b4?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_060be862-cd4b-4b79-a7ea-04b592724058?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_4608fb6a-c852-4297-b59e-f854a4b363ea?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_b85b12dd-298d-4135-ad94-ba5539edba97?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Soy, Wheat", 1, 38 Ounces, 13291541, 013800143334, 270-11-0301, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", Eggs, High Protein, No Preservatives,,
P.F. Chang's Frozen Orange Chicken Meal - 22oz,$7.69,"https://target.scene7.com/is/image/Target/GUEST_8c76241a-0fe3-4328-9caf-636f68716fa9?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_0de00371-f957-46a5-a0af-0d63a0ffc8bc?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8946e32e-74a2-42ed-8f92-781fb3f07209?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_891d8ac9-aec3-4f72-ace4-bf4b0160ba7d?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1bd39e2c-99e4-4fc2-a64c-35f0fdeb8c2a?wid=800&hei=800&qlt=80&fmt=pjpeg"," Eggs, Soy, Wheat", 1, 22 Ounces, 13050221, 031000670023, 270-11-0260, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", Shellfish,,,,
Stouffer's Chicken & Broccoli Frozen Pasta Bake - 40oz,$10.49,"https://target.scene7.com/is/image/Target/GUEST_04660ece-80f6-473b-94b9-7ef58e490011?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_ce8d2997-42a3-41b1-861d-c9d37914e919?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1a081e81-44e7-4568-91c5-d185e8a2f39d?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_b80568ce-08ae-49ea-a4b1-dd14babe44c9?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_57b43d39-f670-4c30-931d-71276f242a87?wid=800&hei=800&qlt=80&fmt=pjpeg"," Eggs, Milk, Wheat", 1, 40 Ounces, 13408990, 013800190741, 270-11-0320, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",," 0 Grams Trans Fat, High Protein"," No Added Sugar, No Preservatives",,
Chef Boyardee Frozen Family Size Four Cheese Ravioli - 40oz,$8.49,"https://target.scene7.com/is/image/Target/GUEST_8ccabdda-2fb8-4986-b68f-5f601d0740c3?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_6fed3a06-7923-40e4-ad90-da4105cef932?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_e62e40df-fe96-4858-a59e-457cfdaa37ba?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_a0887728-b5b6-4b62-b7b9-c0afe14fd943?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_60b2695a-33f8-48e3-aa92-9e3bc744e775?wid=800&hei=800&qlt=80&fmt=pjpeg"," Wheat, Soy, Milk", 1, 40 Ounces, 89984203, 064144000197, 270-11-5302, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,,
Birds Eye Voila! Frozen Family Size Alfredo Chicken - 42oz,$8.79,"https://target.scene7.com/is/image/Target/GUEST_efc28a6e-724d-4ac8-8e83-3a8a0f907620?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_09585a9d-135a-4e89-b888-f46ffbda7a07?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_6b28a414-8c3f-4720-865c-f5714cf54497?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_26c252d8-2e8f-456b-beef-a851dfa95191?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_b8606d41-b8d2-4743-a01c-5f9c7c11db4b?wid=800&hei=800&qlt=80&fmt=pjpeg"," Soy, Milk, Wheat", 1, 42 Ounces, 34841869, 014500014191, 270-11-0017, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only."," Eggs, Fish",,,,
P.F. Chang's Frozen Chicken Fried Rice - 22oz,$7.69,"https://target.scene7.com/is/image/Target/GUEST_cf2f74b8-2381-4e48-b60d-b7c6333c51fb?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1232a5cb-8218-4ebc-8f91-fa3d805c5932?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_cc3044e2-3ae0-4643-b231-edbeed04e05a?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_c48d2de7-c0e6-4710-aa49-a42c6d58e07c?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8d0a14f6-2b12-4aa5-bc02-2e6c92ae3c57?wid=800&hei=800&qlt=80&fmt=pjpeg"," Eggs, Soy, Wheat", 1, 22 Ounces, 16872563, 031000700003, 270-11-0094, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only."," Shellfish, Milk",,,,
Michael Angelo's Large Family Size Frozen Baked Ziti with Meatballs,$13.29,"https://target.scene7.com/is/image/Target/GUEST_1b659210-6731-4921-a8c3-9bcc1a9594e3?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_eb2b555a-1fe3-40f4-b1bb-47bdc2e3bc78?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_c144c0b3-f677-4b45-96d7-d42f8ac9bcdb?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_d010b43c-c82f-4907-a234-faee415e0428?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8cd92d40-0479-4de9-baf4-5d777c9fef26?wid=800&hei=800&qlt=80&fmt=pjpeg"," Eggs, Soy, Milk, Wheat", 1, 44 Ounces, 79390725, 037363985842, 270-11-0496, Made in the USA,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,,
