Product Name,Product Price,Images,Contains,Package Quantity,Net weight,TCIN,UPC,Item Number (DPCI),Origin,Grocery Disclaimer,Dietary Needs,Features,May Contain,Style
Tattooed Chef Frozen Spicy Vodka Bowl - 9oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_e595c392-8090-4334-83d8-03284b7287f6?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1257bb74-0b5b-49e3-815a-19a7e208936a?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_717863ef-7384-4068-a080-19248295f71d?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_021d7d91-88ed-43c2-b163-bbcb2a522f66?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_2d5b8a2f-ecb0-4e4f-b336-bccde9912a79?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat", 1, 9 Ounces, 92079477, 850044599523, 270-02-0117, Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,
Tattooed Chef Frozen Buddha Bowl - 9oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_a03cc23e-16fd-4693-8725-e483dfdb85e1?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_8feca9b4-f257-4f38-94f7-a642dcd39f0c?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_d2b079de-d2b8-428a-a9f1-451191b7b7bd?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_f732dbb8-702a-44e7-9968-73a6a235a6b2?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_18ef14d8-0769-464c-92a8-55c3aa4fff6c?wid=800&hei=800&qlt=80&fmt=pjpeg"," Sesame, Soy", 1, 9 Ounces, 92079481, 850044599486, 270-02-8229, Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", Vegan,,,
Kevin's Natural Foods Frozen Gluten Free Orange Chicken - 9.5oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_7eda5db2-b9fa-4210-84dc-d985e4ebab06?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_214b1c52-0331-4dc7-854c-5211c013b61a?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_bd0e3c7c-66d6-4890-953c-4d0a2356476c?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_cb33222b-e898-42b3-8e27-82a95e199933?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_69a4d96e-c04d-40bb-a541-f12f0ed1f627?wid=800&hei=800&qlt=80&fmt=pjpeg", Does Not Contain Any of the 9 Major Allergens, 1, 9.5 Ounces, 89908086, 810264027152, 270-02-5644, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", Gluten-Free," Soy-Free, No Artificial Flavors, Colors or Preservatives",,
Tattooed Chef Frozen Burrito Bowl - 8.5oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_c06d9913-e8e5-426f-99e3-880789a2c637?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_98ff981c-f539-4d93-9397-a1bb90b5250f?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_e6f1d228-ecca-4a70-a86a-d37f73a71425?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_147b6f99-f742-467b-a7e8-613aa41c393f?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_e7054bb4-eca2-4cf8-8566-4b87aeed6833?wid=800&hei=800&qlt=80&fmt=pjpeg", Coconut, 1, 8.5 Ounces, 92079480, 850044599516, 270-02-3984, Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", Vegan, Plant-Based,,
Smucker's Uncrustables Frozen Peanut Butter & Strawberry Jam Sandwich,$3.99,"https://target.scene7.com/is/image/Target/GUEST_c6fa87cd-0fd2-4673-aa2c-fe882825ead8?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_69e7e620-74b9-42e3-9bb6-438789df1af2?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_737ae6f5-f26c-4e9c-a890-22de6e28d072?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_ff839983-5006-429e-9809-9ae3fc1efee5?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_eb4c5b30-3f4a-4246-aa55-7431836b6414?wid=800&hei=800&qlt=80&fmt=pjpeg"," Peanuts, Wheat", 4, 8 Ounces, 13234505, 051500048160, 270-02-0058, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,," Tree Nuts, Milk",
Lean Cuisine Comfort Cravings Frozen Five Cheese Rigatoni - 10oz,$2.99,"https://target.scene7.com/is/image/Target/GUEST_0e763d63-de31-48c4-9698-9767906aab6e?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_02163361-331a-436f-bb96-8ea483239ce9?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_38009d8b-9869-4aeb-8d63-a3f6bde672a6?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_9cb0816f-950a-4b8d-91fa-af6c6be2a160?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1e9372e6-e30d-4d43-a577-c99313ff09ed?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat, Soy", 1, 10 Ounces, 13369390, 013800174208, 270-02-0427, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.", 0 Grams Trans Fat, No Preservatives, Eggs,
Tattooed Chef Frozen Cacio E Pepe Bowl - 9oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_e61a67f2-2fb9-472e-99ba-12cfb38f2e3b?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_3ddc39ea-2a84-48aa-9bae-0bc74056d131?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_d3414a57-33b1-48e2-a7c8-690c167379d7?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_2fec88bc-643e-4b4e-b352-2a489cbd427a?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_e41aa0a5-0e4a-41bb-a623-6d858d64bfc0?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat", 1, 9 Ounces, 92079479, 850044599530, 270-02-0131, Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,
Tattooed Chef Frozen Cauliflower Mac & Cheese Bowl - 9oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_ecc3b944-93a4-4eb2-b392-aea700fd316b?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_841f89a5-2126-482b-bfe2-1c07782c4766?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_b1967653-6aa4-46a2-891e-14e8046fefc9?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_78120a60-9a35-4bed-8d8a-8995655567a8?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_a2f1b269-7764-40fd-b4d0-97822633e3d9?wid=800&hei=800&qlt=80&fmt=pjpeg"," Milk, Wheat", 1, 9 Ounces, 92079482, 850044599509, 270-02-9746, Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,
Tattooed Chef Frozen Enchilada Bowl - 9oz,$5.99,"https://target.scene7.com/is/image/Target/GUEST_1f5f528d-a043-474e-9aee-c9f88227f81f?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_244e1028-405d-4f91-9a79-3bb00beb814a?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_1f6f2b63-6b93-4db6-963f-d75ddc9b7652?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_194ea44f-e809-45f1-90d2-b69ac3dff3d8?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_31e74bc2-c01a-48aa-98de-5ccbc25d5ac0?wid=800&hei=800&qlt=80&fmt=pjpeg", Milk, 1, 9 Ounces, 92079478, 850044599493, 270-02-2028, Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,,,
Smucker's Uncrustables Frozen Peanut Butter & Grape Jelly Sandwich,$3.99,"https://target.scene7.com/is/image/Target/GUEST_62d6cc90-1dab-4fc9-afd3-7fae4c3ea4e1?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_a291ff79-720a-4b0f-878e-f2d6457d3461?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_00fa0598-07af-489f-960c-b637a001eaf7?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_3ba7fb19-67ae-4acb-a84f-f1c01d768400?wid=800&hei=800&qlt=80&fmt=pjpeg,https://target.scene7.com/is/image/Target/GUEST_eb4c5b30-3f4a-4246-aa55-7431836b6414?wid=800&hei=800&qlt=80&fmt=pjpeg"," Peanuts, Wheat", 4, 8 Ounces, 13234506, 051500048153, 270-02-0056, Made in the USA or Imported,"
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers. Any additional pictures are suggested servings only.",,," Tree Nuts, Milk",
