Name,Price,Images,Details,product_link
Women s Open Front Cropped Cardigan Long Sleeve Solid Color Ribbed Knit Shrug Sweater Bolero Tops,$4.97,"https://ae-pic-a1.aliexpress-media.com/kf/S4c60d110162e42119dd8b345215a0906D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb437461fe50f4171901e8bdcba7d714bk.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se0b9a431201f4baba520c92f0159ddffX.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S21edb03433dd49b2851a27b61aeb5261j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S122d0c60b3de4976886697a444ca6447v.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Pattern', 'SLIM', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '95% above', 'Season', 'All Season', 'Age', 'Junior', 'Model Number', 'AB466', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Unisex', 'Decoration', 'Diamonds', 'Material', 'COTTON', 'Sleeve Style', 'regular', 'Collar', 'V-Neck', 'Clothing Length', 'Extreme Short', 'Material Composition', 'Polyester blended', 'Brand Name', 'hirigin', 'Elasticity', 'Non Strech', 'Fit Type', 'Regular Fit', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Closure Type', 'Open Stitch']",https://www.aliexpress.us/item/3256809957883394.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-0&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%22171%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010144198146%22%2C%22orig_item_id%22%3A%221005007684615564%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2127.48%214.97%21%21%21192.28%2134.74%21%40212e508f17662487629918614e6271%2112000051303186745%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761519&curPageLogUid=qQaNvRDoRuhk&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010144063760%7C_p_origin_prod%3A1005007684615564
Women Fashion Wild Knitted Shrugs Solid Color Long Sleeve Open Front Sweater Coat Spring Fall Casual Cardigan,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S3d698dc744404a79976b7afa2f942657y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S33c2fd886740438c8da4a34943540e39u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S82b7fc023ddc4c9b9ee4c01daf6a712dc.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf0eabaf356f24fdc81350d2432dd5e05C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb3cdf34dc379475e8908bcc96223b78br.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '51%-70%', 'Season', 'All Season', 'Age', 'Junior', 'Model Number', 'Knitted Cardigans', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Unisex', 'Decoration', 'Diamonds', 'Material', 'Nylon', 'Sleeve Style', 'regular', 'Collar', 'V-Neck', 'Clothing Length', 'Extreme Short', 'Material Composition', 'Polyester blended', 'Brand Name', 'hirigin', 'Elasticity', 'Non Strech', 'Fit Type', 'Regular Fit', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Closure Type', 'Open Stitch']",https://www.aliexpress.us/item/3256807507323426.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-1&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2132.28%210.99%21%21%21225.88%216.91%21%40212e508f17662487629918614e6271%2112000041870862883%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761498&curPageLogUid=F76ejzqYvcWc&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005007693638178%7C_p_origin_prod%3A
Autumn Winter Women Cardigan Sweater Coats Fashion Female Long Sleeve V-neck Loose Knitted Jackets Casual Sweater Cardigans,$21.94,"https://ae-pic-a1.aliexpress-media.com/kf/S8a8cb91f267e4085a4f4cd1ee3b07732a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S48dce267517e4b08b9cb8873a31da027r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf589a2ba56e8470ea608475b750ea4b2s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1e6bbab805584cc0b51f51418d04b8918.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa1c1e1606afd4e0298f056d6635163a5B.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '81%-90%', 'Season', 'Winter', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'Pockets', 'Material', 'POLYESTER,COTTON', 'Sleeve Style', 'Batwing Sleeve', 'Collar', 'V-Neck', 'Clothing Length', 'regular', 'Material Composition', '-', 'Closure Type', 'Single Breasted', 'Elasticity', 'High Strecth', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Brand Name', 'XIBUSANA', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809997526354.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-2&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2163.58%2121.94%21%21%21444.94%21153.51%21%40212e508f17662487629918614e6271%2112000051436352398%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000195579255&curPageLogUid=DOmNCnRvsNKP&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010183841106%7C_p_origin_prod%3A
Autumn and Winter New Fashion Woman Sweater Gray Soft Knitted Sweater Top Casual and Versatile Button-up Cardigan Jacket,$13.49,"https://ae-pic-a1.aliexpress-media.com/kf/S6581edfcc0144ac4bce5d50614c1f5331.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S10c91de0ad9843f58204c8cf969aba26u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S672408a1c43845b481d343f3f24178cfJ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S127c46a7543545e9a8af54c691a0ae46Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5d00a0e1c8bb417a9dfa6c87763c644eD.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'Button', 'Material', 'POLYESTER', 'Sleeve Style', 'regular', 'Clothing Length', 'regular', 'Material Composition', 'Polyester fiber', 'Brand Name', 'Cakulo', 'Closure Type', 'Open Stitch', 'Elasticity', 'Slight Strech', 'Fit Type', 'Slim', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809337469915.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-4&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2157.58%2113.49%21%21%21402.94%2194.38%21%40212e508f17662487629918614e6271%2112000049361030357%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761573&curPageLogUid=zeyOuIEpa9Yu&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009523784667%7C_p_origin_prod%3A
"Women's Elegant Extra Long Cardigan - Non-Stretch Open Front Coat, Machine Washable Maxi Length Sweater for Fall/Winter, Formal",$44.04,"https://ae-pic-a1.aliexpress-media.com/kf/Sf36770d0bead4d62834eb80dcb7bb51dm.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S943454571a034476a7cc87a7006155f4K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sef5d868419304a888bdcc046498b95c4i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S96dfb2ceb68442ffa9f5d553cad2221fL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7593229323ad4f6b9e59bf48964dfbafL.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Elegant fashion', 'Decoration', 'Sashes', 'Material', 'POLYESTER', 'Sleeve Style', 'regular', 'Clothing Length', 'long（26+inch）', 'Material Composition', 'POLYESTER', 'Closure Type', 'Belt', 'Elasticity', 'High Strecth', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810124662303.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-5&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21114.21%2144.04%21%21%21799.20%21308.15%21%40212e508f17662487629918614e6271%2112000051893120289%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761519&curPageLogUid=fDrytUVNuDjS&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010310977055%7C_p_origin_prod%3A
Autumn and Winter New Fashion Woman Sweater Knit Women's Tops Thin Knit Short Casual Skeleton Cardigan Clothing,$11.42,"https://ae-pic-a1.aliexpress-media.com/kf/S5a7414944b3e483eb380d29131097a45x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1983da96ad284479838470d420b40300W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2e300725989547deb1e47adee5ab9b8db.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e54029bdd2b4ed2922bc7a5a507cf0dB.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2200a973465845289a96ee75ac5489243.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'Hollow Out', 'Material', 'POLYESTER', 'Sleeve Style', 'regular', 'Clothing Length', 'regular', 'Material Composition', 'polyester fiber', 'Brand Name', 'Cakulo', 'Closure Type', 'Open Stitch', 'Elasticity', 'Slight Strech', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809348231733.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-6&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2148.75%2111.42%21%21%21341.14%2179.94%21%40212e508f17662487629918614e6271%2112000049389627314%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761549&curPageLogUid=lNJJ0G6vEUAk&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009534546485%7C_p_origin_prod%3A
Women's Sweater 2025 Spring Autumn Cardigans V-neck Single Breasted Short Slim Lady Knitwear Tops Solid Korean Fashion Cardigan,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S5261f9f6e28e47f582b2d280fee2ab1ai.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6f0377e9d04347acb985ef469cbfe69bn.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfb9323db0af94280985aeaf440fac7a9P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc887967fbe2d4ef1baecb4b92430fc16N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S15cee36d5e784de3896c2cd94af5fb9fF.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Yarn Thickness', 'Fine yarn', 'Percentage of Material', '95% above', 'Season', 'All Season', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)', 'Place Of Origin', 'China (mainland)', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'None', 'Material', 'POLYESTER,COTTON', 'Sleeve Style', 'regular', 'Collar', 'V-Neck', 'Clothing Length', 'regular', 'Material Composition', '95%', 'Brand Name', 'yszwdblx', 'Closure Type', 'Single Breasted', 'Elasticity', 'High Strecth', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Anhui']",https://www.aliexpress.us/item/3256806585319639.html?aem_p4p_detail=202512200839232637211176618500002476859&algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-7&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%22169%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2124.38%210.99%21%21%21170.62%216.97%21%40212e508f17662487629918614e6271%2112000038244575866%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761474&curPageLogUid=4ZiDBrjaXmqv&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005006771634391%7C_p_origin_prod%3A&search_p4p_id=202512200839232637211176618500002476859_2
Autumn and Winter New Fashion Woman Sweater Solid Color Long Sleeve Bow Knit Cardigan Jacket Top Women's Clothing,$18.84,"https://ae-pic-a1.aliexpress-media.com/kf/S246ec4e93db8465a8b25e076c7d1980bL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa8538e91605b4319a162e416d4ba5a4eV.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb81d648d7a934ab599d4851e3ddb2fe6a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5a832ca50b9740d59f8e9e2d40aee3d3g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S61ae92935ec341fbbe5d29b86a03b36b5.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'None', 'Material', 'POLYESTER', 'Sleeve Style', 'regular', 'Clothing Length', 'regular', 'Material Composition', 'Polyester', 'Brand Name', 'Cakulo', 'Closure Type', 'Single Breasted', 'Elasticity', 'Slight Strech', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809348637257.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-8&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2156.17%2118.84%21%21%21393.05%21131.82%21%40212e508f17662487629918614e6271%2112000049390458154%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761500&curPageLogUid=22zvqRBPfzQP&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009534952009%7C_p_origin_prod%3A
Autumn and Winter New Fashion Woman Sweater Solid Color Long Sleeve Bow Knit Cardigan Jacket Top Women's Clothing,$18.84,"https://ae-pic-a1.aliexpress-media.com/kf/S246ec4e93db8465a8b25e076c7d1980bL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa8538e91605b4319a162e416d4ba5a4eV.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb81d648d7a934ab599d4851e3ddb2fe6a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5a832ca50b9740d59f8e9e2d40aee3d3g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S61ae92935ec341fbbe5d29b86a03b36b5.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'None', 'Material', 'POLYESTER', 'Sleeve Style', 'regular', 'Clothing Length', 'regular', 'Material Composition', 'Polyester', 'Brand Name', 'Cakulo', 'Closure Type', 'Single Breasted', 'Elasticity', 'Slight Strech', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809348637257.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-8&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2156.17%2118.84%21%21%21393.05%21131.82%21%40212e508f17662487629918614e6271%2112000049390458154%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761500&curPageLogUid=22zvqRBPfzQP&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009534952009%7C_p_origin_prod%3A
Autumn and Winter New Fashion Woman Sweater Sequined Bow Trim Loose Long Sleeve Niche Knit Cardigan,$9.07,"https://ae-pic-a1.aliexpress-media.com/kf/S5bae3be1e9684bb2b3d8d39eac58d8e0X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S15c55cd113ca49dda61728b875a8d752p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca18bd4ce99f40eba2941c67be37989dg.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sef1e44d396fe445d89eb15b7f624d66dz.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6f234456e6444f22aeb4573b2abe60b9A.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Pattern Type', 'Solid', 'Gender', 'Women', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Decoration', 'None', 'Material', 'POLYESTER', 'Sleeve Style', 'regular', 'Clothing Length', 'regular', 'Material Composition', 'polyester fiber', 'Brand Name', 'Cakulo', 'Closure Type', 'Open Stitch', 'Elasticity', 'Slight Strech', 'Fit Type', 'Loose', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809328911926.html?algo_pvid=6fa63d2a-883f-4625-b241-4bc2188cc298&algo_exp_id=6fa63d2a-883f-4625-b241-4bc2188cc298-9&guide_trace=1d0524eb-21f9-43b9-9e76-2b4569af346c&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2150.16%219.07%21%21%21351.02%2163.50%21%40212e508f17662487629918614e6271%2112000049337707778%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af6ce53eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000187761469&curPageLogUid=RyCHJuXSMLts&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009515226678%7C_p_origin_prod%3A
