Name,Price,Images,Details,product_link
10G OM3 LC/UPC-LC/UPC Multimode Duplex 2.0mm Fiber Patch Cable LC Fiber Optic Patch Cord Optical Fiber Cable,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S606fed1b45624c8ca3d7ec272a65ffe4Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S606fed1b45624c8ca3d7ec272a65ffe4Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saf822fb95dce475bbb312466e2b87c51e.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S671d4b66a37d421dbb1e79f9de134beb2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S27e88866d8bc4e7ba8089c8636a8552f8.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808102473475.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-0&pdp_ext_f=%7B%22order%22%3A%22690%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.22%210.99%21%21%218.22%210.99%21%40212e509017773210673666481e2c18%2112000044491618420%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=RWlkjBcCMjTb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008288788227%7C_p_origin_prod%3A
Superbat BNC Adapter BNC Male to Female Quick Push-on RF Coaxial Connector Adapter for Electronic Equipment,$4.00 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sfa2c7a1c4668455b9166d0c85c367e98E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7d434f21eff04f3f8ca2c04a6c9e733eO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd4423805108f4dd99ad020a60606421fU.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Coaxial Cables', 'Number of Conductors', '1', 'Model Number', 'AD-B01-JP-44BS01', 'Brand Name', 'Superbat', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS', 'Connector Body Style', 'Straight', 'is_customized', 'Yes', 'Application', 'Audio & Video']",https://www.aliexpress.us/item/2251800534548558.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-2&pdp_ext_f=%7B%22order%22%3A%22318%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.00%214.00%21%21%214.00%214.00%21%40212e509017773210673666481e2c18%2159016186951%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895&curPageLogUid=yOiNKuUovJcQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A720863310%7C_p_origin_prod%3A
Superbat 75ohm BNC Male to Plug HD SDI Cable 3G 6G Support 4K 8K Belden 1855A Precision Video Cable for Professional Video Appli,$7.21 ,"https://ae-pic-a1.aliexpress-media.com/kf/S43c626e4f25f4d958a39d6a503e534d02.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scc007ca3105c4f5cba2b1172b99189959.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8be5b13effae40d1ac899dbf7c7cd274l.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Number of Conductors', '1', 'Model Number', 'AC-B04SP-B04SP-1855A', 'Brand Name', 'Superbat', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS', 'Connector Type', 'BNC Male Plug 75 ohm', 'Cable Type', 'Belden 1855A', 'Cable Impedance', '75ohm']",https://www.aliexpress.us/item/3256805646661803.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-3&pdp_ext_f=%7B%22order%22%3A%22196%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.06%217.21%21%21%218.06%217.21%21%40212e509017773210673666481e2c18%2112000034511968501%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=BmL3riEhTG3S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005832976555%7C_p_origin_prod%3A
1PCS For Starlink Mini Car Charger To DC Power Cable Extension Wire for Satellite Cigarette Lighter To DC Adapter,$14.61 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3310e51bc21842fb88fe3d34ad82e5cdT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3310e51bc21842fb88fe3d34ad82e5cdT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb8a20a957217495497341d662fae7bf7H.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6067a1b49914462b3022b50a4f8c2aem.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7d6c4f72cfbc43bead785ac318db7cec4.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Brand Name', 'LYNNDM', 'Origin', 'Mainland China', 'Type', 'For Starlink Extension Cable', 'Length', '1.8m(6ft), 3m(10ft), 4.6m(15ft), 9.5m(30ft), 15.5m(50ft), 23m(75ft)', 'Compatible', 'For Starlink Mini to DC Car Adapter Cable', 'Plug-and-Play', 'Yes']",https://www.aliexpress.us/item/3256808451405939.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-4&pdp_ext_f=%7B%22order%22%3A%22194%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.61%2114.61%21%21%2114.61%2114.61%21%40212e509017773210673666481e2c18%2112000046049318181%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895&curPageLogUid=wkQhzihy08Mo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008637720691%7C_p_origin_prod%3A
10-100PCs Faso G652D 3.0mm Optical Fiber Cable SC APC Fiber Optic Patch Cord SM SingleMode OEM Fiber Optic Patch Cable Yellow,$6.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S669e0c9c38364be38078d9cbeb4109f9Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S669e0c9c38364be38078d9cbeb4109f9Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se352eb8110bb4e04a2390c6053ba3da6Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb5c7f1b6af884781b72bf61a1a1f6134J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0fd1f841468143fb8dfe4cd0cd1f838aQ.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Length', '3m', 'Type', 'Cat 1', 'Number of Conductors', '1', 'Model Number', 'G652D', 'Brand Name', 'SKYLYNN', 'Origin', 'Mainland China', 'Certification', 'CE', 'Model', 'G652D', 'Insertion loss', '≥0.5dB', 'Return loss', '≥65dB', 'Connectors', 'SC/APC to SC/APC', 'Length', '1/2/3 meters', 'Mode', '9/125μm singemode OS2', 'Type', 'Simplex', 'Color', 'Yellow']",https://www.aliexpress.us/item/3256806497560618.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-5&pdp_ext_f=%7B%22order%22%3A%22145%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.69%216.99%21%21%2152.24%2147.48%21%40212e509017773210673666481e2c18%2112000041419876101%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=pPANu3Zs3lnf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006683875370%7C_p_origin_prod%3A
"Superbat 4.3-10 Male to N Female RF Coaxial Adapter Nickel-Plated Brass Straight Connector for 4G/5G Base Station,Antenna System",$7.20 ,"https://ae-pic-a1.aliexpress-media.com/kf/H3d5924e056674b2da159db8618db8efc8.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hdcd8c50ef7694a2cad6e4081652f1e1dt.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H2ae7d879a34f404481545b35ec65959aF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H8fef1e0cf2bf478ab513b7017b55d5b0p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5102bb4a0d4a4429b8ae8b3ad1d7f8edv.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Coaxial Cables', 'Number of Conductors', '1', 'Model Number', 'AD-D04SP-N01SJ-44BS00', 'Brand Name', 'Superbat', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS', 'Connector Polarity', 'Standard', 'Body Plating Connector', 'Nickel', 'Body Style', 'Straight', 'Body Material', 'Brass']",https://www.aliexpress.us/item/2255800940440194.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-6&pdp_ext_f=%7B%22order%22%3A%2297%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.20%217.20%21%21%217.20%217.20%21%40212e509017773210673666481e2c18%2110000014630805312%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895&curPageLogUid=hrFiByvSHgxK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001126754946%7C_p_origin_prod%3A
SMA male to Y type 2X SMA female male rp sma Connector Splitter Combiner Cable Pigtail RF Extension RG316 Cable,$2.64 ,"https://ae-pic-a1.aliexpress-media.com/kf/S56c7055ce60146cab157d5ff4c14d5fa4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd5e546f4b6964e01a320c783262229008.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S068e3e5ce53c49fc8680f22f682490e1D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S81c6479eaf5c496e87dceac6caa2dd06r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf8a0ff22e42f40849adeffb98e562b99I.jpg_220x220q75.jpg_.avif","['Number of Conductors', '1', 'Model Number', 'OJ-C110', 'Brand Name', 'Oserjep', 'Origin', 'Mainland China', 'Certification', 'CE']",https://www.aliexpress.us/item/3256805615038719.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-7&pdp_ext_f=%7B%22order%22%3A%2292%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.73%212.64%21%21%2159.32%2117.96%21%40212e509017773210673666481e2c18%2112000034399518007%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=54VG89heqz6k&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005801353471%7C_p_origin_prod%3A
SAIVXIAN Miller Pliers Fiber Stripping Pliers with Detachable Fiber Wiping Clip Adapter Fiber Eraser Tool for Fiber Optics,$1.37 ,"https://ae-pic-a1.aliexpress-media.com/kf/Saf3ae36ccd6d47b690a91eb2dc970b7aa.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saf3ae36ccd6d47b690a91eb2dc970b7aa.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5ecbf8d631ea48949249e08532ee5582f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3b28463a9a64a43921958e453e2f5a2D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6dc253afe71743b3920d18f451320095G.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Brand Name', 'SAIVXIAN', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256811568150580.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-8&pdp_ext_f=%7B%22order%22%3A%2269%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.87%211.37%21%21%2112.68%219.28%21%40212e509017773210673666481e2c18%2112000056442503351%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=tYLQtw8v2UJL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011754465332%7C_p_origin_prod%3A
This item is out of stock,$13.49 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf581c28b8a7048a3a88745d2122c3fd5Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sacab2aef9b0a47e2a61330b40ffca785E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbad908c18c5643c28977d144e80541708.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa582ce3977264689a7ce1403fb215421b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S46e3fe3cf6f64251a2b70e660439e7fcy.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'DB1-2173-ZD+HZ-36', 'Brand Name', 'Superbat', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS']",https://www.aliexpress.us/item/3256807244129084.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-10&pdp_ext_f=%7B%22order%22%3A%2259%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.49%2113.49%21%21%2113.49%2113.49%21%40212e509017773210673666481e2c18%2112000040727155862%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895&curPageLogUid=cUACnxe2rvYD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007430443836%7C_p_origin_prod%3A
"AMPCOM DAC Direct Attach Cable Copper, Passive 10G SFP+ DAC Twinax Cable for Cisco, Mikrotik, Ubiquiti, Meraki",$17.02 ,"https://ae-pic-a1.aliexpress-media.com/kf/Scc83428073084cfbac48faf13aeda620V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb6f1b8e9637e439688c66cf9d6f8604dj.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sda9d0b6ac7444f2f9bdd0d963f7480d8E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S22e4ed7b41b141659326979de8303529s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S809bb7ebcf1144c9863398d17d694a39f.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Length', '0.5m', 'Type', 'Coaxial Cables', 'Brand Name', 'AMPCOM', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS,UL,weee', 'Features 1', 'lengths 0.5m to 7m', 'Features 2', 'Supports multi-gigabit data rates up to 10Gbps', 'Features 3', 'Supports 1x, 2x, 4x and 8x Fiber Channel data rates', 'Features 4', 'Hot-pluggable SFP 20PIN footprint', 'Features 5', 'AC coupling of PECL signals', 'Features 6', 'EMI/EMC performance', 'Features 7', 'Low Power Consumption < 0.5W', 'Features 8', 'Compliant to SFP+ MSA']",https://www.aliexpress.us/item/3256807283601827.html?algo_pvid=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6&algo_exp_id=67bdcc1e-8c76-4d38-92e7-2a6feedc26a6-11&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.52%2117.02%21%21%2117.52%2117.02%21%40212e509017773210673666481e2c18%2112000040885379957%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=mDAH490UDe03&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007469916579%7C_p_origin_prod%3A
