Name,Price,Images,Details,product_link
Nb-iot /LORA Soft Antenna UAV wireless module Figure transmission data transmission 840-868-915-923-902-928mhz antenna SMA male,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S639fec4e080f44b39e9ed3986b8494d4E.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S639fec4e080f44b39e9ed3986b8494d4E.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7666aa9585644d2abca4f4f74117864aS.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se13133160ee04129af0a06993fa03b89M.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S30fa5aa597a843339bb719f98eb2b6dcH.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '10', 'Brand Name', 'GIZONT', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256804421300249.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-0&pdp_ext_f=%7B%22order%22%3A%229125%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.20%210.99%21%21%216.20%210.99%21%402140c1e917773127768236825eb22e%2112000029810956286%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=GdEiMLgind53&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004607615001%7C_p_origin_prod%3A
long-range LORA antenna 868MHz 915MHz NB IoT omni N-type connector antenna for Meshtastic Solar Node/Repeaters/Devices Slinkdsco,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3d224d9b889d4f41b41bfb9557fea7c7a.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4feaee53783e4dbc9ddf492549a281eeS.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S11c3179bfeaa4d09bc701f22492583dei.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf62b6a9259bc49f59553478f22b15749V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S13e8e2c51ea442fda415ef58782c4ca9f.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '5DBi', 'Brand Name', 'GIZONT', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809024233421.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-2&pdp_ext_f=%7B%22order%22%3A%223001%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.10%210.99%21%21%2161.80%216.70%21%402140c1e917773127768236825eb22e%2112000048322199185%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531395&curPageLogUid=EI4sLgMrb97P&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009210548173%7C_p_origin_prod%3A
Support custom 2PCS LoRa module Antenna for Meshtastic 868MHz 915MHz soft antenna Omni high-gain whip antenna SMA head connector,$4.34 ,"https://ae-pic-a1.aliexpress-media.com/kf/S03bedde3ee014030b89e1989a9bdd10aW.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S03bedde3ee014030b89e1989a9bdd10aW.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf1e7829f66534d0ca906547743df4149o.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3000549df5d74c8dae06b9c46e88d455M.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f57163bf9ac499883e3e9880f588bcfi.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '10DBI', 'Model Number', 'GT-7702', 'Brand Name', 'GIZONT', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806172931647.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-3&pdp_ext_f=%7B%22order%22%3A%222912%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.13%215.13%21%21%2182.40%2134.85%21%402140c1e917773127768236825eb22e%2112000036884136553%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531392&curPageLogUid=Rb6jh8mXskrc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006359246399%7C_p_origin_prod%3A
LoRa 868MHz Antenna 863-870MHz 869MHz SMA Connector for Meshtastic ESP32 Board Lora32u4 II Internet WiFi Antena Low VSWR,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sdf842e15d20b41d782572d155b4faa38y.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1b5c78c3b8564a169f1c033c52efe3d9a.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se0232656063a47acb11a1ea2fd096e0c2.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4d749d4baa9041fba9f18d403c219890p.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S869ec7a3f85c487d86d3e1c2c9924ab0C.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '10DBI', 'Model Number', 'GT-800', 'Brand Name', 'GIZONT', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256810088820432.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-4&pdp_ext_f=%7B%22order%22%3A%222442%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.79%210.99%21%21%2125.75%216.73%21%402140c1e917773127768236825eb22e%2112000051744310930%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531395&curPageLogUid=whVe2bLI2INt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010275135184%7C_p_origin_prod%3A
5.6M/18.3 FT QRP Antenna 14M-30MHz 300W-600W HF Antenna Stainless Steel 1/4 Wavelength For USDX QRP Radio,$39.12 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8b51a40b5b604f9e8e5ea4be726c1ab2K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2296d4fa0f6f4289916d0be49bb17febb.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a030177c5414f71976e78fd7b6a5561l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S53084a62e80649c382e07e929d7c2708K.png?has_lang=1&ver=1_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2b7b9023c3d043b199b8b02ed4eea594j.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '10', 'Model Number', 'ANTENNA', 'Brand Name', 'PAREK', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806627252168.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-5&pdp_ext_f=%7B%22order%22%3A%222351%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21134.04%2139.91%21%21%21910.62%21271.17%21%402140c1e917773127768236825eb22e%2112000038390372768%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531392&curPageLogUid=xqOyL4Z7De1P&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006813566920%7C_p_origin_prod%3A
Nb-iot Soft Antenna 915/900/840/868/902-928mhz UAV meter reading module Omnidirectional high-gain flexible antenna SMA soft whip,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4b74f5e8ac304ecbab0f14e5ecd723ffF.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b74f5e8ac304ecbab0f14e5ecd723ffF.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S43ed76b90675455b8fae51a883a7943dF.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3a90119ce8904b099e687b7214acf587J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S05195fd051324f8faaf1f22c0b28ac2d6.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '10', 'Brand Name', 'GIZONT', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256804397374144.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-6&pdp_ext_f=%7B%22order%22%3A%221736%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.50%210.99%21%21%214.50%210.99%21%402140c1e917773127768236825eb22e%2112000029715912975%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531395&curPageLogUid=BnFi6L3RvCDs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004583688896%7C_p_origin_prod%3A
400-450MHZ Antenna Signal Amplifier N7MC 433MHz LORA gateway SMA soft whip antenna 470-510MHZ wireless module antenna,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S88c7dca5732f452eb1eb4975a8b514b3v.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6a142c55a8dd4c44bb188f26ab09c8d1U.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2dfeeab70f614669b5fe31f14f1d713eO.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac06479925b74c9c9fde422a1b2c7ba5e.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3c13a548c50429e9072facee0e1fa01Y.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '10', 'Brand Name', 'GIZONT', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256804595499218.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-7&pdp_ext_f=%7B%22order%22%3A%221491%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.29%210.99%21%21%2135.91%216.70%21%402140c1e917773127768236825eb22e%2112000030465016775%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531395&curPageLogUid=oCy5LncGgE6P&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004781813970%7C_p_origin_prod%3A
Meshtastic Wifi 915 MHz Lora Antenna with Magnet Mounted Omni 868 Mhz Long Range Antenne RP SMA Male Antena 900MHz Aerial,$16.50 ,"https://ae-pic-a1.aliexpress-media.com/kf/H90c344f0b4344de48f325abc5e945a368.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S044679f1fc3742a9b7b6d656f249dccfs.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S28a58fd8954c47cca19eaedf1985e5b3k.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S231b0ccdc3524660bcdf3e547ba1e9e2q.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7fca022b3e7d4500a79afd2ec27e11ae9.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '6dBi', 'Model Number', 'G900-26', 'Brand Name', 'ZIISOR', 'Origin', 'Mainland China', 'Certification', 'NONE', 'Frequency Band', '860-960MHz', 'Gain', '6dBi', 'Interface', 'SMA male', 'Height', '36cm']",https://www.aliexpress.us/item/2255800329842621.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-16&pdp_ext_f=%7B%22order%22%3A%221416%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.00%2116.50%21%21%2117.00%2116.50%21%402140c1e917773127768236825eb22e%2110000002557403606%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=AKBEYLBMfteL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000516157373%7C_p_origin_prod%3A
2 Pack 868MHz 915MHz LORA Antenna 6dBi Gain Omni GSM Antenna SMA Male Connector + 15cm RF Antenna Adapter Cable,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S1fd83d69e0ec46e18aa0c2a017e769548.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1fd83d69e0ec46e18aa0c2a017e769548.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S633692210adb40109439f6318de7f2e4i.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S504637baa63e4d2da67c64b69a79fcb5i.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67514cc1c4cc40efb2aa42f62fde34b28.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Connector Type', 'IPX1', 'Gain(dB)', '6dBi', 'Model Number', '868MHz 915MHz LORA Antenna', 'Brand Name', 'NOWEPOCH', 'Origin', 'Mainland China', 'Certification', 'CE,FCC']",https://www.aliexpress.us/item/3256807795648145.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-8&pdp_ext_f=%7B%22order%22%3A%221327%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.99%210.99%21%21%213.99%210.99%21%402140c1e917773127768236825eb22e%2112000043141695773%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=m2Veex820Iap&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007981962897%7C_p_origin_prod%3A
Superbat 600-4900MHz 3dBi 5G Rubber Duck Antenna Omnidirectional Wideband Antenna SMA Male for 5G Routers,$3.79 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf1080252ba2b42f199daa0f0972a55d4J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf208b6fadb664b79a27dc40e54337e158.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S72926b700537417493ca68ef66e6be26A.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S586a713b44b6419a87487b9b90d5dcd0S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S150ed884d73c4008819e3be9bb2eab52c.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Gain(dB)', '3 dBi', 'Model Number', '5A2-0387-S01SP-030', 'Brand Name', 'Superbat', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS', 'Antenna Type', 'Rubber Duck', 'Network', '5G Antenna', 'Frequency', '600-4900MHz', 'Connector Series', 'SMA Plug Standard', 'Radiation', 'Omnidirectional', 'V.S.W.R', '2.0']",https://www.aliexpress.us/item/3256808845642236.html?algo_pvid=b601c7d3-c9d9-403f-a2e3-158ce730766b&algo_exp_id=b601c7d3-c9d9-403f-a2e3-158ce730766b-18&pdp_ext_f=%7B%22order%22%3A%221178%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.29%213.79%21%21%214.29%213.79%21%402140c1e917773127768236825eb22e%2112000047650383672%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=FNnIZCgcrcqd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009031956988%7C_p_origin_prod%3A
