Name,Price,Images,Details,product_link
Theremin Musical Instrument Novel and Fun Geek Equipment Theremin+ Gift for Boyfriend Music Fans,$34.04 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5497a2db63664be38deabead0930f069g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S50550c329e8a4fa59a85d2b7c902641aL.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S607fa91021e044758e0a803a3fa0ea75X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S95c3dd8690c7430182e3b641906b6928V.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8958134c02a045398cc6e04f71d91a7eG.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'Theremin', 'Model Number', 'Theremin', 'Brand Name', 'AISANRAY', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807128007049.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-5&pdp_ext_f=%7B%22order%22%3A%221606%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21111.21%2134.04%21%21%21755.49%21231.24%21%40212e532617773171802427316e033d%2112000040226036558%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000205460282&curPageLogUid=cxOwgrJQvGEc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007314321801%7C_p_origin_prod%3A
Theremin Musical Instrument Novel and Fun Geek Equipment Theremin+ Gift for Boyfriend Music Fans,$33.74 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5497a2db63664be38deabead0930f069g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S50550c329e8a4fa59a85d2b7c902641aL.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S607fa91021e044758e0a803a3fa0ea75X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S95c3dd8690c7430182e3b641906b6928V.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8958134c02a045398cc6e04f71d91a7eG.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'Theremin', 'Model Number', 'Theremin', 'Brand Name', 'AISANRAY', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807619236956.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-6&pdp_ext_f=%7B%22order%22%3A%221604%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007805551708%22%2C%22orig_item_id%22%3A%221005007314321801%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2174.43%2133.74%21%21%21505.62%21229.19%21%40212e532617773171802427316e033d%2112000042262224170%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ieQ6zr7sydsS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007805551708%7C_p_origin_prod%3A1005007314321801
Raspberry Pi 5 Official Case with Cooling Fan for RPI 5 Official Aluminum Box Shell Enclosure,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Scbd29ac2aff243a386a899e17cbb7203Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a374de57d9d44f597a05c6275fefce1x.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S757a8d0a27bb4c1f9bfc027cb0a22d8dw.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9500993e93e841b88941bb103c87c681L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0327b9fbe8b141d785f36c27c50317cfq.jpg_220x220q75.jpg_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'Cooling Fan', 'Brand Name', 'HQXRTEK', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807370590969.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-7&pdp_ext_f=%7B%22order%22%3A%221321%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.83%210.99%21%21%21114.35%216.75%21%40212e532617773171802427316e033d%2112000041282895559%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=IOUhxn5HIJh0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007556905721%7C_p_origin_prod%3A
1:9 Mini Balun 1:9 Mini Balun Suitable HF Shortwave Antenna for Outdoor QRP Station and Furniture. QRP Mini Balun HF Mini Balun,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8a31e34e500c425eb54560c30b2145247.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb8153c2ec30f4b5982c20aec13d537d0D.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se4af1cff1bdb4defacdf6f7a964f2d93C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9f5da2945a95470694129dceb8f64d4a2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd06de95399e94a3a948c7b878a4adad6X.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Wireless function', 'Yes', 'High-concerned chemical', 'None', 'Item Type', 'BALUN', 'Brand Name', 'YOUTHINK', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807311695023.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-10&pdp_ext_f=%7B%22order%22%3A%22980%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.64%210.99%21%21%21147.01%216.75%21%40212e532617773171802427316e033d%2112000041031461897%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=qYJVbiovxUdL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007498009775%7C_p_origin_prod%3A
Radio Special 3D Printed Stand with Built-in Amplification Function Desktop Radio Holder Bracket,$5.24 ,"https://ae-pic-a1.aliexpress-media.com/kf/S176483e3729140b5b044269cc4c0b05b4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4e824edee84043c9849b3d6cbbc74449s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf21e9494065f4a44a0700ff7a646903d4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf243d628714a46fb9e39ef4f966be37bK.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0b81b9e99be3435e9b845bed43d7065dp.jpg_220x220q75.jpg_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'Special Stand', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256810386437670.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-11&pdp_ext_f=%7B%22order%22%3A%22940%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010572752422%22%2C%22orig_item_id%22%3A%221005012066235689%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.47%215.24%21%21%2177.90%2135.55%21%40212e532617773171802427316e033d%2112000052858858493%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=mhMX4mWp0PFZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010572752422%7C_p_origin_prod%3A1005012066235689
"Feasycom FSC-BP119 100m Long Range BT 4.0 Dongle Class 1 SMA PnP USB Bluetooth Adapter for Windows 10/8/7, XP, Vista, Linux",$15.47 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf8fe5079d4f749129abadcfb4e401a3dK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf8fe5079d4f749129abadcfb4e401a3dK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S79cac7fed9bc4537bcde60bc6901cc8ab.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8e97aafb7a8540e5b5ba703d9c31bec8t.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9053417dae7440c6865c52dd307a8aeep.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Wireless function', 'Yes', 'High-concerned chemical', 'None', 'Item Type', 'BT USB Adapter', 'Model Number', 'FSC-BP119', 'Brand Name', 'FEASYCOM', 'Origin', 'Mainland China', 'Chip', 'CSR8510A10', 'Bluetooth Version', 'BT 4.0', 'Transmission Frequency', '2.402 - 2.480 GHz', 'Transmission Rate', 'Up to 3.0 Mbps', 'Transmission Range', 'Up to 100m (328 ft) (In open air)', 'External Antenna Gain', '2 dBi', 'Antenna Interface', 'SMA', 'Transmit Power', '18.5 dBm (Class 1)', 'Profiles', 'HFP 1.5, HSP 1.2, AVRCP 1.4, A2DP 1.2']",https://www.aliexpress.us/item/3256809768407536.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-12&pdp_ext_f=%7B%22order%22%3A%22929%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.97%2115.47%21%21%2115.97%2115.47%21%40212e532617773171802427316e033d%2112000050678437550%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=q3b73BRBwdkV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009954722288%7C_p_origin_prod%3A
Heat Shrinkable Tube 40mm 45mm 60mm 1pin 2pin Smoove Fiber Optic Splice Protector Tubo Cable Heat Shrink Tube Protector Sleeves,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc99d1efdea924ba6bc90981bf106bb46t.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4c4d324e1e644810a4642747e638175bz.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S22d0775a379e4d8fb848c3864f6a32d35.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf49587e0ade74e1b9b14b975e4f4894cM.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S786ae55c2382485786edc4b93aef5d54R.jpg_220x220q75.jpg_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'Heat Shrinkable Tube', 'Brand Name', 'CAILI', 'Origin', 'Mainland China', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808536265159.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-13&pdp_ext_f=%7B%22order%22%3A%22890%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.91%210.99%21%21%214.91%210.99%21%40212e532617773171802427316e033d%2112000046395649892%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=sGTy09UcoyQm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008722579911%7C_p_origin_prod%3A
SMA Connector Kit SMA to RP-SMA Male Female Adapter RPSMA 45 90 135 Degree Angle Straight Coax Connector WiFi Antenna Splitter,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S22d5bbaa870d43619c29d06a3ddab65bs.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S06f362fb67b84979802f6614d862163bN.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S635208e5867d4e2b83e0ea46e79ee00aV.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8440363c4cc345d6843dc675bdcbed77y.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6e766ed2048246a39e46ba776d08abf2K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'RF Adapter', 'Model Number', 'SMA-SMA', 'Brand Name', 'Tinymons', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809011846673.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-23&pdp_ext_f=%7B%22order%22%3A%22876%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.09%210.99%21%21%2114.18%216.68%21%40212e532617773171802427316e033d%2112000048270834069%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=AVgNwpNd4Gk4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009198161425%7C_p_origin_prod%3A
7MHz M10 Induction Coil For Portable Shortwave Short Wave SW Antenna Pac-12 Jpc-7,$19.55 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sed8160ae55f647cfa47282a9b897cef3w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Seeefe581e99e47ffb3eacb83ab36a1158.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S69b1f1433d4c453bb760d82d7885777db.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S438969d69b55405eaa4fbd360f2baf37z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca9286a222414c6294359a3a3d288269m.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Item Type', 'ADAPTER', 'Model Number', 'M10', 'Brand Name', 'AISANRAY', 'Origin', 'Mainland China', 'Brand Name', 'AISANRAY']",https://www.aliexpress.us/item/3256807300684169.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-14&pdp_ext_f=%7B%22order%22%3A%22848%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2180.41%2120.34%21%21%21546.24%21138.17%21%40212e532617773171802427316e033d%2112000040973989543%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531392&curPageLogUid=dKlCWXMWsb3X&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007486998921%7C_p_origin_prod%3A
UNLOCKTOOL Repairing tools 1 Day Unlocktool.net UNLOCK TOOL,$8.50 ,"https://ae-pic-a1.aliexpress-media.com/kf/S727d7f19ecac491a8de5a8cb6dfbb7d3a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S727d7f19ecac491a8de5a8cb6dfbb7d3a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa34f6bd58a2b4cfca805746785982e23L.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S09939ca021af4f4fa7e1b29da349ab74D.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5019b5d857594221a4f36ba470f18acaW.png_220x220.png_.avif","['Wireless function', 'No', 'High-concerned chemical', 'None', 'Item Type', 'UNLOCKTOOL', 'Model Number', 'UNLOCKTOOL', 'Brand Name', 'Oityn', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808746505878.html?algo_pvid=3835466a-672b-404e-af52-ade7bf3dfaca&algo_exp_id=3835466a-672b-404e-af52-ade7bf3dfaca-16&pdp_ext_f=%7B%22order%22%3A%22791%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.00%218.50%21%21%219.00%218.50%21%40212e532617773171802427316e033d%2112000049396427702%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=j4wQjM3eiBr9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008932820630%7C_p_origin_prod%3A
