Name,Price,Images,Details,product_link
10/1PCCS Type-C Dust Plug USB Charging Port Protector Silicone Anti-dust Plug Cover Cap for Samsung Huawei Xiaomi Phone Dustplug,$1.04 ,"https://ae-pic-a1.aliexpress-media.com/kf/S139d469e330b45119fdf0483936dc424l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se618e644b7a34f7699084c8d8a0b8568z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S347a0904351347338bb0112bba286ea72.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e2be8ad956b4cf78591ab46dac21431E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc37097ef25f044ebbf93092b41b282a9p.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Charging Port Dust Plug', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808061882316.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-2&pdp_ext_f=%7B%22order%22%3A%2247434%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008248197068%22%2C%22orig_item_id%22%3A%221005010133314660%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.22%211.04%21%21%2121.88%217.11%21%4021010c9a17764273619151585e1390%2112000044371470852%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=blBh0E0CcuZG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008248197068%7C_p_origin_prod%3A1005010133314660
2/4/6PCS Charging Port Anti-Dust Dirt Plug for IPhone Samsung USB Type-C Port Protector Silicone Dustplugs Cover Anti-Lost Cap,$1.12 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc16dff1aaa5c4ca68d267c40ff8876575.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sad1476ff4e524a158daabc9376658518K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S13d067075ae54fae89d020df0805f997P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa40075e7159b4af1a3d69919933b0b395.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1001396ae1d34e00905ef54e1162038eO.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806780101677.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-5&pdp_ext_f=%7B%22order%22%3A%2230103%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006966416429%22%2C%22orig_item_id%22%3A%221005011858817191%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.25%211.12%21%21%2122.08%217.65%21%4021010c9a17764273619151585e1390%2112000038883540370%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=68UjM8smlDDd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006966416429%7C_p_origin_prod%3A1005011858817191
2/4/6pcs Mobile Phone Silicone Dust Plug for IOS Type-C Cellphone Charger Dock Stopper Cap Dustproof Protector For iphone 14 13,$1.60 ,"https://ae-pic-a1.aliexpress-media.com/kf/S714bd987bfa64d9792593e4dab060124Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdc5f14d8f17b41efb14c29488bc45929n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se5df16aa622b408ebafdc1f12a6a428ef.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3eeed3666ca14348bfd679914ba9bbc44.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc5dc2c52ed2044a987d4f97d00eededeA.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806810207026.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-6&pdp_ext_f=%7B%22order%22%3A%2230031%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006996521778%22%2C%22orig_item_id%22%3A%221005009728430557%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.56%211.60%21%21%2130.94%2110.84%21%4021010c9a17764273619151585e1390%2112000038989459238%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ZXQxvVzjAbUc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006996521778%7C_p_origin_prod%3A1005009728430557
2pcs Metal Type-C Dust Plug USB Charging Port Protector Anti-dust Plug Cover Cap for Samsung Huawei Xiaomi Phone Dustplug Caps,$1.27 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf04eebaec9894b3d8516b44a41bbe223N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S30d4c2c18e1944528e4d3cd5e25b58750.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se65dbf591b5b43dc96efdf5a90117cf0M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e62c6f5b4204fba84f831dfc66fc172f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S75fc9f3fd08b4742909009aacc38631cC.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Charge Port For Type C', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808219764156.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-9&pdp_ext_f=%7B%22order%22%3A%2213430%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406078908%22%2C%22orig_item_id%22%3A%221005008202743154%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.54%211.27%21%21%2124.02%218.62%21%4021010c9a17764273619151585e1390%2112000044908189884%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=SRkacTDCca6a&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406078908%7C_p_origin_prod%3A1005008202743154
Silicone Dust Plugs Type C Charging Port Protector Stopper Cap for Iphone 15 Plus Pro Max Xiaomi Samsung Anti-Dust Plug Covers,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se39c3796bc98425ea595e794668c8895E.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb691713592fc4207846819be6eb30acaY.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6a3503e1a9884a0d9472b232c9845597B.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa5bedc9a4d2a4297a3428ce7c39b708dQ.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd82c928fd1dc4344a035051f48c02cd8x.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Charge Port For Type C', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808722543171.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-12&pdp_ext_f=%7B%22order%22%3A%229540%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008908857923%22%2C%22orig_item_id%22%3A%221005009031218261%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.03%210.99%21%21%2120.56%216.74%21%4021010c9a17764273619151585e1390%2112000047159530402%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=XIPBFU26Rpet&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008908857923%7C_p_origin_prod%3A1005009031218261
6PCS Charging Port Anti-Dust Dirt Dust Plug For iPhone Samsung USB Type-C Port Protector Silicone Dustplugs Cover Anti-Lost Cap,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S1393322b77b64a9ba159141c01276fbfZ.png?has_lang=1&ver=2_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd9b0075847a84cd4baff60d633f849e4o.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S03a2820ae5b44d1dac63ebd9305c26cdA.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S99b18e5bfe324fb59091490fc52f4cdab.png?has_lang=1&ver=2_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf3132695542b44c894c8b156f9040644Z.png?has_lang=1&ver=2_220x220.png_.avif","['Type', 'Charge Port Plug For iphone', 'Brand Name', 'Opansten', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806738440202.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-14&pdp_ext_f=%7B%22order%22%3A%228229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.89%211.41%21%21%2126.39%219.54%21%4021010c9a17764273619151585e1390%2112000038741050684%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=X6LBxnten09n&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006924754954%7C_p_origin_prod%3A
Charging Port Protector Anti-dust Plugs DIY Decoration Dust Plug for iOS Type C Micro Android Transparent Stopper Protective Cap,$5.26 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8b664246edf64144abc24c5a14d4c8b8c.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3f8c60b745a44a50a2b716c6182882004.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1b6fe49813724db0ab4cfbfbbba4ef66F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa7935ca223eb4ac4aef6df522b54a7a7A.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7c12ddaf28604da5b2e14c5016071344v.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808139306820.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-26&pdp_ext_f=%7B%22order%22%3A%227853%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.00%215.26%21%21%2161.11%2135.72%21%4021010c9a17764273619151585e1390%2112000044611149972%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=yeBHZMBk9cA3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008325621572%7C_p_origin_prod%3A
1pcs Cute Diamond Star Phone Dust plug Accessories Decoration Hanging Pendant for iPhone for Samsung Type-C Charging Port,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3dde9fcc20a74b658f5adfefad8c3ed5O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S28149d0ee0644fd0a72975599bc9677ew.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa79f39a407b44f9093102ad44650676cc.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12958eb877294cc6b68811260b63c819M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se983f9d5b01649ed964149cc05570ded2.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Charging Port Dust Plug', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808051077318.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-20&pdp_ext_f=%7B%22order%22%3A%226350%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.09%210.99%21%21%2114.20%216.74%21%4021010c9a17764273619151585e1390%2112000044330775728%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531385&curPageLogUid=H7PAxKV8CDBF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008237392070%7C_p_origin_prod%3A
1pcs Simple Flowers Phone Dust plug Accessories Decoration Hanging Pendant for iPhone for Samsung Type-C Charging Port,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sac0ae8823ba74a49b414c41188c8d4c9b.jpeg_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9cbfc2e8c0bb4134bf27238df600ee781.jpeg?has_lang=1&ver=2_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb969b1f8efb6445fbad3369299a5b491W.jpeg?has_lang=1&ver=2_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8a7f1ecf41d6417ca1b4fc61712649eff.jpeg?has_lang=1&ver=1_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7ef5857c63a54bacac4d1293888b063fA.jpeg_220x220q75.jpeg_.avif","['High-concerned chemical', 'None', 'Type', 'Charging Port Dust Plug', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808143211863.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-21&pdp_ext_f=%7B%22order%22%3A%226348%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.37%210.99%21%21%219.30%216.71%21%4021010c9a17764273619151585e1390%2112000044620513089%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531359&curPageLogUid=ROLjHkQ4SmD4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008329526615%7C_p_origin_prod%3A
Silicone Dust Plugs Type C Charging Port Protector Stopper Cap Cover for Iphone 17 16 15 Pro Max Samsung Xiaomi Anti-Dust Plug,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8de49bf88fff499ebbff4d3cf15cdc108.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfa26efdadf764648a3dc267c0ac7ba65x.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4c5617eca67b4f77aa68ff8e8e7c901eJ.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf215992ba36848ca9d3b99862b0fbf9dW.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se209a945fe654ee6b248abba077e5e0fS.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Charge Port For Type C', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806438833217.html?algo_pvid=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75&algo_exp_id=d7183a25-0456-4a68-9c4d-d1ae3c0b5a75-24&pdp_ext_f=%7B%22order%22%3A%226035%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.02%210.99%21%21%216.94%216.74%21%4021010c9a17764273619151585e1390%2112000037856370855%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac895eb22%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531359&curPageLogUid=9pl5JlSK40CE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006625147969%7C_p_origin_prod%3A
