Name,Price,Images,Details,product_link
FTTH Fiber Access Box SC Adapter with Pigtail Wall Mount 2120-T-1 Faceplate Wiring Enclosure,$1.52,"https://ae-pic-a1.aliexpress-media.com/kf/S862360c5e3664c058d98806f62e50c75M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S862360c5e3664c058d98806f62e50c75M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6fc57c6f40f947c5a74f7dfd6657c2636.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc06289935b674ab8b1619792e9eb5c03I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S84e237be141945e8a68c197e23ac85788.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '2120', 'Brand Name', 'NoEnName_Null', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809450995191.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-0&pdp_ext_f=%7B%22order%22%3A%22540%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.02%211.52%21%21%2113.71%2110.31%21%402140c1e917772139750345494ea536%2112000049720731304%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=DPPQteHzLBB3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009637309943%7C_p_origin_prod%3A
F3MA Keystone Port Mount Box Cat6 RJ45 Keystone Port Coupler Joiner for Cat6 Ethernet Networking Cable Installation Accesories,$2.47,"https://ae-pic-a1.aliexpress-media.com/kf/S2230564fa15a4ca8928c371725dbf6adx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7520c6e5b117455eabe9f1ce5a7368aef.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbb2e6f3cc8ba488c8d3feec3ca566a26J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S20fa70dc99044d8bb8757e5f54a4a940V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3d06e2b1ea40420399f1bb97d2e0cb8fP.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '4NB1404996', 'Brand Name', 'NoEnName_Null', 'Origin', 'Mainland China', 'Certification', 'NONE']",https://www.aliexpress.us/item/3256808703932893.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-1&pdp_ext_f=%7B%22order%22%3A%22280%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.12%212.47%21%21%2121.20%2116.81%21%402140c1e917772139750345494ea536%2112000047096799033%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=t9M2VeJ8PFMD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008890247645%7C_p_origin_prod%3A
B5XA RJ45 Cat6 Junction Box For Ethernet Networking Cable Connection Accessories,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sec32cad9a3f7491295ccf7921833d4efc.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfe7b62e4bc054c508b36e43d4f790529V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7bee747bc2974954a0560e901b3ca62bn.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2ddfa718bb39451b9342dafb8c862060J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sefffb993a4354b5f9471b6ee8ce032abY.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '4NB1404996', 'Brand Name', 'bcase', 'Origin', 'Mainland China', 'Certification', 'NONE']",https://www.aliexpress.us/item/3256808703685049.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-3&pdp_ext_f=%7B%22order%22%3A%22181%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.03%210.99%21%21%2120.61%216.73%21%402140c1e917772139750345494ea536%2112000047096205763%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537349&curPageLogUid=ufRPhfEeHrSQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008889999801%7C_p_origin_prod%3A
Best Seller Professional RJ45 Junction Box CAT6 Networking Connectors Desktop Extension Cable,$2.42,"https://ae-pic-a1.aliexpress-media.com/kf/S185473a30b31409ab951deb8daf5c1b2D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S46a5b807d7254fd785f008450ca00783I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S76091bb01c814822a6ddfd33551f858d6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42c7939f500843a4800e0ec5593764d4p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf58be5c78fab482bbb7be2185f07fb79P.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'X22B4NB1404996', 'Brand Name', 'ALITER', 'Origin', 'Mainland China', 'Certification', 'NONE']",https://www.aliexpress.us/item/3256809022121171.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-4&pdp_ext_f=%7B%22order%22%3A%22129%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.92%212.42%21%21%2119.86%2116.46%21%402140c1e917772139750345494ea536%2112000048311133809%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ENgqPgfL3Gup&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009208435923%7C_p_origin_prod%3A
"20pcs Diamond Lapping Film Knife Sharpening with self-adhesive backing, 22x150mm, #180 to #15000 Grite Size for Metal, Fiber",$27.05,https://ae-pic-a1.aliexpress-media.com/kf/Sc5b27d65ef2a47c2ba246d732fa4f25e7.jpg_220x220q75.jpg_.avif,"['High-concerned chemical', 'None', 'Model Number', 'Polishing', 'Brand Name', 'CICVCHC', 'Origin', 'Mainland China', 'Certification', 'NONE']",https://www.aliexpress.us/item/3256807988562821.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-2&pdp_ext_f=%7B%22order%22%3A%22126%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2129.00%2127.05%21%21%2129.00%2127.05%21%402140c1e917772139750345494ea536%2112000044111297019%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=AqWRA8fjeZAu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008174877573%7C_p_origin_prod%3A
2pcs 12 Core Optical Fiber Ribbon Cable-SC LC FC E2000 UPC APC Single mode G657A1 Branch kit Pigtail 2m 5m 10m,$40.54,"https://ae-pic-a1.aliexpress-media.com/kf/Sd33582cf99244348a8bc2b649a8815b2j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S20d671a1e92d44e59dc20e122bec16abN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1ead1b23ff6846c7b37bf70e02649a0cU.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S13f1ea8f9fce4b3f83931cacac75f3f1z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf1e3403f711c4349b5380a01749ded5ft.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'Ribbon Fiber', 'Brand Name', 'CICVCHC', 'Origin', 'Mainland China', 'Certification', 'NONE']",https://www.aliexpress.us/item/3256808000597221.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-5&pdp_ext_f=%7B%22order%22%3A%22108%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2143.20%2140.54%21%21%2143.20%2140.54%21%402140c1e917772139750345494ea536%2112000046614964079%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=TfWw7YwFXNE8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008186911973%7C_p_origin_prod%3A
"AMPCOM LC Screwless Embedded Wall Mount Fiber Enclosure with Couplers and Pigtails,Multimode/Singlemode,4/8 Ports,12/16-Core",$26.05,"https://ae-pic-a1.aliexpress-media.com/kf/S46dc44c92fb84ee9ba092de27bebb40ex.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S409622a16e2848fa96eea319a695705dj.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb5f71c66e9c1472f9243d528e7866f0aG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8dd728fe0ff94853acea6eed0fb60ce29.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7331df7fdc8144b28bb178eb917ab964A.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '4 Port / 8 Port', 'Brand Name', 'AMPCOM', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS', 'Installation Type', 'Wall-mounted', 'Material', '1.0mm Powder-Coated Steel Plate', 'Product Features', 'With Couplers and OM3 Pigtails']",https://www.aliexpress.us/item/3256808522940399.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-8&pdp_ext_f=%7B%22order%22%3A%2263%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2153.10%2126.05%21%21%21361.22%21177.21%21%402140c1e917772139750345494ea536%2112000046338978171%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=4D09TfhKSS6r&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008709255151%7C_p_origin_prod%3A
4 Ports FTTH Fiber Optic Terminal Box Full With Adapter SC LC 4 Ports Fiber Optical Patch Panel（flange and pigtail optional）,$11.34,"https://ae-pic-a1.aliexpress-media.com/kf/S24e1ca2ff4f94a3bbdd3ef2078a5080cy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S24e1ca2ff4f94a3bbdd3ef2078a5080cy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfd99409b5ecb42e68020a08451dbaa20F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdbd9ecbfe1df45098d762dbc390d0c14w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S33ad62e3d5a844a3bd8ccc51187b9219J.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'The 4 port fiber', 'Brand Name', 'NoEnName_Null', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807282939520.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-6&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.84%2111.34%21%21%2180.57%2177.17%21%402140c1e917772139750345494ea536%2112000040882815701%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=N0Ma1oqOLYLo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007469254272%7C_p_origin_prod%3A
"2pcs 12 Fibers MPO-LC Cassettes with SM, OM3, OM4, Aluminum shell, Removable panel",$52.00,https://ae-pic-a1.aliexpress-media.com/kf/Sc66f5bbdbb6a48faa8ed5155a5281f30p.jpg_220x220q75.jpg_.avif,"['High-concerned chemical', 'None', 'Model Number', 'Panel', 'Brand Name', 'CICVCHC', 'Origin', 'Mainland China', 'Certification', 'NONE']",https://www.aliexpress.us/item/3256807992411121.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-10&pdp_ext_f=%7B%22order%22%3A%2256%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2152.50%2152.00%21%21%2152.50%2152.00%21%402140c1e917772139750345494ea536%2112000044129445635%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=cPptZgc41eDG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008178725873%7C_p_origin_prod%3A
2cores Optical Fiber Splice Box 2Port Fiber Covered Wire Cable Box FTTX FTTH 2 Core Fiber Optic Termination Box,$4.48,"https://ae-pic-a1.aliexpress-media.com/kf/S660589bf9ec34db9883f52fe38c04b48U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8e99561eb7ad467380b0f4de898f040eP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf0d6f6977fdf4086b1eeb7aaddf5322fs.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4bf84eee3ab34afa8a606ad92f7e15bbf.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '2 core fiber box', 'Brand Name', 'BLHLI', 'Origin', 'Mainland China', 'Certification', 'FCC', 'Material', 'ABS', 'Appearance size(mm)', '106*84*25', 'Quantity', '1PCS']",https://www.aliexpress.us/item/3256804123957395.html?algo_pvid=9ab5165c-5014-4b36-8bd7-8303ab1c417b&algo_exp_id=9ab5165c-5014-4b36-8bd7-8303ab1c417b-12&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.98%214.48%21%21%214.98%214.48%21%402140c1e917772139750345494ea536%2112000028707372840%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=GoVnPws1QJ6d&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004310272147%7C_p_origin_prod%3A
