Name,Price,Images,Details,product_link
ZoeRax FC SC ST LC Male to Female Fiber Optic Connector FTTH Singlemode Adapter for Visual Fault Locator Optical Power Meter,$1.46 ,"https://ae-pic-a1.aliexpress-media.com/kf/S22738421a16f4a6b935af829ced27940E.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S349609148f014fe2b9b0d414ad60771a2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3c0e2cc4cf4f434b8b902694085916ebq.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S783cd1c899104630a0f55cc14019f7989.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa2a7af93bf6e457d80f1a0eb04c37e75Z.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'S9', 'Brand Name', 'ZoeRax', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808722758301.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-0&pdp_ext_f=%7B%22order%22%3A%224663%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008909073053%22%2C%22orig_item_id%22%3A%221005008684771340%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.46%211.46%21%21%2130.32%219.94%21%402141122217773078672333462ed065%2112000047159619143%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=KGEut1qcGQLb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008909073053%7C_p_origin_prod%3A1005008684771340
ZoeRax 10PCS SC APC Embedded Optic Fiber Quick Connector for FTTH Reusable Fusion Fiber Optical Cold Adapter Connect Tool,$5.09 ,"https://ae-pic-a1.aliexpress-media.com/kf/S765522aeb213418f9d31caf248ab5bc2e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2a1e38d965884500ab49fc286bfb3131N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb033b36f100d4669ad514a0ff058dd0f4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S151c04d972104f80b1279e8c14a88868p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3ffffcdeb5ea4a76bd943e2c1d55e17eE.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'LZM1-SCAPC', 'Brand Name', 'ZoeRax', 'Origin', 'Mainland China', 'Certification', 'FCC,RoHS']",https://www.aliexpress.us/item/3256811827615985.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-9&pdp_ext_f=%7B%22order%22%3A%221315%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012013930737%22%2C%22orig_item_id%22%3A%221005008571430043%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.18%215.09%21%21%2175.98%2134.59%21%402141122217773078672333462ed065%2112000057287206789%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=QrbWAJly7d8v&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012013930737%7C_p_origin_prod%3A1005008571430043
ZoeRax OM4 LC to LC Fiber Patch Cable 10Gb Multi-Mode Jumper Duplex 50/125μm LSZH for MMF SFP SFP+ Transceiver,$4.04 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2044f68a57754eab9f26497e0a5c9c444.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se19d1fc22f5442b39b9273359f438f39c.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5b00145660b14b409bf2268f394c019d4.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S07dc959ae8354a3496bae7ee774a798d7.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3fa6471733034f708e4dac3d911d33522.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'OM4', 'Brand Name', 'ZoeRax', 'Origin', 'Mainland China', 'Certification', 'CE']",https://www.aliexpress.us/item/3256809274164965.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-5&pdp_ext_f=%7B%22order%22%3A%22922%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005009460479717%22%2C%22orig_item_id%22%3A%221005008561625494%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.67%214.04%21%21%2165.72%2127.49%21%402141122217773078672333462ed065%2112000049174381827%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=TMe7c3a3SLTG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009460479717%7C_p_origin_prod%3A1005008561625494
ZoeRax OM3 Fiber Optic Patch Cable (Carrier grade) LC UPC to LC UPC Duplex 3.0mm 50/125μm 10Gbps Multimode Riser (LSZH),$4.45 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sabb6271913094474969da77450eba832l.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S45ae51cf7a3f49569d9f033a7313ab97K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7bc3db21797f46698ae92fd07f359c19U.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f8afdf4f2514f31ab89e674a73b0d28i.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S15685cd56790434a9171708e020975e1D.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'PATCHCORD', 'Brand Name', 'ZoeRax', 'Origin', 'Mainland China', 'Connector type', 'LC-LC Duplex (Dual LC Connectors)', 'Fiber type', '50/125μm OM3 Multimode Fiber (Laser-Optimized Multimode Fiber)', 'Operating wavelength', '850 nm & 1300 nm']",https://www.aliexpress.us/item/3256808061681146.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-6&pdp_ext_f=%7B%22order%22%3A%22907%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008247995898%22%2C%22orig_item_id%22%3A%221005006990343664%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.53%214.45%21%21%2171.54%2130.22%21%402141122217773078672333462ed065%2112000044371200768%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=E7gURTN8gNE8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008247995898%7C_p_origin_prod%3A1005006990343664
ZoeRax OM3 Fiber Optic Patch Cable (Carrier grade) LC UPC to LC UPC Duplex 3.0mm 50/125μm 10Gbps Multimode Riser (LSZH),$5.07 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sabb6271913094474969da77450eba832l.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S45ae51cf7a3f49569d9f033a7313ab97K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7bc3db21797f46698ae92fd07f359c19U.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f8afdf4f2514f31ab89e674a73b0d28i.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S15685cd56790434a9171708e020975e1D.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'PATCHCORD', 'Brand Name', 'ZoeRax', 'Origin', 'Mainland China', 'Connector type', 'LC-LC Duplex (Dual LC Connectors)', 'Fiber type', '50/125μm OM3 Multimode Fiber (Laser-Optimized Multimode Fiber)', 'Operating wavelength', '850 nm & 1300 nm']",https://www.aliexpress.us/item/3256806804028912.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-7&pdp_ext_f=%7B%22order%22%3A%22861%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.40%215.07%21%21%21118.20%2134.42%21%402141122217773078672333462ed065%2112000038968844839%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=qUdO7y8ASJxq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006990343664%7C_p_origin_prod%3A
ZoeRax OM4 LC to LC Fiber Patch Cable 10Gb Multi-Mode Jumper Duplex 50/125μm LSZH for MMF SFP SFP+ Transceiver,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2044f68a57754eab9f26497e0a5c9c444.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se19d1fc22f5442b39b9273359f438f39c.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5b00145660b14b409bf2268f394c019d4.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S07dc959ae8354a3496bae7ee774a798d7.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3fa6471733034f708e4dac3d911d33522.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'OM4', 'Brand Name', 'ZoeRax', 'Origin', 'Mainland China', 'Certification', 'CE']",https://www.aliexpress.us/item/3256808375310742.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-8&pdp_ext_f=%7B%22order%22%3A%22851%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.38%210.99%21%21%2163.72%216.72%21%402141122217773078672333462ed065%2112000045732286498%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=FkQUN1KaEm3k&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008561625494%7C_p_origin_prod%3A
Natalink SC Fiber Optic Coupler SC Female to SC Female APC Simplex Single Mode Fiber Optical Adapter Network Internet Connector,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2ae62c1cd530496095340270e5f31115h.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S804f46a219e041eb84c7441e3b9b3662T.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1c2f0db9aeb24d6d96e89141520508e9r.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb944c2e4b57c45da8737cbf8bca3a9c5M.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f6006e3f84b46e687744ad25dfe55354.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'S9--SCAPCD-010', 'Brand Name', 'NATALINK', 'Origin', 'Mainland China', 'Connector A', 'Fiber Optic SC/APC Female', 'Connector B', 'Fiber Optic SC/APC Female', 'Working temperature', '-25℃±70℃', 'Storage temperature', '-40℃±80℃', 'Plug Repeatability', '≥1000times', 'Interchangeability', '≤0.2dB', 'Insertion loss', '≤0.2dB', 'Echo loss', '≤40 dB']",https://www.aliexpress.us/item/3256808604658573.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-10&pdp_ext_f=%7B%22order%22%3A%22818%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.62%210.99%21%21%211.62%210.99%21%402141122217773078672333462ed065%2112000046675737644%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531395&curPageLogUid=VLSxIlYj4vEG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008790973325%7C_p_origin_prod%3A
Natalink SC APC Embedded Optic Fiber Quick Connector for FTTH Reusable Fusion Fiber Optical Cold Coupler Adapter Connect Tools,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S89a218f336ca47fab1481f24db988811Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S25401fd1522a4e5bab13143079d1f5adG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S23ac5673f9224e0fb8991f9b242f94c55.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc4431e886cba4cf4a03ef7ae99e372bfN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4cdbaef44e26410c8516f60ced5787aeP.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'LZM1-SCAPC', 'Brand Name', 'NATALINK', 'Origin', 'Mainland China', 'Product name', 'embedded fiber cold connector', 'Product type', 'APC', 'Insertion loss', '≤3.0dB', 'Interchangeability', '≤0.2dB', 'Repeatability', '≤0.1dB', 'Durability', '≤0.2dB (1000 times mating)', 'Wavelength', '1200nm~1600nm', 'Optical cable', '2*3 butterfly optical cable', 'Humidity', '≤0.2dB (+25+65 93 R.H.100 hours)', 'Plug material', 'ceramic plug', 'Operating temperature', '-40°c+75°c']",https://www.aliexpress.us/item/3256808121394438.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-11&pdp_ext_f=%7B%22order%22%3A%22738%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.46%210.99%21%21%215.46%210.99%21%402141122217773078672333462ed065%2112000044612178525%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531395&curPageLogUid=SuXS9nwpcIVE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008307709190%7C_p_origin_prod%3A
1Pcs Fiber Optic APC/UPC FC/LC/SC/ST Male/Female to UPC LC/SC/FC/ST Female Adapter Single-mode Converter Hybrid Connector,$2.96 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3f9a972f6ae948219b5c52eacc0469c9B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfe3545806cef41ff9d34d5e6cb99a89bd.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6bf1ea4620bf48769d40faff76f366bfe.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb3da2d037a6c44b8a200bee8c4f93ae28.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S004508e12e9749de9e875bb367f7d357v.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'None', 'Brand Name', 'LYNNDM', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806659902652.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-14&pdp_ext_f=%7B%22order%22%3A%22689%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.69%212.96%21%21%2165.85%2120.14%21%402141122217773078672333462ed065%2112000038509380896%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=JxYEiC1lqZoi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006846217404%7C_p_origin_prod%3A
For NAC3FCA NAC3FCB NAC3MA 3Pin Powercon Connector 20A 250V Power Male Plug Adapter for Stage Light LED Screen Audio Equipment,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sed7ef5ff1fd242b0ab7a56393f967d88k.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5c3f93c08c6d4d16abfe329a9fb3303d0.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se7d0d1d726994d54831da8aedb309bfaR.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S287cc73b9ad34a9e9a69e7399f45ce5eB.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S545b138a7aba49609b1a1ef780cc040a4.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '1', 'Brand Name', 'BAPPSUS', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809631538483.html?algo_pvid=76807369-183e-42f0-afc6-8a7f3337234c&algo_exp_id=76807369-183e-42f0-afc6-8a7f3337234c-12&pdp_ext_f=%7B%22order%22%3A%22566%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.79%210.99%21%21%2166.50%216.72%21%402141122217773078672333462ed065%2112000050266134956%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A83e52508%3Bm03_new_user%3A-29895%3BpisId%3A5000000203531301&curPageLogUid=CanBSdPiPaY8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009817853235%7C_p_origin_prod%3A
