Name,Price,Images,Details,product_link
433MHz LLCC68 LoRa 470MHz Wireless Module 22dBm Long Range 5km CDEBYTE E220-400T22D SMA-K UART RSSI Transmitter Receiver SEMTECH,$4.67 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sbf7d8a99dc81458ea33bc25aaddc8332t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbf7d8a99dc81458ea33bc25aaddc8332t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sce49831fd15f44948673f75a03b8ed43F.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S275e50c55a154a748ed49bd2ed449363O.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb0ce023c2dd246d78ac243078be080f35.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'E220-400T22D', 'Working Frequency', '433MHz', 'Brand Name', 'CDEBYTE', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS', 'IC', 'LLCC68', 'Working Frequency', '410.125~493.125MHz', 'Power', '22dBm', 'Distance', '5km', 'Size', '21*36mm', 'Antenna Type', 'SMA-K', 'Communication Interface', 'UART']",https://www.aliexpress.us/item/3256801905005600.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-0&pdp_ext_f=%7B%22order%22%3A%221451%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.88%214.67%21%21%215.88%214.67%21%402141131717772807418125345eef06%2112000018711741545%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=k73jPHt23MRM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002091320352%7C_p_origin_prod%3A
LoRa 868MHz 915MHz LLCC68 Wireless Module 22dBm Long Range 5km CDEBYTE E220-900T22D SMA-K UART RSSI Transmitter Receiver DIP,$5.67 ,"https://ae-pic-a1.aliexpress-media.com/kf/S70f576ab043e4905b32d06c170d6f9bdy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S70f576ab043e4905b32d06c170d6f9bdy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0df8cfcb34904e4da77b284d1bfe475dL.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1accd68c5de9447fac8c510c867a4b5fN.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd611d786f1cc43afaac92d58fb70a44er.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'E220-900T22D', 'Working Frequency', '868MHz 915MHz', 'Brand Name', 'CDEBYTE', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS', 'IC', 'LLCC68', 'Working Frequency', '850.125~930.125MHz', 'Power', '22dBm', 'Distance', '5km', 'Size', '21*36mm', 'Communication Interface', 'UART', 'Antenna Type', 'SMA-K', 'Package Type', 'DIP']",https://www.aliexpress.us/item/3256801930604432.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-1&pdp_ext_f=%7B%22order%22%3A%22661%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.01%215.67%21%21%217.01%215.67%21%402141131717772807418125345eef06%2112000018795984638%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=tGEeeZF3Jzr3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002116919184%7C_p_origin_prod%3A
Lora 170/230/433/470/868/915M RF Transceiver Module CDSENT E22-T Series Long Range 20-37dBm UART DIP SMD Serial Port Module,$10.20 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se04ca00c641d4072943de79c7716bb65t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se04ca00c641d4072943de79c7716bb65t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3386a44f71664c998c36c58a328c74f7W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S546671ef265f46d5b13ae0f42e5ef9c9p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7396ad3235eb4e91b9422e30eaa22a91a.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Brand Name', 'CDSENET', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809554199416.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-2&pdp_ext_f=%7B%22order%22%3A%22631%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.59%2110.20%21%21%2112.59%2110.20%21%402141131717772807418125345eef06%2112000050007744139%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=XP7YsRHzLVye&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009740514168%7C_p_origin_prod%3A
RS485 to Ethernet Serial Server CDEBYTE NA111-M DC 8～28V RS485 RJ45 TCP/UDP MQTT Small Size Modbus Industrial Grade AT Command,$12.52 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8136da5969c7425f96a2e114f5335133q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S25404e461e2443b4976a80d312a9857dz.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1ab3e24b114d4658b67a7b348543698eE.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sde77bc01d88b41158452ae8d80e5da9ag.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S95aaa5edc20a464f8239407a7e6a7b73l.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'NA111-M', 'Working Frequency', 'RS485 RJ45', 'Brand Name', 'CDEBYTE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808047419434.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-3&pdp_ext_f=%7B%22order%22%3A%22597%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.79%2112.52%21%21%2114.79%2112.52%21%402141131717772807418125345eef06%2112000044318662643%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=LzLTWmKr33zr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008233734186%7C_p_origin_prod%3A
RS485 RJ45 Analog Switch Acquisition Distributed Remote IO Module Host Expansion CDEBYTE M31 Series Modbus TCP/RTU PNP NPN,$23.82 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9db5e5249bdb40a09ca1fe5d3e6f02aeb.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9db5e5249bdb40a09ca1fe5d3e6f02aeb.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S729f7fdb2587445c80868172b901b863Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb018c02eaa4341778c12c82737012a2an.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf5156d3a6afe4e2d94419d15c47d06996.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'M31 Host Module Expansion Module', 'Brand Name', 'CDEBYTE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808906750123.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-5&pdp_ext_f=%7B%22order%22%3A%22525%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2127.95%2123.82%21%21%2127.95%2123.82%21%402141131717772807418125345eef06%2112000047888805956%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ZoKtx3U8fF3Y&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009093064875%7C_p_origin_prod%3A
LoRa Wireless Module 170/230MHz CDEBYTE E22 UART Series 22/30/33/37dBm Long Distance 5-25km SMA-K DIP SMD LoRa Module,$3.45 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf502ac17f41f4cb3af9198b320f43376z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf502ac17f41f4cb3af9198b320f43376z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc25308cc916545a6aedde0bcf87f38e9D.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sccefbbd239f6404a835a1dcd0162b8bbg.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9ba535dfb5a344ae9462919bf7c416d0u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'E22-T Series', 'Brand Name', 'CDEBYTE', 'Origin', 'Mainland China', 'Certification', 'NONE', 'Type', 'LoRa Module', 'Operating temperature', '-40℃-85℃']",https://www.aliexpress.us/item/3256808853087004.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-6&pdp_ext_f=%7B%22order%22%3A%22458%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.49%213.45%21%21%214.49%213.45%21%402141131717772807418125345eef06%2112000052605924255%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=jQnRjR10AReN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009039401756%7C_p_origin_prod%3A
LLCC68 New LoRa 868 915 MHz Wireless Module 30dBm Long Range 10km RSSI CDSENET E220-900T30D SMA-K UART,$7.72 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf4b1be8ac2534c2aba6745f7078a38caM.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2caee06927524eea8017561f01f861574.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc49f97544ae14c988cff2e1aa514c7f0c.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2ed1e90b04b14922b2bb2dab969c01e5M.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc960e657b4e24addab672957bf1f76faE.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Type', 'CDMA', 'Model Number', 'E220-900T30D', 'Port Number', '1', 'Working Frequency', '868MHz 915MHz', 'Brand Name', 'CDSENET', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS', 'IC', 'LLCC68', 'Working Frequency', '850.125~930.125MHz', 'Power', '30dBm', 'Distance', '10km', 'Size', '24*43mm', 'Communication Distance', 'UART', 'Package Type', 'DIP', 'Antenna Type', 'SMA-K']",https://www.aliexpress.us/item/3256802873385412.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-7&pdp_ext_f=%7B%22order%22%3A%22455%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.67%217.72%21%21%219.67%217.72%21%402141131717772807418125345eef06%2112000023668705905%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=HxxF3ITaHNrv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003059700164%7C_p_origin_prod%3A
Distributed Remote IO Module Series RS485 RJ45 Analog Switch Acquisition COJXU M31 Host Expansion Module Modbus Free Splicing,$23.42 ,"https://ae-pic-a1.aliexpress-media.com/kf/S918cdfb7e22a4e1d9184431913758d25g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S918cdfb7e22a4e1d9184431913758d25g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb5f317859cd946268d04e36296d2185an.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S04c160ed9e0942cda1919620955a1cd1q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scec6584fded54767b03c04565bcffbe0L.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'M31 Series', 'Brand Name', 'cojxu', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806167035057.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-8&pdp_ext_f=%7B%22order%22%3A%22411%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2127.49%2123.42%21%21%2127.49%2123.42%21%402141131717772807418125345eef06%2112000048018096139%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=JUgrYMyLnAMd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006353349809%7C_p_origin_prod%3A
SX1262/SX1268 LoRa Spread Spectrum 433/868/915MHz Wireless Module CDEBYTE E22P Series Built-in PA+LNA+SWA ESD 30dBm 12KM SPI,$9.83 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd1453a593d934cfabc3bc8cba0e32640r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd1453a593d934cfabc3bc8cba0e32640r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S638d48bf5cac4831b387fb16bd7b4648m.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S08d92f7d31644008acb61a221a36a524C.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd047aa99c44b452f913aecf7da864f72I.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Module', 'Model Number', 'E22P Series', 'Brand Name', 'CDEBYTE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809607510227.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-9&pdp_ext_f=%7B%22order%22%3A%22408%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.74%219.83%21%21%2111.74%219.83%21%402141131717772807418125345eef06%2112000050182570500%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=WuMCqwv5SDv4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009793824979%7C_p_origin_prod%3A
Long Range LoRa 915MHz RF Module CDEBYTE E32-900T30D 1W 915 MHz Wireless Transceiver iot Transmitter Receiver,$9.55 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3d882061ed5246cfa7e684e0655848c99.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6bf92e23793e4a1196c8bb9845f58832v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S25c61b06b1e84655b897eeddb55c2919M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7da27ab3174543c18917f9c99fe31994u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3987909074b84324bf01d715cafea616F.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Wireless Module', 'Model Number', 'E32-915T30D', 'Port Number', '1', 'Working Frequency', '900~931 MHz', 'Brand Name', 'CDSENET', 'Origin', 'Mainland China', 'Certification', 'FCC', 'Working Frequency', '915MHz', 'RF connector', 'DIP', 'Interface', 'UART', 'Is_customized', 'yes', 'Place of origin', 'CN']",https://www.aliexpress.us/item/3256801319832339.html?algo_pvid=34a042bd-5764-48a5-913b-efe53e2677a5&algo_exp_id=34a042bd-5764-48a5-913b-efe53e2677a5-10&pdp_ext_f=%7B%22order%22%3A%22385%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.82%219.55%21%21%2111.82%219.55%21%402141131717772807418125345eef06%2112000016386817116%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc6dc3a5%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=fy1fJT7g0vkh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001506147091%7C_p_origin_prod%3A
