Name,Price,Images,Details,product_link
"NNBILI 100W USB C 120W USB A charging cables with LED display screen, USB C=C-C，USB A=A-C,not for Xiaomi iPhone Samsung",$2.75 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se118a8ef32564d4e970a3a4e72a2a072v.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5740e04878e540649749a493819a772bl.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc09d7fbd61384cf782c41610fa27b4e8u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S723e5249c81e44eaba7cd2ff4b3ee738U.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S921bb1136ef7455aaded1dd843a63e59E.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Maximum Current', '6A', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'Yes', 'Brand Name', 'NNBILI', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256807120409642.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-0&pdp_ext_f=%7B%22order%22%3A%22289124%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007306724394%22%2C%22orig_item_id%22%3A%221005006923559036%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.60%212.75%21%21%2137.94%2118.59%21%402102eaa317762887142284565e6764%2112000040177473046%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895&curPageLogUid=Vn6hMcODEyup&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007306724394%7C_p_origin_prod%3A1005006923559036
USB To Type-C Adapter 10A OTG USB 3.0 Type C Male To USB Female Converter Fast Charging Data Transfer For Macbook iphone Samsung,$1.27 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se672f37188054223b953c776e7eb2d64X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8053821768d5451d87084139a943f4beR.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5c65fa44e58444c2baf287fdcb4e6a8bN.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7ae8b3aadcd04474a722dae8707afed9u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf911f06aaa634d2fa3ea01ea3a8ce7dfP.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Other', 'Maximum Current', '6A', 'Features', 'OTG', 'Has Retail Package', 'Yes', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS']",https://www.aliexpress.us/item/3256807803091520.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-3&pdp_ext_f=%7B%22order%22%3A%22175294%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007989406272%22%2C%22orig_item_id%22%3A%221005007950502606%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.71%211.27%21%21%2118.40%218.65%21%402102eaa317762887142284565e6764%2112000043173772944%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895&curPageLogUid=LvHtqJgRNtS1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007989406272%7C_p_origin_prod%3A1005007950502606
"USB Type C to USB C data cable and fast charging charger cable, suitable for Xiaomi and Samsung Type-C data cables",$4.02 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf7fa8ba071f54a7fa2a55fd04e31fccdE.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S63ef10b3d4314f95bf7db822e7cbfc262.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6bd1897a86d24fb1a7ea3112c44688170.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf2a82972bbb446e2a89438b41f6d42eaa.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S542358c4f7cc48d49546e83d3425ca799.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Other', 'Maximum Current', '5A', 'Features', 'Fast Charge Cable', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806779879995.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-16&pdp_ext_f=%7B%22order%22%3A%22122491%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006966194747%22%2C%22orig_item_id%22%3A%221005010553866271%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.37%214.02%21%21%2156.76%2127.24%21%402102eaa317762887142284565e6764%2112000038883248575%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895&curPageLogUid=i6hdluet0RlC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006966194747%7C_p_origin_prod%3A1005010553866271
120W Type C To Type C Cable PD Super Fast Charging Data Cord For iphone Samsung Xiaomi OPPO USB-C Mobile Phone Cable Accessories,$2.55 ,"https://ae-pic-a1.aliexpress-media.com/kf/S0595497724f942b98f2f49e73a0585b94.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S49fa9d0a4ded497996c4c8a0fee52d6e4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S120ed5db06fe469a94ed0402330441b0u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3a975deaf32646a68ec79f941c7fd780N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc15a2bbb08e341e883aab8c6af953f1fm.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Maximum Current', '6A', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'Yes', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS', 'Feature 1', 'USB Type-C Cable,USB Cable', 'Feature 2', 'Charging for Type C', 'Feature 3', 'USB Type C USB Fast Charging Cable', 'Feature 4', 'Type C Cable', 'Feature 5', 'usb c cable/fast charging cable type c', 'Feature 6', 'fast charging cable type c', 'Feature 7', 'USB C Cable', 'Feature 8', 'For Phone Charging Cable']",https://www.aliexpress.us/item/3256806984843682.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-20&pdp_ext_f=%7B%22order%22%3A%22109482%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007171158434%22%2C%22orig_item_id%22%3A%221005011827893947%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.10%212.55%21%21%2134.60%2117.30%21%402102eaa317762887142284565e6764%2112000039691412674%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895&curPageLogUid=P9SJAqbv7ohU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007171158434%7C_p_origin_prod%3A1005011827893947
120W PD Type C Cable Super Fast Charger Cord Quick Charge USB C Cables Phone Charger For Samsung Xiaomi Huawei,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9a54e2e81f2047659f5a9c115a9c3ee5M.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa648a8aa69ce45a8af98c9bd2d2ceaf1l.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9e864107197042879068157c284ef423A.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf11d4d5dabd7454783e6e53d382fc8f3c.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3b251329a6ca4d2fa0f1e51e0075a0133.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Connector B', 'Type-C', 'Connector A', 'Type-C', 'Maximum Current', '6A', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'No', 'Brand Name', 'GTWIN', 'Origin', 'Mainland China', 'Certification', 'CE']",https://www.aliexpress.us/item/3256805982825905.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-21&pdp_ext_f=%7B%22order%22%3A%22108700%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.24%210.99%21%21%2142.33%216.77%21%402102eaa317762887142284565e6764%2112000036090225619%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537323&curPageLogUid=LLxx2ARmzsLD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006169140657%7C_p_origin_prod%3A
Baseus USB Type C To USB C Cable For iPhone 17 16 100W/5A PD Fast Charging Charger Cord For Macbook Xiaomi Samsung Type-C Cable,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S0c8788b5cc0b489bb1a1d1941d35b10dG.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc005cda65a6d42538782c30c8f9a1223r.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5eadab985fc74c058d2dedd38ce0b0b2e.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S346e52a5223d43148d77d3757f0c044fH.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S03ad5efa99c445b886604c44d6f89d9fN.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Maximum Current', '5A', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'Yes', 'Brand Name', 'BASEUS', 'Origin', 'Mainland China', 'Certification', 'CE,RoHS']",https://www.aliexpress.us/item/3256805726279896.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-24&pdp_ext_f=%7B%22order%22%3A%22106819%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.68%210.99%21%21%2152.06%216.73%21%402102eaa317762887142284565e6764%2112000034818391156%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537323&curPageLogUid=lECm86LgS2kB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005912594648%7C_p_origin_prod%3A
TYPE C to Type C Color Cable For Apple iPhone16 PD 60W Fast Charging For Huawei Xiaomi Samsung Type C Weaving Cable Accessories,$3.16 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9069ac4e747d453f83caacc5b10dc8efK.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9069ac4e747d453f83caacc5b10dc8efK.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6cbf148314dd41f39955ee9006c0188a1.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9e4827f80eef4c40bf06bb4802a8de94J.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb25c7bfa13604e7aa555780d6d3483487.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'No', 'Brand Name', 'GeydrQ', 'Origin', 'Mainland China', 'Certification', 'CE', 'Material Quality', 'Nylon weaving', 'Function', 'Fast Charging And Data Transmission', 'Maximum Current', '5v3a 9v2a,3A']",https://www.aliexpress.us/item/3256807121935689.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-34&pdp_ext_f=%7B%22order%22%3A%2277355%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007308250441%22%2C%22orig_item_id%22%3A%221005009793185809%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.33%213.16%21%21%2142.92%2121.46%21%402102eaa317762887142284565e6764%2112000040185950070%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895&curPageLogUid=qFtLvoEzBkKA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007308250441%7C_p_origin_prod%3A1005009793185809
30W PD Fast Charging Cable for iPhone 14 13 12 mini 11 Pro XS Max XR X 8 7 Plus SE Cable 1m 1.5m 2m 3m,$2.00 ,"https://ae-pic-a1.aliexpress-media.com/kf/S7c867c256106439fa3497cb615facf06R.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Seeb7b8e34212427ca131976c09f27305R.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6bf77c2578284c708a645407b2623213M.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6e76686f407c42439eee80ecfc691ee56.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4d1affc2f63d43d4981b3fe075083698M.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Material', 'TPE/TPU', 'Maximum Current', '3A', 'Features', 'Fast Charge Cable', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807353557155.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-45&pdp_ext_f=%7B%22order%22%3A%2269958%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007539871907%22%2C%22orig_item_id%22%3A%221005010564540637%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.45%212.00%21%21%2130.14%2113.56%21%402102eaa317762887142284565e6764%2112000041213336061%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895&curPageLogUid=uJok6SEbkyeG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007539871907%7C_p_origin_prod%3A1005010564540637
"NNBILI 120W A-C and C-C Phone Super Fast Charging Cable with LED display screen, not compatible Xiaomi iPhone、 Samsung",$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd0f31d0e4dc9473388d50120bba5ca84F.png?has_lang=1&ver=2_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S23ba17f3f2454ab1b218b9487688633aU.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S63b05e2e34b14d36ac8d8d364b0d762ci.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se7499ec311c94e09bc757b1dc1cba30f0.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa75c3acd05124680983e65e472df683fS.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Maximum Current', '6A', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'Yes', 'Brand Name', 'NNBILI', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256810314306960.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-47&pdp_ext_f=%7B%22order%22%3A%2268227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.90%210.99%21%21%2146.80%216.73%21%402102eaa317762887142284565e6764%2112000052605890058%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537367&curPageLogUid=NJHOdHHvNUtv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010500621712%7C_p_origin_prod%3A
Original PD 60W Fast Charger 6A USB C to Type C Cable For iPhone 15 16 17 Pro MAX Quick Charging For Samsung S26 Xiaomi Cable,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4c7795b14ec9494bb65bd24e0be388a5X.png?has_lang=1&ver=1_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se4c4d8a791eb4d319f2b90ef54bb5c79E.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6270f7ffd821484fbe574871533bdf6eO.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S263038efe9844947b2d1adafde1866c8q.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9d1e52504f2d49bfa18b262b70d76978S.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Braid', 'Maximum Current', '6A', 'Features', 'Fast Charge Cable', 'Has Retail Package', 'Yes', 'Brand Name', 'NNBILI', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS', 'Input voltage and current', '20V/3.25A Max', 'output voltage and current', '20V/3.25A Max', 'Output Power', '65W Max', 'Compatible Power', '60W/45W/35W/25W/20W/18W']",https://www.aliexpress.us/item/3256805949121880.html?algo_pvid=8c754415-55d4-4a60-aced-979c7e84f74d&algo_exp_id=8c754415-55d4-4a60-aced-979c7e84f74d-49&pdp_ext_f=%7B%22order%22%3A%2267274%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.43%210.99%21%21%219.72%216.74%21%402102eaa317762887142284565e6764%2112000050603072151%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A37a8c011%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537307&curPageLogUid=3ZN3GE44yHDD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006135436632%7C_p_origin_prod%3A
