Name,Price,Images,Details,product_link
Charging Port Flex Cable for iPhone 11 12 13 Pro Max Mini Black White USB Charger Dock Connector with Microphone Repair (1PC),$4.90 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sa28d945dccf54af68bb2504a46027841m.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5ec1c48283c7410da463a94473ee2b24W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4df799c986e44586bfdbad18e6d02ce99.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5b1b115032074954ab4f5764caf020c7V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3933787be79d476b9781339895a2a028k.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', '11/12/13', 'Use', 'USB Charging Dock', 'Certification', 'NONE', 'Origin', 'Mainland China', 'Compatible iPhone Model', 'iPhone12']",https://www.aliexpress.us/item/3256810573208777.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-1&pdp_ext_f=%7B%22order%22%3A%225628%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010759523529%22%2C%22orig_item_id%22%3A%221005009708240138%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.80%214.90%21%21%2173.32%2133.27%21%402101e2b417769436790897225e1551%2112000053415948850%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ZOejqWviM9Pu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010759523529%7C_p_origin_prod%3A1005009708240138
1Pcs Earpiece With Proximity Light Sensor Flex Cable For iPhone X XR XS MAX 11 12 Pro max Mini Ear Speaker Replacement Parts,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S30ad1511c7644905a2c037a1400467d3U.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9b6a986e0cad416998eacb9d732e93cdH.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6b9ea58d9cd5416c99f335c4197830d9I.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa687886952f640d585d92af9dd5b4637p.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd358cd3c7a6a4cc59c21b75aa7d9056c1.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'Speaker', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'For iphone X XR XS MAX 11 12 Pro Max Mini', 'Brand Name', 'Huasha', 'Use', 'Earpiece Speaker', 'Certification', 'CE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256801612320727.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-2&pdp_ext_f=%7B%22order%22%3A%224700%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.97%210.99%21%21%213.97%210.99%21%402101e2b417769436790897225e1551%2112000017625991838%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537349&curPageLogUid=BMsoWSH7hCQi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001798635479%7C_p_origin_prod%3A
Earpiece Light Sensor Proximity Flex Cable with Mic for iPhone 13 14 Plus 15 16 Pro Max No Speaker Ribbon Cable,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sa872fbf6993147feaa738676275832a4u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6f4bf64d7e9c477c8bc1445d3470f4dc9.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S24e37ac6ca184c2390d90d3744feeaa75.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67cfacd93d6d43e5a31747b317a52544p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S53aef6b229f44c6c8ea2ca58e77da9d06.jpg_220x220q75.jpg_.avif","['Version', 'GPS', 'High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'Proximity / Ambient Light Sensor', 'Compatible Brand', 'Apple iPhone', 'Design', 'Flip', 'Model Number', '14 15 13 ProMax', 'Brand Name', 'EmmaHelp', 'Use', 'Earpiece Speaker', 'Certification', 'CE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808047933538.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-3&pdp_ext_f=%7B%22order%22%3A%224394%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.66%210.99%21%21%2131.66%216.74%21%402101e2b417769436790897225e1551%2112000044320162366%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=VhxRawgSaC9j&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008234248290%7C_p_origin_prod%3A
100pcs Bottom Screw Repair for Apple iPhone 15 11 12 13 14 Pro Max Mini X Xr XS 5s 6 6s 7 8 Plus Pentalobe Screw Replacement,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/H52231db73246462782fabf02c0cdb76ei.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5409cf75c0ae48fa904136a3cb761ff7a.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H271adb058fdc4531aac4c9e4067ccb83m.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H6af6e5a1d53b4495a95a268255424a8fK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hf1a83c3104364c7fb3964c3a150368adw.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'Headphone Jack', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'iRepairyou-BS002', 'Brand Name', 'iRepair-You', 'Use', 'USB Charging Dock', 'Certification', 'NONE', 'Origin', 'Mainland China', 'Compatible iPhone Model', 'iPhone12']",https://www.aliexpress.us/item/3256806143082847.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-4&pdp_ext_f=%7B%22order%22%3A%224271%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.48%210.99%21%21%2171.15%216.74%21%402101e2b417769436790897225e1551%2112000037919576821%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=9FdfB4dugd6Y&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006329397599%7C_p_origin_prod%3A
100pcs Bottom Screw Repair for Apple iPhone 15 11 12 13 14 Pro Max Mini X Xr XS 5s 6 6s 7 8 Plus Pentalobe Screw Replacement,$2.72 ,"https://ae-pic-a1.aliexpress-media.com/kf/H52231db73246462782fabf02c0cdb76ei.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5409cf75c0ae48fa904136a3cb761ff7a.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H271adb058fdc4531aac4c9e4067ccb83m.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H6af6e5a1d53b4495a95a268255424a8fK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hf1a83c3104364c7fb3964c3a150368adw.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'Headphone Jack', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'iRepairyou-BS002', 'Brand Name', 'iRepair-You', 'Use', 'USB Charging Dock', 'Certification', 'NONE', 'Origin', 'Mainland China', 'Compatible iPhone Model', 'iPhone12']",https://www.aliexpress.us/item/3256808473756234.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-5&pdp_ext_f=%7B%22order%22%3A%224259%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008660070986%22%2C%22orig_item_id%22%3A%221005006329397599%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.71%212.72%21%21%2145.54%2118.47%21%402101e2b417769436790897225e1551%2112000046135547864%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=3qGaVjhvZvXM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008660070986%7C_p_origin_prod%3A1005006329397599
1set Full Inside Small Metal Holder Bracket Shield Plate Set Kit Full Screws Waterproof For iPhone X XR XS 11 12 13 14 Pro Max,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/H6900f175385340bab489f1c479e060cbZ.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S06c309103b6a44699549322e7ea9a57ab.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S652bf729299041dab23bf2d7c87e3c07s.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/He10b1ae3dd9744058ac4ad1b0fdb5948X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9315b74d10ca45969f97188f31f41e8e9.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'For iphone X XR XS MAX 11 12 13 14 Pro Max', 'Brand Name', 'Huasha', 'Use', 'EMI Shield', 'Certification', 'CE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256802154758811.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-6&pdp_ext_f=%7B%22order%22%3A%223825%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.20%210.99%21%21%212.20%210.99%21%402101e2b417769436790897225e1551%2112000024949864229%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=KrQibEzZcQ2I&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002341073563%7C_p_origin_prod%3A
Charging Port Flex Cable for iPhone 11 12 13 14 Pro Max Mini X XS XR USB Charger Dock Connector With Microphone Ribbon Repair,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2a187f27a216441f96c41f8905be8874z.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb7c2cb5ea9e2410e92ec0f453d5ee77ft.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd131283803b640cc912262e91922399cs.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S45287bbed36d473fbb1ef425f94f6b6a5.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se01ab2c7e35f48c2937345b0b41a217db.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'USB Charging Dock', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'for 11-14', 'Brand Name', 'JoeeStore', 'Use', 'USB Charging Dock', 'Certification', 'NONE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806983057966.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-7&pdp_ext_f=%7B%22order%22%3A%223824%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.66%210.99%21%21%2152.00%216.72%21%402101e2b417769436790897225e1551%2112000039685463259%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=yh8jyLmXYnec&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007169372718%7C_p_origin_prod%3A
EmmaHelp 10set Back Camera Glass for iPhone 15 14 13 XR X XS SE 7 8 11 12 Pro Max Rear camera Lens Cover replacement Sticker A+,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5a1e7cc22ad44f40a020fdcdbd589332n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5a1e7cc22ad44f40a020fdcdbd589332n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S179f9c7e1865473083a64e2c2970a51ey.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e928649318f48d2b2a94281ba9885cad.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf5d267c28bc945afaaa2509f3fe9dd6fs.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'Rear Camera', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'for 15,15pro.15promax,14,14pro, 14pro max', 'Brand Name', 'EmmaHelp', 'Use', 'Rear Camera', 'Certification', 'NONE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806027629606.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-12&pdp_ext_f=%7B%22order%22%3A%223136%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.87%210.99%21%21%2119.47%216.71%21%402101e2b417769436790897225e1551%2112000036311105398%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=YrTsyJTGVi9h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006213944358%7C_p_origin_prod%3A
1pcs Earpiece Flex Cable for iPhone 12 Pro Max 11 X XR XS Top Front Ear Speaker Sensor Proximity Small Headset Fix Face id Parts,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sda09491a8d964c8aa71611902ef980dcC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sda09491a8d964c8aa71611902ef980dcC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S933098428f1c4da89d260bcc312d1ff2m.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S40bbc4d99a1846d29f3b1ad9455a2ebe0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Seff3e110366f4f5f9fc57e27f2fb7a48j.png_220x220.png_.avif","['Version', 'GPS', 'High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Use', 'Earpiece Speaker', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'for 12', 'Brand Name', 'AliSunny', 'Use', 'Earpiece Speaker', 'Certification', 'NONE', 'Origin', 'Mainland China', 'Compatible iPhone Model', 'iPhone12', 'Part number', '12 12Pro 12ProMax', 'With', 'sensor']",https://www.aliexpress.us/item/3256807799706006.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-13&pdp_ext_f=%7B%22order%22%3A%222707%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.11%210.99%21%21%216.11%210.99%21%402101e2b417769436790897225e1551%2112000043164639982%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=o62FaExMgmq1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007986020758%7C_p_origin_prod%3A
1pcs Wireless Charging Coil Flex Cable for iPhone 15 14 Plus 12 13 Pro Max Charger Panel Sticker WPC Pad Chip Volume Tape Parts,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S110f91ae1f8f4c87a6115e79c078951fT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S110f91ae1f8f4c87a6115e79c078951fT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1dfa1cf72a1a4fb281a7d3338af7d4c1a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5fcf836719294c8eb2afe76fef36cc7cF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5e0b87f037fb460fba1b84955fb9ef6eG.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Apple iPhones', 'Compatible Brand', 'Apple iPhone', 'Design', 'Bar', 'Model Number', 'for iphone X,XR,XS,XSM', 'Brand Name', 'AliSunny', 'Use', 'USB Charging Dock', 'Certification', 'NONE', 'Origin', 'Mainland China', 'Compatible iPhone Model', 'iPhone XS Max', 'Model', '14 14Plus 14Pro 14ProMax', 'Size', '15 15Plus 15Pro 15ProMax']",https://www.aliexpress.us/item/3256807382581620.html?algo_pvid=4264f030-0913-4e9b-84f7-a423e0413534&algo_exp_id=4264f030-0913-4e9b-84f7-a423e0413534-30&pdp_ext_f=%7B%22order%22%3A%222562%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.78%210.99%21%21%213.78%210.99%21%402101e2b417769436790897225e1551%2112000041334084256%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa69e9938%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=5bEgtEUrEduh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007568896372%7C_p_origin_prod%3A
