Name,Price,Images,Details,product_link
Emmahelp 10pcs A+ Back Camera Glass for iPhone 11 12 13 14 15 Pro Max 13Mini XR XS 14Plus Rear Camera Cover Lens 3M Sticker,$0.99/lot,"https://ae-pic-a1.aliexpress-media.com/kf/S2dc7e204f26e4756a5c8e3631817e092G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2dc7e204f26e4756a5c8e3631817e092G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa4ec3dd3399f42cbb36a83ba6abe4dd5F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4e7d454f63e64930969810aa83dac2ecK.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1bea04035dfa4147b67f0ccf83ae5bdbf.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Glass', 'Design', 'Bar', 'Compatible Brand', 'Apple iPhone', 'Model Number', 'for iphone 12 pro max', 'Compatible iPhone Model', 'iPhone XS Max']",https://www.aliexpress.us/item/3256806866168134.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-0&pdp_ext_f=%7B%22order%22%3A%222735%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.61%210.99%21%21%2124.49%216.70%21%40211b6c1717769548721544423eb209%2112000039239072151%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=NMjyVdgz6ERW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007052482886%7C_p_origin_prod%3A
2Pcs Wireless NFC Charging Magnetic For iPhone 12 13 16 Pro Max 14 15 Plus Rear Cover Back Glass MagSafe Charger Magnet Repair,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc4e58e58bc404362a588a86929e129ddG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1ee2c9581fc240538d7d3d018ef266227.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S846664bd5eac48ddac769d2fc1f6d85cS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scbf98c33c73242a2a7e77d5188d9d6bcd.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb570019ea71845e381c74ebc22b2c21dd.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Metal', 'Design', 'iPhone XR', 'Compatible Brand', 'Apple iPhone', 'Model Number', 'For iphoen 12 13 14 15 Pro Max', 'Brand Name', 'EmmaHelp']",https://www.aliexpress.us/item/3256808356168386.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-5&pdp_ext_f=%7B%22order%22%3A%22807%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.39%210.99%21%21%2129.81%216.73%21%40211b6c1717769548721544423eb209%2112000045637823722%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537349&curPageLogUid=u1kJOudoWZuG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008542483138%7C_p_origin_prod%3A
2PCS，NEW Back Rear Camera Glass Lens with Sticker Replacement Repair For Xiaomi Redmi Note 11T 11 10T 5G 10S 10 Pro Plus 5G,$1.38/lot,"https://ae-pic-a1.aliexpress-media.com/kf/Hdabc29f6308e46d182ef4be1b2334c76O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hdabc29f6308e46d182ef4be1b2334c76O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S368f77d314834b429096c510d98e7b7fs.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S565ae44f97614f71a8d4d252623f0665w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H618277a9798b45c883d770ad442f75d0x.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Glass', 'Compatible Brand', 'XIAOMI', 'Model Number', 'For Xiaomi Redmi 12C Note 10/Note10Pro/Note 10/Note 10 5G', 'Brand Name', 'JIARUILA', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256802986271793.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-6&pdp_ext_f=%7B%22order%22%3A%22768%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.00%211.38%21%21%212.00%211.38%21%40211b6c1717769548721544423eb209%2112000024487255514%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=pX6HAYNLXis6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003172586545%7C_p_origin_prod%3A
Transparent Clear Glass For Samsung Galaxy S10 5G S10 Plus S10e Battery Cover Back Glass Panel Rear Housing Case Replacement,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S7cc1a7696c464099a5ae4906e9088079C.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7cc1a7696c464099a5ae4906e9088079C.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sed1f8eb078c74150be1e8035b4738692O.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S20b5606d20c14687ba7c2756bfe1ddecR.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sff79763a276643d0a999576cc480b1c5a.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Glass', 'Design', 'Bar', 'Compatible Brand', 'Samsung', 'Model Number', 'For SAMSUNG GALAXY S10 S10+ Plus S10 5G G973 G975 G977', 'Compatible Samsung Model', 'Galaxy S']",https://www.aliexpress.us/item/3256804453399912.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-2&pdp_ext_f=%7B%22order%22%3A%22648%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.37%210.99%21%21%216.37%210.99%21%40211b6c1717769548721544423eb209%2112000029936660296%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=cw9h539zO1Oo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004639714664%7C_p_origin_prod%3A
2pcs Magsafe Magnetic Metal Ring For iPhone 15 12 13 14 Pro Max Mini Plus Back Housing Glass Wireless Charging Magnet Repair,$0.99/lot,"https://ae-pic-a1.aliexpress-media.com/kf/Sf4d91abf30714f2a97e6d65aee123795y.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S04961e589e4446bf89fa28a2ff5ba186O.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca04b287d3da4d02a673efa1ceb3a53aU.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S59907139b17140d7b71a0259611ae55fv.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S54ecd2c5fd8c40fd890193f8bd64d60b4.jpg_220x220q75.jpg_.avif","['Material', 'Metal', 'Design', 'Bar', 'Compatible Brand', 'Apple iPhone', 'Model Number', 'for iphone', 'Brand Name', 'JoeeStore', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806795276227.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-17&pdp_ext_f=%7B%22order%22%3A%22577%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.57%210.99%21%21%2117.48%216.75%21%40211b6c1717769548721544423eb209%2112000038930801253%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=Lqr8RWzn6J2O&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006981590979%7C_p_origin_prod%3A
"Camera Lens Glass For Xiaomi Redmi Note 11 , 11S, 11 Pro 4G/5G Back Camera Glass Lens Smartphone Parts",$1.68 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb501e238235f40fa9aee6f5794f2ac5ce.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S946bab9c5d844033ad1b1795dd145e42X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S252cf5d1a11148968cb7f3845f57c1d6P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S238a8dd54dfc4698963d2cbf5ced9529n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scf78e312f8924a5bb1760a1b3867ba4dc.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Glass', 'Design', 'Bar', 'Compatible Brand', 'XIAOMI', 'Model Number', 'For Xiaomi Redmi Note 11', 'Brand Name', 'HXEBGT']",https://www.aliexpress.us/item/3256803739596213.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-3&pdp_ext_f=%7B%22order%22%3A%22560%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.18%211.68%21%21%212.18%211.68%21%40211b6c1717769548721544423eb209%2112000027485920524%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=qff13S1hINeY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003925910965%7C_p_origin_prod%3A
New For Xiaomi Redmi Note 9 9s 10 10s 11 11s 12 13 Pro Plus 4G 5G Adhesive Sticker Back Housing Battery Cover Glue Tape,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S29cece390fde4e8695913f2344fdc099L.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc177622387a243acb1433fcb3d65d390r.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S311e167b3f3d4a529a78669235336adaU.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4658c2cf67134953bfc927934bac6b8b7.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1426e2cd08434f038733572c55d817c6X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Design', 'Bar', 'Model Number', 'For Xiaomi Redmi Note 9 9s 10 10s 11 11s 12 13 Pro Plus 4G 5G', 'Brand Name', 'New625', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807867407995.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-4&pdp_ext_f=%7B%22order%22%3A%22543%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.21%210.99%21%21%212.21%210.99%21%40211b6c1717769548721544423eb209%2112000043458817650%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=cCR97DH8Y1Q8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008053722747%7C_p_origin_prod%3A
100% New Battery Cover For Ulefone Power Armor 18T ULTRA 18T 18 19T 19 Back Case Main Sub Camera Lens,$25.33 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3a384535b89744c5ac20da1e9a475777g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d2028adf3934e4b9dd8944e7316c24eC.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S28224dff77b9454ebed16158fc9a9de4x.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2955f68ffddc4c6d9210fca068683fe09.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S74c1b05a7b8f42e8b67d1779f36d3aa5y.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'For Ulefone Power Armor 18T ULTRA 18T 18 19T 19', 'Brand Name', 'AiNiCole', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808311989491.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-9&pdp_ext_f=%7B%22order%22%3A%22459%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2126.36%2125.33%21%21%21178.94%21171.97%21%40211b6c1717769548721544423eb209%2112000045419011734%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=3YHTtfSfKlRj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008498304243%7C_p_origin_prod%3A
Original Garmin Edge 520 Back Cover Case White Colour Repair Part,$17.43 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb237faaa6e8f497fa76895990540c633g.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd4b72e7720544ca2aa4ea709a83e3667X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S33d48bc158eb4e4e90c9fe16ad4710abY.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9023c925108849eb89261ff806089fc72.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8ff21b58306e483aad384e5922851da30.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Brand Name', 'GMXDD', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256802168240053.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-21&pdp_ext_f=%7B%22order%22%3A%22433%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.35%2117.43%21%21%2137.35%2117.43%21%40211b6c1717769548721544423eb209%2112000030649803052%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ZJkQXrX6WtBC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002354554805%7C_p_origin_prod%3A
Back Camera Glass Lens For Xiaomi Mi 10T / 10T Pro Main Camera Glass Cover With Sticker Mi10T Smartphone Repair Parts,$1.71 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8e7d2b2f1bc6416abf650b9bedc41c65o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e4506db109f4703a379737388a7007fp.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd2f816c90b3e4938ba42f9c3b5a45919K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd2f816c90b3e4938ba42f9c3b5a45919K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e4506db109f4703a379737388a7007fp.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Glass', 'Design', 'Bar', 'Compatible Brand', 'XIAOMI', 'Model Number', 'For Xiaomi Redmi Note 10', 'Brand Name', 'HXEBGT']",https://www.aliexpress.us/item/3256802267745027.html?algo_pvid=502c1f67-75a1-42cc-8d31-95ef025f263a&algo_exp_id=502c1f67-75a1-42cc-8d31-95ef025f263a-11&pdp_ext_f=%7B%22order%22%3A%22420%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.21%211.71%21%21%212.21%211.71%21%40211b6c1717769548721544423eb209%2112000024673579167%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b2cf929%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=6INqSTRdhmPz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002454059779%7C_p_origin_prod%3A
