Name,Price,Images,Details,product_link
3 Port USB Slots Adaptor Extender USB 3 in 1 2.0 Multple USB Interface Extender USB Splitter Hub Auto Electronics Accessories,$1.69,"https://ae-pic-a1.aliexpress-media.com/kf/Sed250abecdcd4ba5a201fa809959b4beS.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2e75b9a81f79435d948e56888f80ce78N.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6cc95604aeca4d83bc05dc32629711d7I.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1210d34afee940e6883c79d3256e5489J.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfd065ebc7e0a4d1db0f79f39c7d342bcu.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Charging Dock', 'Compatible Brand', 'APPLE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256810386425742.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-1&pdp_ext_f=%7B%22order%22%3A%2213545%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010572740494%22%2C%22orig_item_id%22%3A%221005009809942481%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.37%211.69%21%21%2129.64%2111.43%21%40212e520f17764956914294779ecb75%2112000052858786460%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=ajUS9WDNTdfG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010572740494%7C_p_origin_prod%3A1005009809942481
USB2.0 Splitter 1 Male To 2 Ports Female USB Hub Adapter Converter For Huawei Xiaomi Macbook Phone Laptop Charging Accessories,$1.89,"https://ae-pic-a1.aliexpress-media.com/kf/S9441910a9d574b3995d049b879d9de41V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se5a18a3aa8924ebfab0e99d2edd56516V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0bc3a640ac504c209281b70c1594d1eaE.jpeg_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S70ba8faa1a364601b1c96ad1c0706ee6M.jpeg_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa915286695d74c74a02ca252c4664e30k.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Type', 'Not Specified', 'Compatible Brand', 'Huawei', 'Brand Name', 'Maerknon', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806942805221.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-7&pdp_ext_f=%7B%22order%22%3A%226121%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007129119973%22%2C%22orig_item_id%22%3A%221005007117110963%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.88%211.89%21%21%2133.12%2112.84%21%40212e520f17764956914294779ecb75%2112000039499914800%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=NUIagowcFyyQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007129119973%7C_p_origin_prod%3A1005007117110963
Essager Usb C Hub Usb Type-c to HDMI-compatible Laptop Dock Station For Macbook Pro Air M1 M2 Extensor USB 3.0 Adapter Splitter,$22.20,"https://ae-pic-a1.aliexpress-media.com/kf/Sf13bd42f2f0a4a578e24cffa377db244N.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf13bd42f2f0a4a578e24cffa377db244N.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6c14052da79745ff92870e0f6ee84109J.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3cf82be8002d41c3978719832f8e44f3I.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S00937eccabd14a338981461010dc42fcH.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Type', 'BOX', 'Compatible Brand', 'APPLE', 'Brand Name', 'ESSAGER', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256806852303475.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-11&pdp_ext_f=%7B%22order%22%3A%223101%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007038618227%22%2C%22orig_item_id%22%3A%221005005193448636%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2145.40%2122.20%21%21%21308.20%21150.71%21%40212e520f17764956914294779ecb75%2112000039179888976%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=Z8kwBYYmoOaF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007038618227%7C_p_origin_prod%3A1005005193448636
Essager Usb C Hub Usb Type-c to HDMI-compatible Laptop Dock Station For Macbook Pro Air M1 M2 Extensor USB 3.0 Adapter Splitter,$15.93,"https://ae-pic-a1.aliexpress-media.com/kf/Sf13bd42f2f0a4a578e24cffa377db244N.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf13bd42f2f0a4a578e24cffa377db244N.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6c14052da79745ff92870e0f6ee84109J.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3cf82be8002d41c3978719832f8e44f3I.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S00937eccabd14a338981461010dc42fcH.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Type', 'BOX', 'Compatible Brand', 'APPLE', 'Brand Name', 'ESSAGER', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256805007133884.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-12&pdp_ext_f=%7B%22order%22%3A%223059%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2150.95%2116.43%21%21%21345.90%21111.52%21%40212e520f17764956914294779ecb75%2112000032071148040%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520902&curPageLogUid=cyJSVCNWPDQZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005193448636%7C_p_origin_prod%3A
Baseus USB C Docking Station for Steam Deck Nintend Switch 6-in-1 Type C to 4K@60Hz HDMI-compatible Gigabit Ethernet USB 3.0 Hub,$36.01,"https://ae-pic-a1.aliexpress-media.com/kf/S98bdbdd62bee43f9b36a87d18d168b79I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S98bdbdd62bee43f9b36a87d18d168b79I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S135b87e230d94890a0196d035bbd429dS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd0b3da4ccbac4b69968f9ec65917e5deV.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc6e16099802346218038d2f7f496f7dcn.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Huawei', 'Brand Name', 'BASEUS', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256806674720547.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-14&pdp_ext_f=%7B%22order%22%3A%222288%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006861035299%22%2C%22orig_item_id%22%3A%221005005631856586%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2190.25%2141.01%21%21%21612.70%21278.45%21%40212e520f17764956914294779ecb75%2112000038542367457%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=JiMtSSgWTUqw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006861035299%7C_p_origin_prod%3A1005005631856586
Mini USB Hub Adapter 3-Port USB Splitter Extender Computer Accessories Hub 1 Male To 3 Port Multiple Expander For Laptop Macbook,$2.34,"https://ae-pic-a1.aliexpress-media.com/kf/Sea76d9506b444b8b970e53dffd3d5bf04.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S16795cc6d0234a248bfaeae91e7e1647u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac2315887adf4d0db64f4c13bac916844.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa50e5a1b9b704e249315b55a93fb4a2aD.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e4f99ec360549ea916c94399415ff75p.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'Not Specified', 'Compatible Brand', 'Huawei', 'Origin', 'Mainland China', 'Certification', 'CE', 'Feature 1', '3 Ports', 'Feature 2', 'usb hub, hub usb, usb c hub, usb splitter, hub usb c', 'Feature 3', 'usb hub 3.0, usb several ports, usb 3.0 hub, type c hub, extensor usb', 'Feature 4', 'multi usb, hub usb 3.0, hub hdmi, Usb ports, usb multi port', 'Feature 5', 'usb c hub, multi usb port, hub type c, multiple usb ports, usb concentrator 3 0']",https://www.aliexpress.us/item/3256810467073716.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-16&pdp_ext_f=%7B%22order%22%3A%222003%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010653388468%22%2C%22orig_item_id%22%3A%221005009127434994%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.67%212.34%21%21%2138.48%2115.85%21%40212e520f17764956914294779ecb75%2112000053087875152%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=KhK4QfOeRzfS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010653388468%7C_p_origin_prod%3A1005009127434994
Essager 8-in-1 USB Hub With Disk Storage Function USB Type-c to HDMI-Compatible Laptop Dock Station For Macbook Pro Air M1 M2,$34.97,"https://ae-pic-a1.aliexpress-media.com/kf/S3d9f7418db2342dd9fca47908a3cfb59l.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3d9f7418db2342dd9fca47908a3cfb59l.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3a21466509d148cfaf4a5f970a7e2db6l.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S61763cba7f924cc69ff2ed807cf41069q.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2566969ec41a4dc6adc5eb56e0449ea4H.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Type', 'BOX', 'Compatible Brand', 'APPLE', 'Brand Name', 'ESSAGER', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256805201433317.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-22&pdp_ext_f=%7B%22order%22%3A%221925%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2197.60%2135.47%21%21%21662.58%21240.78%21%40212e520f17764956914294779ecb75%2112000032848274212%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520902&curPageLogUid=lODGh5vfJABH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005387748069%7C_p_origin_prod%3A
Baseus USB C Docking Station for Steam Deck Nintend Switch 6-in-1 Type C to 4K@60Hz HDMI-compatible Gigabit Ethernet USB 3.0 Hub,$37.34,"https://ae-pic-a1.aliexpress-media.com/kf/S98bdbdd62bee43f9b36a87d18d168b79I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S98bdbdd62bee43f9b36a87d18d168b79I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S135b87e230d94890a0196d035bbd429dS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd0b3da4ccbac4b69968f9ec65917e5deV.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc6e16099802346218038d2f7f496f7dcn.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Huawei', 'Brand Name', 'BASEUS', 'Origin', 'Mainland China', 'Certification', 'CE,FCC,RoHS']",https://www.aliexpress.us/item/3256805445541834.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-17&pdp_ext_f=%7B%22order%22%3A%221697%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2199.64%2136.34%21%21%21676.47%21246.75%21%40212e520f17764956914294779ecb75%2112000033819193112%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520902&curPageLogUid=18UwDqfA7UHe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005631856586%7C_p_origin_prod%3A
3 in 1 Usb Hub USB C to HDMI-compatible Splitter HUB Type-c to HDMI-compatible USB3.0 Docking Station For Macbook Air Converter,$5.06,"https://ae-pic-a1.aliexpress-media.com/kf/Sfb72f379bf194970a268ff697e1a36d9D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5445c1e1905b40faa4ce64c5d838723fm.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2eaa34e0038e446c9638fadf23e95cbc2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S565a928d13ac492ba3f5b29551804e5c6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S627f9db18c5a4dd4927d57edebe8c404e.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Compatible Brand', 'Huawei', 'Origin', 'Mainland China', 'Certification', 'CE']",https://www.aliexpress.us/item/3256807215244215.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-26&pdp_ext_f=%7B%22order%22%3A%221095%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.65%215.06%21%21%2185.90%2134.41%21%40212e520f17764956914294779ecb75%2112000040592566210%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=0Yizd5n2GLYR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007401558967%7C_p_origin_prod%3A
USB C HUB 3in1 Type C 3.0 to HDMI-compatible Docking Station PD Fast Charge 4K HDMI Adapter Splitter For MacBook Phone Computer,$1.20,"https://ae-pic-a1.aliexpress-media.com/kf/Sfc3bd7905406438785dceb5beb2dfbc1V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdc47fc84b4c14ac398db0596bc1d2d49Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2d22b08633494003a0881dd3330a943cG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S45ff7c9374af4b1ea1a371719da7af85k.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se64e5eb2ae3844748113bf00a8f064f6n.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Type', 'WireLess', 'Compatible Brand', 'APPLE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256805847896209.html?algo_pvid=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a&algo_exp_id=afb1cb6d-c28a-4ec9-9b1c-284ed55a122a-27&pdp_ext_f=%7B%22order%22%3A%221013%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.41%215.70%21%21%2184.28%2138.75%21%40212e520f17764956914294779ecb75%2112000035417786507%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21828bb%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=VdPlu53f7ZGP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006034210961%7C_p_origin_prod%3A
