Name,Price,Images,Details,product_link
Smartphone Remote Control IR Blasters Type C Universal Smart Infrared Transmitter App Control Adapter for TV Air Conditioner,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S147e3b50b0a34f9a8f19c920502c57edx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S147e3b50b0a34f9a8f19c920502c57edx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6583bbe66df44b188d5c8c5076de5d66W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7aadb34e25e74880aa2d66be902040c9i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S683f2f9259c04da5a059321014d51d8dR.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Wireless Communication', 'IR', 'Support APP', 'Yes', 'Frequency', '433 MHz', 'Interface Type', 'Type C', 'Certification', 'CE,FCC', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809264499838.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-1&pdp_ext_f=%7B%22order%22%3A%22558%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.15%210.99%21%21%2168.80%216.73%21%402101529317762445863808000ea45d%2112000049144502864%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537367&curPageLogUid=2BER8oCq9Fi2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009450814590%7C_p_origin_prod%3A
IR Appliances Wireless Infrared Remote Control Adapter Smart App Control Mobile Phone Infrared Transmitter For IPhone Mirco,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S7439fc7f52654dffb98bd2620701fa42K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S098ab93fe8b249518218d0c44c0516a64.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S981d5393d9d740eda362ed1dbffa2e3cK.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S18f234b1cfbb4f778b0ee2d988f97ee2j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7fded014bec149539cf34ac9be45ee75Y.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Frequency', '433 MHz', 'Interface Type', 'Type C', 'Certification', 'CE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807233976427.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-3&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.10%210.99%21%21%2168.50%216.74%21%402101529317762445863808000ea45d%2112000040677740242%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537367&curPageLogUid=9LJLapQFgw7P&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007420291179%7C_p_origin_prod%3A
Wireless Infrared Remote Control Adapter Mobile Phone Infrared Transmitter Smart Control Suitable For IPhone/Android NEW Tool,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sadb7983d3c654c7c8cf12971219a139fM.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scfd0bd61eb914f968559c6bec74d2d57h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf2c5c1032fcf4523ba4f528b7f25fa8cN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc9650d06a96447b3b3a908a865c738f7b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S811aec2338d945b2b2f33e31a48441a1z.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Frequency', '433 MHz', 'Interface Type', 'Type C', 'Certification', 'CE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807071859120.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-33&pdp_ext_f=%7B%22order%22%3A%22129%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.39%210.99%21%21%21104.32%216.71%21%402101529317762445863808000ea45d%2112000039983342219%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=U2Dr5BcO4iyo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007258173872%7C_p_origin_prod%3A
Appliances Wireless Infrared Remote Control Adapter Smart App Control Phone Infrared Transmitter For IPhone&Android Phone,$4.37,"https://ae-pic-a1.aliexpress-media.com/kf/S3d54961815c64769a893ff5da53f50a79.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S00311b828945429ca16ab9b99df88f999.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S65a87bb22d994f738741c2120a6a5bc9Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3791d0fa48da4f298ca91617f3a93f45N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9611d97d594f4b77822fb6ae8918d84f9.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Frequency', '315 MHz', 'Interface Type', 'Lightning', 'Certification', 'NONE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807802073516.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-40&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.94%214.37%21%21%2147.03%2129.63%21%402101529317762445863808000ea45d%2112000043171074903%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895&curPageLogUid=BYzmTOh8QQf7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007988388268%7C_p_origin_prod%3A
Wireless Infrared Remote Control Adapter Smart Phone App Control Infrared Transmitter Universal Mini Remote Control For TV Fan,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S0264ce827145454eb8766229e2c34580Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb9de785d05204f438d2a6554a40a091bC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf582fe248379414b9798c8a2a4835f91L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc657d8ab227547059b57682fb7bccc16L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1efa18637f234724b100503553e4cb855.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Wireless Communication', 'IR', 'Use', 'Universal', 'Frequency', '433 MHz', 'Channel', '1', 'Interface Type', 'Type C', 'Certification', 'NONE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808568862976.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-6&pdp_ext_f=%7B%22order%22%3A%2260%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.77%210.99%21%21%2166.22%216.67%21%402101529317762445863808000ea45d%2112000046531280095%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537367&curPageLogUid=IH4RoUUssOdh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008755177728%7C_p_origin_prod%3A
Appliances Wireless Infrared Remote Control Adapter Mobile Phone Infrared Transmitter Smart Control Suitable For IPhone/Android,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S811aec2338d945b2b2f33e31a48441a1z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc9650d06a96447b3b3a908a865c738f7b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf2c5c1032fcf4523ba4f528b7f25fa8cN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scfd0bd61eb914f968559c6bec74d2d57h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sadb7983d3c654c7c8cf12971219a139fM.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Frequency', '315 MHz', 'Interface Type', 'Type C', 'Brand Name', 'GRWIBEOU', 'Certification', 'CE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806896602357.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-34&pdp_ext_f=%7B%22order%22%3A%2248%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.15%210.99%21%21%2148.48%216.69%21%402101529317762445863808000ea45d%2112000039339102931%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=A2oshTanEmJQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007082917109%7C_p_origin_prod%3A
1PCS CoRui Smartphone IR Remote Controller Infrared Transmit For Air Conditioner Mini Adapter Type C/Micro USB Interface Smart,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sb7cd93d6afe34654909072d40f1fd601q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S32ee996d68ec4bc991c0fae3a986b575X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S351dfa6e64fb41c98529c6416e6b675c7.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdf10021e59b343c4bfc03f749f9993e7L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8d2bf94694c645be84c0cf127fcfb6d6g.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Wireless Communication', 'IR', 'Use', 'Universal', 'Support APP', 'Yes', 'Interface Type', 'Type C', 'Origin', 'Mainland China', 'Certification', 'NONE', 'Remote control distance', '8-15m', 'Material', 'aluminum alloy and silicone and PC', 'Feature E', 'Smart Home', 'Emission intensity', '70-90mW/Sr', 'Type E', 'Control For Tv Dvd Aud Works', 'Size', '26x11.8x6.4mm', 'Product Model', 'EKX5-L/EKX-T/EKX', 'Feature A', 'Convenient Fifth Generation Capsule Remote Control', 'Feature 1', 'Universal Remote Control Save Time', 'Feature 2', 'Fifth Generation Capsule Remote Control Versatile', 'Feature 3', 'Smartphone Remote Control Actual Smartphone Controls Multiple Devices', 'Feature 4', 'Infrared Remote Control Easy To Use', 'Feature 5', 'Mobile Phone Remote Control Convenient', 'Feature 6', 'For Micro USB/Type-C', 'Feature 7', 'For TV Box Air Conditioner']",https://www.aliexpress.us/item/3256806853810906.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-5&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.20%210.99%21%21%2135.23%216.69%21%402101529317762445863808000ea45d%2112000039184496801%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=I113eEip9zac&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007040125658%7C_p_origin_prod%3A
Universal Remote Control Infrared Transmitter 3.5mm Phone Wireless Remote Control For TV/DVD/STB/IOS Air Conditioner TV,$2.91,"https://ae-pic-a1.aliexpress-media.com/kf/Sc6acd4d5a2cb465db2a58cd95d98cbdf4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2142cc8b9f5b4f86b77ebba169f00e9f5.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8d7824161e014da288b7a9467d4fb3f83.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S444c6b46360a4bcfb634658a18c0669d7.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S27ceaed6cb9343c19479b08025841e8dW.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Frequency', '315 MHz', 'Interface Type', '3.5 MM', 'Certification', 'CE', 'Origin', 'Mainland China', 'Material', 'metal and plastic', 'Coverage', 'Point linear distance 5-10M', 'Interface', '3.5 headphone port', 'Compatible platform', 'Android system IOS system', 'Color', 'black white purple rose orange green blue yellow', 'Applicable objects', 'TV air conditioner set-top box fan', 'Operating temperature range', '-10 degrees to and 60 degrees']",https://www.aliexpress.us/item/3256805901965011.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-35&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.91%212.91%21%21%2119.70%2119.70%21%402101529317762445863808000ea45d%2112000044350050809%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895&curPageLogUid=stOcTwQ2mMEz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006088279763%7C_p_origin_prod%3A
Infrared Remote Control Easy To Use Convenient Pocket Best Seller Fashionable Highest Rated Smartphone Remote Control Actual,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S5182dbcce4a04ad8bffaa2d31541150ci.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se83fee8e678543dfa74af74a441b89edd.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2e9d47b8fa6e4c71b8811e13b56be711a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S309452c57a8d4e95bfa116005c7c34f9Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfa27074701964bf3a66c72b144adc5aei.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Wireless Communication', 'IR', 'Use', 'Universal', 'Support APP', 'Yes', 'Interface Type', 'Type C', 'Origin', 'Mainland China', 'Certification', 'NONE', 'Packaging', 'safety packaging', 'Product Model', 'EKX5-L/EKX-T/EKX', 'Feature A', 'Mobile Phone Remote Control', 'Type E', 'Remote Controller Universal', 'Origin', 'Mainland China', 'Type1', 'Smart Phone Remote Control Mobile App Control', 'Type2', 'Mini & Protable', 'Type3', 'Plug and Play', 'Type4', 'Widly Ccompatibility', 'Type5', 'For Smart Home', 'Feature 1', 'Fifth Generation Capsule Remote Control Remote Control App Innovative', 'Feature 2', 'Smartphone Remote Control Smart Home User Friendly', 'Feature 3', 'Infrared Remote Control Voice Control The Latest Technology', 'Feature 4', 'Mobile Phone Remote Control Multi-device Compatibility Best Seller', 'Feature 5', 'Universal Remote Control Wireless Control Highest Rated']",https://www.aliexpress.us/item/3256806699951214.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-7&pdp_ext_f=%7B%22order%22%3A%2219%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.53%210.99%21%21%215.53%210.99%21%402101529317762445863808000ea45d%2112000038621311333%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=gU7VckbiZwyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006886265966%7C_p_origin_prod%3A
Smart Phone Infrared Transmitter Universal Remote Control For Iphone Mini Remote Controller Accessories,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sc5ca31bd16ec4893bae7e0a241015c06t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saf599628d048409c9871cc86fb9b5b29b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sff6dc60549e5434a8c0c53b49da69b87q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sed72e21f40a34575a909744866ba981di.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4c95aee32b4c4f7391dd72f1085a074dl.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Frequency', '433 MHz', 'Interface Type', 'Micro', 'Certification', 'NONE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808208835344.html?algo_pvid=803d2f5f-8b76-4994-9db4-aec9f1a45a9e&algo_exp_id=803d2f5f-8b76-4994-9db4-aec9f1a45a9e-31&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.94%210.99%21%21%2147.07%216.73%21%402101529317762445863808000ea45d%2112000044840517177%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6a0703af%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=R26Cxsozr7bi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008395150096%7C_p_origin_prod%3A
