Name,Price,Images,Details,product_link
5V 9V 12V Output Power Bank Box for Cellphone Power Storage Case Tablet Modem 6x 18650 Battery UPS Uninterrupted Power Supply,$9.74 ,"https://ae-pic-a1.aliexpress-media.com/kf/S1dc2d599a3434e22adeaa1c7a4c8e081B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1dc2d599a3434e22adeaa1c7a4c8e081B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2fdb1c81baa542ae94e3472b7cecb190v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf53268852d9c43618d0f240c2fd8db9dM.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd18865e6d64d4490b38e8cb1ea4812c4t.jpg_220x220q75.jpg_.avif","['Model Number', 'UPS Mobile Power Box', 'Item Type', 'DIY Box & Shell', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256810520523677.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-1&pdp_ext_f=%7B%22order%22%3A%228248%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010706838429%22%2C%22orig_item_id%22%3A%221005010483121017%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.48%219.74%21%21%21132.10%2166.05%21%4021010d9017762690009293390e6c2b%2112000053253266353%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895&curPageLogUid=mhd2kuO95GzK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010706838429%7C_p_origin_prod%3A1005010483121017
New 5V 2A 2x18650 Power Bank Box Kit Anti Reverse Connection TYPE-C Output Ports Plastic Shell Portable Battery Charger Case,$4.67 ,"https://ae-pic-a1.aliexpress-media.com/kf/S666f0a428edf4c2fafa0d213ab234fa8v.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfb5711cb121d47bfa72bd558661c774db.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6b305234ff044bb48e1f5e92e53f87bba.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se48ef705d11f41f790631b6e1e2152a1B.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sff3dee14268a4670b70a52f491808a256.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Model Number', '18650 Battery Charger Portable Power Bank', 'Item Type', 'DIY Box & Shell', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806596850471.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-4&pdp_ext_f=%7B%22order%22%3A%227550%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006783165223%22%2C%22orig_item_id%22%3A%221005010150893482%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.34%214.67%21%21%2163.32%2131.66%21%4021010d9017762690009293390e6c2b%2112000038281976816%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895&curPageLogUid=h3mFhmA3xQ7C&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006783165223%7C_p_origin_prod%3A1005010150893482
18650 Battery Holder DIY Shell Dual USB Type C Charge Powerbank Case for iPhone Xiaomi 18650 Battery Power Bank Case Storage Box,$6.70 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sda9ad41ff2d04e168cae090fa10b318cl.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S03265a92a61b46e7b6bd6fee209c9b2eF.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2b4e5ba1b6a0430cb81549ba98b7d7ebW.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdc74cc2d112f4057bfb5b81afc31ee52u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf79820ec1b184f5ebc5d453bb8d55e7a3.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806984828655.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-9&pdp_ext_f=%7B%22order%22%3A%224621%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007171143407%22%2C%22orig_item_id%22%3A%221005008319285753%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.95%216.70%21%21%2194.58%2145.40%21%4021010d9017762690009293390e6c2b%2112000039691874032%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895&curPageLogUid=oV1ycvAC05un&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007171143407%7C_p_origin_prod%3A1005008319285753
18650 Battery Holder DIY Shell Dual USB Type C Charge Powerbank Case for iPhone Xiaomi 18650 Battery Power Bank Case Storage Box,$1.77 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sda9ad41ff2d04e168cae090fa10b318cl.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S03265a92a61b46e7b6bd6fee209c9b2eF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2b4e5ba1b6a0430cb81549ba98b7d7ebW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdc74cc2d112f4057bfb5b81afc31ee52u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf79820ec1b184f5ebc5d453bb8d55e7a3.jpg_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808132971001.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-11&pdp_ext_f=%7B%22order%22%3A%224410%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.90%210.99%21%21%21134.89%216.67%21%4021010d9017762690009293390e6c2b%2112000044594649320%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=TwgdApvEpsjx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008319285753%7C_p_origin_prod%3A
8x18650 Power Bank Case PD 22.5W Fast Charging LED Screen Transparent Battery Storage Box USB+Type-C Port For iPhone Samsung,$3.28 ,"https://ae-pic-a1.aliexpress-media.com/kf/See4c0783168f454eade708712350e997c.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S017ff9615d7a4917a21aad9dc69836c7N.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2b81cd9966d14dfaa9adf005cd6ebc7ah.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sad164586a52e4dcc9ec34804984b755cM.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa22de088eafc402295b37313b6627dfck.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256810478632314.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-13&pdp_ext_f=%7B%22order%22%3A%223690%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.74%212.28%21%21%21133.82%2115.44%21%4021010d9017762690009293390e6c2b%2112000053122475777%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537367&curPageLogUid=tRhQIq0hn8tH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010664947066%7C_p_origin_prod%3A
DIY Battery Charger Case PD 100W Fast Charging for 4PCS 21700 Polymer 20000mA Battery Power Bank Box for Macbook Need Welding,$20.41 ,"https://ae-pic-a1.aliexpress-media.com/kf/S003d97b32a5a44d19ed57f0fc1d90aadC.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4ea758cd9760486c834f8102e40e3c7cU.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S54d586bff77b4260b4a1c8dabea151acy.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sad06793dee754935be9fd6b3cebd527cP.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0b29ece3ebf743cc921d7f85222b1d48G.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Brand Name', 'VIKEFON', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256810571932592.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-16&pdp_ext_f=%7B%22order%22%3A%222711%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2147.68%2112.96%21%21%21323.25%2187.83%21%4021010d9017762690009293390e6c2b%2112000053412466250%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537394&curPageLogUid=mkcgqP2pOkp5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010758247344%7C_p_origin_prod%3A
1/2 Slots 18650 Charger 3.7V-4.2V Rechargeable Li-ion Battery Charger Lithium Batteries Charging Adapter For 18650 26650 14500,$4.25 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4745683c5aa04c08897489506cbbde64I.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4745683c5aa04c08897489506cbbde64I.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbaf1caaeb5104139900f0003bd6491b80.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5df719eeaaaa424e9cfde197a9cbf8a7i.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac8cfafd114c44ba9398e828e2926aa73.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Brand Name', 'congdi', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808061745809.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-17&pdp_ext_f=%7B%22order%22%3A%222615%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008248060561%22%2C%22orig_item_id%22%3A%221005006978797798%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.67%214.25%21%21%2158.76%2128.79%21%4021010d9017762690009293390e6c2b%2112000044371356010%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895&curPageLogUid=jSqE2clMm9Ww&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008248060561%7C_p_origin_prod%3A1005006978797798
Intelligent LCD USB Battery Charger - 1/2/4 Slots For 18650 Li-ion AA AAA Ni-MH Rechargeable Batteries,$8.87 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc836f2fb5adc43f2855a961b422b1b69l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sba3f34df76204b61bf60c68bd0b0bbe8u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S040acfa7a8d74363969312ec888dfcd0y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S441291e9fd3b44b3a596025f33a1723d2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc72b3d50d2a64aad8f45e122784c831ej.jpg_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Brand Name', 'PHONEPACE', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808061870367.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-18&pdp_ext_f=%7B%22order%22%3A%222612%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008248185119%22%2C%22orig_item_id%22%3A%221005011820879665%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.71%218.87%21%21%21133.60%2160.12%21%4021010d9017762690009293390e6c2b%2112000044371587065%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895&curPageLogUid=Mm1kiPi1oPDE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008248185119%7C_p_origin_prod%3A1005011820879665
Intelligent LCD Battery USB Charger 1/2/4 Slots For 18650 4.2V Rechargeable Lithium Battery For 1.2V NI-MH AA / AAA Battery,$1.87 ,"https://ae-pic-a1.aliexpress-media.com/kf/S78b9f9fc1459401cae030925422f8cffK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S78b9f9fc1459401cae030925422f8cffK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1312b6f2793448c7bd696adfb6d776des.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a20149bc53d469db28b37d86a5290232.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4828290d952d4009a1b1d2de58b8971eG.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Item Type', 'DIY Box & Shell', 'Brand Name', 'congdi', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256806776491384.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-25&pdp_ext_f=%7B%22order%22%3A%222324%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.69%210.99%21%21%21147.08%216.76%21%4021010d9017762690009293390e6c2b%2112000038884843888%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=SukYxAKB7dU9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006962806136%7C_p_origin_prod%3A
18650/21700 Battery DIY Box Suitable For Type-C DIY Power Bank Mobile Power Case with Bracket Free Welding Without battery,$3.83 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9ed9f8d4c4494fd18ba4e5139f25e4a3v.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9ed9f8d4c4494fd18ba4e5139f25e4a3v.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Secf01abca5a0430c9e8f0db80d6a67eeS.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb8bbbd26805140a1ab6356224be831b6i.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2057a751e0d24408b33aac51a9ef691bc.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Model Number', 'Mobile Power Cases', 'Item Type', 'DIY Box & Shell', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256808754150931.html?algo_pvid=3cef6262-7e8e-47fe-b21c-e1d662df21c4&algo_exp_id=3cef6262-7e8e-47fe-b21c-e1d662df21c4-23&pdp_ext_f=%7B%22order%22%3A%221604%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.82%210.99%21%21%2153.02%216.73%21%4021010d9017762690009293390e6c2b%2112000047288046613%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A27d2d642%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537399&curPageLogUid=V04175tgye7N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008940465683%7C_p_origin_prod%3A
