Name,Price,Images,Details,product_link
Luxury Rhinestone Bow Litchi Pattern Leather Phone Case For iPhone 17 16 15 14 13 12 11 Pro Max X XS Plus Soft Shockproof Cover,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S41809ccad9ed4f6b90b719233039245dZ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6ef7adfe5ad4c2788d866adbedc321eh.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se678d1f3cdde4c179afe76929fdb28b23.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S21da8261fe6b4ad89089faf80dc73225v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S18338819c2f9433094cbc27f3cd95bcfN.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Shock Proof', 'Main Material', 'Silicone', 'Design', 'Jewelled,Cartoon', 'Type', '3D Case', 'Origin', 'Mainland China', 'Material', 'Soft Silicone']",https://www.aliexpress.us/item/3256808865946771.html?spm=a2g0o.productlist.main.2.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-1&pdp_ext_f=%7B%22order%22%3A%221077%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.97%210.99%21%21%213.97%210.99%21%402141115b17772053919635259e5474%2112000050613976882%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=48YcOfuf6CYb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009052261523%7C_p_origin_prod%3A
Luxury Rhinestone Bowknot Pattern Leather Shockproof Phone Case for iPhone 16 15 14 13 12 11 Pro Max Cute Glitter Soft TPU Case,$3.47 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf84af1a638c24fecba1eac85126fd9e2v.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S197d3e0d1d1b4c33addd061440277a4eU.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0840472310424028834795ee32c03535j.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdb2ba5630b3645faa8fe5c5016619ad4P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac97c7a27ff94690b929ff9061ff10784.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Shock Proof,Washable,No Features,Anti-Fingerprint,Anti-Scratch,Dustproof,Glitter,Non-Slip', 'Main Material', 'Leather', 'Design', 'Jewelled,Plain,Cartoon,Glitter', 'Type', 'FULL COVERAGE', 'Brand Name', 'wixcen', 'Origin', 'Mainland China', 'Color', 'pink', 'material', 'High Quality Soft TPU Silicone', 'Model', 'For iPhone 16 15 14 13 12 11 promax case', 'feature', 'bowknot case for iphone 16', 'feature1', 'bling diamond sequins case', 'Function', 'Shockproof+Anti-knock+Anti-skid+Scratch-resistant']",https://www.aliexpress.us/item/3256808093583086.html?spm=a2g0o.productlist.main.3.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-5&pdp_ext_f=%7B%22order%22%3A%22703%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.30%213.47%21%21%215.30%213.47%21%402141115b17772053919635259e5474%2112000044464177762%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=FEOsEG6KowXb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008279897838%7C_p_origin_prod%3A
Christmas Hello Kitty Rhinestone Crystal Phone Case Chain For iPhone17 16 15 14 13 12 11Pro Max X Xs XR 7 8 Plus Transparent,$20.44 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5a8565059b80410d8e62ef24d6099cab2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5a8565059b80410d8e62ef24d6099cab2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1ba35ec69bf248bbab19fc77ca8f6ec1k.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sda4468b08e2a441a81fc8af9e02ba868G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1bdb25a2556144e985662b7dcb9ba33cI.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Non-Slip', 'Main Material', 'Plastic', 'Design', 'Jewelled', 'Type', 'Half-Wrapped Case', 'Brand Name', 'Sanrio', 'Origin', 'Mainland China', 'Hign-concerned Chemical', 'None', 'Origin', 'Mainland China', 'Features', 'Non-Slip', 'Main materials', 'Plastic', 'Type', 'Half-Wrapped Case', 'Design', 'Jewelled']",https://www.aliexpress.us/item/3256808770636287.html?spm=a2g0o.productlist.main.4.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-2&pdp_ext_f=%7B%22order%22%3A%22681%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2144.98%2120.44%21%21%21306.00%21139.04%21%402141115b17772053919635259e5474%2112000050437098534%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712598&curPageLogUid=zRQWm7l7f1f1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008956951039%7C_p_origin_prod%3A
Luxury 3D Pearl Bowknow Glitter Rhinestone Shell Pattern Case For iPhone 17 Air 16 15 13 12 Pro Max 14 Plus Stylish Bling Cover,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9c71609d13c14fbf8b8e0e85ca5eb66aT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9c71609d13c14fbf8b8e0e85ca5eb66aT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S57ec8ddf76a741f5b773d28ecf1bf2a7P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4ed7ab1d00094119986b0fec105148eca.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S75c84a84b3074f02a2ab416f3a9d0fa5e.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Washable,Anti-Fingerprint,Anti-Scratch,Dustproof,With Holder,WIth Kickstand,Non-Slip', 'Main Material', 'Plastic', 'Design', 'Plain,Geometric,Pictorial', 'Type', 'BUMPER', 'Origin', 'Mainland China', 'Design', 'Glitter Mirror phone case', 'Support', 'Dropshipping,Wholesale,Retail', 'Category1', 'Mobile Phone Accessories', 'Category2', 'Mobile Bags and Cases', 'Category3', 'Phone and Telecommunications', 'Feature1', 'Fashion Phone Case', 'Feature2', 'Japan Korea Stylish Phone Shell,3D Love Heart Phone case', 'Feature3', 'High Quality Phone Case', 'Feature4', 'Personalized Phone Case', 'Feature5', 'Drop Proof Phone Case', 'Feature6', 'Shockproof Phone Case', 'Feature 7', 'Silver Beads pendant phone cover,INS phone case', 'Feature8', 'Stylish Phone Case', 'Color', 'Silver']",https://www.aliexpress.us/item/3256809046756583.html?spm=a2g0o.productlist.main.6.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-7&pdp_ext_f=%7B%22order%22%3A%22558%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.42%210.99%21%21%2136.90%216.78%21%402141115b17772053919635259e5474%2112000048412931212%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537339&curPageLogUid=Uw5HWMXDJWSV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009233071335%7C_p_origin_prod%3A
Shiny Glitter Star Rhinestone Shell Pattern Phone Case For iPhone 17 Air 16 15 14 13 12 11 Pro Max 14 Plus Soft Shockproof Cover,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8524bfd8542a4729bcfbaa5b820eded7V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S985bd80c2dda4380b6291a9acbe167c7e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7fd923b31d574bc2a3a57bb156f2d797a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S858bdfa49b5347b5bc124a62fe7059ddk.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8d8ce814b3f4418a803ca8704e2bb1a6H.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Washable,Dustproof,Glitter,Non-Slip', 'Main Material', 'Plastic', 'Design', 'Plain,Geometric,Glitter,Pictorial', 'Type', 'BUMPER', 'Origin', 'Mainland China', 'Design', 'Cupid,angel', 'Case For 1', 'For iPhone 15promax/15pro/15/15plus', 'Case For 2', 'For iPhone 14promax/14pro/14/14plus', 'Case For 3', 'For iPhone 13promax/13pro/13', 'Case For 4', 'For iPhone 12promax/12pro/12', 'Case For 5', 'For iPhone 11promax/11pro/11', 'Support', 'Retail,Dropshipping,Wholesale', 'Feature 1', 'Anti-knock', 'Feature 2', 'Personalized Phone Case', 'Feature 3', 'Korean Style Phone Case', 'Feature 4', 'Fashion Phone Case', 'Feature 5', 'Scratch-resistant', 'Color', 'Pink', 'Category 1', 'High Quality Soft Silicone Shell', 'Category 2', 'Ins Stylish Case', 'Category 3', 'Precise hole position,seamless fit']",https://www.aliexpress.us/item/3256809468092225.html?spm=a2g0o.productlist.main.7.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-4&pdp_ext_f=%7B%22order%22%3A%22486%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.68%210.99%21%21%2131.84%216.71%21%402141115b17772053919635259e5474%2112000050610006898%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=fmu0vqrwPpME&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009654406977%7C_p_origin_prod%3A
Luxury 3D Rhinestone Bow Bling Glitter Case For iPhone 17 16 15 14 13 12 11 Pro Max X XR Plus Cute Bowknot Shockproof Soft Cover,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S59d8cb262e7c468dbc5872445d6d47a52.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7bd2a2cae5494e9ebbf4362117b27472b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0afe3f6c2d024e539a35a8e53bae59ebp.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S34eb3b6f56a946d3ae3c3c3f09bd14c46.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S41d3ea0f77cb4e47b2664cf2990627b2q.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Shock Proof', 'Main Material', 'Silicone', 'Design', 'Jewelled,Glitter', 'Type', 'Half-Wrapped Case', 'Origin', 'Mainland China', 'Material', 'High Quality Soft Silicone', 'Is-Customized', 'Yes', 'Condition', '100% Brand New', 'Type', 'Case', 'Quality', 'Top Level', 'Mix Model', 'Support', 'Drop Shipping', 'Support', 'Sales Way', 'Retail And Wholesale', 'Style', 'Fashion Style']",https://www.aliexpress.us/item/3256808768059515.html?spm=a2g0o.productlist.main.9.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-6&pdp_ext_f=%7B%22order%22%3A%22401%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.29%210.99%21%21%213.29%210.99%21%402141115b17772053919635259e5474%2112000047349914051%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=ycRZIiilhuid&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008954374267%7C_p_origin_prod%3A
Hot Hello Kitty Rhinestone Crystal Phone Case Chain For iPhone17 Air 16 12 13 14 15Pro Max X Xs XR 7 8 Plus SE Transparent Bu,$29.25 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4168cfca1ab941c2801047e44ca399f1v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4168cfca1ab941c2801047e44ca399f1v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb7569e4b99e64b8c9715ee33a0fe39bcA.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3e9cf8646d1456d86dd72dfa79eff9bj.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S534e5752d1224f9598e022ca9aa33a0bs.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Non-Slip', 'Main Material', 'Plastic', 'Design', 'Cartoon', 'Type', 'Half-Wrapped Case', 'Brand Name', 'Sanrio', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807029685810.html?spm=a2g0o.productlist.main.10.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-14&pdp_ext_f=%7B%22order%22%3A%22347%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2153.09%2129.25%21%21%21361.18%21199.00%21%402141115b17772053919635259e5474%2112000050877517348%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000205277695&curPageLogUid=t5ueHrqR3LUv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007216000562%7C_p_origin_prod%3A
Fashion Shiny Glitter Diamond Protective Cover For IPhone 17Air 16E 15 14 Plus ProMax Glitter Rhinestone Shockproof Protect Case,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb9fc57ea1c3b48d999758797dfad47020.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S739813e23c5a475aba11cae8785387f7S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S39d8f9d99c964c51a388a96a733bfb1d6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdcf80b48ebcf406ca00e2c3d27e430e0d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1253f43b511d42da9010aa5c7f4fc06cP.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Anti-Scratch,Anti-Fingerprint', 'Main Material', 'Pc + tpu', 'Design', 'Glitter', 'Type', 'Half-Wrapped Case', 'Origin', 'Mainland China', 'High-concerned chemical', 'None', 'Features', 'Shock Proof,Anti-Fingerprint,Anti-Scratch,Tough Case,Dustproof,Glitter,Non-Slip,Water-Resistant', 'Main materials', 'Pc + tpu', 'Design', 'Glitter', 'Type', 'Half-Wrapped Case', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256811607711523.html?spm=a2g0o.productlist.main.12.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-8&pdp_ext_f=%7B%22order%22%3A%22332%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.76%210.99%21%21%2139.15%216.70%21%402141115b17772053919635259e5474%2112000056579774473%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537339&curPageLogUid=DhEecv07X0Hi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011794026275%7C_p_origin_prod%3A
New Fashion 3D Bling Rhinestone Love Heart Phone Case For iPhone 17 16 15 14 13 12 Pro Max 16 15 14 Plus Aesthetics Clear Shell,$4.31 ,"https://ae-pic-a1.aliexpress-media.com/kf/S31496cd69f7e43efa9c3e31a5f48f64fz.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S31496cd69f7e43efa9c3e31a5f48f64fz.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S543cdc917a73406bad55f785b48718999.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8a041d7875b44a00a1561ee0906cbde3b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S38232dd4a31f4e14a62feecac790f3010.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'Washable,Anti-Scratch,Dual Layer,Dustproof,Non-Slip,lightweight', 'Main Material', 'Plastic', 'Design', 'Glitter,Pictorial,Plain,Cartoon', 'Type', 'Half-Wrapped Case', 'Brand Name', 'FUCHU', 'Origin', 'Mainland China', 'Support', 'Dropshipping,Wholesale,Retail', 'Category1', 'Mobile Phone Accessories', 'Category2', 'Mobile Bags and Cases', 'Category3', 'Phone and Telecommunications', 'Feature1', 'Fashion Phone Case', 'Feature2', 'Stylish Phone Case', 'Feature', 'Shockproof Phone Case', 'Feature3', 'INS Stylish Case', 'Feature4', 'Cute Phone Case', 'Material5', 'IMD', 'Material6', 'Soft Bumper Phone Case', 'Material7', 'Cartoon Phone Case', 'Material8', 'Lovely Phone Case', 'Material9', 'Aesthetics Phone Case', 'Material10', 'IIlustration Phone Case', 'Material11', 'Love Phone Case', 'Material12', 'Bling Phone Case', 'Material13', 'Funny Phone Case', 'Material14', 'Retro Phone Case', 'Material15', 'Sweet Phone Case']",https://www.aliexpress.us/item/3256809533969870.html?spm=a2g0o.productlist.main.13.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-16&pdp_ext_f=%7B%22order%22%3A%22320%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.95%214.31%21%21%2194.91%2129.36%21%402141115b17772053919635259e5474%2112000049947197707%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712598&curPageLogUid=zVB3jMvJvGVa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009720284622%7C_p_origin_prod%3A
"Hello Kitty Rhinestone Bling Leather Storage Case for Wired Headphones, Earphone, USB Cable, Cell Phones, Charger, Girl Gift Bag",$40.04 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc195ca27605948bcb4756ef6d1111d491.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc195ca27605948bcb4756ef6d1111d491.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S22d4d3d92c5d42e1a1f32154832ca800v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbfa99e50920143669654dcd198d5907cl.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1f9871afe163499bbc99e83b614968a9l.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Features', 'No Features', 'Main Material', 'Plastic', 'Design', 'Glitter', 'Type', 'Half-Wrapped Case', 'Brand Name', 'Sanrio', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807957672215.html?spm=a2g0o.productlist.main.14.41cd129c2mPDEa&algo_pvid=b55cdc96-1ab8-4104-96e1-5925645d93a3&algo_exp_id=b55cdc96-1ab8-4104-96e1-5925645d93a3-10&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2180.97%2140.04%21%21%21550.80%21272.40%21%402141115b17772053919635259e5474%2112000043977396141%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af2d8543c%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712597&curPageLogUid=JTcXUc7ANwDJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008143986967%7C_p_origin_prod%3A
