Name,Price,Images,Details,product_link
"Great Value 12-Pair Stud Earring Set | Multiple Stylish Designs, Versatile and Hypoallerginearling for Girls and Women",$0.23 ,"https://ae-pic-a1.aliexpress-media.com/kf/A0eaf79c51f074370bd85f01da711e901G.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A0eaf79c51f074370bd85f01da711e901G.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A391bedbd7a3a4856ab13ce8a3c416c9fb.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Adde0bcc042e9491d9c9443ee3bb71051t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A9dfc2c5d173d43f2bd2962be95ffcb40w.jpeg_220x220q75.jpeg_.avif","['High-concerned chemical', 'None', 'Style', 'Classic', 'Gender', 'Unisex', 'Material', 'Alloy', 'Metals Type', 'None', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Earring Type', 'Stud Earrings', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256810242933228.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-0&pdp_ext_f=%7B%22order%22%3A%2269%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.71%210.23%21%21%214.89%211.59%21%402102eaa317697086494564349ee5b9%2112000052379893337%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000200117437&curPageLogUid=I9Hndc47WibX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010429247980%7C_p_origin_prod%3A
"Perfect Pair of Mini Stud Earrings: Sleek Silver Design, Versatile for Daily & Party Wear",$0.23 ,"https://ae-pic-a1.aliexpress-media.com/kf/Ae415be10c49f4d28a0e6c3f5b7359cd26.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Ae415be10c49f4d28a0e6c3f5b7359cd26.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A46ae9d8a476547cea8e18e987b8bba7b3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Af3b0018f65b24219bcc6e51ffb65a97d7.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Acb94eedfac454aa49c0e571c4b40c416i.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'cubic zirconia', 'Metals Type', 'None', 'Earring Type', 'drop earrings', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256810428273886.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-1&pdp_ext_f=%7B%22order%22%3A%2284%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.75%210.23%21%21%215.17%211.61%21%402102eaa317697086494564349ee5b9%2112000052977824544%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000200096183&curPageLogUid=p7gHvNl8yhey&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010614588638%7C_p_origin_prod%3A
12 Pairs Set Stainless Steel Stud Earrings with Gemstone Buds Round Earrings Unisex Fashion Jewelry Gifts,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S9b311cf9990e482cb5b1d2d3074ca278o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S82bb385652824fbc908b176a54bd7e6aV.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/See16bae295f54f04a1eb70a6cb601d69L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbec6cce7436c45488b0ed95dd62d6b7eO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S11149756653c41e3b86f4076af611544K.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Style', 'Classic', 'Gender', 'Unisex', 'Material', 'Metal', 'Metals Type', 'Stainless steel', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Earring Type', 'Stud Earrings', 'Fine or Fashion', 'Fashion', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256811347433544.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-2&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.40%210.99%21%21%2123.45%216.83%21%402102eaa317697086494564349ee5b9%2112000055847522516%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=KxRRJAvpAEhU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011533748296%7C_p_origin_prod%3A
Lab Grown Ruby Pigeon Blood Red with AGL certificate Advanced DIY Jewelry Rings Earrings jewelry stone red gemstone lab ruby,$15.59 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb020cf829b704d84bcb65b352ba83bd42.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8fa33d9ea9b944d09f3b28446349b9a7P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S47b683895a304108a3f3aab67362cee66.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf056d0148e3e4ed58eb6513bc71819f2B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S20f87018ec164e4ea16d96732e308c715.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Certificate', 'Yes', 'Certificate Type', 'Third Party Appraisal', 'Main Stone', 'Ruby', 'Item Shape', 'Oval', 'Item Weight', '1ct', 'Origin', 'Mainland China', 'Item Type', 'beads', 'Fine or Fashion', 'Fine', 'certificate', 'AGL', 'color', 'Vivid red']",https://www.aliexpress.us/item/3256810013970116.html?aem_p4p_detail=2026012909440911546163043864100000190129&algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-3&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.09%2115.59%21%21%21118.00%21107.64%21%402102eaa317697086494564349ee5b9%2112000051503491770%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=Az0Rc9XYhear&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010200284868%7C_p_origin_prod%3A&search_p4p_id=2026012909440911546163043864100000190129_1
"1 Pcs Excalibur Demon Sword Ear Studs, Surgical Steel Wing Helix Conch Ear Piercing Jewelry, Anti-allergic Cartilage Earring",$4.21 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se4388fed94f1460bbea2e25456729967g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3dfd78299898449a99aec538335382ffL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc729b06757c24477859d41f753e7528dQ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S25a1615572394375b9de193203311fe5s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S939c54c8135f4bf5a7c02721e84d91a1Z.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Back Finding', 'Screw-back', 'Style', 'Cute/Romantic', 'Gender', 'Women', 'Material', 'Rhinestone', 'Shape\\pattern', 'Skeleton', 'Metals Type', 'Silver,None', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Earring Type', 'Stud Earrings', 'Fine or Fashion', 'Fashion', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256811355550540.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-4&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.07%214.21%21%21%21138.60%2129.08%21%402102eaa317697086494564349ee5b9%2112000055868395259%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000198366739&curPageLogUid=VMIjEAjM2tjW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011541865292%7C_p_origin_prod%3A
New 12 Pair/Pack White Shiny Wedding Stud Earrings Set For Women Men Crystal Jewelry Accessories Oorbellen Jewelry Earrings,$4.34 ,"https://ae-pic-a1.aliexpress-media.com/kf/S987c738fd22e42f48c84e6e54eb501a50.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d8851a0de5349f89e85df1401c173b41.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S52e5a13432d74152a57e004ca3ff09b2x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S19976ef1631c4a99a81894d69035684eT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb737efde826e4006b34848d2250f85abB.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'q0622', 'Gender', ""LOVERS'"", 'Shape\\pattern', 'SQUARE', 'Style', 'Classic', 'Material', 'cubic zirconia', 'Metals Type', 'Zinc Alloy', 'Earring Type', 'drop earrings', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Fine or Fashion', 'Fashion', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256811358975995.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-5&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.67%214.34%21%21%21142.76%2129.99%21%402102eaa317697086494564349ee5b9%2112000055882044577%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000198366739&curPageLogUid=lvOL9SgsuDxM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011545290747%7C_p_origin_prod%3A
"8pairs an eight-pair set of versatile dangle earrings. multiple styles for every occasion, perfect as a gift for her.",$0.24 ,"https://ae-pic-a1.aliexpress-media.com/kf/A412f0825064043a38b9c33ffbf130bd3i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A412f0825064043a38b9c33ffbf130bd3i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A592c590b776945fe828aba1178366333y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A935f8786dc7e4ea0ba46214df1ebc6030.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A811785e2ce0543e8b0641aab08a93a42J.jpg_220x220q75.jpg_.avif","['Plating', 'No Plating', 'High-concerned chemical', 'None', 'Gender', 'Unisex', 'Style', 'Classic', 'Material', 'Zinc Alloy', 'Metals Type', 'None', 'Earring Type', 'drop earrings', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256810446742279.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-6&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.74%210.24%21%21%215.10%211.65%21%402102eaa317697086494564349ee5b9%2112000053032858890%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000200118424&curPageLogUid=g4lSZ0hISbUd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010633057031%7C_p_origin_prod%3A
XIALUOKE Vintage Geometric Metal Leaf Stud Earrings For Women Punk Exaggerated Gold Color Earrings Party Jewelry Gifts,$1.22 ,"https://ae-pic-a1.aliexpress-media.com/kf/S79bd9884a680497da22065e50bcf7414H.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa53c73e2f18f4263b2070ffa6e267b67p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5265fb527caa4fc3bb5bfee8882249ebN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saaf7d9077c4c4039b90765f91aed9dccF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1f5e430d0b5e40eb99f15c35c0da2123U.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '888', 'Style', 'Hyperbole', 'Gender', 'Women', 'Material', 'Metal', 'Shape\\pattern', 'Geometric', 'Metals Type', 'Zinc Alloy', 'Brand Name', 'XIALUOKE', 'Item Type', 'Earrings', 'CN', 'Shandong', 'Fine or Fashion', 'Fashion', 'Origin', 'Mainland China', 'Earring Type', 'Stud Earrings', 'brand', 'XIALUOKE', 'Material', 'stud earrings', 'Shape', 'geometric', 'Fine or Fashion', 'Fashion', 'Item Type', 'Drop Earrings', 'Women Fashion', 'Long Tassel Drop Earrings', 'Suitable For', 'Women,Girls,Lady, Friends.', 'Occasions', 'Wedding/Party/Engagement']",https://www.aliexpress.us/item/3256807076429322.html?aem_p4p_detail=2026012909440911546163043864100000190129&algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-7&pdp_ext_f=%7B%22order%22%3A%22389%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.96%211.22%21%21%211.96%211.22%21%402102eaa317697086494564349ee5b9%2112000039988718981%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895&curPageLogUid=CRcXLXipf2XN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007262744074%7C_p_origin_prod%3A&search_p4p_id=2026012909440911546163043864100000190129_2
"12-Pair Earring Bulk Set: Versatile Everyday Studs, Extensive Collection for Mix & Match",$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/A8c3ec67902c840edab2687ac82b0a09cM.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A8c3ec67902c840edab2687ac82b0a09cM.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/A391bedbd7a3a4856ab13ce8a3c416c9fb.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Adde0bcc042e9491d9c9443ee3bb71051t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Abef21cabe52048d7a92ed862068fa66ds.jpeg_220x220q75.jpeg_.avif","['High-concerned chemical', 'None', 'Style', 'Classic', 'Gender', 'Unisex', 'Material', 'Alloy', 'Metals Type', 'None', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Earring Type', 'Stud Earrings', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256810429229770.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-8&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.44%210.99%21%21%2123.79%216.87%21%402102eaa317697086494564349ee5b9%2112000052979993879%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=CwLupBRGLzwc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010615544522%7C_p_origin_prod%3A
Natural Gold Nugget Stud Earrings for Women Fashion 18K Gold Plated Statement Jewelry Party Gift,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S0258604ca2a74d00a225fc7a03a2cbebX.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac89caab28524cf096dfa49f7f4ea66br.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/See3ecf9ec921496488a695d843c5bbc9q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S06b9bb3995fc421f9aa2e8d97a0fd95de.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scfb0af60ad8d468bba9275df6ab63ae1F.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Alloy', 'Metals Type', 'Zinc Alloy', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'Earrings', 'Earring Type', 'Stud Earrings', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256810443198084.html?algo_pvid=8c6c222c-d7fa-488b-82a9-94306a044067&algo_exp_id=8c6c222c-d7fa-488b-82a9-94306a044067-9&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.43%210.99%21%21%2123.72%216.86%21%402102eaa317697086494564349ee5b9%2112000053024166440%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A55753df4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=LWTbmE6OwRtV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010629512836%7C_p_origin_prod%3A
