Name,Price,Images,Details,product_link
"AB solid color beads, acrylic beads, red, white, DIY phone chain, necklace, pendant, loose beads. decorative beads",$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd05c198e3fe341ed848e19602f925f625.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa2459c3129c748b08befc9b3a8296272Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7b52df51bc9f424e94f3f1d43425da33l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12ed781402a1420b9f27943c7045a863l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1e61825e55ee4cf98539c5afbc378198U.jpg_220x220q75.jpg_.avif","['Style', 'Sweet', 'Recommend Age', 'Over 14 years old', 'High-concerned chemical', 'None', 'Material', 'Acrylic', 'Item Shape', 'Round Shape', 'Outer Diameter', 'size', 'Item Type', 'beads', 'Fine or Fashion', 'Fashion', 'Metal Type', 'None', 'Origin', 'Mainland China', 'Brand Name', 'QYWCTZ', 'Metal Type', 'None', 'Outer Diameter', 'size', 'Item Weight', '50g']",https://www.aliexpress.us/item/3256811344294706.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-0&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.28%210.99%21%21%2136.54%216.84%21%40212a70c117693372031291939e0488%2112000055836024426%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=nNA3svX14QeT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011530609458%7C_p_origin_prod%3A
"Silver Wire 925 For Jewelry Making, 0.3-2mm Sterling Silver Round Wire For Jewelry DIY, Beading Wire Accessories , 1 Meter",$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/HTB1Zv2fa5LrK1Rjy1zdq6ynnpXa0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/HTB1kxHia0fvK1RjSspfq6zzXFXay.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S62efeaa26a3c4328a9de75e7f33fc7b1t.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Item Length', '100cm', 'Product Features', '925 Silver Wire For Jewelry Making', 'Material', 'Silver', 'Jewelry Findings Type', 'Wire', 'Brand Name', 'justneo', 'Origin', 'Mainland China', 'Item Type', 'jewelry findings']",https://www.aliexpress.us/item/2251801550678509.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-2&pdp_ext_f=%7B%22order%22%3A%22636%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.60%210.99%21%21%218.60%210.99%21%40212a70c117693372031291939e0488%2112000051822177179%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=WMYdqd5DknFF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1736993261%7C_p_origin_prod%3A
YHB 3 4 6 8mm Bicone Perforated bead Glass Beads Crystal Rhinestones For Jewelry Making DIY Bracelet 40color 5238,$3.41 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sfc2f7dfc0be540469ef4cb6e9306d155U.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbfce74ac385443be90938ee00100266ez.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3fb9b8ad3b6749c3a96e6df92c7b19bcR.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2e724f0dfb1a4a2d80469662a92a02beF.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf8589c54029a4d4193ea561da65d5cbav.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Facet Count', 'Non-Standard', 'High-concerned chemical', 'None', 'is_customized', 'No', 'Model Number', 'B5238', 'Material', 'Glass', 'Shape', 'Irregular', 'Rhinestones Type', 'Loose Rhinestones', 'Origin', 'Mainland China', 'Product Type', 'Rhinestones']",https://www.aliexpress.us/item/3256810119087711.html?aem_p4p_detail=202601250233232238464526782520001889576&algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-3&pdp_ext_f=%7B%22order%22%3A%22132%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.69%213.41%21%21%215.69%213.41%21%40212a70c117693372031291939e0488%2112000051870240278%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895&curPageLogUid=WNLDcAnxsWf7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010305402463%7C_p_origin_prod%3A&search_p4p_id=202601250233232238464526782520001889576_1
10pcs/Lot Pretty Big Hole Snowflake Metal Beads 10.5x6mm Handmade Christmas Winter Jewelry Charms Spacer DIY Bracelets Necklace,$0.99/lot,"https://ae-pic-a1.aliexpress-media.com/kf/S974c3299f8ee4196b2c11e110a7d0c64Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S974c3299f8ee4196b2c11e110a7d0c64Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa9b3cb54af424064b18b448b6fa7c092j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9f9b0feaa0e2409c9aeab0fbc3b3eb21C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sec7c1ffeda0e453f9560606eb1102f935.jpg_220x220q75.jpg_.avif","['Metal Type', 'Zinc Alloy', 'Metals Type', 'zinc alloy', 'Outer Diameter', '10mm', 'Item Weight', '1.7g', 'Model Number', 'B088', 'Item Shape', 'IRREGULAR', 'Material', 'Metal', 'Brand Name', 'TOM YANG', 'Origin', 'Mainland China', 'Fine or Fashion', 'Fashion', 'Item Type', 'beads', 'Color', 'as photo', 'Marerial', 'zinc alloy', 'Outside size', '10.5x6mm', 'Inner size', '4.5mm', 'Package', '10pcs/lot', 'Item', 'snowflake loose beads', 'Type', 'charm beads', 'Feature', 'christmas beads', 'Pattern', 'spacer beads', 'Usage', 'beads for DIY jewelry making']",https://www.aliexpress.us/item/3256806611349449.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-4&pdp_ext_f=%7B%22order%22%3A%22143%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.77%210.99%21%21%211.77%210.99%21%40212a70c117693372031291939e0488%2112000038337190069%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=msnjOQS4tl7C&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006797664201%7C_p_origin_prod%3A
15 Grid Box DIY Metal Accessories Jewelry Making Material Set For Jewelry Making Bracelet Earrings Accessories About 1260pcs,$8.24 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf520054847df4fdfbeb11d6c9a5d567f4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf520054847df4fdfbeb11d6c9a5d567f4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdd292a2fb8654b05b63821a4a1e6e7d5H.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S36a10721cd554a8283972cf458b57a5a3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S66ed1876c6924e6f8536cff1723711a3c.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Metals Type', 'Iron', 'Model Number', 'BDH308', 'Material', 'Metal', 'Jewelry Findings Type', 'Clasps & Hooks', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'jewelry findings', 'Item Weight', '145g']",https://www.aliexpress.us/item/3256808501194878.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-5&pdp_ext_f=%7B%22order%22%3A%22231%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.24%218.24%21%21%2157.02%2157.02%21%40212a70c117693372031291939e0488%2112000046245384751%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895&curPageLogUid=4fmNeGU4NwkP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008687509630%7C_p_origin_prod%3A
"14/18K Gold Plated Brass Metal Round Spacer Beads For Jewelry Making, 2-6mm Separators For Beads, Supplies for jewelry.",$0.99/lot,"https://ae-pic-a1.aliexpress-media.com/kf/S68dcf733b1ce4c61abfc2237446befe6C.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7e9d0a8aa3254341baa1053e7eea9694k.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H11eba1f2ca894202a72b6c5dee76d1fbH.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7e25f2c1de5442079e42a4505d752264j.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc879a677cb8f4301b650535a7f728b6d4.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Metals Type', 'Copper', 'Model Number', 'Ronud Metal Ball Spacer Beads DIY Jewellery Making', 'Item Length', '0.2cm', 'Product Features', 'Real Gold Plated Round Ball Loose Beads', 'Item Width', '0.2cm', 'Material', 'Metal', 'Jewelry Findings Type', 'Loose Bead', 'Brand Name', 'FINRUSIAC', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'jewelry findings', 'Item Height', '0.2', 'Item Weight', '0.2', 'Item Diameter', '0.2', 'Plating', 'Real Gold Plated , lasting color retention', 'Material', 'Copper / Brass metal + gold plated', 'Excellent polishing', 'Mirror polishing technology, manually polishing', 'Shape\\pattern', 'Round Shape', 'Quality', 'High Quality', 'Wholesale', 'Available', 'Handmade DIY Crafts', 'Separators Beads For Bracelet Necklace Making', 'Beads size', '2mm,2.5mm,3mm,4mm,5mm,6mm']",https://www.aliexpress.us/item/3256804274381778.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-6&pdp_ext_f=%7B%22order%22%3A%22964%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.12%210.99%21%21%216.12%210.99%21%40212a70c117693372031291939e0488%2112000029249097616%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=ulZmlkXik1fm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004460696530%7C_p_origin_prod%3A
20g/Lot Mixed Classical Beads Acrylic Loose Spacer Bead for DIY Bracelet Beaded Material Jewelry Making Accessories Supplies,$0.99/lot,"https://ae-pic-a1.aliexpress-media.com/kf/Sdc7a33f9690e491b96787d5caf2451bdr.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S081ccddea8004cd0a40393db244d62adw.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a24150b491142a79dd1a489a7fb1a8bb.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa73c051f6304477d913111f877fa7a1dR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S385badac38d3461faa85738f30616fb3d.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Glass', 'Item Shape', 'IRREGULAR', 'Model Number', 'AC2962', 'Outer Diameter', '8mm', 'Item Type', 'beads', 'Fine or Fashion', 'Fine', 'Metal Type', 'None', 'Origin', 'Mainland China', 'Brand Name', 'St.kunkka', 'Item Weight', '20', 'Metal Type', 'None', 'Feature', 'Loose Spacer Beads', 'Style', 'DIY Necklace Bracelet Findings Accessories', 'Package', '20grams', 'product', 'Classical beads', 'Beads style', 'Gilded bead']",https://www.aliexpress.us/item/3256806580227193.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-8&pdp_ext_f=%7B%22order%22%3A%22801%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.60%210.99%21%21%211.60%210.99%21%40212a70c117693372031291939e0488%2112000038230117216%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=xbHXzr6XCbjf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006766541945%7C_p_origin_prod%3A
Alloy Accessories Jewelry Findings Set Repair Tools Lobster Clasp Open Jump Rings Earring Hooks for DIY Jewelry Making Supplies,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc57651c974924d4fa807245ac75d1f12e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H3c8dfddaf3c046c3b8e0fecb4ab493d4t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H841924a68241426c8291eef6d43999cfy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H72954289eb4749f8b1057dcffeeacead7.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H8d5e6940ee014fa4b424c2c75176f88eo.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Metals Type', 'Zinc Alloy', 'Model Number', 'KT0034', 'Item Length', '1cm', 'Product Features', 'jewelry making', 'Item Width', '1cm', 'Material', 'Metal', 'Jewelry Findings Type', 'Clasps & Hooks', 'Brand Name', 'St.kunkka', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Diameter', '2cm', 'Item Height', '1cm', 'Item Type', 'jewelry findings', 'Item Weight', '80g', 'Pattern', 'Jewelry Findings Set', 'Color', 'Gold/Silver/bronze/Gun Black/KC Gold/Rhodium', 'Quantity', '1 set', 'Usage', 'For earring jewelry making', 'Usage 1', 'Connect For jewelry making', 'Usage 2', 'For Diy Jewelry Finding Making Supplies Accessories', 'Usage 3', 'screw clasp for jewelry making']",https://www.aliexpress.us/item/3256802261532564.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-9&pdp_ext_f=%7B%22order%22%3A%222450%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.11%210.99%21%21%212.11%210.99%21%40212a70c117693372031291939e0488%2112000029414891053%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=or33gb7Mwau8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002447847316%7C_p_origin_prod%3A
"20/100 pieces mixed zinc alloy cross set series, fashionable jewelry necklace making DIY craft Halloween Christmas accessories",$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S7eda9b09d8c3404f9b1aba06e1f7b9afv.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7eda9b09d8c3404f9b1aba06e1f7b9afv.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb1f896a37cd94ec98fd88a0f2cca6cfaz.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/See8dd1da8a614580bd3230df0c95a5302.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S620f64c618064574b9b4146cfce09650c.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Material', 'Metal', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Item Type', 'jewelry findings']",https://www.aliexpress.us/item/3256807729352268.html?algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-10&pdp_ext_f=%7B%22order%22%3A%22147%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.31%210.99%21%21%21105.97%216.85%21%40212a70c117693372031291939e0488%2112000042826943727%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=a6fGlsV3JtRp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007915667020%7C_p_origin_prod%3A
4/6mm Natural Multicolor Tourmaline Stone Rondelle Beads For DIY Jewelry Making Bracelets Necklaces Jewelry Materials 15inches,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5baac917dec949e3923e04711591ae7fy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5baac917dec949e3923e04711591ae7fy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S05fc37026a214dfd814209e8fe621c6cy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa6d173ba1925487385fd035184c92e62l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6f71c5bd146421e94dd4125d6bd0f5b4.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Metal Type', 'None', 'Outer Diameter', '4mm', 'Model Number', 'Y3590', 'Item Shape', 'Rondelle', 'Material', 'Stone', 'Brand Name', 'IYKWIM', 'Item Type', 'beads', 'Item Weight', '15.3g', 'Metal Type', 'None', 'Fine or Fashion', 'Fashion', 'Origin', 'Mainland China', 'Outer Diameter', '4mm']",https://www.aliexpress.us/item/3256810007523917.html?aem_p4p_detail=202601250233232238464526782520001889576&algo_pvid=ddc52086-e2de-4536-8f91-0b3fe0ab3974&algo_exp_id=ddc52086-e2de-4536-8f91-0b3fe0ab3974-11&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.35%210.99%21%21%217.35%210.99%21%40212a70c117693372031291939e0488%2112000051478664380%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A58f9f050%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=QYLyz6SNZ2cf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010193838669%7C_p_origin_prod%3A&search_p4p_id=202601250233232238464526782520001889576_3
