Name,Price,Images,Details,product_link
"Waist Chain for Women Waterproof, 14K Gold Plated STAINLESS STEEL Layered Belly Chain Sexy Bikini Satellite Beads Body Jewelry",$2.46 ,"https://ae-pic-a1.aliexpress-media.com/kf/S0015c4f8c5dc4e46aba7003840d9659cy.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc471c12895424515b57ad82b088f8a63l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S170bbc0e032340f5bddafa0a9c01ab9c7.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa5be189e0f534f93bd40e9b80496052cC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6004adfcced84949927eb40b74d733f1x.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'BIGG67545', 'Shape\\pattern', 'Geometric', 'Style', 'Bohemia', 'Body Jewelry Type', 'Belly Chains', 'Material', 'Metal', 'Metals Type', 'Stainless steel', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China', 'Brand Name', 'duobeiduo']",https://www.aliexpress.us/item/3256810584965699.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-1&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.70%212.46%21%21%2180.72%2116.97%21%4021030a4b17705642768483814ebefb%2112000053459471040%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895%3BpisId%3A5000000200546715&curPageLogUid=GyxUGS8ydgTf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010771280451%7C_p_origin_prod%3A
Stainless Steel Gothic Sharp Teeth Lip Clip for Women Men Punk Non Piercing Fake Body Piercing Halloween Jewelry Accessories,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4cff974a48174eff897d29cde66fb72av.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4cff974a48174eff897d29cde66fb72av.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5d6de52d36ac4a6b846ec71912723e7bu.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6e890881b0b6408488c9aeed9ea2febaf.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scc13fe98b0b9440f987e434958fbba17r.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'Rivet Labret Piercing', 'Shape\\pattern', 'Geometric', 'Style', 'Punk', 'Body Jewelry Type', 'Labret, Lip Piercing Jewelry', 'Material', 'Metal', 'Metals Type', 'Stainless steel', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China', 'Gender', 'Children, Unisex, Women', 'Feature', 'High Quality', 'Accept', 'Drop shipping / Wholesale', 'Drop shipping / Wholesale', 'Drop shipping Accept Wholesale Discount', 'Season', 'Spring Summer Fall Winter', 'Gift For', 'Lover Women Girls Friends Mother Daughter', 'Style', 'Fashion Classic Vintage Ethnic Casual/Sporty/Punk']",https://www.aliexpress.us/item/3256808426156712.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-2&pdp_ext_f=%7B%22order%22%3A%224771%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.49%210.99%21%21%2110.27%216.82%21%4021030a4b17705642768483814ebefb%2112000045947991985%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=VVuW9OJfXC9x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008612471464%7C_p_origin_prod%3A
F136 Titanium Alloy New Trend White and Green Zirconia Stud Earring Set Fashion Ear Cartilage and Lip Piercing Body Jewellery,$2.34 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5dd4c5bacae84458b727b59895cf93a5w.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sebb652f0510b4a1f8563a8fa158c445di.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1f882d9cc17749638dac336cc19e21744.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2930c58d39044b638a7747a596c7df41A.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se56d4301383d4a9ca339e44ab2a2dcccs.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Style', 'Punk', 'Material', 'cubic zirconia', 'Metals Type', 'Titanium', 'Brand Name', 'PUTITUP', 'Origin', 'Mainland China', 'Item Type', 'Body Jewelry', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256809971449140.html?aem_p4p_detail=202602080724368782849270396900001724169&algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-3&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.34%212.34%21%21%213.34%212.34%21%4021030a4b17705642768483814ebefb%2112000051354251557%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895&curPageLogUid=E3qZZJswFnp1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010157763892%7C_p_origin_prod%3A&search_p4p_id=202602080724368782849270396900001724169_1
Women's Sexy Fashion Cross Chain Necklace Night Circle Trend Body Chain Jewelry Wholesale,$5.96 ,"https://ae-pic-a1.aliexpress-media.com/kf/S34a9b13c04924c6ba05b6ae3ed0aa4e2w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S814e9677f14a439e8c6f771466f935a90.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa8fdfccbd56448109c6adc4efd580a04v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S45f6a9c0fba240a381fdf9f44b8a3021Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa938123048e647a8962084863620173aI.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'Mg0', 'Shape\\pattern', 'Cross', 'Style', 'Casual/Sporty', 'Body Jewelry Type', 'Retainers & Hide-it Jewelry', 'Material', 'Metal', 'Metals Type', 'Stainless steel', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256809701052134.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-4&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.92%215.96%21%21%2182.27%2141.13%21%4021030a4b17705642768483814ebefb%2112000050512029041%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895&curPageLogUid=RnvkyXqDwhOg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009887366886%7C_p_origin_prod%3A
Double Layer Bead Ladies Waist Belly Chain Piercing Jewelry Fashion Body Trendy Jewelry Accessories Spring Summer Gifts,$4.11 ,"https://ae-pic-a1.aliexpress-media.com/kf/S7c4cf7b5efdd485a81b69601c4e1de97f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3a9e720d9c6344f5af0d937099ea0dcdk.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4d0995210fa24277b30b2b5435552d5bU.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6126b37a672f4d46b9206e2a34a684e8E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S40fd2f8f59c14b688c0e5a1b5163b707p.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', '1', 'Shape\\pattern', 'Round', 'Style', 'TRENDY', 'Body Jewelry Type', 'Belly Chains', 'Material', 'Metal', 'Metals Type', 'Zinc Alloy', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China', 'Brand Name', 'YIYUEQIANLI', 'Colour', 'Gold, Silver', 'Product category', 'Body chain', 'Sculpt', 'Geometric type', 'Type', 'Waist chain', 'Pattern', 'Women', 'Treatment process', 'Electroplating']",https://www.aliexpress.us/item/3256811397990517.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-5&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.57%214.11%21%21%21135.04%2128.36%21%4021030a4b17705642768483814ebefb%2112000055985392098%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895%3BpisId%3A5000000200546715&curPageLogUid=Q0Tp5rOETmFP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011584305269%7C_p_origin_prod%3A
Luxury Square Crystal Chest Chain for Women Multilayer Silver Color Metal Beads Zircon Body Chain Sexy Beach Bikini Jewelry Gift,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S85806598c79b41dc82ffa73a1c7263ee1.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9a01ddbdb8104056bc2d4bbed7531114C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S762565b104ef488a8f43b9efa7e2598cR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb495573499824b798d94583d194d8ef1g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S078377f2c1974127883f73c16ec628074.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'Chest Chain', 'Style', 'TRENDY', 'Body Jewelry Type', 'Belly Chains', 'Material', 'Metal', 'Metals Type', 'Zinc Alloy', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256807345394993.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-6&pdp_ext_f=%7B%22order%22%3A%221723%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.96%210.99%21%21%2120.40%216.80%21%4021030a4b17705642768483814ebefb%2112000041179128143%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=JCGuDv1RMCLR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007531709745%7C_p_origin_prod%3A
F136 Titanium Alloy High-Quality Luxury Hinged Earring Fashionable and Elegant Style Nasal Septum Ring Body Piercing Jewellery,$5.63 ,"https://ae-pic-a1.aliexpress-media.com/kf/Scfe9c7fbdbde4a429609c0ebb636d168o.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf64e51eb86334489a52306b8b2080008v.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc6515611b1114b9c92cea16ed76ad150J.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2312434c4cfd4585a900f083fb7000b6K.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se2c97166a8a04486b1f1caa2d26b11d24.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Style', 'Classic', 'Material', 'cubic zirconia', 'Metals Type', 'Titanium', 'Brand Name', 'PUTITUP', 'Origin', 'Mainland China', 'Item Type', 'Body Jewelry', 'Fine or Fashion', 'Fashion']",https://www.aliexpress.us/item/3256809974842263.html?aem_p4p_detail=202602080724368782849270396900001724169&algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-7&pdp_ext_f=%7B%22order%22%3A%22170%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.05%215.63%21%21%218.05%215.63%21%4021030a4b17705642768483814ebefb%2112000051363211656%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895&curPageLogUid=WBDskBcqLnUb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010161157015%7C_p_origin_prod%3A&search_p4p_id=202602080724368782849270396900001724169_2
IngeSight.Z Sexy Sequins Hanging Neck Bra Top Chest Chain Women Summer Beach Crystal Tassel Pendant Body Festival Y2K Jewelry,$6.97 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc85ffdec5e2a47c9b06035adf681212cZ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc85ffdec5e2a47c9b06035adf681212cZ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S153b9b09b14d43b68eb670409ffa1169N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S040833366e094fbca56a114f6903dd00M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb75bf923a1704e75b27cb35d795e429fM.jpg_220x220q75.jpg_.avif","['Model Number', 'D00930K1', 'Shape\\pattern', 'Geometric', 'Style', 'TRENDY', 'Body Jewelry Type', 'Leg Chain', 'Material', 'Plastic', 'Metals Type', 'Iron Alloy', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China', 'Brand Name', 'IngeSight.Z']",https://www.aliexpress.us/item/3256805714678413.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-8&pdp_ext_f=%7B%22order%22%3A%2260%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2147.71%216.97%21%21%21329.25%2148.08%21%4021030a4b17705642768483814ebefb%2112000034771624709%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=rbQvCdihn1Ki&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005900993165%7C_p_origin_prod%3A
Fashion Trendy Chain Jewelry Accessories Sexy Simple Cross Body Chain Integrated Chain Body chain colar Jewelry Gifts for Her,$1.58 ,"https://ae-pic-a1.aliexpress-media.com/kf/S793fb98e97d044c787328aeb57506f5dc.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc96f449ab60a4c349bfb4306dd5d2c3e0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8ef20fc1459149b385140e3da59ec69bt.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S34bd113e4d3247fe96fbd5d8a6cd5bc3C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac94ef00533b4aeb904276348ac0ff45j.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Model Number', 'Gold-color', 'Shape\\pattern', 'Water Drop', 'Style', 'Vintage', 'Body Jewelry Type', 'Belly Chains', 'Material', 'Metal', 'Metals Type', 'None', 'Fine or Fashion', 'Fashion', 'Item Type', 'Body Jewelry', 'Origin', 'Mainland China']",https://www.aliexpress.us/item/3256805699287328.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-9&pdp_ext_f=%7B%22order%22%3A%22664%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.58%211.58%21%21%2110.93%2110.93%21%4021030a4b17705642768483814ebefb%2112000034701839754%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895&curPageLogUid=CK9lNW9GyaOp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005885602080%7C_p_origin_prod%3A
Sexy Flower Rhinestone Chest Stickers Jewelry for Women Shine Rhinestone Non Piercing Body Jewelry Accessories Festivel Gift,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8669686515a942059aa47e901fc4e4ecd.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd8363a87498c400e8e4b5f715373d4e7l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S479cac4e03344e1ca6b48874d4676fb8N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sadd0f322ea724bd1a2823a21e3a2b95fw.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9987ad06133e448e9829893a65623f68d.jpg_220x220q75.jpg_.avif","['Model Number', 'Rhinestone Chest Stickers', 'Shape\\pattern', 'Geometric', 'Style', 'TRENDY', 'Body Jewelry Type', 'Retainers & Hide-it Jewelry', 'Material', 'Rhinestone', 'Metals Type', 'Copper']",https://www.aliexpress.us/item/3256806094514942.html?algo_pvid=4fc3785d-b12f-4932-9f3c-b730767b3905&algo_exp_id=4fc3785d-b12f-4932-9f3c-b730767b3905-10&pdp_ext_f=%7B%22order%22%3A%22102%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.80%210.99%21%21%2133.10%216.82%21%4021030a4b17705642768483814ebefb%2112000036593665155%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af424b058%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=Q1tFDTwGsHxM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006280829694%7C_p_origin_prod%3A
