Name,Price,Images,Details,product_link
Christmas Anime Smiling Friends Print Hoodies Alan Mr.Frog Glep Pim Charlie Mr. Boss Sweatshirts Winter Hooded Pullovers Men,$19.66,"https://ae-pic-a1.aliexpress-media.com/kf/Sef3188fd16cf42dd8c6c94906aa4d7b7f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S89eeae48658847f398d1841ee3fdd636j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb51d83499d08465895f27f499f141fd57.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S35e054d87c7a4782887c86ca0852b4b6b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac93ef7c69804aa2b28a44108147f2847.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Model Number', 'Hoodie', 'Type', 'regular', 'Detachable Part', 'None', 'Hooded', 'Yes', 'Pattern Type', 'Print', 'Clothing Length', 'regular', 'Material', 'COTTON,POLYESTER', 'Style', 'Casual', 'Collar', 'O-Neck', 'Sleeve Style', 'regular', 'Closure Type', 'None', 'Sleeve Length(cm)', 'Full', 'Origin', 'US(Origin)', 'Gender', 'Men', 'Item Type', 'HOODIES', 'Men', 'Men', 'Hoodies Men', 'Hoodies Men', 'Sweatshirt', 'Sweatshirt', 'Winter Sportswear', 'Winter Sportswear', 'Manga Cartoon', 'Manga Cartoon', 'Male', 'Male', 'Printing', 'smiling friends', 'Graphic', 'smiling friends', 'Print', 'smiling friends']",https://www.aliexpress.us/item/3256810214463029.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-0&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2162.41%2119.66%21%21%21436.72%21137.58%21%402141131717661615485334379e57d6%2112000052285828656%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000195579255&curPageLogUid=mP0DesHsB7zD&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010400777781%7C_p_origin_prod%3A
Men's Graphic Oversized Hoodies Y2k Zip Up Long Sleeve Hooded Sweatshirt Jacket Streetwear,$20.45,"https://ae-pic-a1.aliexpress-media.com/kf/Sea9f3b5d12d14f4caf4f27a0c4dda04fR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6420157b5e524f51a5c5cccc32615a99V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S643dda839ef54585afc8e5db03f5a50c3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6eab7599b514da49c59878364fe86258.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c15165e97474eb180bef35dea68e8a8B.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Material', 'POLYESTER', 'Style', 'Casual', 'Closure Type', 'Zipper', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Fujian']",https://www.aliexpress.us/item/3256809754111609.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-1&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2160.85%2120.45%21%21%21425.80%21143.09%21%402141131717661615485334379e57d6%2112000050633789263%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773236&curPageLogUid=JO5k8A1ZSQWS&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009940426361%7C_p_origin_prod%3A
Zipper Hoodies Autumn Winter Men's New Long Sleeve Hooded Sweatshirt Fashion Casual Male Outfit Sportwear Loose Fit Clothes,$7.99,"https://ae-pic-a1.aliexpress-media.com/kf/S63465b8fd9104000a3a0b3f36b321440M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sedc473da2386497f982932b879933c4az.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2256f70e868b4221822ab377f4df19f3f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S288d0260643e4ee880824101ecf7b210F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf71bf7b61dc04d0ebc60056161b5e917f.jpg_220x220q75.jpg_.avif","['Applicable Season', 'Spring And Summer', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Type', 'regular', 'Hooded', 'Yes', 'Pattern Type', 'Solid', 'Clothing Length', 'regular', 'Material', 'COTTON,POLYESTER', 'Style', 'Casual', 'Sleeve Style', 'regular', 'Closure Type', 'Zipper', 'Sleeve Length(cm)', 'Full', 'Item Type', 'HOODIES', 'CN', 'Fujian', 'Origin', 'Mainland China', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806809077388.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-2&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%229137%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006995392140%22%2C%22orig_item_id%22%3A%221005007168500064%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.66%217.99%21%21%21116.62%2155.98%21%402141131717661615485334379e57d6%2112000038985575904%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895&curPageLogUid=aYLhvhxI8mSc&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005006995392140%7C_p_origin_prod%3A1005007168500064
Men's Women's Solid Color Hooded Sweatshirts for Man New in Hoodies & Sweatshirts Streetwear Sports Hoodie Sweatshir Male,$5.91,"https://ae-pic-a1.aliexpress-media.com/kf/S38754794df1a4fe2ae4f28931b5878d1e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3d81cb2153784ecd9551b5d6f8f86a536.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa28123e3e642469886473c6170822a68G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S90956a2e5bac4b06ac636211e9bfc690H.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc02c7e93175743d092fac6c541fc72a8p.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Trip', 'Hooded', 'Yes', 'Material', 'POLYESTER', 'Style', 'Casual', 'Collar', 'Hooded', 'Closure Type', 'None', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Jiangxi', 'Origin', 'Mainland China', 'whether full opening', 'NO', 'Detachable Part', 'None', 'Man hoodie', 'Man sweatshirts', 'Gender', 'Men', 'Place Of Origin', 'China (mainland)', 'Applicable Scene', 'Shopping', 'Applicable Season', 'Four Seasons', 'Style', 'High Street', 'Collar', 'Hooded', 'Sleeve Style', 'Regular', 'Material', 'POLYESTER', 'Item Type', 'HOODIES', 'CN', 'Jiangxi', 'Craft of Weaving', 'Other', 'Thickness', 'Standard', 'Clothing Length', 'Regular', 'Type', 'Regular', 'Hooded', 'Yes', 'Pattern Type', 'Print', 'Man hoodie1', 'y2k clothes', 'Man hoodie2', 'New hoodie', 'Closure Type', 'None', 'Man hoodie3', 'y2k hoodies', 'Man hoodie4', 'new sweatshirt', 'Man hoodie5', 'clothes for men']",https://www.aliexpress.us/item/3256810146357407.html?aem_p4p_detail=2025121908254810522676619473040001894094&algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-3&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.78%215.91%21%21%21103.46%2141.38%21%402141131717661615485334379e57d6%2112000052002163251%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895&curPageLogUid=DgXjSetpYBzG&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010332672159%7C_p_origin_prod%3A&search_p4p_id=2025121908254810522676619473040001894094_1
Y2k Hoodie Graphic Zip Up Hoodies Hip Hop Streetwear Aesthetic Sweatshirts Oversized Vintage Outfit,$19.49,"https://ae-pic-a1.aliexpress-media.com/kf/Scd1b8902457844f385338a73bd728a35v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se557ef6bf27c45c19b22bdd37a5d4ffaX.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdcd24f106c934a61aea0e46310157fc1S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se87101b85a81436f9e9a3d9ae4e28241Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa77cbb2cdc254c458c63ccc14edc84ebF.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Material', 'POLYESTER', 'Style', 'Casual', 'Closure Type', 'Zipper', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809633389352.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-4&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%2231%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2158.51%2119.49%21%21%21409.42%21136.37%21%402141131717661615485334379e57d6%2112000050270893162%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773236&curPageLogUid=aumZdJVDIZoD&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009819704104%7C_p_origin_prod%3A
Famous album Charli Xcx Brat printed men's pattern hooded sweatshirt Fashionable hooded sweatshirt men's casual sweatshirt,$20.89,"https://ae-pic-a1.aliexpress-media.com/kf/S9cbfb0bc9e4648f895f4e16529085c65U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c156b8a81344cda91fad1440709131fs.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc795c33198684e63be3c187fe88e09c4b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S82ee74fb07274987bd1ae5ca2b242ae9g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Safd7609fb5e74a04a7b33c63577bae103.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Daily', 'Material', 'COTTON', 'Style', 'Casual', 'Closure Type', 'Pullover', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810150236608.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-5&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2166.31%2120.89%21%21%21464.02%21146.19%21%402141131717661615485334379e57d6%2112000052024508922%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000195579255&curPageLogUid=LSEAxy0IQMCb&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010336551360%7C_p_origin_prod%3A
Juice WRLD Hoodies Men 50% Cotton Sweatshirts for Fans Casual Long Sleeve Print Hip Hop Casual Hoodie Vintage Y2k Clothes,$24.48,"https://ae-pic-a1.aliexpress-media.com/kf/S4caa4041b59746b3905b11572c51a950S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf2a9f51081e344ba89b5a05a852a29586.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4e58e68307da4b1db2f2b0b9d0257064v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S453ef214b0c14579ab7c7fcfa6ff6114E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd8f05fc2441741f0b6ca9847e8615abdu.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)', 'Type', 'regular', 'Detachable Part', 'None', 'Hooded', 'Yes', 'Pattern Type', 'Print', 'Clothing Length', 'regular', 'Material', 'COTTON,POLYESTER', 'Style', 'basics', 'Collar', 'Hooded', 'Sleeve Style', 'regular', 'Closure Type', 'None', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Gender', 'Men', 'Item Type', 'HOODIES']",https://www.aliexpress.us/item/3256810135818370.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-6&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2170.21%2124.48%21%21%21491.31%21171.29%21%402141131717661615485334379e57d6%2112000051948768678%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000197030033&curPageLogUid=DAdVHOde57b8&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010322133122%7C_p_origin_prod%3A
MUJER Zip up Hoodies Women Autumn Hooded Sweatshirt Woman Long Sleeve Oversized Women's Sweatshirts Zip Hoodie Women Jackets,$19.01,"https://ae-pic-a1.aliexpress-media.com/kf/Sf54cf35508b0467a96a978f02b9a5da1V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S56ed6ac1f89846579cb1f673eb9c45bcX.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8d017a425b5c454cae98b3c3e1a3b9ebL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S038bcb53a0594ad7b65e7054cb172200x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S57245e34c8fd4fbcaa32c67e933fe4daL.jpg_220x220q75.jpg_.avif","['Closure Type', 'Zipper', 'whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Liner Type', 'None-Liner', 'Decoration', 'Pockets', 'Release Date', 'Spring 2025', 'Clothing Patterns', 'Loose', 'Fabric content', '96% and above', 'Material Composition', 'synthetic fiber', 'Season', 'Autumn/Winter', 'Thickness', 'Standard', 'Age', '25-35 Years', 'Place Of Origin', 'China (mainland)', 'Weight', '0.63kg', 'Fabric Weight', 'Heavyweight (Fabric Weight 220–320 g/m²)', 'Model Number', 'Hoodie Women 8868', 'Hooded', 'Yes', 'Collar', 'Hooded', 'Sleeve Style', 'regular', 'Type', 'ZIP-UP', 'Pattern Type', 'Solid', 'Clothing Length', 'regular', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Blended', 'Style', 'High Street', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'HOODIES', 'Brand Name', 'MUJER', 'CN', 'Jiangsu', 'Elasticity', 'Slight Strech', 'Fit Type', 'Loose']",https://www.aliexpress.us/item/3256807496156302.html?aem_p4p_detail=2025121908254810522676619473040001894094&algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-7&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%221225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2148.03%2119.01%21%21%21336.14%21133.08%21%402141131717661615485334379e57d6%2112000041925610334%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773246&curPageLogUid=kNkrSjTeLjcd&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005007682471054%7C_p_origin_prod%3A&search_p4p_id=2025121908254810522676619473040001894094_2
Harajuku Y2K Hip Hop Streetwear Casual Sweatshirt Hoodie for Women FALLEN DESIRE Applique Hoodie Pullover Sweatshirt,$13.36,"https://ae-pic-a1.aliexpress-media.com/kf/S176d89a79e41478f9107680ee4f54c3cx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2ceb20c9e8c045b4869266a93e6bdac3f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S921375781c8e40278f6f35e59d9147c4P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1ed85ba36c3b4299a3fc8cb042631742x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S50ff3c6071424dbe83580c8274e336a0Q.jpg_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Tatting', 'Decoration', 'Pockets', 'Season', 'Autumn/Winter', 'Thickness', 'Standard', 'Age', '18-24 Years', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)', 'Hooded', 'Yes', 'Sleeve Style', 'regular', 'Pattern Type', 'Letter', 'Fabric Type', 'synthetic fiber', 'Style', 'Casual', 'Material', 'POLYESTER', 'Origin', 'Mainland China', 'CN', 'Fujian', 'Elasticity', 'Slight Strech', 'Fit Type', 'Loose']",https://www.aliexpress.us/item/3256809757683052.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-8&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%2223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2153.96%2113.36%21%21%21377.60%2193.49%21%402141131717661615485334379e57d6%2112000050645350051%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000195494394&curPageLogUid=Kzc7VynGHy95&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005009943997804%7C_p_origin_prod%3A
"White-gray letter printed hooded sweatshirt for men and women, 25 autumn-winter new fashion loose casual Y2K top men's tracksuit",$5.03,"https://ae-pic-a1.aliexpress-media.com/kf/S1311e6a625d5401291f552598bfae625g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbde5a5fb830a4f9a8cdab067b9bb0b725.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S98257b66d49a4e21a37d1cf4fb73ab3aG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb4238c54afbe48caabf13e56c9926636i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S72ba12213df548cfb883832e29991931u.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Shopping', 'Place Of Origin', 'China (mainland)', 'Type', 'regular', 'Hooded', 'Yes', 'Pattern Type', 'Print', 'Clothing Length', 'regular', 'Material', 'POLYESTER', 'Style', 'Casual', 'Collar', 'Hooded', 'Sleeve Style', 'regular', 'Closure Type', 'None', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Gender', 'Men', 'Item Type', 'HOODIES', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810207783324.html?algo_pvid=0bf213ac-881b-4c9f-8a8b-696506093402&algo_exp_id=0bf213ac-881b-4c9f-8a8b-696506093402-9&guide_trace=a1955aec-645f-4969-a01f-13a238ba15c9&pdp_ext_f=%7B%22order%22%3A%2243%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.05%215.03%21%21%21147.31%2135.17%21%402141131717661615485334379e57d6%2112000052263970331%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adcb00332%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773247&curPageLogUid=wOqml4k2ggmw&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010394098076%7C_p_origin_prod%3A
