Name,Price,Images,Details,product_link
Women T-shirt Long Sleeve Boat Neck Music Note Print Patchwork Slim Fit Ladies Tops Streetwear,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S82357585af13465f91447684d80eb74dZ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S529fb2f6db4b49789235e92efbc2890bV.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa033ef07c6a743698c19a50898059e95o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa033ef07c6a743698c19a50898059e95o.jpg_220x220q75.jpg_.avif","['Hign-concerned Chemical', 'None', 'Craft of Weaving', 'Non-Woven', 'Season', 'Autumn', 'Age', 'Junior', 'Sleeve Style', 'regular', 'Pattern Type', 'Solid', 'Clothing Length', 'regular', 'Decoration', 'None', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Broadcloth', 'Style', 'Casual', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'Brand Name', 'hirigin', 'CN', 'Guangdong', 'Elasticity', 'Non Strech']",https://www.aliexpress.us/item/3256809839618672.html?algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-0&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%2259%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.48%210.99%21%21%21156.22%216.85%21%4021032f3717677915490626337e1956%2112000050872709266%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=Z0wIXXC1BtT7&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010025933424%7C_p_origin_prod%3A
Cotton Linen Long Sleeve Shirts for Women T Shirt Solid Fashion T-Shirt Woman Clothes Tshirt Elegant Casual Tops Tees Streetwear,$16.60 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd1614ebb4520431b893f05ca34790bcbJ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2bfd0db7e89149fb90759938a0c40061O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa8a8c25c6dee4467b217e6badcaa121ci.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1b826cb4b45c468582dcc50da77793b1q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd554d4515ec94e24ae68036f13956b6aP.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Tatting', 'Fit Type', 'Loose', 'Pattern Them', 'Classic Style', 'Fit', 'True to Size', 'Season', 'Summer', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Collar', 'Turn-Down Collar', 'Pattern Type', 'Solid', 'Clothing Length', 'regular', 'Decoration', 'Pockets', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Broadcloth', 'Style', 'Casual', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'Brand Name', 'hallolilla', 'CN', 'Guangdong', 'Elasticity', 'Slight Strech']",https://www.aliexpress.us/item/3256805371038257.html?aem_p4p_detail=202601070512293265082486225690011100356&algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-3&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%22148%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2135.17%2116.60%21%21%21244.42%21115.38%21%4021032f3717677915490626337e1956%2112000033532851147%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=MYEL7gSOUE2W&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005005557353009%7C_p_origin_prod%3A&search_p4p_id=202601070512293265082486225690011100356_1
T Shirt For Men Cotton Long Sleeve T-shirts Solid Color Men's Clothing Full Length Sleeve For Spring And Autumn Undershirts,$6.11 ,"https://ae-pic-a1.aliexpress-media.com/kf/Safd86498bf494c7fbc25389e500f1593R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4513607e74ad44ca8631267d565d045bj.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S21d8ed169f8646119fc37fd79f776516p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7acd8c84856947aaae02af663129f612V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa57ede0a3da745d797876e3faf4b8933x.jpg_220x220q75.jpg_.avif","['Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Daily', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Collar', 'O-Neck', 'Material', 'COTTON', 'Style', 'Casual', 'Sleeve Length(cm)', 'Full', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256807670595075.html?algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-4&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%221520%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007856909827%22%2C%22orig_item_id%22%3A%221005005919992694%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.23%216.11%21%21%2185.00%2142.50%21%4021032f3717677915490626337e1956%2112000042560175177%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895&curPageLogUid=1VktnUEbeXYr&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005007856909827%7C_p_origin_prod%3A1005005919992694
Retro Hip Hop Y2K T-Shirts Fashion Women Sexy Long Sleeve Gothic Vintage Punk Streetwear Tops Casual Slim Hot Girl Autumn Tees,$13.67 ,"https://ae-pic-a1.aliexpress-media.com/kf/S1094b25ca33e489f9acf7c0f129f2a60c.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6195c493057741f5aa5bb40dc4e3d340B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S799a54155d444495af3f1927325e589fQ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca6a1030bb484d34a6ab2e9696e06d0e0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7f25f080dcbb4399bb759ce4e0275cf6c.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Occasion', 'Music Festival', 'Release Date', 'Winter 2025', 'Craft of Weaving', 'Tatting', 'Fit Type', 'Slim', 'Pattern Them', 'Classic Style', 'Season', 'Autumn', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Collar', 'V-Neck', 'Pattern Type', 'Letter', 'Clothing Length', 'regular', 'Decoration', 'Embroidery', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Polyester Fiber', 'Style', 'Casual', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'CN', 'Guangdong', 'Elasticity', 'Non Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810340757489.html?algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-5&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2141.55%2113.67%21%21%21288.77%2195.00%21%4021032f3717677915490626337e1956%2112000052705073128%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000198366739&curPageLogUid=CEkCbgyaDG6c&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010527072241%7C_p_origin_prod%3A
Stretch Floral Lace Petal Sleeve Shirt Women's Long Sleeved S-3XL T Shirt Ladies Perspective Blouse Tops Sexy Lace Tees Clothing,$6.78 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sa4bcb0372b8944d98c899857be6aac44s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa4bcb0372b8944d98c899857be6aac44s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S64b1edf7ad60465f89836ce2a28d92a8r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S23007287b17341dc9cf67601365e815ez.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S49a262283ec0470c8adf6c2c351a5564V.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Fit Type', 'regular', 'Pattern Them', 'ARt', 'Fit', 'True to Size', 'Season', 'All Season', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Model Number', '1323', 'Sleeve Style', 'Petal Sleeve', 'Collar', 'Turtleneck', 'Pattern Type', 'Floral', 'Clothing Length', 'regular', 'Decoration', 'Lace', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Knitted', 'Style', 'High Street', 'Material', 'POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'Brand Name', 'X-G-Xinde', 'CN', 'Guangdong', 'Elasticity', 'Medium Strecth']",https://www.aliexpress.us/item/3256806339790950.html?aem_p4p_detail=202601070512293265082486225690011100356&algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-7&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%22108%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.83%216.78%21%21%21130.83%2147.10%21%4021032f3717677915490626337e1956%2112000037535272419%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895&curPageLogUid=Qi5rikA8Evnp&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005006526105702%7C_p_origin_prod%3A&search_p4p_id=202601070512293265082486225690011100356_2
Women Casual Long Sleeve T-Shirts Spring Autumn Solid Slim Fit Pullovers Tees Shirts Female Streetwear Base Tees Tops Casual,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S34b8711f84d34747ae06f6c95ec5e1d3L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf21ac19cf37942e2b621b5b83559e79bW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S91d465dcfd194b1c99092c0afe440e5eh.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2d9f4a3f4ef14ede9673592fcc778e68C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S953457b9adb647d08ef8448234a83928C.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Summer 2024', 'Craft of Weaving', 'Tatting', 'Fit Type', 'regular', 'Pattern Them', 'Other', 'Fit', 'True to Size', 'Season', 'Autumn/Winter', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Model Number', 'DF-1381', 'Sleeve Style', 'regular', 'Collar', 'O-Neck', 'Pattern Type', 'Solid', 'Clothing Length', 'regular', 'Decoration', 'None', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Broadcloth', 'Style', 'Sexy & Club', 'Material', 'COTTON,POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'Brand Name', 'Yezw', 'CN', 'Zhejiang', 'Elasticity', 'High Strecth']",https://www.aliexpress.us/item/3256804639921661.html?algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-9&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%224109%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.59%210.99%21%21%214.59%210.99%21%4021032f3717677915490626337e1956%2112000030631623801%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=3ifP97S9bS3x&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005004826236413%7C_p_origin_prod%3A
Yedinas Fairycore Patchwork V-neck T Shirt Women V Neck Korean Fashion Long Sleeve Autumn Tops Spring Tees Female Clothing Chic,$6.05 ,"https://ae-pic-a1.aliexpress-media.com/kf/S26b24f48376c4dcf87d5d61d195b7909f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5c9078aedf484bebac3d0c6b3b9508b4B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scb519ffac9554f8eb67f2ae966d7f3c5F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se56de7b2320a453a90bc7faa83f124114.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sede30b816efd4a6086a2a312c4a66fe86.jpg_220x220q75.jpg_.avif","['Weight', '181g—200g', 'Festival', 'Christmas', 'High-concerned chemical', 'None', 'Occasion', 'Night Out', 'Release Date', 'Autumn 2025', 'Craft of Weaving', 'Tatting', 'Fit Type', 'Regular Fit', 'Pattern Them', 'Classic Style', 'Fit', 'True to Size', 'Season', 'Spring/Autumn', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Model Number', 'Z1925', 'Sleeve Style', 'regular', 'Collar', 'V-Neck', 'Pattern Type', 'solid color', 'Clothing Length', 'regular', 'Decoration', 'PATCHWORK', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'JERSEY', 'Style', 'Fairycore', 'Material', 'COTTON,POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'Brand Name', 'yedinas', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810293665767.html?aem_p4p_detail=202601070512293265082486225690011100356&algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-11&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.11%216.05%21%21%2111.11%216.05%21%4021032f3717677915490626337e1956%2112000052543566714%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=l3Cqhf4255Ri&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010479980519%7C_p_origin_prod%3A&search_p4p_id=202601070512293265082486225690011100356_3
Moon Printed Tshirt Graphic Top for Women Stretchy Slim Korean Fall Spring Long Sleeve Tees Y2k Grunge T-Shirt 2000s Clothes,$22.48 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5ea4bae7d0d74aa09baba8548cde6c255.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S600524bdf21749c087fc6b304162a11fL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S45482d16c36e4932996be1f4ae334b35f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se71a791c382f47379567d468b3d24f4b8.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9da6b81b6fab44e2a83bb60997dd5ccby.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Spring/Summer', 'Age', 'Middle Age', 'Sleeve Style', 'regular', 'Collar', 'O-Neck', 'Pattern Type', 'Geometric', 'Clothing Length', 'regular', 'Decoration', 'Appliques', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Knitted', 'Style', 'Casual', 'Material', 'Rayon', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'CN', 'Guangdong', 'Elasticity', 'High Strecth', 'Brand Name', 'DAOHUAN', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810428845344.html?algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-12&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2167.63%2122.48%21%21%21470.00%21156.22%21%4021032f3717677915490626337e1956%2112000052978444611%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000198366739&curPageLogUid=2ZA18BViJaNg&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010615160096%7C_p_origin_prod%3A
Retro Hip Hop Y2K T-Shirts Fashion Women Sexy Long Sleeve Gothic Vintage Punk Streetwear Tops Casual Slim Hot Girl Autumn Tees,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S11e89d6d1c3d4ef38434f2d694d2fcb0i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S20e3fc8eec2943cea8c1dff5500ec9fbk.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9709fdbdbc7e4b8480c2f3f6ea32771dD.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d05ad8e14c74155aaf457e0125740ccJ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S03de8b3e4b67423b9b201bb99d0d03c15.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Occasion', 'Music Festival', 'Release Date', 'Winter 2025', 'Craft of Weaving', 'Tatting', 'Fit Type', 'Slim', 'Pattern Them', 'Classic Style', 'Season', 'Autumn', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Collar', 'V-Neck', 'Pattern Type', 'Letter', 'Clothing Length', 'regular', 'Decoration', 'Embroidery', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Polyester Fiber', 'Style', 'Casual', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'CN', 'Guangdong', 'Elasticity', 'Non Strech']",https://www.aliexpress.us/item/3256810079682504.html?algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-14&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%22172%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.96%210.99%21%21%21138.74%216.91%21%4021032f3717677915490626337e1956%2112000051718149540%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=HfI5AarowzA7&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010265997256%7C_p_origin_prod%3A
Women Casual Long Sleeve T-Shirts Spring Autumn Solid Slim Fit Pullovers Tees Shirts Female Streetwear Base Tees Tops,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf18ebd83d69e49a88dea7f0274273537S.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S123e070e82134831a648e349d1271fa4c.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0c989d2d6e6641f3acaf677b0e7255a5A.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S123e070e82134831a648e349d1271fa4c.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf18ebd83d69e49a88dea7f0274273537S.png_220x220.png_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Fit', 'True to Size', 'Season', 'All Season', 'Age', 'Junior', 'Sleeve Style', 'regular', 'Pattern Type', 'solid color', 'Clothing Length', 'regular', 'Decoration', 'None', 'Sleeve Length(cm)', 'Full', 'Fabric Type', 'Polyester Fiber', 'Style', 'Casual', 'Material', 'COTTON,POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Tops Type', 'TEES', 'Item Type', 'tops', 'Brand Name', 'HEYTOAI', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256810067923624.html?aem_p4p_detail=202601070512293265082486225690011100356&algo_pvid=62328dc3-4b53-44db-8acf-3f7dabc07e5e&algo_exp_id=62328dc3-4b53-44db-8acf-3f7dabc07e5e-15&guide_trace=95638a6d-6722-4f7d-be86-3b97626f6950&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.96%210.99%21%21%2112.96%210.99%21%4021032f3717677915490626337e1956%2112000051687658140%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A182dda53%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=ei3x2GBmovvL&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005010254238376%7C_p_origin_prod%3A&search_p4p_id=202601070512293265082486225690011100356_4
