Name,Price,Images,Details,product_link
Autumn And Winter New Jersey Men's Casual Sports Coat Solid Color Stand Collar Wweater Grab Fleece Warm Zipper Cardigan,$7.49 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3ca1c4184a904ef998741afa89039e63U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S24dacdf0d93b448c9f60d84505cebd0ao.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1003f0accc5a42d39dcde990e5f7d19ep.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1d64f6c28fc140c7b07f8dacf7f348d54.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc0cf3ed48d25481baf29e2a65145e030f.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Daily', 'Hooded', 'No']",https://www.aliexpress.us/item/3256805725931746.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-1&pdp_ext_f=%7B%22order%22%3A%224876%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2130.47%217.49%21%21%21208.70%2151.32%21%40212e508f17754877047897712e8aef%2112000034817467713%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836301&curPageLogUid=3dYKQJtgAiZx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005912246498%7C_p_origin_prod%3A
Autumn Winter Warm Cardigan Men Fleece Sweaters Full Zip Jackets Slim Fit Luxury Brand Knitted Sweater Coat American Jersey,$12.61 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2432564233724fb3817e5307b1baef4d0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2432564233724fb3817e5307b1baef4d0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf2ffd9b1c48d4c2389c7cf56eb4c38efN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S91cac54eddda409ea55db45e60e06154L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf85e1cc525f0437b93a02c292e1e232fv.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256806810897528.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-2&pdp_ext_f=%7B%22order%22%3A%222132%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006997212280%22%2C%22orig_item_id%22%3A%221005006108550475%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2127.41%2112.61%21%21%21187.74%2186.36%21%40212e508f17754877047897712e8aef%2112000038991118017%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895&curPageLogUid=UZmehTSaTriR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006997212280%7C_p_origin_prod%3A1005006108550475
Autumn Winter Warm Cardigan Men Fleece Sweaters Full Zip Jackets Slim Fit Luxury Brand Knitted Sweater Coat American Jersey,$8.91 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2432564233724fb3817e5307b1baef4d0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2432564233724fb3817e5307b1baef4d0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf2ffd9b1c48d4c2389c7cf56eb4c38efN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S91cac54eddda409ea55db45e60e06154L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf85e1cc525f0437b93a02c292e1e232fv.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256805922235723.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-3&pdp_ext_f=%7B%22order%22%3A%222043%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2131.61%218.91%21%21%21216.49%2161.01%21%40212e508f17754877047897712e8aef%2112000035785367904%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836301&curPageLogUid=m0G2zXKktivd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006108550475%7C_p_origin_prod%3A
2023 autumn and winter new cashmere padded warm casual men's knitted sweater coat,$5.65 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd65365b082e24062a57a95c4229a987c8.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9ecfd6911f8f42239dc181f4deee0d123.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca00a2c976d2400c80b3c9fd2de2e24eo.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc86fc171e5bf4b849608c9b2863e53aan.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7cff2c760f10485fb8bb1210c9061503o.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Hooded', 'No']",https://www.aliexpress.us/item/3256805778607689.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-5&pdp_ext_f=%7B%22order%22%3A%221915%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2130.96%215.65%21%21%21212.03%2138.66%21%40212e508f17754877047897712e8aef%2112000035081608863%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836311&curPageLogUid=NUzgAWlr1eXw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005964922441%7C_p_origin_prod%3A
Men's New Winter Plaid Sweater Hooded Cardigan Cold Coat Wool Zipper Jacket Autumn Fleece Warm Clothes Checkered Knit Jumper,$19.28 ,"https://ae-pic-a1.aliexpress-media.com/kf/He97484fdaab0433cbc8a6ef99d0cfa22b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H732be8ac34984f6c9bd1725da3cee8204.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H77693488edfe43f49e1053a4afef22e7X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hd09a71629ffb4c92aaf28aa02a41f554N.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H6c169390a7664e49a5423aabb4098498J.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Hooded', 'Yes']",https://www.aliexpress.us/item/3256805823950413.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-6&pdp_ext_f=%7B%22order%22%3A%22841%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2155.08%2119.28%21%21%21377.27%21132.10%21%40212e508f17754877047897712e8aef%2112000035306998075%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836311&curPageLogUid=aP32optSAOEw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006010265165%7C_p_origin_prod%3A
Autumn Winter Cardigan Sweater Men Fleece Zipper Sweaters Velvet Contrast Striped Sweater Coats Casual Jackets,$12.58 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sa26a90010cc04ed28d2f6afcaabaae56K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa26a90010cc04ed28d2f6afcaabaae56K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S27233c8b85d54bb29ce48eb022681bc8p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc9a3db7c79d44d69be524ab7ae76c1084.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdf0d8e5a1c4b451095d574109ed89bcfi.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Hooded', 'No']",https://www.aliexpress.us/item/3256806627401108.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-7&pdp_ext_f=%7B%22order%22%3A%22732%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2142.06%2112.58%21%21%21288.10%2186.21%21%40212e508f17754877047897712e8aef%2112000038390995244%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836311&curPageLogUid=T9RDo7RPc1oi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006813715860%7C_p_origin_prod%3A
Men's Casual Cardigan Jacket V-neck Sweater Men's Autumn Winter Clothes Button Knit Cardigans Mens Knitting Sweaters Outwear,$9.33 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb3086632afb6478b8d71a92f6b221755F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb3086632afb6478b8d71a92f6b221755F.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc72449f8326f4948894b825e8b727c8c1.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd064932a28ee422c89639f154ef7eefcB.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4f4e98f6d3b64dd7bfed7bcd1cf07f0fk.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Hooded', 'No']",https://www.aliexpress.us/item/3256807253290606.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-8&pdp_ext_f=%7B%22order%22%3A%22644%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2138.33%219.33%21%21%21262.56%2163.92%21%40212e508f17754877047897712e8aef%2112000040760492040%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836318&curPageLogUid=mctbA58q9InX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007439605358%7C_p_origin_prod%3A
100% Merino Wool Men's Warm Sweater Mock Collar Thickened Zippered Cardigan Autumn Winter New Cashmere Knitted Long Sleeve Tops,$55.25 ,"https://ae-pic-a1.aliexpress-media.com/kf/S49614af45bcc4cb0bc59cdd1ed33bd58d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S894e44ff493646e790552a01b28b35f5X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sea9eb0fefd4040448e16e2487e854fc1H.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sde6513dcb9fd4bb2bc9d33fdc1e66479o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8573da410c4849c7b1059db41053f5d6U.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Decoration', 'Zippers']",https://www.aliexpress.us/item/3256808164636006.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-9&pdp_ext_f=%7B%22order%22%3A%22496%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21117.56%2155.25%21%21%21805.21%21378.45%21%40212e508f17754877047897712e8aef%2112000044693876182%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895&curPageLogUid=ryRddNhe16hs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008350950758%7C_p_origin_prod%3A
AIOPESON Spliced Cardigan Men Streetwear Casual High Quality Cotton Sweater Men Winter Fashion Brand Cardigans for Men,$27.57 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8c84a0b900fd4ea197de147f6dab8a217.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c84a0b900fd4ea197de147f6dab8a217.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4075618378374a3c99dc45d16babfdd0B.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa851ac5fd44c4bc595d3b15418929ab4d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S518a513d3606454abab43bdcc480a59a3.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Winter', 'Applicable Scene', 'CASUAL', 'Hooded', 'No']",https://www.aliexpress.us/item/3256807670818831.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-10&pdp_ext_f=%7B%22order%22%3A%22444%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007857133583%22%2C%22orig_item_id%22%3A%221005005713343670%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2161.27%2127.57%21%21%21419.66%21188.85%21%40212e508f17754877047897712e8aef%2112000042560401768%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895&curPageLogUid=iH72NHG6AsWZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007857133583%7C_p_origin_prod%3A1005005713343670
Mens Autumn Clothes Fleece Cardigan Jacket Knitted Sweater Outwear V-neck Fashion Cardigans Warm Men's Top,$8.57 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sfb52813c3ca042638f6c031302d8851bL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac2cf8ec789448bfb24cb2b9caa31bcaZ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc5f106d4337445359374ea9ae5fbb6027.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2a92388ebb014edea3dc0bbf34c02545n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7c483b39c5a4413db111040eb56b71b3v.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Hooded', 'No']",https://www.aliexpress.us/item/3256807606232007.html?algo_pvid=51cf0f3b-05f4-4951-86ea-14f02da9600c&algo_exp_id=51cf0f3b-05f4-4951-86ea-14f02da9600c-11&pdp_ext_f=%7B%22order%22%3A%22427%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2132.31%218.57%21%21%21221.29%2158.69%21%40212e508f17754877047897712e8aef%2112000042219809118%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5fa8075b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836301&curPageLogUid=azndjSIuxm1z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792546759%7C_p_origin_prod%3A
