Name,Price,Images,Details,product_link
0-10℃ Men's Winter Jacket Ultra Light Duck Down Jackets Portable Hooded Puffer Feather Thin Parkas Windproof Outerwear Coat 5XL,$10.73 ,"https://ae-pic-a1.aliexpress-media.com/kf/S445cf26bab7a4f3b8d0376d7060c4094y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0de46dc2ea1d4c7aa002f5c1ef8ed0f7R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S22f01b0c1fb443cab1242685779c2176L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se415106cc0de407e850610ae56e652a8q.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa666cb28a7e5424fbec82c7daa49a152Z.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)', 'Decoration', 'NONE', 'Lining Material', 'Nylon', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Weight', '0.30-0.45kgs', 'Model Number', 'men winter jacket', 'Sleeve Length(cm)', 'Full', 'Down Weight', '100g-150g', 'Style', 'Casual', 'Material', 'Nylon', 'Hooded', 'Yes', 'Detachable Part', 'NONE', 'Down Content', '50%', 'Closure Type', 'Zipper', 'Type', 'regular', 'Thickness', 'Thin', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Henan', 'Gender', 'Men']",https://www.aliexpress.us/item/3256810042623355.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-2&pdp_ext_f=%7B%22order%22%3A%221221%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010228938107%22%2C%22orig_item_id%22%3A%221005009975496041%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2143.05%2110.73%21%21%21294.86%2173.51%21%40210390c217744343132128322ed1d1%2112000051607101595%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=LNqEJZx3aSrd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010228938107%7C_p_origin_prod%3A1005009975496041
-20 Degree Down Jacket Male Winter Parkas Men White Duck Down Jacket Hooded Outdoor Thick Warm Padded Snow Coat Oversize M-4XL,$28.58 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sa7971ce86c67444b9869a92856ce9d03p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa7971ce86c67444b9869a92856ce9d03p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5116893df616405d91515e45c68e6938D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3509a6ff67764a6980f6171ec2cadfafd.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb1c204f081fe480da038c99bb0b75987o.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pockets', 'Lining Material', 'COTTON', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Weight', '600-1500g', 'Model Number', 'white duck down jacket', 'Sleeve Length(cm)', 'Full', 'Down Weight', '150g-200g', 'Style', 'Casual', 'Material', 'POLYESTER', 'Hooded', 'Yes', 'Detachable Part', 'Hat Detachable', 'Down Content', '65%', 'Closure Type', 'Zipper', 'Type', 'Slim', 'Thickness', 'Standard', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Fujian', 'Gender', 'Men']",https://www.aliexpress.us/item/3256805732166606.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-3&pdp_ext_f=%7B%22order%22%3A%221191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2197.76%2128.58%21%21%21669.56%21195.75%21%40210390c217744343132128322ed1d1%2112000034848942273%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=TT8HHIJem8gh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005918481358%7C_p_origin_prod%3A
0-10℃ Men's Winter Jacket Ultra Light Duck Down Jackets Portable Hooded Puffer Feather Thin Parkas Windproof Outerwear Coat 5XL,$7.74 ,"https://ae-pic-a1.aliexpress-media.com/kf/S445cf26bab7a4f3b8d0376d7060c4094y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0de46dc2ea1d4c7aa002f5c1ef8ed0f7R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S22f01b0c1fb443cab1242685779c2176L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se415106cc0de407e850610ae56e652a8q.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa666cb28a7e5424fbec82c7daa49a152Z.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)', 'Decoration', 'NONE', 'Lining Material', 'Nylon', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Weight', '0.30-0.45kgs', 'Model Number', 'men winter jacket', 'Sleeve Length(cm)', 'Full', 'Down Weight', '100g-150g', 'Style', 'Casual', 'Material', 'Nylon', 'Hooded', 'Yes', 'Detachable Part', 'NONE', 'Down Content', '50%', 'Closure Type', 'Zipper', 'Type', 'regular', 'Thickness', 'Thin', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Henan', 'Gender', 'Men']",https://www.aliexpress.us/item/3256809789181289.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-4&pdp_ext_f=%7B%22order%22%3A%221171%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2145.08%217.74%21%21%21308.75%2152.98%21%40210390c217744343132128322ed1d1%2112000050737032840%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=DZBxRH8Omjso&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009975496041%7C_p_origin_prod%3A
Winter Men Down Jackets Fur Homme Outdoor Windbreaker Outerwear Hooded Fourrure Manteau Coat Hiver Parka Doudoune,$134.55 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf986446563d04ec9900b8996bce86197Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sffdbc9fb9ba14c419d75cb93ed36c2d4d.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1d634cc0ef8b463688cebcca7003a9715.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf73eb4e820be4ec8b3d414383889f005W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d00c448f84444c59701e6534f954c2cc.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Spring', 'Applicable Scene', 'Daily', 'Lining Material', 'COTTON', 'Fabric Type', 'COTTON', 'Style', 'Casual', 'Material', 'Down', 'Closure Type', 'Zipper', 'Thickness', 'Standard', 'Filling', 'White goose down', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Gender', 'Men']",https://www.aliexpress.us/item/3256809987010384.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-1&pdp_ext_f=%7B%22order%22%3A%221115%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010173325136%22%2C%22orig_item_id%22%3A%221005010044290511%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21288.11%21134.55%21%21%211973.36%21921.61%21%40210390c217744343132128322ed1d1%2112000055963462845%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=qFjzJ1NxRsQ1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010173325136%7C_p_origin_prod%3A1005010044290511
Down Jacket Men's 2024 New 90% White Duck Down Super Light Down Jacket Men's Lightweight Thermal Coat Hooded Feather Coat,$2.53 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8167ac1bc2e4447cb73170ab9668311cC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se097abdcf1df468f89bc0e14cf9067b3Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2d92559f15f14633b5c670ca1031e8eeL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd34dbc010b75403e8b605ab470fab5dfX.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc9d930c7fff642c78ad46aceeb09c1dac.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Zippers', 'Lining Material', 'POLYESTER', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Weight', '0.25-0.4', 'Model Number', 'Z160524YR03', 'Sleeve Length(cm)', 'Full', 'Down Weight', '100g-150g', 'Style', 'Casual', 'Material', 'Nylon', 'Hooded', 'Yes', 'Detachable Part', 'NONE', 'Down Content', '90%', 'Closure Type', 'Zipper', 'Type', 'regular', 'Thickness', 'Standard', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men', 'CN', 'Zhejiang', 'mens down jacket', 'duck down jacket men', 'down coat male', 'down coat male', 'feather jacket man', ""men's down jacket"", 'down jacket men winter', 'jacket men', 'down jacket men', 'jacket men winter', ""men's coat winter"", 'winter jacket men', 'down jacket mens', 'down jacket men', 'coat men', 'down jacket']",https://www.aliexpress.us/item/3256806413547080.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-6&pdp_ext_f=%7B%22order%22%3A%221043%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2144.37%212.53%21%21%21303.93%2117.34%21%40210390c217744343132128322ed1d1%2112000037781405677%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=L0IfvPacYqVz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006599861832%7C_p_origin_prod%3A
Semir Down Jacket Men Women 2024 Winter New Light Short Coat Three-Proof Thermal Puffer Coat Couple Top Trendy Down Jacket,$45.36 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sadda2b5ca3bc4fd59d1ac4ae8ac9fcfc2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sadda2b5ca3bc4fd59d1ac4ae8ac9fcfc2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb694f54218da41bf8d48808c40cef9cbb.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca601de6157f4ac6953fe16eb46d4d49k.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb0660c4d8b2a49918b2c2ba04ab955098.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Lining Material', 'POLYESTER', 'Fabric Type', 'POLYESTER', 'Pattern Type', 'Solid', 'Model Number', '109724113201', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Material', 'POLYESTER', 'Hooded', 'No', 'Down Content', '90%', 'Closure Type', 'Zipper', 'Type', 'Loose', 'Thickness', 'Thick', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men']",https://www.aliexpress.us/item/3256807570425669.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-11&pdp_ext_f=%7B%22order%22%3A%22859%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21130.63%2145.36%21%21%21130.63%2145.36%21%40210390c217744343132128322ed1d1%2112000042101039683%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=IZcEGCBvJ81N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007756740421%7C_p_origin_prod%3A
New Autumn And Winter Down Jacket Men's Fashion Hooded Super Light Warm Slim Coat Down Jacket Men's Coat,$4.55 ,"https://ae-pic-a1.aliexpress-media.com/kf/S404033c298a54149aad7463bcc00106ds.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S404033c298a54149aad7463bcc00106ds.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4869288b45e64a5c835e9e7b4a5f63b3i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbd8712caf74a4c5fae85ba61f57410e37.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S034194ece0fe4ef782fd57a3aebe1bb49.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pockets,Zippers', 'Lining Material', 'POLYESTER', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Weight', '260G-310G', 'Model Number', '52251', 'Sleeve Length(cm)', 'Full', 'Down Weight', '250g-300g', 'Style', 'Casual', 'Material', 'COTTON,POLYESTER', 'Hooded', 'No', 'Detachable Part', 'NONE', 'Down Content', '85%', 'Closure Type', 'Zipper', 'Type', 'regular', 'Thickness', 'Thin', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806047872009.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-7&pdp_ext_f=%7B%22order%22%3A%22835%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2140.81%214.55%21%21%21279.49%2131.14%21%40210390c217744343132128322ed1d1%2112000036420219790%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=o3J06JMbamN6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006234186761%7C_p_origin_prod%3A
Graphene Self-heating Down Jacket Men Solid Windproof Pleated Down Jackets Stand Collar Classical Warm Winter Jackets Male,$28.19 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sa01587a521c940f787248ef054718b3aJ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa01587a521c940f787248ef054718b3aJ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S25c937576c3047d3aa9f209c6c07c4f6P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S58ab8083d2b14017a1def6c64ab84838X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S204f4eecf59841aeb3db3a34e7276799n.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Home', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pleated', 'Lining Material', 'POLYESTER', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Sleeve Length(cm)', 'Full', 'Down Weight', '150g-200g', 'Style', 'Casual', 'Material', 'POLYESTER', 'Hooded', 'No', 'Detachable Part', 'NONE', 'Down Content', '80%', 'Closure Type', 'Zipper', 'Type', 'regular', 'Thickness', 'Standard', 'Filling', 'White duck down', 'Clothing Length', 'Short (4 - 16 Inch)', 'Origin', 'Mainland China', 'CN', 'Fujian', 'Gender', 'Men', 'Feather', 'Graphene Self-heating', 'Function', 'Warm', 'Filter', '80% White Duck Down']",https://www.aliexpress.us/item/3256807337600209.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-13&pdp_ext_f=%7B%22order%22%3A%22748%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2161.07%2128.19%21%21%21418.32%21193.14%21%40210390c217744343132128322ed1d1%2112000041138869843%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=Jjd34JHIjGqN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007523914961%7C_p_origin_prod%3A
"JOTT men's jacket, autumn/winter jacket, 2025 hooded jacket, light winter down jacket",$10.21 ,"https://ae-pic-a1.aliexpress-media.com/kf/S7761beed176145d8a907088bed79fd0eB.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S13304002200f41239f2c8fac6d94368bR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a8bc448816c474eb12506f123ab68f2C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9b629967110245f2b7b6722ef2b67a0b4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S41906c208a5b4a17aa446ca3e818acc1T.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Lining Material', 'POLYESTER', 'Fabric Type', 'POLYESTER', 'Style', 'Casual', 'Material', 'POLYESTER', 'Closure Type', 'Zipper', 'Thickness', 'Thick', 'Filling', 'White duck down', 'Origin', 'Mainland China', 'CN', 'Jiangxi', 'Gender', 'Men']",https://www.aliexpress.us/item/3256810253118423.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-8&pdp_ext_f=%7B%22order%22%3A%22602%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010439433175%22%2C%22orig_item_id%22%3A%221005010637401495%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2147.20%2110.21%21%21%21323.30%2169.95%21%40210390c217744343132128322ed1d1%2112000052413932412%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=7iEBKLdjGkBa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010439433175%7C_p_origin_prod%3A1005010637401495
Autumn and Winter Men's 90% White Duck Down Vest Casual Lightweight Down Warm Solid Sleeveless Jacket Men's Portable Pocket Vest,$4.02 ,"https://ae-pic-a1.aliexpress-media.com/kf/S06693f6b349548d58d2b1df86175e6fek.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S06693f6b349548d58d2b1df86175e6fek.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc71f2074b5d944e9ae1bcbe4798608c1y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4e83016485f54f66bba3912e4dc7ed3au.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S74b10854905a4615abd0b874f1510ff8P.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pockets,Zippers', 'Lining Material', 'POLYESTER', 'Fabric Type', 'Broadcloth', 'Pattern Type', 'Solid', 'Weight', '300g', 'Model Number', '25684', 'Sleeve Length(cm)', 'Sleeveless', 'Down Weight', '100g-150g', 'Style', 'Casual', 'Material', 'POLYESTER', 'Hooded', 'No', 'Detachable Part', 'NONE', 'Down Content', '90%', 'Closure Type', 'Zipper', 'Type', 'regular', 'Thickness', 'Standard', 'Filling', 'White duck down', 'Clothing Length', 'regular', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806811835655.html?algo_pvid=e29fa5ed-801e-49bb-b775-445f850e4447&algo_exp_id=e29fa5ed-801e-49bb-b775-445f850e4447-9&pdp_ext_f=%7B%22order%22%3A%22601%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2140.84%214.02%21%21%21279.72%2127.52%21%40210390c217744343132128322ed1d1%2112000039186208614%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5aeace8f%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=VTFRNQretWNp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006998150407%7C_p_origin_prod%3A
