Name,Price,Images,Details,product_link
New Casual Real Cowhide Genuine Leather Jacket Men Slim Mens Clothes Spring Autumn Men's Cow Clothing Asian Size 6XL,$123.46 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se37260ab34cf46b5ad73e69da238c95bf.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4ec0d976d899434cbbac24721c142bbbU.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb56db317bff448aeb9d86ccddb553e3el.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc12f768114c84969ab2423bbe61df97cW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S95aa83bb5f954c038dbbda5170e6899fl.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Turn-Down Collar', 'Model Number', 'MEN', 'Decoration', 'NONE', 'Lining Material', 'POLYESTER', 'Style', 'Casual', 'Type', 'regular', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'regular', 'Material', 'Cow Leather', 'Origin', 'Mainland China', 'CN', 'Shandong', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256807697580863.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-0&pdp_ext_f=%7B%22order%22%3A%22405%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21224.47%21123.46%21%21%211544.87%21849.68%21%402140ec5d17747130430783098e9d31%2112000042703393441%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=joqXxfKyne7h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007883895615%7C_p_origin_prod%3A
Spring Classical Motorcycle oblique zipper Jackets Men Leather Jacket Natural Calf Skin Thick Slim Cowhide Moto Jacket man,$134.41 ,"https://ae-pic-a1.aliexpress-media.com/kf/S2309bf5e314e40b7ba044bf09dd3e6feK.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S123e232cd31b4f8f898b5280aa517acaf.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa7027bfab0004ed2aab28a431db300b6f.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S595cb3f987144eca8f8858aa928041feT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1230ecefd7c74d2bbbb45e97d5f29af1v.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Trip', 'Place Of Origin', 'Italy', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Turn-Down Collar', 'Model Number', 'MEN', 'Decoration', 'Fur,Zippers,NONE', 'Lining Material', 'POLYESTER', 'Style', 'Moto & Biker', 'Type', 'Slim', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'Short (4 - 16 Inch)', 'Material', 'Sheepskin,Cow Leather', 'Origin', 'Mainland China', 'CN', 'Shandong', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'CN', 'Shandong']",https://www.aliexpress.us/item/3256807697232955.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-2&pdp_ext_f=%7B%22order%22%3A%22261%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21244.38%21134.41%21%21%211681.90%21925.04%21%402140ec5d17747130430783098e9d31%2112000042702334885%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=buCkhcedWdIp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007883547707%7C_p_origin_prod%3A
FLAVOR Men's Real Leather Jacket Men Motorcycle Removable Hood Winter Coat Men Warm Genuine Leather Jackets,$211.04 ,"https://ae-pic-a1.aliexpress-media.com/kf/H4eb29dff80f54a99af67732e5e32c22cf.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H4eb29dff80f54a99af67732e5e32c22cf.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/HTB1m30vKuySBuNjy1zdq6xPxFXaE.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hf9630e389e52477a9d883ad4fa0d5e91M.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H3599b264e6a24cefbc8c0a39554f17d5c.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'O-Neck', 'Model Number', 'M2016-95', 'Decoration', 'Zippers', 'Lining Material', 'POLYESTER', 'Style', 'Casual', 'Type', 'regular', 'Detachable Part', 'NONE', 'Hooded', 'Yes', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'regular', 'Material', 'Pigskin', 'Brand Name', 'FLAVOR', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/2251832518530122.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-4&pdp_ext_f=%7B%22order%22%3A%22223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21281.39%21211.04%21%21%21281.39%21211.04%21%402140ec5d17747130430783098e9d31%2112000016840634833%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=t18Pw0hGCNeQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32704844874%7C_p_origin_prod%3A
New Fashion 2024 Men's Winter Coat Genuine Leather Natural Sheepskin Shearling Jacket Thick Wool Liner Brown Plus Size XXXXXXL,$249.17 ,"https://ae-pic-a1.aliexpress-media.com/kf/S38b501a8ddf549118e3f85e1d67c8e256.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S38b501a8ddf549118e3f85e1d67c8e256.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se5718856de8849e0b8f1108346e2c148p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S391301f743c44687beaa73da0d1642c2o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12f8f2500fca4a679c7aa5f9d3f98f31J.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Closure Type', 'Zipper', 'Collar', 'Turtleneck', 'Decoration', 'Pockets,NONE', 'Lining Material', 'Wool', 'Style', 'Moto & Biker', 'Type', 'regular', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Thickness', 'Wool Liner', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'regular', 'Material', 'Wool,Sheepskin,Shearling', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'CN', 'Hebei']",https://www.aliexpress.us/item/3256807481497190.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-6&pdp_ext_f=%7B%22order%22%3A%22190%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21453.04%21249.17%21%21%213117.98%211714.89%21%402140ec5d17747130430783098e9d31%2112000041723725775%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=ANW4y9hGsmWn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007667811942%7C_p_origin_prod%3A
FLAVOR Men's Real Pigskin Leather Bomber Casual Jacket Stand Collar Leather Coat,$199.69 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se5bdc3b4a29f49719bb86156b42ba5fbO.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se5bdc3b4a29f49719bb86156b42ba5fbO.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5c526cab4bc142c5a9a84f5470203724n.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S739b374294da4e38af3c1ef36bf6d196o.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9f3a79dc759a443999b7180305bc7cb2E.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'O-Neck', 'Model Number', 'MXGX20-15', 'Lining Material', 'POLYESTER', 'Style', 'Casual', 'Type', 'regular', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'regular', 'Material', 'Pigskin', 'Brand Name', 'FLAVOR', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806759329662.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-1&pdp_ext_f=%7B%22order%22%3A%22166%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21199.69%21199.69%21%21%21199.69%21199.69%21%402140ec5d17747130430783098e9d31%2112000039535328098%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=JE38ZSifg2I0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006945644414%7C_p_origin_prod%3A
Genuine Leather Jacket Men's Top Layer Cowhide Jacket Mid-Length Men's Lapel Windbreaker Slim-Fit Jacket Double-Breasted,$144.04 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3d799ba1b9594a94838c90d6f5f08edd7.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb4dc0361386b4b99841f55a2de31fe4cl.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7b5ed68c5ad443b39303a311db065f3eg.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4067903719ac43c4a16ccb8d718354e43.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9c0358e8c2214489a178460c8928a148R.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Business', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Double Breasted', 'Collar', 'Turn-Down Collar', 'Model Number', 'shuang pai kou feng yi', 'Decoration', 'Button,Pockets', 'Lining Material', 'POLYESTER', 'Style', 'Casual', 'Type', 'Slim', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'long（26+inch）', 'Material', 'Cow Leather', 'Origin', 'Mainland China', 'CN', 'Shandong', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men', 'Brand Name', 'COPERSIAN', 'CN', 'Shandong']",https://www.aliexpress.us/item/3256807477834423.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-7&pdp_ext_f=%7B%22order%22%3A%22164%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21261.89%21144.04%21%21%211802.43%21991.34%21%402140ec5d17747130430783098e9d31%2112000041706307057%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=ohu7jS15psLZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007664149175%7C_p_origin_prod%3A
YR!Best.Mens Retro 1930 quality natural cowhide jacket.Vintage brown genuine leather coat.Slim fit.Classic Rider leather cloth,$109.21 ,"https://ae-pic-a1.aliexpress-media.com/kf/S32f8e1d006be43ff9ceef77c6b0ec0f2x.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S16ed9ea21a8b4556985c3efb5fa39fb7f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2c468ed1b81e4344b8f8f855cd7a2dca3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se5bcaf086a2743cc80d7e282607be71fG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/See82da0b551d42ae8e66856c7464740fK.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Turn-Down Collar', 'Decoration', 'Pockets,Zippers,Vintage', 'Lining Material', 'COTTON', 'Style', 'Vintage', 'Type', 'Slim', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'Short (4 - 16 Inch)', 'Material', 'Cow Leather', 'Brand Name', 'yanreceiver', 'Origin', 'Mainland China', 'CN', 'Jiangsu', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256808151663708.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-3&pdp_ext_f=%7B%22order%22%3A%22154%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21236.89%21109.21%21%21%21236.89%21109.21%21%402140ec5d17747130430783098e9d31%2112000055994183064%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827636&curPageLogUid=M6wNjoep4uBF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008337978460%7C_p_origin_prod%3A
Men's Motorcycle Leather Jacket Light Blue Ami Khaki Retro Graphite Distressed Denim Genuine Leather Jacket Slim Short Jacket,$173.36 ,"https://ae-pic-a1.aliexpress-media.com/kf/S01554a3a24d14f228443b7b141a2a80cz.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S55f8f8617288483192fe963428925efce.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S99a269b7b5c84a9fae1ec2aa24726657m.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1289ac9242924a4f92446a837ce53b86y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S095fe63e9f8c413b8bbee922d1208c58m.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Single Breasted', 'Collar', 'Turn-Down Collar', 'Model Number', '507', 'Decoration', 'Button,Pockets', 'Lining Material', 'POLYESTER', 'Style', 'Moto & Biker', 'Type', 'Slim', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'regular', 'Material', 'Cow Leather', 'Brand Name', 'COPERSIAN', 'Origin', 'Mainland China', 'CN', 'Shandong', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256805898688406.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-8&pdp_ext_f=%7B%22order%22%3A%22136%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21298.89%21173.36%21%21%212057.02%211193.07%21%402140ec5d17747130430783098e9d31%2112000036181437716%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895&curPageLogUid=ivOcMSgYYke4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006085003158%7C_p_origin_prod%3A
YR!Wholesales.Plus size.Men Classic casual leather jacket.super sales origin natural cowhide coat.slim short leather cloth,$98.14 ,"https://ae-pic-a1.aliexpress-media.com/kf/S8ad38cdef27048e79892ba0c4b1b743ah.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S123e74eca3b1401694c9ba63b844643eC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S61651d67cac34d3592d9ffd47310daffi.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbd8a3ad4e5dd4c38baf4af7b2499ff9cg.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8f3a66e938394f53a8d3cf85d98e53078.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Stand', 'Decoration', 'Pockets,Zippers', 'Lining Material', 'POLYESTER', 'Style', 'Casual', 'Type', 'Slim', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'Short (4 - 16 Inch)', 'Material', 'Cow Leather', 'Brand Name', 'yanreceiver', 'Origin', 'Mainland China', 'CN', 'Jiangsu', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256802834014034.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-9&pdp_ext_f=%7B%22order%22%3A%22134%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21128.30%2198.14%21%21%21128.30%2198.14%21%402140ec5d17747130430783098e9d31%2112000023272580976%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827636&curPageLogUid=ajgbGwlKbkWm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003020328786%7C_p_origin_prod%3A
Men's Fashion Casual Large-Sized Goatskin Leather Jacket Lapel Coat High-End Spring Autumn 2025,$45.10 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4db024513b1d40a3829a6e53c1072150L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S869b33cbbfa24eccae78f992df999371l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S28ef4e6545f64777868b25a61cd0dd4aZ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S392e756db2cf4c51b4c35450e445e7437.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6649baeb7d64437bffbaf122e99c772f.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Shopping', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Closure Type', 'Zipper', 'Collar', 'Turn-Down Collar', 'Model Number', '4564564121', 'Lining Material', 'POLYESTER', 'Style', 'Casual', 'Type', 'Loose', 'Detachable Part', 'NONE', 'Hooded', 'No', 'Thickness', 'Standard', 'Sleeve Length(cm)', 'Full', 'Clothing Length', 'regular', 'Material', 'Sheepskin', 'Origin', 'Mainland China', 'CN', 'Sichuan', 'Outerwear Type', 'Leather & Suede', 'Gender', 'Men']",https://www.aliexpress.us/item/3256809590733285.html?algo_pvid=ffd4277f-b570-4a92-93fe-060df148eabe&algo_exp_id=ffd4277f-b570-4a92-93fe-060df148eabe-5&pdp_ext_f=%7B%22order%22%3A%22126%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21107.76%2145.10%21%21%21741.62%21310.40%21%402140ec5d17747130430783098e9d31%2112000050128112663%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2bed87eb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203291676&curPageLogUid=22lUxsymiwVI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009777048037%7C_p_origin_prod%3A
