Name,Price,Images,Details,product_link
Men Women Hiking Jacket Waterproof Quick Dry Camping Hunting Clothes Sun-Protective Outdoor Sports Coat Anti UV Windbreaker,$9.72 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3c2cb5d46d2a49568fdcb5bd11675cc9Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3c2cb5d46d2a49568fdcb5bd11675cc9Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2bc51fe8713f4b07abc088ae63c391a2Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S859564e2df7148cd946059dd6a373852W.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa8d3f9cfcd5a4daca605095c289434d2O.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)', 'Decoration', 'White goose down', 'Sleeve Style', 'regular', 'Model Number', 'Jacket', 'Hooded', 'Yes', 'Type', 'Slim', 'Detachable Part', 'NONE', 'Thickness', 'Thin', 'Lining Material', 'POLYESTER', 'Closure Type', 'Zipper', 'Cuff Style', 'CONVENTIONAL', 'Pattern Type', 'Solid', 'Collar', 'O-Neck', 'Style', 'Casual', 'Clothing Length', 'regular', 'Material', 'POLYESTER', 'Origin', 'Mainland China', 'CN', 'Shanghai', 'Outerwear Type', 'JACKETS', 'Gender', 'Men', 'Item Type', 'Outerwear & Coats', 'CN', 'Guangdong', 'winter jacket for men free shipping', 'jacket men', 'Windbreaker', 'short winds men', 'Man windbreaker', 'goose down jacket', 'jackets for men', ""Men's windbreaker"", 'Goose down jacket men', 'mens jacket', ""Men's winter jackets"", 'new jackets', 'windbreakers', 'Jacket for men']",https://www.aliexpress.us/item/3256807605937745.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-0&pdp_ext_f=%7B%22order%22%3A%2217803%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007792252497%22%2C%22orig_item_id%22%3A%221005010093843816%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.43%219.72%21%21%21133.72%2166.86%21%402101062a17747216556924308e401b%2112000042217752647%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895&curPageLogUid=DEt4GtSBExh9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792252497%7C_p_origin_prod%3A1005010093843816
New Couple Night Reflective Clothing Solid Color Jacket Polyester Student Male Class Uniform Trendy Luminous Dancer Jacket,$22.18 ,"https://ae-pic-a1.aliexpress-media.com/kf/S654cf98208d44ff09c7768f877eceef3U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdce0bbdefdaa496392cc99badad8c8156.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S86fa6be9bfdd4ee4a101912ab1cc49c4d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5a333b2547654e92b83001a5e28152a1h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc96c67df875443baa753e4f41485160e3.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pockets', 'Sleeve Style', 'regular', 'Model Number', '13JK2323', 'Hooded', 'Yes', 'Type', 'regular', 'Detachable Part', 'NONE', 'Thickness', 'Standard', 'Lining Material', 'POLYESTER', 'Closure Type', 'Zipper', 'Cuff Style', 'Rib sleeve', 'Pattern Type', 'Solid', 'Collar', 'With Nood', 'Style', 'Casual', 'Clothing Length', 'regular', 'Material', 'POLYESTER', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Outerwear Type', 'JACKETS', 'Gender', 'Men', 'Item Type', 'Outerwear & Coats']",https://www.aliexpress.us/item/3256806780019799.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-2&pdp_ext_f=%7B%22order%22%3A%2210713%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006966334551%22%2C%22orig_item_id%22%3A%221005006991302812%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2146.20%2122.18%21%21%21317.96%21152.62%21%402101062a17747216556924308e401b%2112000038883353785%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895&curPageLogUid=TMKd3JL5Cem3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006966334551%7C_p_origin_prod%3A1005006991302812
Men's Hooded Casual Military Outdoor Utility Jacket Fashion Sharkskin Soft-Shell Tactical Waterproof Combat Bomber Jacket,$27.29 ,"https://ae-pic-a1.aliexpress-media.com/kf/S23798d0d2987498693963e39a445c784s.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sacaac32b162c4b9aa5adab43a3f33de19.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb05c2e83ebb44d0195956bc0ee99fbe73.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc25dbb064e3745a98fd31c5cd15e4ffeW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd8fae2aa9bc749658a065aa28e2c291b2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Traveling', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256809164770679.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-4&pdp_ext_f=%7B%22order%22%3A%229416%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005009351085431%22%2C%22orig_item_id%22%3A%221005006723085759%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2158.06%2127.29%21%21%21399.60%21187.81%21%402101062a17747216556924308e401b%2112000048841106736%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895&curPageLogUid=7ulSbRmyzEWO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009351085431%7C_p_origin_prod%3A1005006723085759
NEW SIZE Night Reflective Jackets Double Fabric Windbreaker Hooded Jacket Men Hip Hop Dancer Waterproof Zipper Coats Outwear,$8.95 ,"https://ae-pic-a1.aliexpress-media.com/kf/Hc039736ec0394c3ebe5c18e5470c3b74u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hccff428fe4bf470582a40f4afdfddf9f3.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/He6d6f9e5635c4338b55b9b42feaaaa79Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Haef15a3b47c54cc79e45e78671412ebd4.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hac9d9a43462c48018b0f9181a63d3b7bd.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Four Seasons', 'Special Technology', 'Technology function', 'Applicable Scene', 'Dance']",https://www.aliexpress.us/item/3256805771870523.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-6&pdp_ext_f=%7B%22order%22%3A%227589%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2139.89%2110.95%21%21%21274.54%2175.36%21%402101062a17747216556924308e401b%2112000035044339396%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=sSCEAzi0wKu7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005958185275%7C_p_origin_prod%3A
Military Shark Skin Soft Shell Jackets Men Tactical Windproof Waterproof jacket men Army Combat Jackets Mens Hooded Bomber Coats,$16.54 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5efccf77a1434002af68d0960270e393L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5efccf77a1434002af68d0960270e393L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S57ff17baa38f4edab58a27e0236da5fa9.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S69444b4681794df3ba2653f4b0ef17ff6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb404d59f7cec4764917fee18124bf18cn.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pockets', 'Sleeve Style', 'regular']",https://www.aliexpress.us/item/3256805545230964.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-7&pdp_ext_f=%7B%22order%22%3A%227192%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2162.30%2118.54%21%21%21428.77%21127.62%21%402101062a17747216556924308e401b%2112000034148232488%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=tx42U6B2ooJe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005731545716%7C_p_origin_prod%3A
Hip Hop Varsity Jacket Men High Street Patchwork Color Black Windbreaker Coats Women Spring Autumn Thin Fashion College Jackets,$19.42 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc3c673ab0fc14443915c37ebd794fd0dD.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S73815c8fec9345f5b286da0c3b92dca4j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Scbff740bf7ec4a9099166f1340828bb0a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S68234a7775ae4b21925c61c8cdfc09262.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S16edfa8bf0d249cba5b135f4dbc9d2dc0.jpg_220x220q75.jpg_.avif","['whether full opening', 'NO', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Daily', 'Thickness', 'Standard']",https://www.aliexpress.us/item/3256806674620529.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-8&pdp_ext_f=%7B%22order%22%3A%226952%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006860935281%22%2C%22orig_item_id%22%3A%221005009912275708%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2140.47%2119.42%21%21%21278.54%21133.70%21%402101062a17747216556924308e401b%2112000038541762968%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895&curPageLogUid=qtkvA1zAmE4F&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006860935281%7C_p_origin_prod%3A1005009912275708
Winter Lambswool Coats Thicken Warm Jackets Long Sleeve Zipper Hoodies Casual Sports Fleece Black Coat Hooded Men Women Jacket,$3.86 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sbd17bfb0ead04a91b82033c0005f44f5B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbd17bfb0ead04a91b82033c0005f44f5B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d20812d8d6749e09d33fee450c552fds.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa590460960514c5faa81941c79ae3630i.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf517f4205c2d4a6695ff2f1a756dfa038.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256805550436546.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-9&pdp_ext_f=%7B%22order%22%3A%226850%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2131.36%214.86%21%21%21215.82%2133.43%21%402101062a17747216556924308e401b%2112000034162165533%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895%3BpisId%3A5000000201000927&curPageLogUid=Qlnm1RtF5vKI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005736751298%7C_p_origin_prod%3A
TACVASEN Men's Fleece Jacket Soft Warmth Windproof Full Zip Up Coat Multiple Zipper Pockets Hiking Working Outdoors Windbreaker,$33.90 ,"https://ae-pic-a1.aliexpress-media.com/kf/S011f742cc6ea409f9785496a323b7573u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S011f742cc6ea409f9785496a323b7573u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S449c199e18ae430b809e4b9afb9e711fo.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67784eb66a46446daafc899b7b9b0fe6n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sed71bc761cd540c3904753bfcf2a2654H.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Trip', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256807670799812.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-12&pdp_ext_f=%7B%22order%22%3A%226278%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007857114564%22%2C%22orig_item_id%22%3A%221005007341977604%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2172.14%2133.90%21%21%21496.52%21233.36%21%402101062a17747216556924308e401b%2112000042560481623%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895&curPageLogUid=H1T0CqjY0cg2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007857114564%7C_p_origin_prod%3A1005007341977604
New Streetwear Men's Long Sleeve Sweatshirts for Men Zipper Hooded Oversize Winter Warm Jacket Coat Outdoor Tracksuit Men,$4.05 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4838ce0bbed44122a7f45e9f645554e1C.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4838ce0bbed44122a7f45e9f645554e1C.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S911026f2576b4864974320ee814209dd7.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S840ccda8d97e4bf3899baba9f8d55c4cN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S77b487e20c1a4f7ebedab14e9a0b44376.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256809540546221.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-14&pdp_ext_f=%7B%22order%22%3A%224739%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2129.27%216.05%21%21%21201.42%2141.62%21%402101062a17747216556924308e401b%2112000049962710534%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895%3BpisId%3A5000000201000927&curPageLogUid=RwF147CNROO3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009726860973%7C_p_origin_prod%3A
Winter Parka Men Windbreak Plus Thick Warm Windproof Fur Coats Male Military Hooded Anorak Jackets Men's Winter Jackets,$30.77 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3997c02a0a3c47e284df69c59574d0b5S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a1cad16f94745e1b629c9e31ae73fd04.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S193563cd95ad439e9a2c5666c4044062l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sda8d7e4c6c804be1961856ea3954addc5.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6d81d1e6b0d34173a4938a28d32f218eL.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Traveling', 'Place Of Origin', 'China (mainland)', 'Decoration', 'Pockets', 'Sleeve Style', 'regular']",https://www.aliexpress.us/item/3256806810411556.html?algo_pvid=f92bdb30-aa22-4564-b3e1-dc58cce497e3&algo_exp_id=f92bdb30-aa22-4564-b3e1-dc58cce497e3-15&pdp_ext_f=%7B%22order%22%3A%224420%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006996726308%22%2C%22orig_item_id%22%3A%221005005028660963%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2164.11%2130.77%21%21%21441.22%21211.79%21%402101062a17747216556924308e401b%2112000038989480056%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4589cf5e%3Bm03_new_user%3A-29895&curPageLogUid=gOSygonKADDQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006996726308%7C_p_origin_prod%3A1005005028660963
