Name,Price,Images,Details,product_link
Men's Solid Color Sweater Vest Casual Fashion Warm Top for All Seasons Comfortable Breathable Layering Essential,$10.85 ,"https://ae-pic-a1.aliexpress-media.com/kf/Scf0eed4fe13c455c9d40db735b13584f2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S692dfad8b9314244a05bf799398a76c6f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc20173dc0c6345d4a04bf6d79253bf42l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S11253e41fe524e1b9cf8223dbe4d3ed6U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S08ee4c761f954019b1cca2d58e67a7dcj.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'CASUAL', 'Hooded', 'No', 'Sleeve Style', 'regular', 'Wool', 'Thin Wool', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Item Type', 'Vest, Sleeveless', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Standard', 'Technics', 'Computer Knitted', 'Material', 'POLYESTER', 'Collar', 'V-Neck', 'Style', 'Casual', 'Gender', 'Men', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None']",https://www.aliexpress.us/item/3256807448479962.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-0&pdp_ext_f=%7B%22order%22%3A%222184%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007634794714%22%2C%22orig_item_id%22%3A%221005006618589895%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2123.60%2110.85%21%21%21161.56%2174.32%21%402101d9ef17754231024446819e1cf0%2112000041586721249%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895&curPageLogUid=wHPImM6HenKp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007634794714%7C_p_origin_prod%3A1005006618589895
2024 Autumn Winter New Men's Solid Color V-neck Knitted Vest Casual Fashion Warm Sweater Versatile Top,$2.13 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sc877587155da4e55b7676d41418e5d19B.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12d850e08b494aaaadea349db2ec5a9ck.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S21db45480d8d41ca973bc1931695a543S.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3bc27e42f124a27a3e1d342f65430108.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S859a0ffac1724e049f05d6c00635e363L.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'CASUAL', 'Hooded', 'No', 'Sleeve Style', 'regular', 'Wool', 'Thin Wool', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Item Type', 'Vest, Sleeveless', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Standard', 'Technics', 'Computer Knitted', 'Material', 'COTTON,Wool', 'Collar', 'V-Neck', 'Style', 'Casual', 'Gender', 'Men', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None']",https://www.aliexpress.us/item/3256807332639854.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-1&pdp_ext_f=%7B%22order%22%3A%221296%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.40%212.13%21%21%21153.35%2114.60%21%402101d9ef17754231024446819e1cf0%2112000041104640931%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847478&curPageLogUid=T5SOWtcXZfAd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007518954606%7C_p_origin_prod%3A
Men's Casual Sweater Vest Warm Comfortable Autumn Winter Fashion Outerwear,$11.30 ,"https://ae-pic-a1.aliexpress-media.com/kf/S59b905a7cf374be38c908419a1d3ff05K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a0a2ace95a04183928bcfbe957b81c8f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sed544d146cf447e5ab27e1c773ede9cb6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Safb8394666744fd9bae0556c194a42463.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42be89c5cacd4f96912064c4eeb8668a8.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Winter', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'CASUAL', 'Hooded', 'No', 'Sleeve Style', 'regular', 'Wool', 'Standard Wool', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Striped', 'Item Type', 'Vest, Sleeveless', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Thick', 'Technics', 'Flat Knitted', 'Material', 'POLYESTER', 'Collar', 'V-Neck', 'Style', 'Casual', 'Gender', 'Men', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None']",https://www.aliexpress.us/item/3256806810731088.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-2&pdp_ext_f=%7B%22order%22%3A%221215%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006997045840%22%2C%22orig_item_id%22%3A%221005006063102143%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2124.05%2111.30%21%21%21164.60%2177.36%21%402101d9ef17754231024446819e1cf0%2112000038991421212%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895&curPageLogUid=uCvFY5ri1cvz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006997045840%7C_p_origin_prod%3A1005006063102143
2025 Men's Casual Sweater Vest Warm Comfortable Autumn Winter Fashion Outerwear,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sbfcf6db73263404c98005129ee3fea3eF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S358d577ce69747e38f098a6036d4986fQ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2d9ba829fb154951891f775f24a1ee84G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6f7708e86aa748d68f8894b4396b2b0bJ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa53523ed51014a7db9badbf036202f60O.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Autumn And Winter', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'CASUAL', 'Hooded', 'No', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Solid', 'Item Type', 'Vest, Sleeveless', 'Thickness', 'Standard', 'Technics', 'Flat Knitted', 'Material', 'POLYESTER', 'Style', 'Casual', 'Gender', 'Men', 'Closure Type', 'None', 'Origin', 'China Mainland', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256809513946261.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-4&pdp_ext_f=%7B%22order%22%3A%22824%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.81%210.99%21%21%21142.41%216.74%21%402101d9ef17754231024446819e1cf0%2112000049892315669%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=tgqR3RVS8aHr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009700261013%7C_p_origin_prod%3A
New Men's Knit V-Neck Sleeveless Vests Slim Fit Knitted Pullovers Sweaters Fashion Patchwork Smart Casual Streetwear,$1.07 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4ac4f84e21644e2a9b843686a9deb1a7x.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S79c94efac1844c0091f1d986412d6ecay.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4a9d59d3c7824613884e8d7545db4ecbP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S04c15449f0a04a6486a3dc6dbefce7b4M.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8508fff66db341b3b6bcc57f095fd776v.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'Daily', 'Hooded', 'No', 'Wool', 'Standard Wool', 'Pattern Type', 'Patchwork', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Standard', 'Material', 'POLYESTER', 'Collar', 'V-Neck', 'Style', 'Casual', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None', 'Support', 'Drop Shipping']",https://www.aliexpress.us/item/3256808452892244.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-5&pdp_ext_f=%7B%22order%22%3A%22699%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.89%211.07%21%21%21129.29%217.30%21%402101d9ef17754231024446819e1cf0%2112000046053756433%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847498&curPageLogUid=THLJr2MtFShD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008639206996%7C_p_origin_prod%3A
Men's Casual Sweater Vest Warm Comfortable Autumn Winter Fashion Outerwear,$1.67 ,"https://ae-pic-a1.aliexpress-media.com/kf/S59b905a7cf374be38c908419a1d3ff05K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a0a2ace95a04183928bcfbe957b81c8f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sed544d146cf447e5ab27e1c773ede9cb6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Safb8394666744fd9bae0556c194a42463.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42be89c5cacd4f96912064c4eeb8668a8.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Winter', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'CASUAL', 'Hooded', 'No', 'Sleeve Style', 'regular', 'Wool', 'Standard Wool', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Striped', 'Item Type', 'Vest, Sleeveless', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Thick', 'Technics', 'Flat Knitted', 'Material', 'POLYESTER', 'Collar', 'V-Neck', 'Style', 'Casual', 'Gender', 'Men', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None']",https://www.aliexpress.us/item/3256805876787391.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-6&pdp_ext_f=%7B%22order%22%3A%22653%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2124.83%211.67%21%21%21169.95%2111.46%21%402101d9ef17754231024446819e1cf0%2112000035560527627%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847434&curPageLogUid=pu7eWyToXRr2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006063102143%7C_p_origin_prod%3A
New Mens Argyle Knitwear Vest V Neck Sleeveless Casual Slim Fit Pullover Knitted Sweater lightweight vests,$9.33 ,"https://ae-pic-a1.aliexpress-media.com/kf/S947d4689303e4e5d871ed00d3585d5c99.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S24cfb79fc502452f9fcbc61369d9e4faG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a3825181c6d40a294197b887392cd13p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6852918ca6f74070a0ef53e40c753020e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S98930a994af24b638fcfc1cb808f57ba9.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'Daily', 'Hooded', 'No', 'Wool', 'Standard Wool', 'Pattern Type', 'Patchwork', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Standard', 'Material', 'POLYESTER', 'Collar', 'V-Neck', 'Style', 'Casual', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None', 'Support', 'Drop Shipping']",https://www.aliexpress.us/item/3256810343825304.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-7&pdp_ext_f=%7B%22order%22%3A%22535%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010530140056%22%2C%22orig_item_id%22%3A%221005008639384000%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.67%219.33%21%21%21127.82%2163.91%21%402101d9ef17754231024446819e1cf0%2112000052713314144%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895&curPageLogUid=UDmd31R0Z9h8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010530140056%7C_p_origin_prod%3A1005008639384000
New Men's V-Neck Sleeveless Vest Classic Pullover Knitted Waistcoat Sweater Cardigans Tank Tops Outdoor Streetwear,$9.91 ,"https://ae-pic-a1.aliexpress-media.com/kf/S3cbef1ad37844db69637eca8af14ab2da.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S486f6301e3f14071b190f92befaed1c7I.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S867611fe585d43289ab97b24c9d7b6fcT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S018ea222fc094c47b2ef22059b5195eaa.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfe43be87e0be4fb6846e5f6f82f8e66bf.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'Daily', 'Sleeve Length(cm)', 'Full', 'Thickness', 'Standard', 'Material', 'POLYESTER,Nylon,Viscose', 'Collar', 'V-Neck', 'Style', 'Casual', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None', 'Support', 'Drop Shipping']",https://www.aliexpress.us/item/3256810386347135.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-8&pdp_ext_f=%7B%22order%22%3A%22462%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010572661887%22%2C%22orig_item_id%22%3A%221005008744712601%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.83%219.91%21%21%21135.74%2167.87%21%402101d9ef17754231024446819e1cf0%2112000052858798338%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895&curPageLogUid=S9Oto5QnCYCG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010572661887%7C_p_origin_prod%3A1005008744712601
New Mens Argyle Knitwear Vest V Neck Sleeveless Casual Slim Fit Pullover Knitted Sweater lightweight vests,$1.43 ,"https://ae-pic-a1.aliexpress-media.com/kf/S947d4689303e4e5d871ed00d3585d5c99.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S24cfb79fc502452f9fcbc61369d9e4faG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a3825181c6d40a294197b887392cd13p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6852918ca6f74070a0ef53e40c753020e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S98930a994af24b638fcfc1cb808f57ba9.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'Daily', 'Hooded', 'No', 'Wool', 'Standard Wool', 'Pattern Type', 'Patchwork', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Standard', 'Material', 'POLYESTER', 'Collar', 'V-Neck', 'Style', 'Casual', 'Origin', 'China Mainland', 'CN', 'Zhejiang', 'Closure Type', 'None', 'Support', 'Drop Shipping']",https://www.aliexpress.us/item/3256808453069248.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-9&pdp_ext_f=%7B%22order%22%3A%22447%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.65%211.43%21%21%21134.50%219.80%21%402101d9ef17754231024446819e1cf0%2112000046054709248%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847498&curPageLogUid=4ChyIzzHo8Cn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008639384000%7C_p_origin_prod%3A
Sweater Vest Men Thicken V-neck Sleeveless Knitted Sweaters Vests Striped Retro Preppy-style Simple Chic Loose Casual All-match,$18.95 ,"https://ae-pic-a1.aliexpress-media.com/kf/Secc8aeb260dd4ef49c0ffbbd3a4c8cd3w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Secc8aeb260dd4ef49c0ffbbd3a4c8cd3w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42e4ec35954e4bebaa4bb20c354ac364q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb3ab7d4080a14809ac7685ca656048b0s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0eb28616826e487594442f9a1380f4f6N.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Applicable Season', 'Spring And Autumn', 'Craft of Weaving', 'Knit', 'Applicable Scene', 'CASUAL', 'Hooded', 'No', 'Model Number', 'ghb0512', 'Decoration', 'NONE', 'Sleeve Style', 'regular', 'Wool', 'Standard Wool', 'Place Of Origin', 'China (mainland)', 'Pattern Type', 'Striped', 'Item Type', 'Vest, Sleeveless', 'Sleeve Length(cm)', 'Sleeveless', 'Thickness', 'Standard', 'Technics', 'Computer Knitted', 'Material', 'POLYESTER,COTTON', 'Collar', 'V-Neck', 'Style', 'Preppy Style', 'Gender', 'Men', 'Closure Type', 'None', 'Origin', 'Mainland China', 'Season', 'spring autumn winter', 'Condition', 'daily', 'Model number', 'sweater vest men', 'Feature1', 'chic', 'Feature2', 'leisure', 'Feature3', 'all-match']",https://www.aliexpress.us/item/3256805241108095.html?algo_pvid=ad763150-5eaf-4d27-8251-d120715586de&algo_exp_id=ad763150-5eaf-4d27-8251-d120715586de-10&pdp_ext_f=%7B%22order%22%3A%22415%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2128.45%2118.95%21%21%21194.70%21129.68%21%402101d9ef17754231024446819e1cf0%2112000034594539242%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afd4ea8cd%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847434&curPageLogUid=pFD4o3ueUZyO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005427422847%7C_p_origin_prod%3A
