Name,Price,Images,Details,product_link
Women's basic solid color short-sleeved POLO shirts summer knitted tops daily casual models can be machine washed and dry cleane,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sc510e34c90cf45e297fb9f0ca1261220l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S915650601b644bb29055c8af28691389Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S10ae048001364ffc936050d7145f36d54.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c352884256c4a0da16f07ca3acbcb5eC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc6df2de1d0b54eb59ef1b0b5cb99baceB.jpg_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Summer', 'Age', 'Senior']",https://www.aliexpress.us/item/3256807925153812.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-0&pdp_ext_f=%7B%22order%22%3A%22464%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.55%210.99%21%21%2193.11%216.82%21%40211b655217730009668623182e384b%2112000043896522352%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=Ze1kmj6hTU1p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008111468564%7C_p_origin_prod%3A
Solid Color Autumn Womens T-Shirt Soft Comfortable Polo Shirt All-Match Lapel Streetwear Unisex Hip Hop Woman Long Sleeve,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sc002e3998f7a4132974e58268defa831J.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S270e248fc33542c98c2ef74b1e7605b7O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb9033bff1aec404999c2f937d9648448h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1a33ec2308b9461ea5098dcafcb242c8P.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se8e80a420c7849e498589f86d88b97c2M.jpg_220x220q75.jpg_.avif","['Closure Type', 'Single Breasted', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Summer 2025', 'Craft of Weaving', 'Knit', 'Occasion', 'Casual']",https://www.aliexpress.us/item/3256809820484629.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-1&pdp_ext_f=%7B%22order%22%3A%22300%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.54%210.99%21%21%21134.29%216.80%21%40211b655217730009668623182e384b%2112000050822130086%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=yuQTKiiCZjKv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010006799381%7C_p_origin_prod%3A
"Versatile All-Season Women's Polo Shirt- Easy-Care,Stretch Comfort with Stylish Zip and Geometric Design for Everyday Casual Wea",$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S204b26974b764bcf8567dd17a1ca8e84K.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a2349c857004c5188f163e8b5f70fce1.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd3f0d37fe055436ebe2d88b841a8eeb2R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S00330d074c4f42a38b47a549306f6978y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa8f254393b484e9fa48cb33337b8c40fK.jpg_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Middle Age']",https://www.aliexpress.us/item/3256806608206402.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-2&pdp_ext_f=%7B%22order%22%3A%22282%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.02%210.99%21%21%2168.84%216.79%21%40211b655217730009668623182e384b%2112000038334864981%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=vU6bWljVj5kJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006794521154%7C_p_origin_prod%3A
Mens Womens Retro Hip Hop Shirts Y2K Polo Shirts T Shirt Letter Pattern Embroidered Short Sleeve Casual Shirt New Cotton Tops,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S2ab1570b5ffe45ec887838f882d4cfa5v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd92daef64ed94fe5b3796a36c5cae4afx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S62a83946f43d464e8b9262cbcc4d5228S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf4d86e4aa33840fa81531f25a8155f761.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0dab6c584fc54da9bede6481fc87c2727.jpg_220x220q75.jpg_.avif","['Closure Type', 'None', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Junior']",https://www.aliexpress.us/item/3256808411143014.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-3&pdp_ext_f=%7B%22order%22%3A%22258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.48%210.99%21%21%21120.13%216.81%21%40211b655217730009668623182e384b%2112000045887526073%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=PkMf77sT5jsL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008597457766%7C_p_origin_prod%3A
Semir Polo Shirt Women Chic Cool Feeling Antibacterial Slim Fit 2025 New Summer Embroidered Pullover Casual for Everyday Style,$21.89,"https://ae-pic-a1.aliexpress-media.com/kf/Sb5c0aedae8c44c8a8e9d3d344de881f4o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfc648484f32245dfb5483cafdbef45e04.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sabc52f59a06f4416af9868414500dca8o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a38acda5c7244a4bdb27bcc43d60486t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S44b16b23490142d7b5401b56084e25f7J.jpg_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Occasion', 'Casual', 'Season', 'Summer']",https://www.aliexpress.us/item/3256808325296885.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-10&pdp_ext_f=%7B%22order%22%3A%22252%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2145.60%2121.89%21%21%2145.60%2121.89%21%40211b655217730009668623182e384b%2112000045523739764%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895&curPageLogUid=w1vtsH3s61tH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008511611637%7C_p_origin_prod%3A
Summer Solid Color Women Stripe Polo Shirts Sport Culture T-Shirts Collar Soft Streetwear All-Match Casual Woman Short Sleeve,$1.92,"https://ae-pic-a1.aliexpress-media.com/kf/S4e4580815b5d492898b08d788ef4effcG.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0b95bb44036d4cff855ad9591879e82eP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf4757962995b4c27a4600a30447a3f23X.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se39f7ddd46294c82b8561227a8f7e7a4Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6bf198ebb4934ec7b0d4a9f70504ecbeK.jpg_220x220q75.jpg_.avif","['Closure Type', 'Single Breasted', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Spring 2025', 'Craft of Weaving', 'Knit', 'Occasion', 'Casual']",https://www.aliexpress.us/item/3256808608925032.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-11&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.58%211.92%21%21%21127.71%2113.19%21%40211b655217730009668623182e384b%2112000046695596940%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=kFAvfkZQjmk1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008795239784%7C_p_origin_prod%3A
Fashion Brand MIXED EMOTION T-shirts Men Women Couple Streetwear Angel Print Summer Top Tee Round Neck Short Sleeve,$14.95,"https://ae-pic-a1.aliexpress-media.com/kf/Sd2b0273633644871a1a08ece627821feP.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S328e6635b15748148a8a7a2770f9b58dX.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42a799d32d0948dda93b8c2cae3cec4fM.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6d0ff40fa5bc4884996d4349ac13219ct.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S80af3742fc0443c5a557fa252ffadaddA.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Non-Woven', 'Season', 'Spring/Summer', 'Age', 'Middle Age']",https://www.aliexpress.us/item/3256809988055123.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-4&pdp_ext_f=%7B%22order%22%3A%22236%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2129.97%2114.95%21%21%21205.99%21102.78%21%40211b655217730009668623182e384b%2112000053202789989%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000201988335&curPageLogUid=1d2lRKYepBcW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010174369875%7C_p_origin_prod%3A
"Women's Casual Chic Shirt - Long Sleeve, Button Detail, Semi-Sheer Cotton Blend, Machine Washable - Perfect for Spring & Fall",$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sf46b57b5488c4366a088bc552a54bf042.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se20121bb005a4e16917db0566d2e6091r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbaf85118853e48fe9d205b06717c75c9D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa1140544f6844e6bb45a0e5f1b0f571dl.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6f1353ae2a3f47859afec697154f74dap.jpg_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Spring/Summer', 'Age', 'Senior']",https://www.aliexpress.us/item/3256807926309837.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-14&pdp_ext_f=%7B%22order%22%3A%22195%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.95%210.99%21%21%21137.10%216.76%21%40211b655217730009668623182e384b%2112000043896164755%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=EjbIMzqA9gIG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008112624589%7C_p_origin_prod%3A
Sy-na Skull Hat Sy-na Running Cap2025 New Fabric Sy-na Beanie Hat Menwomen Paragraph Quality Cap Y2k Warm Caps,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sdb1ca0c86b384159ba87d4affff25ea8z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdac30ed88b2142aaad85324a690d3475G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5f41817b2145435d929a475b076303ba9.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S44b25f0d16af4fbaa556ff40adb7bedbL.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S93f91180b2d54e8fb17c1242bf9eecba1.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Closure Type', 'None', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Junior']",https://www.aliexpress.us/item/3256810512226110.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-5&pdp_ext_f=%7B%22order%22%3A%22184%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.65%210.99%21%21%2166.29%216.77%21%40211b655217730009668623182e384b%2112000053229766627%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=8XozRon5X2HW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010698540862%7C_p_origin_prod%3A
Women's striped pattern solid color lapel design long-sleeved POLO shirt casual daily knitted top machine washable not dry,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S22f34da0d871489eb2e1dfbd3602ed87G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1672dbe53dff4e41be3f59a01ed44927g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdac275979995422a9a55bda2fdf3318cn.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc3f7dc51def24f638c0eb6a01c504560P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S07dfe04b570345dba4ce1a18875ff65bE.jpg_220x220q75.jpg_.avif","['Closure Type', 'Pullover', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Spring/Summer', 'Age', 'Senior']",https://www.aliexpress.us/item/3256807927017930.html?algo_pvid=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e&algo_exp_id=6cbbe4ad-454a-424f-b6ea-69bc2ec8717e-16&pdp_ext_f=%7B%22order%22%3A%22184%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.99%210.99%21%21%21144.24%216.80%21%40211b655217730009668623182e384b%2112000043894082898%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa5e8bb12%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=kURVwun4VxzK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008113332682%7C_p_origin_prod%3A
