Name,Price,Images,Details,product_link
Autumn new women cardigan Korean elegant knitted sleeveless female casual sweater tanks fashion new slim ladies casual tops,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Se79bd721aa704c59bce626dc7aea35a1n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se79bd721aa704c59bce626dc7aea35a1n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5952fb4c52b44da5b9c161ace61cd51cW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa0c8e975287c491f8d88fc5c14940a2e2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6262226e88d44de7bb0bb49eecaa4d86R.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256807911591584.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-0&pdp_ext_f=%7B%22order%22%3A%2212876%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008097906336%22%2C%22orig_item_id%22%3A%221005007809835005%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.02%210.99%21%21%21137.28%216.77%21%40211b80d117719324484503564e8463%2112000043725139148%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=O7eVfnNRNsjB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008097906336%7C_p_origin_prod%3A1005007809835005
2025 Autumn Long Sleeve Fashion Women Cardigans Sweater Knitted Coat Short Casual Single Breasted Korean Slim Chic Ladies Tops,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Se394ec5d0bbf41b59c8bb6d6882e7628a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6c15914c9a794cdb976b91413cd9f6dfW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfa7bddb949a84b008953aa1aa265f2f70.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S901df04f34b64a098dbe443b1e25f310d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa832cb1dab504f22924de425d06896bbg.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256807359725566.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-4&pdp_ext_f=%7B%22order%22%3A%227542%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.17%210.99%21%21%21110.88%216.79%21%40211b80d117719324484503564e8463%2112000041238964400%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847491&curPageLogUid=gvOj4xcM1NGS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007546040318%7C_p_origin_prod%3A
2024 New V-Neck Temperament Small Fragrant Wind Women Loose Sweater Sweater All Sweater Coat Special Offer Cardigan ZHI D035,$7.19,"https://ae-pic-a1.aliexpress-media.com/kf/Sd41f4928c29047feab7fa508eaea7361h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6324e1c200d2496e8c338d2ebaf65170B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc1099961620542c09a4912c089ae41c1l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2aa938a17efe42cdb445b4f0e3554172j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4184ee86c1b94b87a3ac10d069e4132bx.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '71%-80%']",https://www.aliexpress.us/item/3256808219787139.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-6&pdp_ext_f=%7B%22order%22%3A%225171%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406101891%22%2C%22orig_item_id%22%3A%221005007813864019%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.67%217.19%21%21%21114.32%2149.31%21%40211b80d117719324484503564e8463%2112000044908582438%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000201214467&curPageLogUid=jlxVBtG9Xytm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406101891%7C_p_origin_prod%3A1005007813864019
AOSSVIAO 2025 Women Cardigans Sweater O-neck Autumn Winter Knitted Cashmere Cardigans Solid Single Breasted Womens Sweaters,$9.44,"https://ae-pic-a1.aliexpress-media.com/kf/S07d5e96aeba94b8eb726c92963a945b4s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S33eb960fc256458e81c4a805a8673b8cS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9f6d56faddfb4865be31d16a21c90afcx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f9cc21c3849434d862ca9dbcdd73987B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S854c13bb3dea491b8a093c32dd532261c.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)']",https://www.aliexpress.us/item/3256806808219957.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-7&pdp_ext_f=%7B%22order%22%3A%225138%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006994534709%22%2C%22orig_item_id%22%3A%221005009916939697%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.59%219.44%21%21%21148.08%2164.77%21%40211b80d117719324484503564e8463%2112000038983661754%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000201238673&curPageLogUid=yRMxKgzRdGOC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006994534709%7C_p_origin_prod%3A1005009916939697
"Women's Striped Crochet Knit Crop Sweater, Polo Collar, Short Sleeve, Button-up, Female Outerwear, Chic Tops, Fashion",$16.66,"https://ae-pic-a1.aliexpress-media.com/kf/S1b82a6de41a842ea91a04fd109924039q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sef90932bbc074086ad9cb207b64add93E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2423ce099b124fb6be4f8aa6b4524268X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S30ff4704e06348f9bd8b616aa89a53a6C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sae8ef6c23e9e4cc7af936c4747f49b3aU.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)']",https://www.aliexpress.us/item/3256807619377641.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-11&pdp_ext_f=%7B%22order%22%3A%223605%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007805692393%22%2C%22orig_item_id%22%3A%221005007555618245%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.83%2116.66%21%21%21259.44%21114.24%21%40211b80d117719324484503564e8463%2112000042262588004%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000201238673&curPageLogUid=RtlLjqDesvyK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007805692393%7C_p_origin_prod%3A1005007555618245
100% Merino Wool Sweater Women O-Neck Cardigan Basic Style Buttoned Knitwear Female Casual Autumn Winter Soft Tops,$14.39,"https://ae-pic-a1.aliexpress-media.com/kf/Sfa2d5c37413147e6a55f8493c30caad3j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S58ff8da689a84f39b7e416db5b540a2eu.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S819f4f7ee3d84f4ca8de5c912ab97f938.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6ed039beca75480ea728fcbf85336f02j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd634cce05faf4c60971960381e57691bQ.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Release Date', 'Spring 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256807071377868.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-25&pdp_ext_f=%7B%22order%22%3A%223018%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2148.90%2114.39%21%21%21335.41%2198.75%21%40211b80d117719324484503564e8463%2112000039971831175%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=WOPLmZbGCLVq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007257692620%7C_p_origin_prod%3A
Korean version V-collar lazy wind cardigan Japanese department simple sweater female spring and autumn winter casual loose knit,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sc8a5988d313c4dbe917383881312ad3dP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S852f4fb04a414ebb9cab985e5c19072aD.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sff30d1c2cd6c4341bf03770338fc2540b.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc2b6f88c91a14263a45ff5d6ff3c7c41j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S21466308bde84c999012e51de0600558z.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Season', 'Spring & Autumn', 'Age', 'Junior']",https://www.aliexpress.us/item/3256807353753322.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-14&pdp_ext_f=%7B%22order%22%3A%222960%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007540068074%22%2C%22orig_item_id%22%3A%221005010543256485%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2124.19%210.99%21%21%21165.90%216.78%21%40211b80d117719324484503564e8463%2112000041212031158%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=iHWkNfD3nJKX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007540068074%7C_p_origin_prod%3A1005010543256485
Korean style women's autumn and winter 2025 new loose and slimming casual knitted cardigan temperament jacket,$21.23,"https://ae-pic-a1.aliexpress-media.com/kf/Sd8b2e1fc38b5471cb5cf35465db3c7a51.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc7c57ae446f044398e8ed7f218e9c308R.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S95157929dd8c46039cc495ba8efbf9c36.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1bff38d7b62542e5b93d01631aaadb3cr.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S53d32c1257c24500af18d7ccb67c8aafO.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Release Date', 'Autumn 2025', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256810079864405.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-15&pdp_ext_f=%7B%22order%22%3A%222784%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010266179157%22%2C%22orig_item_id%22%3A%221005010092515866%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2158.45%2121.23%21%21%21400.86%21145.56%21%40211b80d117719324484503564e8463%2112000056033611364%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847434&curPageLogUid=olUkeavp0mtl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010266179157%7C_p_origin_prod%3A1005010092515866
AS 2024 summer woman clothes cardigan Ankle Length maxi dress nature fiber ribbing fabric clothing ( Ship in 1 day),$13.00,"https://ae-pic-a1.aliexpress-media.com/kf/Se58bdb0b176544b9b62e36edbaa85bc1n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf65c6602a4fc459a9d57ff9faf314f06a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd16b1023e7bb49f08b485a6d8ca02e1fQ.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S846266e7ea1c4f5d89178adf7c9018b6R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S619a71e0cab549f29de82f05450c00bbf.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Release Date', 'Summer 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Percentage of Material', '95% above']",https://www.aliexpress.us/item/3256805064663074.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-16&pdp_ext_f=%7B%22order%22%3A%222584%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2151.00%2113.00%21%21%2151.00%2113.00%21%40211b80d117719324484503564e8463%2112000032365043633%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=65TyBQXDkVng&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005250977826%7C_p_origin_prod%3A
Vintage Harajuku Lantern Sleeve Women Cardigan Sweater Casual Korean Fall Streetwear Tops Coat Chic Lazy Wind Y2k Sweater,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Scd5e7159cd1f4ccd817b2b1eb2c7b267r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb18f0cb83322469481f5e766c16588937.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3a1f296066524bcf92ac2f53bf93be378.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa5d65b32dab04f73ba4e6e2c017a9b04m.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdca80b0f1f2043c597f2a2e8dc1a349dW.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Season', 'Autumn/Winter', 'Age', 'Middle Age']",https://www.aliexpress.us/item/3256809312219917.html?algo_pvid=fc9fdf27-4f67-4221-9726-25dabf027859&algo_exp_id=fc9fdf27-4f67-4221-9726-25dabf027859-19&pdp_ext_f=%7B%22order%22%3A%222243%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2123.43%210.99%21%21%21160.69%216.80%21%40211b80d117719324484503564e8463%2112000049287381770%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A252ba88a%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=2Vp2Egug9WM4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009498534669%7C_p_origin_prod%3A
