Name,Price,Images,Details,product_link
Normcore Y2K Baggy Black Denim Trouser Washed Vintage Casual Minimalist Pants Grunge High Waist Solid Color Street Retro Jeans,$30.26 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se542baa3ee67465e9260b560b9bc4f25l.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S701252c4d1bc42d4b24e1172d6bb35538.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sded0c1bd190b4c4aa37aa6c3c57af178e.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se323c27add4c474d933a441a1c36804dl.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0bfc7abb3d8a42beb2e699a604ac3663z.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'All Season', 'Release Date', 'Winter 2024', 'Thickness', 'regular', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'High Street', 'Jeans Style', 'Straight Jeans', 'Fit Type', 'Loose', 'Fabric Type', 'Cotton elastic denim', 'Decoration', 'Button,Pockets,Fake Zippers,Washed,Vintage', 'Waist Type', 'low', 'Closure Type', 'Zipper Fly', 'Wash', 'medium（18-24inch）', 'Length', 'full length', 'Material', 'COTTON,POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Brand Name', 'Keramo', 'Elasticity', 'Non Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256807967489615.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-9&pdp_ext_f=%7B%22order%22%3A%222773%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2160.52%2120.26%21%21%21414.50%21138.76%21%40212e508f17727210969448033e1ba2%2112000044014692739%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=fmvb5XgACC3m&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008153804367%7C_p_origin_prod%3A
Vintage High-waisted Slimming Jeans American Style Casual Bell Bottoms Versatile Straight-leg Long Pants For Women,$18.78 ,"https://ae-pic-a1.aliexpress-media.com/kf/S556640f292ff420bb3aa229f3213fdb48.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S013cf6fa87554877a8958ceba528dae4B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sebd8fb83036c43b0bfe7587a5b9df7c4Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S518bcc47ec0e48fb983fef575b5f2a55g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd2ca9188688f40ce8af645dbbef268d3i.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'Asia', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'Spring & Autumn', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Model Number', 'DF5384', 'Style', 'Vintage', 'Jeans Style', 'Wide leg Jeans', 'Fit Type', 'Loose', 'Fabric Type', 'Thin denim', 'Decoration', 'None', 'Waist Type', 'high', 'Closure Type', 'Zipper Fly', 'Wash', 'Garment Wash', 'Length', 'Ankle-Length Pants', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256808219771061.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-1&pdp_ext_f=%7B%22order%22%3A%222572%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406085813%22%2C%22orig_item_id%22%3A%221005010765796640%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2140.82%2118.78%21%21%21279.62%21128.63%21%40212e508f17727210969448033e1ba2%2112000044908462141%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895&curPageLogUid=GSzAaOGUQm5V&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406085813%7C_p_origin_prod%3A1005010765796640
Thermal Winter Thick Fleece High-waist Warm Skinny Jeans Thick Women Stretch Button Pencil Pants Mom Casual Velvet Jeans,$18.06 ,"https://ae-pic-a1.aliexpress-media.com/kf/H5f293ea968394d78a47ff881a6e61d39i.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc7b503de5834479ab1426379d4d4488dI.png?has_lang=1&ver=2_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Ha225a906ded44df0bb5e3fb608174880E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H09208e375bea436aae3220931cfec6a3P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H78a3d6c242b241e1aec599e0d49d9a03G.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'Asia', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Winter', 'Release Date', 'Autumn 2023', 'Thickness', 'thicken', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Model Number', '2+65+9', 'Style', 'Casual', 'Jeans Style', 'Pencil Pants', 'Fit Type', 'Slim', 'Fabric Type', 'Stripe', 'Decoration', 'Pockets', 'Waist Type', 'high', 'Closure Type', 'Zipper Fly', 'Wash', 'medium（18-24inch）', 'Length', 'full length', 'Material', 'COTTON,POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Brand Name', 'neverfunction', 'Elasticity', 'High Strecth', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256806808416369.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-2&pdp_ext_f=%7B%22order%22%3A%222371%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006994731121%22%2C%22orig_item_id%22%3A%221005005958210806%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2139.26%2111.06%21%21%21268.88%2175.74%21%40212e508f17727210969448033e1ba2%2112000038983650256%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=Y8c8BdKIfFTH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006994731121%7C_p_origin_prod%3A1005005958210806
Street Fashion Trend Skull Embroidered Jeans Women Harajuku Y2K New Hip Hop Joker Straight Wide-leg Pants Couple Casual Jeans,$21.42 ,"https://ae-pic-a1.aliexpress-media.com/kf/S636639f4a69e459bb29e0a6cbb342d9dn.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb686cd75193b4bc6a797f16370dfb6fb8.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S49875d3b97b0405fa5377f3bcace0e38y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S118938633bb94e1288b3d638332f8223Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S71d4fedfe0d944918b1b335f76ef31a4k.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Thickness', 'regular', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Jeans Style', 'Wide leg Jeans', 'Fit Type', 'Loose', 'Fabric Type', 'Stripe', 'Decoration', 'Embroidery,Button', 'Waist Type', 'MID', 'Closure Type', 'Button Fly', 'Wash', 'light', 'Length', 'full length', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Elasticity', 'Non Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256807734401757.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-4&pdp_ext_f=%7B%22order%22%3A%222234%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2147.37%2118.42%21%21%21324.46%21126.19%21%40212e508f17727210969448033e1ba2%2112000042851810227%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=quRs0qlxHQBH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007920716509%7C_p_origin_prod%3A
American Y2K 2025 New Baggy Wide Leg Black Jeans Overszied Women Street Casual Joker Denim Pants Couple Jeans Vintage Streetwear,$19.95 ,"https://ae-pic-a1.aliexpress-media.com/kf/S6699d7768d55440eadb2641e1d4250608.png?has_lang=1&ver=2_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6fb214eea2ab42ebab8f182d8aaac08fV.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb1a7c1cacab54b8b9bc88c5c57be2b9d2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S65c4142a6a954e7cb58ad993c6aff7bdF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S12e3831fd7bd41fb8d40bcf058372796s.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Thickness', 'regular', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Jeans Style', 'Wide leg Jeans', 'Fit Type', 'Loose', 'Fabric Type', 'Stripe', 'Decoration', 'Button', 'Waist Type', 'MID', 'Closure Type', 'Button Fly', 'Wash', 'light', 'Length', 'full length', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Elasticity', 'Non Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256808368478256.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-5&pdp_ext_f=%7B%22order%22%3A%222097%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2144.92%2116.95%21%21%2144.92%2116.95%21%40212e508f17727210969448033e1ba2%2112000045689962251%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=99vz0kfHfAm2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008554793008%7C_p_origin_prod%3A
Streetwear New Fashion Oversized Print Baggy Jeans Y2K Harajuku Hip-hop Vintage Pop Gothic High Waist Wide-leg Pants Trousers,$21.03 ,"https://ae-pic-a1.aliexpress-media.com/kf/S6e8d0d73dda649998445376af9be6cf6O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1566cb6cb38b4012ac51e66b82012712B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfb4c8d390917400f9a603cb9e8be992fq.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5489e044c21e4257b7dfa11c64cf9836Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S338a0315ffa04d76964f290a33087076y.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Non-Woven', 'Season', 'All Season', 'Release Date', 'Autumn 2024', 'Thickness', 'regular', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Model Number', 'Y2K', 'Style', 'Casual', 'Jeans Style', 'Wide leg Jeans', 'Fit Type', 'Loose', 'Fabric Type', 'Stripe', 'Decoration', 'Appliques,Pockets,Washed', 'Waist Type', 'low', 'Closure Type', 'Button Fly', 'Wash', 'light,Distressed', 'Length', 'full length', 'Material', 'COTTON,POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256806716908521.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-6&pdp_ext_f=%7B%22order%22%3A%221926%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2145.21%2118.03%21%21%21309.68%21123.51%21%40212e508f17727210969448033e1ba2%2112000038666098016%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=Uqp222gXdHIi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006903223273%7C_p_origin_prod%3A
Thermal Winter Thick Fleece High-waist Warm Skinny Jeans Thick Women Stretch Button Pencil Pants Mom Casual Velvet Jeans,$12.74 ,"https://ae-pic-a1.aliexpress-media.com/kf/H5f293ea968394d78a47ff881a6e61d39i.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc7b503de5834479ab1426379d4d4488dI.png?has_lang=1&ver=2_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Ha225a906ded44df0bb5e3fb608174880E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H09208e375bea436aae3220931cfec6a3P.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H78a3d6c242b241e1aec599e0d49d9a03G.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'Asia', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Winter', 'Release Date', 'Autumn 2023', 'Thickness', 'thicken', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Model Number', '2+65+9', 'Style', 'Casual', 'Jeans Style', 'Pencil Pants', 'Fit Type', 'Slim', 'Fabric Type', 'Stripe', 'Decoration', 'Pockets', 'Waist Type', 'high', 'Closure Type', 'Zipper Fly', 'Wash', 'medium（18-24inch）', 'Length', 'full length', 'Material', 'COTTON,POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Brand Name', 'neverfunction', 'Elasticity', 'High Strecth', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256805771896054.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-7&pdp_ext_f=%7B%22order%22%3A%221814%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2140.28%2110.24%21%21%21275.91%2170.13%21%40212e508f17727210969448033e1ba2%2112000035160750292%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=8PIJVZSEruRI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005958210806%7C_p_origin_prod%3A
Jeans for Woman Y2k Clothes Relaxed Loose Fit Wide Leg Trousers Vintage American Retro Style with Rivet Patchwork Split Design,$20.05 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sdc920046cee848f887dc28da78f0a3c59.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdc920046cee848f887dc28da78f0a3c59.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S834f990516d9421284ad280949f8e782g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S74368a68055d432e8eb22bc9cdb9535dK.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S09668e478ecf4abea39e48b666caf802w.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'All Season', 'Release Date', 'Autumn 2025', 'Thickness', 'regular', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Jeans Style', 'Loose Jeans', 'Fit Type', 'regular', 'Fabric Type', 'Plaid', 'Decoration', 'Pockets', 'Waist Type', 'high', 'Closure Type', 'Zipper Fly', 'Wash', 'Garment Wash', 'Length', 'full length', 'Material', 'COTTON,POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256808644329939.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-8&pdp_ext_f=%7B%22order%22%3A%221796%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008830644691%22%2C%22orig_item_id%22%3A%221005010533205433%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2143.59%2120.05%21%21%21298.54%21137.33%21%40212e508f17727210969448033e1ba2%2112000046864994820%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895&curPageLogUid=JNROnQL6IkaV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008830644691%7C_p_origin_prod%3A1005010533205433
Vintage Statue of liberty Diamonds Jeans Casual Denim Pants High Waist Straight Wide Leg Jeans Harajuku Y2k 2000s Women Clothing,$37.70 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb2201c51a3554b8dba98b8c6bb719bfaW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7aab79d65da54a879bc05bada448ffa2x.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa1921503cc394f859ccf1adcb0b8d66c7.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saf7cef2cb8984ac7bfc7c996ebb07ef8u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67317f940b9642b08139ee4e04f0d813d.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Jeans Style', 'Straight Jeans', 'Fit Type', 'Loose', 'Fabric Type', 'Coated', 'Decoration', 'Embroidery,Spliced,Patch Designs', 'Waist Type', 'high', 'Closure Type', 'Button Fly', 'Wash', 'light,medium（18-24inch）,Distressed', 'Length', 'full length', 'Material', 'COTTON', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Brand Name', 'BiggOrange', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256809172485671.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-10&pdp_ext_f=%7B%22order%22%3A%221641%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2163.90%2137.70%21%21%21437.66%21258.22%21%40212e508f17727210969448033e1ba2%2112000048858929696%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895&curPageLogUid=YdJH6AiMnV4p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009358800423%7C_p_origin_prod%3A
Womens Pants Casual Streetwear High Waist Wide Leg Flared Trousers Loose Fit Comfortable Daily Walking Denim,$19.58 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sac7daffeed994cbda38832e5f93ede09c.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac7daffeed994cbda38832e5f93ede09c.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S78102596a81d481ea721aad082cfab78z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S804a86628f19414d9f65f7c8fe304fadP.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S393c80d135764ebf9994189fb63d374bw.jpg_220x220q75.jpg_.avif","['Special Size', 'Standard Size', 'Country Preference', 'General', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'All Season', 'Release Date', 'Autumn 2025', 'Thickness', 'regular', 'Age', 'Senior', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Jeans Style', 'Loose Jeans', 'Fit Type', 'regular', 'Fabric Type', 'Plaid', 'Decoration', 'Button,Pockets', 'Waist Type', 'high', 'Closure Type', 'Zipper Fly', 'Wash', 'Garment Wash', 'Length', 'full length', 'Material', 'COTTON,POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'JEANS', 'Elasticity', 'Slight Strech', 'CN', 'Guangdong']",https://www.aliexpress.us/item/3256807891316628.html?algo_pvid=2b844283-41bf-463a-b63d-4053c80833be&algo_exp_id=2b844283-41bf-463a-b63d-4053c80833be-12&pdp_ext_f=%7B%22order%22%3A%221503%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008077631380%22%2C%22orig_item_id%22%3A%221005009959948492%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2142.56%219.58%21%21%21291.48%2165.59%21%40212e508f17727210969448033e1ba2%2112000043565491976%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae2214155%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=WB2qntQVXLG6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008077631380%7C_p_origin_prod%3A1005009959948492
