Name,Price,Images,Details,product_link
Winter Leggings For Women Warm Leggins Solid Color Velvet Leggins High Waist Leggings Stretchy Leggings dropshipping,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S682ce3e2b49c43ae9a319d28dda27c40E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S682ce3e2b49c43ae9a319d28dda27c40E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1d5aa5c6972c4e08a83c10199adcbc27T.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saff6e04094fc4119abfb3b9c9a6f3dc4w.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6bdd53c8c65a487ba5bd75f3214fd6e1R.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Season', 'Winter', 'Seam', 'seamless', 'Hip-Style', 'Booty Lifting', 'Spandex', 'High Spandex(>20%)', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Thickness', 'Thick', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Knitted', 'Waist Type', 'high', 'Pattern Type', 'Solid', 'Material', 'COTTON,POLYESTER,Elastane,CASHMERE', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'MEHEOL', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256805079473746.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-6&pdp_ext_f=%7B%22order%22%3A%2215941%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.06%210.99%21%21%2155.20%216.78%21%40213ba8cc17727210130764850e2cc3%2112000032415893309%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=Tbe1mRVbokMI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005265788498%7C_p_origin_prod%3A
Women Winter Warm Leggings Thick Trousers Warm Fleece Plus Size Long Thicken Pants Fashion Casual Soild Color Leggings,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/H0a1e336c84014620beb51c1d45acc91bC.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Ha959158c562a4de9bd45378a08a8794dT.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Hee23f23d5d3e47a3b070f97d46ab3960f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H7b19c74beb0243819eab59e74e90be3aT.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/H1b59c7bea89746b0aa45a1eb6ac0af6a4.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Winter', 'Seam', 'SEAM', 'Hip-Style', 'regular', 'Spandex', 'Spandex(10%-20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Thickness', 'Thick', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Broadcloth', 'Waist Type', 'MID', 'Pattern Type', 'Solid', 'Material', 'POLYESTER,Nylon', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'MEHEOL', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256805618713511.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-14&pdp_ext_f=%7B%22order%22%3A%229503%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.85%210.99%21%21%2194.86%216.76%21%40213ba8cc17727210130764850e2cc3%2112000034418578187%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=gAvtG2ub3V9O&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005805028263%7C_p_origin_prod%3A
Winter Thicken Warm Leggings Women Lamb Cashmere Joggers High Waist Fleece Elastic Tights Warm Tights Pants Slim Velvet Legging,$6.85 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb13c68dd9c7342028fbfa2cc0575c6bc6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf31d2696797f4ac6916f1f608930bf72a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sba809d58aa0a43c0b0b6117389eeb236D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S89c19cfb461343939a89360de9e20cc45.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9dbd4ca5863f404797cf137604fa3f4fn.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Tatting', 'Season', 'Autumn/Winter', 'Seam', 'SEAM', 'Hip-Style', 'Booty Lifting', 'Spandex', 'High Spandex(>20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Thickness', 'Standard', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Broadcloth', 'Waist Type', 'high', 'Pattern Type', 'Print', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'Linglsix', 'CN', 'Fujian']",https://www.aliexpress.us/item/3256809902928335.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-15&pdp_ext_f=%7B%22order%22%3A%229262%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010089243087%22%2C%22orig_item_id%22%3A%221005009534921078%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.71%216.85%21%21%2193.92%2146.96%21%40213ba8cc17727210130764850e2cc3%2112000051099081903%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895&curPageLogUid=8DdZOAteLn2X&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010089243087%7C_p_origin_prod%3A1005009534921078
Winter Thicken Warm Leggings Women Lamb Cashmere Joggers High Waist Fleece Elastic Tights Warm Tights Pants Slim Velvet Legging,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb13c68dd9c7342028fbfa2cc0575c6bc6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf31d2696797f4ac6916f1f608930bf72a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sba809d58aa0a43c0b0b6117389eeb236D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S89c19cfb461343939a89360de9e20cc45.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9dbd4ca5863f404797cf137604fa3f4fn.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Tatting', 'Season', 'Autumn/Winter', 'Seam', 'SEAM', 'Hip-Style', 'Booty Lifting', 'Spandex', 'High Spandex(>20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Casual', 'Thickness', 'Standard', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Broadcloth', 'Waist Type', 'high', 'Pattern Type', 'Print', 'Material', 'POLYESTER', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'Linglsix', 'CN', 'Fujian']",https://www.aliexpress.us/item/3256809348606326.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-24&pdp_ext_f=%7B%22order%22%3A%227064%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.99%210.99%21%21%2195.83%216.76%21%40213ba8cc17727210130764850e2cc3%2112000049390574428%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=NZwDpgoq4x8B&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009534921078%7C_p_origin_prod%3A
Pantyhose Winter Women Seamless Sexy Push Up Thick Fake Translucent Warm Velvet Autumn Thin Leggings Tights Pantyhose,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S4ef948cd10584631b9919cd19a56bfdao.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4ef948cd10584631b9919cd19a56bfdao.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc4dfdebe78fc416d9577b44439d91055V.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S88985b786a0042a081bbe17777f20246p.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S467b8ef83a43463fb9d07dede789c414t.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Non-Woven', 'Season', 'Winter', 'Seam', 'seamless', 'Hip-Style', 'Booty Lifting', 'Spandex', 'High Spandex(>20%)', 'Age', 'Junior', 'Place Of Origin', 'China (mainland)', 'Model Number', 'Women Stocking', 'Style', 'Casual', 'Thickness', 'Thick', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Terry', 'Waist Type', 'high', 'Pattern Type', 'Solid', 'Material', 'Nylon', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'klemshe', 'CN', 'Guangdong', 'Season', 'Spring Autumn winter', 'Warm Thick Tights', 'Nylon Pantyhose', 'feature1', ""Women's warm tights"", 'feature2', 'winter leggings women', 'feature3', ""women's winter tights"", 'feature4', ""women's insulated tights"", 'feature5', 'Thicken Leggings', 'Support', 'dropshipping and wholesale', 'Length', 'Ankle-Length', 'Waist Type', 'HIGH Waist', 'Seam', 'Seamless', 'Hip-Style', 'Booty Lifting', 'type 1', 'translucent wool sock pants', 'type 2', 'Thermal stockings woman', 'type 3', 'black women tights winter fake translucent', 'type 4', 'Pantyhose woman winter', 'type 5', 'Winter stockings for women', 'type 6', 'warm thermal tights for women', 'type 7', 'winter woman pantyhose translucent wool pantyhose']",https://www.aliexpress.us/item/3256804698504110.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-26&pdp_ext_f=%7B%22order%22%3A%226813%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.79%210.99%21%21%212.79%210.99%21%40213ba8cc17727210130764850e2cc3%2112000030887952507%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=VTlA6TW19C4a&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004884818862%7C_p_origin_prod%3A
Summer Women Three Waist Gym Yoga Pants High Waist Peach Buttocks Solid Color Tight Fitting Sports Leggings Yoga Exercise Pants,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/S567e1019207e4dfe844595f23cc45b03E.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S22014153b6d24eba9b2796e817071ec41.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S340f2de8be14401cad160c97df505e0dZ.png_220x220.png_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3f4766d89fc04a12888aa5f60ec7f0d2X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S82219d29fd214907b254647651ceef44u.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Summer 2025', 'Craft of Weaving', 'Knit', 'Season', 'Summer', 'Seam', 'seamless', 'Hip-Style', 'regular', 'Spandex', 'Spandex(10%-20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Sporty', 'Thickness', 'Standard', 'Length(Bottoms)', 'Mid-Calf', 'Fabric Type', 'Broadcloth', 'Waist Type', 'MID', 'Pattern Type', 'Solid', 'Material', 'Elastane,Nylon', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'MEHEOL', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256808726096844.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-27&pdp_ext_f=%7B%22order%22%3A%226596%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.07%210.99%21%21%21110.07%216.80%21%40213ba8cc17727210130764850e2cc3%2112000047172447885%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=KMQciHTC6rvi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008912411596%7C_p_origin_prod%3A
Autumn Winter Warm Fleece Women Leggings Velvet Thicken High Waist Tights Elastic Slim Solid Color Leggings Prevent Cold Tights,$25.41 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf5e87f220e474d63b67f559a977b8f3b5.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3434e69bb8ff4e6e8c665382ec46f110Y.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf6289a81f5e84e8ab6c64acc6ad29b8cQ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa9cbf72eefc743bcb917210e555879b3J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S86c803531f654716b0966cdffd1fed0dz.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Seam', 'seamless', 'Age', 'Middle Age', 'Model Number', 'Thicken Leggings', 'Style', 'Casual', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Broadcloth', 'Waist Type', 'high', 'Pattern Type', 'Solid', 'Material', 'POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'CN', 'Sichuan', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256811373823012.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-48&pdp_ext_f=%7B%22order%22%3A%225344%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005011560137764%22%2C%22orig_item_id%22%3A%221005010288097557%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2170.82%2125.41%21%21%21485.08%21174.05%21%40213ba8cc17727210130764850e2cc3%2112000055922882224%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=opOJEuKaOUT8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011560137764%7C_p_origin_prod%3A1005010288097557
Seamless Knit Leggings for Women Elastic High Waist Tights Gym Trainning Hip Lift Quick Drying and Breathable Fitness Yoga Pants,$8.86 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se78ed445e8614837ac480e6abd82bb60z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc18c67cd7bd2475fbfa02d33b7f34876k.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0bd13c48b13341f287bbd8fa852ac0f2Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se65c466913d64995acc43987fdbdae52t.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1e077baa32a84bb2a906d38266d9a7eaS.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Summer', 'Seam', 'seamless', 'Hip-Style', 'Booty Lifting', 'Spandex', 'High Spandex(>20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Style', 'Sporty', 'Thickness', 'Standard', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Broadcloth', 'Waist Type', 'high', 'Pattern Type', 'Solid', 'Material', 'Elastane,Nylon', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'MODX', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256809968937955.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-33&pdp_ext_f=%7B%22order%22%3A%224931%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010155252707%22%2C%22orig_item_id%22%3A%221005009216561582%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.27%218.86%21%21%21132.02%2160.73%21%40213ba8cc17727210130764850e2cc3%2112000051347156917%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895&curPageLogUid=KZsHTBdfp1gg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010155252707%7C_p_origin_prod%3A1005009216561582
High Elastic Skinny Leggings Pencil Pants Slim Plus Size Trousers Shiny Yoga Pant For Female Sexy Skin Friendly Tight Legging,$5.62 ,"https://ae-pic-a1.aliexpress-media.com/kf/S59e7596075024e809d4cefa7f1e342e9f.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7a0d490af8464b52a3ab18ef10492df7H.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d8024bdbe6f41da8bf8e63f3138854cg.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7e1197c299f6448ab56a534f4b7f791di.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5b7fd2424abf4af1a5ab3efb1c130ba2C.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'All Season', 'Seam', 'SEAM', 'Hip-Style', 'regular', 'Spandex', 'Spandex(10%-20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Model Number', 'FK00002', 'Style', 'Office Lady', 'Thickness', 'Standard', 'Length(Bottoms)', 'Ankle-Length', 'Fabric Type', 'Satin', 'Waist Type', 'MID', 'Pattern Type', 'Solid', 'Material', 'POLYESTER,Elastane', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'BLILUEN', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256806675581406.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-35&pdp_ext_f=%7B%22order%22%3A%224685%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006861896158%22%2C%22orig_item_id%22%3A%221005005557747216%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.97%215.62%21%21%2182.02%2138.55%21%40213ba8cc17727210130764850e2cc3%2112000056147750916%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895&curPageLogUid=VxcnZObwnogK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006861896158%7C_p_origin_prod%3A1005005557747216
New Women V Back Athletic Leggings Fitness Exercise Yoga Gym Tights Workout Scrunch Butt Lifting Training Pants,$9.56 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sb448e90eecee4bd08f7e375a4f0907388.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5bb3b2b1503242b2970fa259bade95e25.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9a4bfcea1225468dbfcd854f3effd00dj.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S31618403a1344e1c81ee081904c8e5c23.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfb17625e9718481c84557dd1a2fbd318S.jpg_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Seam', 'seamless', 'Hip-Style', 'Booty Lifting', 'Spandex', 'Spandex(10%-20%)', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)', 'Model Number', 'GC1564', 'Style', 'Sporty', 'Thickness', 'Standard', 'Length(Bottoms)', 'Ankle-Length', 'Waist Type', 'high', 'Pattern Type', 'Solid', 'Material', 'Elastane,Nylon', 'Gender', 'Women', 'Origin', 'Mainland China', 'Item Type', 'Leggings', 'Brand Name', 'caeruleus', 'CN', 'Zhejiang']",https://www.aliexpress.us/item/3256806674563538.html?algo_pvid=1459a51d-2ab3-49c4-883a-18f7c26c1c49&algo_exp_id=1459a51d-2ab3-49c4-883a-18f7c26c1c49-39&pdp_ext_f=%7B%22order%22%3A%224164%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006860878290%22%2C%22orig_item_id%22%3A%221005008292993735%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.51%219.56%21%21%21133.60%2165.46%21%40213ba8cc17727210130764850e2cc3%2112000038541993157%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3c7d7c58%3Bm03_new_user%3A-29895&curPageLogUid=ONLz6fW5VcA3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006860878290%7C_p_origin_prod%3A1005008292993735
