Name,Price,Images,Details,product_link
AOSSVIAO 2025 Autumn Winter Solid Mock-neck Pullover Women Sweater for Casual Knitwear Female Clothing Basic Soft Tops,$6.32,"https://ae-pic-a1.aliexpress-media.com/kf/S63d3ecf1d83e4e5495f0ae2d789f54eag.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6c3e0d2cb2448da91f99a404b4f85deR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e384e8d7980485bba5235a6a22710dd6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfe8db37adf22463cac2f08c373b26dadc.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67d7c0d984ed4daca8a6afc79e2d9c9ep.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '95% above']",https://www.aliexpress.us/item/3256807605949365.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-18&pdp_ext_f=%7B%22order%22%3A%226994%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007792264117%22%2C%22orig_item_id%22%3A%221005009634951217%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.64%216.32%21%21%2186.56%2143.28%21%40210385bb17718697265191789e64b9%2112000042217238966%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895&curPageLogUid=uAuhUjESMfva&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792264117%7C_p_origin_prod%3A1005009634951217
Hirsionsan Basic O Neck Basic Sleeve Sweater Women 2025 Oversized Short Knitted Wool Pullover Female Casual Thick Warm Soft Tops,$48.94,"https://ae-pic-a1.aliexpress-media.com/kf/S6183d6fe6676412882492357ffcb13c7p.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6183d6fe6676412882492357ffcb13c7p.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S161054dd79f645b58d55c263d4d75253u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sef9a8f4ce0f640c0b13c17d2e22c1f56K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S131fa92dcf224357ac13979108890aedN.jpg_220x220q75.jpg_.avif","['Occasion', 'Home', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Winter 2025', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting']",https://www.aliexpress.us/item/3256809734682081.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-35&pdp_ext_f=%7B%22order%22%3A%226417%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2199.90%2148.94%21%21%2199.90%2148.94%21%40210385bb17718697265191789e64b9%2112000050580298959%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=s3fkDaY5b5vM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009920996833%7C_p_origin_prod%3A
Casual Long Sleeve Knitted Pullover 2026 Autumn Winter Women Sweaters Femme Basic Solid Jersey Tops Fashion Clothes,$5.92,"https://ae-pic-a1.aliexpress-media.com/kf/S5d6c532293c54b4ebfcc2129cad64bddm.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd487d9e8083644bfa532b52f24b821b17.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8d9f68bb1cca477da720b97fa9621499V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3b5b99d430944215ab5aad37230b41d0v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b55e1b347514181b71197411c575513N.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Fine yarn', 'Percentage of Material', '91%-95%']",https://www.aliexpress.us/item/3256806982719272.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-23&pdp_ext_f=%7B%22order%22%3A%226197%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007169034024%22%2C%22orig_item_id%22%3A%221005009865679297%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.58%215.92%21%21%2186.14%2140.49%21%40210385bb17718697265191789e64b9%2112000039681440581%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895&curPageLogUid=HwuQcs4WL1Fr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007169034024%7C_p_origin_prod%3A1005009865679297
New 2024 Autumn Winter Pullover Sweater Women Cashmere Knitwear Tops Bear Print Warm Pullovers Korean Fashion Chic Woman Clothes,$9.41,"https://ae-pic-a1.aliexpress-media.com/kf/Se5d2ad4c0d4f4080b70467d3aacbbc23I.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7050b3ab98ff4b4d846740805d2427cb6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6502adfe159a4214a2476cac713a02c7j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d4cd71e8e174a269edea564a22a7ac90.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S83c80466a29647ad8702b43932f0c20ek.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256807972157896.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-31&pdp_ext_f=%7B%22order%22%3A%224952%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008158472648%22%2C%22orig_item_id%22%3A%221005008071769706%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.84%219.41%21%21%21259.16%2164.41%21%40210385bb17718697265191789e64b9%2112000044031718579%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847434&curPageLogUid=rBUC0AVDyLPQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008158472648%7C_p_origin_prod%3A1005008071769706
"SuyaDream Warm Alpaca Pullovers for Woman, Dropped Sleeved Loose Sweaters, 2025 Fall Winter Top, Camel, Beige",$68.13,"https://ae-pic-a1.aliexpress-media.com/kf/Sf5047cafffbb4439a7c66019e30f85e9d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se79b0e03126447f7bead6be8b787d12eH.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a06eda50e244211a8390090c30e61d9p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9b55cfd5b45b497985af140528bf52f16.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b45191f911d492e9c2dcad3a878756bL.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Winter 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Yarn Thickness', 'Coarse yarn']",https://www.aliexpress.us/item/3256805881173260.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-46&pdp_ext_f=%7B%22order%22%3A%224157%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21120.20%2168.13%21%21%21120.20%2168.13%21%40210385bb17718697265191789e64b9%2112000035578308055%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=ffPv4o64MlEp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006067488012%7C_p_origin_prod%3A
Autumn Winter chic Bottom Sweaters Women Fashion Turtleneck Pullover Slim Long Sleeve Knitted Jumpers Soft Warm Pull Femme Top,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S5e967a7ed5124320a1ffac3f874f5cdbQ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S097555cea30447349fe057a85e9ea3abW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4562a9fe2c6346d1a62bb97ff5cfb23cQ.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7005943addfc4dc5afa237bfbc1327ebj.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc8fe1ca87ff04cd486d79e489c867705P.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', '25-34', 'Fabric Weight', 'Heavyweight (Fabric Weight 220–320 g/m²)']",https://www.aliexpress.us/item/3256806808385488.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-38&pdp_ext_f=%7B%22order%22%3A%223092%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006994700240%22%2C%22orig_item_id%22%3A%221005008485777366%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2123.79%210.99%21%21%21162.92%216.79%21%40210385bb17718697265191789e64b9%2112000038983633373%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=6ENMFncNJnyK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006994700240%7C_p_origin_prod%3A1005008485777366
2026 Basic Turtleneck Solid Thin Summer Pullover Women Female Knitted Sweater Slim Short Sleeve Bodycon Sweater,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S1493cebbfe94435bba4e897f596414eev.jpeg_220x220q75.jpeg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc23b158302db4b39b2f5604f2ad05cbdK.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se748e47805b64381bd8eba2509dc6f0bx.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1f25022cc19b4478b835d86f21535a3aO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sff5c5698b6794fe1a7de3f3d4c6321c9z.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Season', 'Spring/Summer', 'Age', '18-24 Years']",https://www.aliexpress.us/item/3256808886634643.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-41&pdp_ext_f=%7B%22order%22%3A%222978%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.94%210.99%21%21%2188.60%216.77%21%40210385bb17718697265191789e64b9%2112000047818199981%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847491&curPageLogUid=KQNEtVG87dIE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009072949395%7C_p_origin_prod%3A
Fashion100% Merino Wool Sweater Cashmere Pullover Women Knitwear V-Neck Long Sleeve Autumn Winter Fashion Basic Clothing Tops,$5.30,"https://ae-pic-a1.aliexpress-media.com/kf/Sa7ce7309ee5e48a4aafabb1e562637fey.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8297ce446434498b8abae46bad017941Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfd67f4687b5b4a3a8a197c6536d463f30.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3502acae792f48fda48b3fabce5a5650o.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0b81d34b469c48f68b7426248fa607dcS.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Summer 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256805659211722.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-42&pdp_ext_f=%7B%22order%22%3A%222972%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.79%215.30%21%21%21108.18%2136.34%21%40210385bb17718697265191789e64b9%2112000034554383851%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=Da0QKF0T0pDU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005845526474%7C_p_origin_prod%3A
Autumn Winter Mock Neck Women Sweater Vintage Basic Solid Knitted Tops Casual Slim Pullover Korean Sweaters Simple Chic Jumpers,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S32c9ee46a1f74ebaaf96c00857dba1066.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S27808f0fc9984b52a9d37009a3b40a93G.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2c88846e56774c97b85550a54958e32aS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc045576ea27645ab8918ad3e7fd42076Q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5609dfe17dcd4f4fa7881561a7774de1s.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)', 'Closure Type', 'Pullover']",https://www.aliexpress.us/item/3256807302343023.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-48&pdp_ext_f=%7B%22order%22%3A%222548%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.30%210.99%21%21%2191.10%216.75%21%40210385bb17718697265191789e64b9%2112000040984618020%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847491&curPageLogUid=UFe4ZQrnMzCY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007488657775%7C_p_origin_prod%3A
Autumn Winter Women Knit Solid Turtleneck Pull Sweater Casual Rib Jumper Tops Female Home Pullover Y2K Clothing 2025,$6.02,"https://ae-pic-a1.aliexpress-media.com/kf/S4c453b10c02a432e941166ef539e63515.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S162478e421b24fd1bad737e4021ecd49v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sea493ce3336d42f89bc09e8bb5e2011eF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf24f957cd61e47e883f719bf9404d329J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0098339be22448eba040da3de099e9fd8.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Winter 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Fine yarn']",https://www.aliexpress.us/item/3256807670702037.html?algo_pvid=ae50c7bf-16ad-4787-8ae2-785a82483cbd&algo_exp_id=ae50c7bf-16ad-4787-8ae2-785a82483cbd-50&pdp_ext_f=%7B%22order%22%3A%222529%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007857016789%22%2C%22orig_item_id%22%3A%221005007359006500%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.28%216.02%21%21%2184.12%2141.22%21%40210385bb17718697265191789e64b9%2112000042560539189%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6b44ffcc%3Bm03_new_user%3A-29895&curPageLogUid=JCC2DPCRpfW5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007857016789%7C_p_origin_prod%3A1005007359006500
