Name,Price,Images,Details,product_link
Autumn new women cardigan Korean elegant knitted sleeveless female casual sweater tanks fashion new slim ladies casual tops,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se79bd721aa704c59bce626dc7aea35a1n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se79bd721aa704c59bce626dc7aea35a1n.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5952fb4c52b44da5b9c161ace61cd51cW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa0c8e975287c491f8d88fc5c14940a2e2.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6262226e88d44de7bb0bb49eecaa4d86R.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256807911591584.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-9&pdp_ext_f=%7B%22order%22%3A%2212876%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008097906336%22%2C%22orig_item_id%22%3A%221005007809835005%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.04%210.99%21%21%21137.28%216.78%21%402103890917718678276548055ea98a%2112000043725139148%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=XdmajjnlCgDT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008097906336%7C_p_origin_prod%3A1005007809835005
2025 Autumn Long Sleeve Fashion Women Cardigans Sweater Knitted Coat Short Casual Single Breasted Korean Slim Chic Ladies Tops,$0.99 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se394ec5d0bbf41b59c8bb6d6882e7628a.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6c15914c9a794cdb976b91413cd9f6dfW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfa7bddb949a84b008953aa1aa265f2f70.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S901df04f34b64a098dbe443b1e25f310d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa832cb1dab504f22924de425d06896bbg.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Place Of Origin', 'China (mainland)']",https://www.aliexpress.us/item/3256807359725566.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-20&pdp_ext_f=%7B%22order%22%3A%227530%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.19%210.99%21%21%21110.88%216.75%21%402103890917718678276548055ea98a%2112000041238964400%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847491&curPageLogUid=lsOi8YvsnhoQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007546040318%7C_p_origin_prod%3A
AOSSVIAO 2025 Autumn Winter Solid Mock-neck Pullover Women Sweater for Casual Knitwear Female Clothing Basic Soft Tops,$6.32 ,"https://ae-pic-a1.aliexpress-media.com/kf/S63d3ecf1d83e4e5495f0ae2d789f54eag.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se6c3e0d2cb2448da91f99a404b4f85deR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3e384e8d7980485bba5235a6a22710dd6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfe8db37adf22463cac2f08c373b26dadc.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67d7c0d984ed4daca8a6afc79e2d9c9ep.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '95% above']",https://www.aliexpress.us/item/3256807605949365.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-23&pdp_ext_f=%7B%22order%22%3A%226994%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007792264117%22%2C%22orig_item_id%22%3A%221005009634951217%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.64%216.32%21%21%2186.56%2143.28%21%402103890917718678276548055ea98a%2112000042217238966%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895&curPageLogUid=X1m874UmOSEx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792264117%7C_p_origin_prod%3A1005009634951217
Hirsionsan Basic O Neck Basic Sleeve Sweater Women 2025 Oversized Short Knitted Wool Pullover Female Casual Thick Warm Soft Tops,$48.94 ,"https://ae-pic-a1.aliexpress-media.com/kf/S6183d6fe6676412882492357ffcb13c7p.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6183d6fe6676412882492357ffcb13c7p.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S161054dd79f645b58d55c263d4d75253u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sef9a8f4ce0f640c0b13c17d2e22c1f56K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S131fa92dcf224357ac13979108890aedN.jpg_220x220q75.jpg_.avif","['Occasion', 'Home', 'whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Winter 2025', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting']",https://www.aliexpress.us/item/3256809734682081.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-26&pdp_ext_f=%7B%22order%22%3A%226417%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2199.90%2148.94%21%21%2199.90%2148.94%21%402103890917718678276548055ea98a%2112000050580298959%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=YH1JrOt3GSrA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009920996833%7C_p_origin_prod%3A
Casual Long Sleeve Knitted Pullover 2026 Autumn Winter Women Sweaters Femme Basic Solid Jersey Tops Fashion Clothes,$5.92 ,"https://ae-pic-a1.aliexpress-media.com/kf/S5d6c532293c54b4ebfcc2129cad64bddm.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd487d9e8083644bfa532b52f24b821b17.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8d9f68bb1cca477da720b97fa9621499V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3b5b99d430944215ab5aad37230b41d0v.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b55e1b347514181b71197411c575513N.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Pattern', 'SLIM', 'Yarn Thickness', 'Fine yarn', 'Percentage of Material', '91%-95%']",https://www.aliexpress.us/item/3256806982719272.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-29&pdp_ext_f=%7B%22order%22%3A%226197%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007169034024%22%2C%22orig_item_id%22%3A%221005009865679297%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.58%215.92%21%21%2186.14%2140.49%21%402103890917718678276548055ea98a%2112000039681440581%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895&curPageLogUid=P32ilaMpEbAR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007169034024%7C_p_origin_prod%3A1005009865679297
2024 New V-Neck Temperament Small Fragrant Wind Women Loose Sweater Sweater All Sweater Coat Special Offer Cardigan ZHI D035,$7.38 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sd41f4928c29047feab7fa508eaea7361h.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6324e1c200d2496e8c338d2ebaf65170B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc1099961620542c09a4912c089ae41c1l.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2aa938a17efe42cdb445b4f0e3554172j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4184ee86c1b94b87a3ac10d069e4132bx.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Yarn Thickness', 'Regular yarn', 'Percentage of Material', '71%-80%']",https://www.aliexpress.us/item/3256808219787139.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-36&pdp_ext_f=%7B%22order%22%3A%225171%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406101891%22%2C%22orig_item_id%22%3A%221005007813864019%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.68%217.38%21%21%21114.28%2150.56%21%402103890917718678276548055ea98a%2112000044908582438%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895%3BpisId%3A5000000201214467&curPageLogUid=MGiaYo1HwEeB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406101891%7C_p_origin_prod%3A1005007813864019
AOSSVIAO 2025 Women Cardigans Sweater O-neck Autumn Winter Knitted Cashmere Cardigans Solid Single Breasted Womens Sweaters,$10.17 ,"https://ae-pic-a1.aliexpress-media.com/kf/S07d5e96aeba94b8eb726c92963a945b4s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S33eb960fc256458e81c4a805a8673b8cS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9f6d56faddfb4865be31d16a21c90afcx.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2f9cc21c3849434d862ca9dbcdd73987B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S854c13bb3dea491b8a093c32dd532261c.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'Autumn/Winter', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)']",https://www.aliexpress.us/item/3256806808219957.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-37&pdp_ext_f=%7B%22order%22%3A%225158%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006994534709%22%2C%22orig_item_id%22%3A%221005009916939697%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.63%2110.17%21%21%21148.12%2169.62%21%402103890917718678276548055ea98a%2112000038983661754%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895&curPageLogUid=eLrKwjmQjT6m&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006994534709%7C_p_origin_prod%3A1005009916939697
New 2024 Autumn Winter Pullover Sweater Women Cashmere Knitwear Tops Bear Print Warm Pullovers Korean Fashion Chic Woman Clothes,$9.41 ,"https://ae-pic-a1.aliexpress-media.com/kf/Se5d2ad4c0d4f4080b70467d3aacbbc23I.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7050b3ab98ff4b4d846740805d2427cb6.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6502adfe159a4214a2476cac713a02c7j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0d4cd71e8e174a269edea564a22a7ac90.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S83c80466a29647ad8702b43932f0c20ek.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Autumn 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'A-straight', 'Yarn Thickness', 'Regular yarn']",https://www.aliexpress.us/item/3256807972157896.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-40&pdp_ext_f=%7B%22order%22%3A%224952%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008158472648%22%2C%22orig_item_id%22%3A%221005008071769706%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.84%219.41%21%21%21259.16%2164.41%21%402103890917718678276548055ea98a%2112000044031718579%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847434&curPageLogUid=qiT988jtO3ps&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008158472648%7C_p_origin_prod%3A1005008071769706
"SuyaDream Warm Alpaca Pullovers for Woman, Dropped Sleeved Loose Sweaters, 2025 Fall Winter Top, Camel, Beige",$68.13 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sf5047cafffbb4439a7c66019e30f85e9d.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se79b0e03126447f7bead6be8b787d12eH.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0a06eda50e244211a8390090c30e61d9p.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9b55cfd5b45b497985af140528bf52f16.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4b45191f911d492e9c2dcad3a878756bL.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Release Date', 'Winter 2024', 'Craft of Weaving', 'Knit', 'Pattern', 'Loose-fitting', 'Yarn Thickness', 'Coarse yarn']",https://www.aliexpress.us/item/3256805881173260.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-44&pdp_ext_f=%7B%22order%22%3A%224157%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21120.20%2168.13%21%21%21120.20%2168.13%21%402103890917718678276548055ea98a%2112000035578308055%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=A55qHLdFacRC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006067488012%7C_p_origin_prod%3A
"Women's Striped Crochet Knit Crop Sweater, Polo Collar, Short Sleeve, Button-up, Female Outerwear, Chic Tops, Fashion",$17.81 ,"https://ae-pic-a1.aliexpress-media.com/kf/S1b82a6de41a842ea91a04fd109924039q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sef90932bbc074086ad9cb207b64add93E.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2423ce099b124fb6be4f8aa6b4524268X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S30ff4704e06348f9bd8b616aa89a53a6C.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sae8ef6c23e9e4cc7af936c4747f49b3aU.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Season', 'All Season', 'Age', 'Middle Age', 'Fabric Weight', 'Medium (Fabric Weight 120–220 g/m²)']",https://www.aliexpress.us/item/3256807619377641.html?algo_pvid=cc8f7ff7-5455-4b72-8914-8f0db33e9f05&algo_exp_id=cc8f7ff7-5455-4b72-8914-8f0db33e9f05-49&pdp_ext_f=%7B%22order%22%3A%223605%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007805692393%22%2C%22orig_item_id%22%3A%221005007555618245%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.88%2117.81%21%21%21259.42%21121.93%21%402103890917718678276548055ea98a%2112000042262588004%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A353140de%3Bm03_new_user%3A-29895&curPageLogUid=UGh7v1JIUC2K&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007805692393%7C_p_origin_prod%3A1005007555618245
