Name,Price,Images,Details,product_link
CHIC VEN Women's Woolen Coats Loose Casual Double Breasted Retro Double-sided Jacket Office Lady Outerwear Autumn Winter 2026,$116.31 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sfdaf3c40cd6c40daa5d801a584a20d00e.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfdaf3c40cd6c40daa5d801a584a20d00e.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9bbd622b805c4de68c2ff2aaa8c11e97B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sedeb2468adc245fcb50e7b6017e03360O.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S49864118211f40099c47bab80a091785K.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'Autumn/Winter', 'Age', 'Middle Age']",https://www.aliexpress.us/item/3256805970953847.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-0&pdp_ext_f=%7B%22order%22%3A%225943%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21123.81%21116.81%21%21%21123.81%21116.81%21%402103894417719649275961638e1033%2112000036028853700%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=yxSnit3jdpQ9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006157268599%7C_p_origin_prod%3A
UCXQ Elegant OL Office Lady Overcoats Fur Patchwork Long Sleeve Woolen Coat Beautiful Women's Clothing Jacket Autumn 2025 Winter,$57.93 ,"https://ae-pic-a1.aliexpress-media.com/kf/S7f6dd0933a8d4b498667551f8bb416d5e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7f6dd0933a8d4b498667551f8bb416d5e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7fc4faf81e12457c96a0780a6abd67c9J.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa478a2c1292541f2a35dd73e51d7eed0j.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3ac26fd8e6c14a948febc818a3a232bdq.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Thick', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'Autumn 2025', 'Season', 'Autumn/Winter']",https://www.aliexpress.us/item/3256806282888310.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-1&pdp_ext_f=%7B%22order%22%3A%223711%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21105.12%2157.93%21%21%21721.00%21397.34%21%402103894417719649275961638e1033%2112000043825747793%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=Jerg5YXKk53p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006469203062%7C_p_origin_prod%3A
Tossy Fox Fur Wool Overcoat Women's Short Coat Office Lady Elegant Double-sided Woolen Coat 2025 New Cardigan Jackets Loose Wool,$56.87 ,"https://ae-pic-a1.aliexpress-media.com/kf/Seb290325182b4173975206aa7cb17408c.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Seb290325182b4173975206aa7cb17408c.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S57880d0c8593471cad1c0d730abf2556K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S381ad1e8a4a641599876b81cc3f4718bS.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7ed773e0ef494c068ad2cadfb55b8c8ap.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'Autumn 2024', 'Season', 'Autumn/Winter']",https://www.aliexpress.us/item/3256808099507989.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-2&pdp_ext_f=%7B%22order%22%3A%222581%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2194.79%2156.87%21%21%2194.79%2156.87%21%402103894417719649275961638e1033%2112000044480581041%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895&curPageLogUid=uBYctqbkQ5pP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008285822741%7C_p_origin_prod%3A
CHIC VEN Women Wool Blend Coat Solid Mid Long Woolen Blazer Thick Warm Blouse Women's Overcoat Office Lady Tops Autumn Winter,$111.88 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sbf269fc331be4867b17158967a0a41c2Y.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8cf35eb9d03346d39361143661852d4bc.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sadc45e9d24db459e884b28ac53052057s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3c0e68703bc6471aa7993629e1a9f258k.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S73ed6556273f4d5aa62d9a43e377106eP.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'FW2021', 'Season', 'Winter']",https://www.aliexpress.us/item/3256803276334631.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-3&pdp_ext_f=%7B%22order%22%3A%221781%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21119.38%21112.38%21%21%21119.38%21112.38%21%402103894417719649275961638e1033%2112000025896979989%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=2c6mBlQjLE1N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003462649383%7C_p_origin_prod%3A
CHIC VEN Women Long Double-sided Woolen Coats Retro Loose Female Overcoat Double Breasted Ladies Windbreak Autumn Winter 2025,$174.01 ,"https://ae-pic-a1.aliexpress-media.com/kf/S1b12eaab4a494b01a1e06773502f9049u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1b12eaab4a494b01a1e06773502f9049u.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7386888169bf40a1b6124d374d68067fN.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4934451ec2bc4941b2533f0fc04c0d1ck.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb292864b525148c1af3c325112033364a.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'Autumn/Winter', 'Age', 'Middle Age']",https://www.aliexpress.us/item/3256805949991429.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-6&pdp_ext_f=%7B%22order%22%3A%221593%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21191.59%21175.01%21%21%21191.59%21175.01%21%402103894417719649275961638e1033%2112000035920218654%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=qin4RthPulan&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006136306181%7C_p_origin_prod%3A
HH Women Fashion Burgundy Coat Double Breasted Long Sleeve Lapel Blends Jacket Autumn Winter High Street Outerwear,$35.15 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sce3e716b0d0f4e21b654d4e46123c7da2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sce3e716b0d0f4e21b654d4e46123c7da2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf36225aadc2b425eb6c2b264df569ff0N.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3179c8fdffcd4ae4ba42163875af43f43.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67ef64892162478eabc2552e6ba98b87i.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'Winter 2024', 'Season', 'Autumn/Winter']",https://www.aliexpress.us/item/3256808220185335.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-4&pdp_ext_f=%7B%22order%22%3A%221508%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406500087%22%2C%22orig_item_id%22%3A%221005008147286241%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2190.74%2135.65%21%21%21622.34%21244.49%21%402103894417719649275961638e1033%2112000044908680538%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=LJwq4Mqbe5Zm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406500087%7C_p_origin_prod%3A1005008147286241
HH Women Fashion Burgundy Coat Double Breasted Long Sleeve Lapel Blends Jacket Autumn Winter High Street Outerwear,$32.39 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sce3e716b0d0f4e21b654d4e46123c7da2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sce3e716b0d0f4e21b654d4e46123c7da2.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf36225aadc2b425eb6c2b264df569ff0N.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3179c8fdffcd4ae4ba42163875af43f43.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S67ef64892162478eabc2552e6ba98b87i.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'Winter 2024', 'Season', 'Autumn/Winter']",https://www.aliexpress.us/item/3256807960971489.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-5&pdp_ext_f=%7B%22order%22%3A%221302%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2188.88%2132.39%21%21%21609.59%21222.14%21%402103894417719649275961638e1033%2112000043988460679%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=MwS7FsPmijEK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008147286241%7C_p_origin_prod%3A
TARUXY Fox Fur Woolen Coats Women's Short Coat Office Lady Removable Elegant Double-sided Wool Overcoat 2025 New Cardigan Jacket,$50.00 ,"https://ae-pic-a1.aliexpress-media.com/kf/S6c1a7e50484248e3bd73bee2f2b40a1dO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S6c1a7e50484248e3bd73bee2f2b40a1dO.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42e98ff5bfce4512948680be556c85cfN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S2fed2c2e97534749b907b635a4b2d91cW.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc7821a02e44047b896fe90d7ef2de201o.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'Autumn 2024', 'Season', 'Autumn/Winter']",https://www.aliexpress.us/item/3256808089139869.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-9&pdp_ext_f=%7B%22order%22%3A%221128%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2183.33%2150.00%21%21%2183.33%2150.00%21%402103894417719649275961638e1033%2112000044449045137%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895&curPageLogUid=lLKEKoysTQ0k&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008275454621%7C_p_origin_prod%3A
CHIC VEN Women Woolen Coat Double-breasted Basic Loose Casual Retro New Long Double-sided Female Overcoat Autumn Winter 2024,$132.69 ,"https://ae-pic-a1.aliexpress-media.com/kf/Sdd22e685f70643439cc182b45fc65868d.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdd22e685f70643439cc182b45fc65868d.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sec47cccda0f7413cb6798cd371f2908aR.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sbd85d5e46aa34baeac3ca3dfe8585aa17.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sca5446efd32a48f289b44d65e7cfeb415.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Season', 'Autumn/Winter', 'Age', 'Middle Age']",https://www.aliexpress.us/item/3256807932245562.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-11&pdp_ext_f=%7B%22order%22%3A%221107%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21148.09%21133.69%21%21%21148.09%21133.69%21%402103894417719649275961638e1033%2112000043863412757%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827853&curPageLogUid=TaszAqXYp5Nn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008118560314%7C_p_origin_prod%3A
Solid Lace Up Faux Fur Sleeve Jacket Woman Elegant Mid-length V-neck Woolen Blend Coat Autumn Casual Fashion Scarf Outwear 2025,$60.94 ,"https://ae-pic-a1.aliexpress-media.com/kf/S086e660122e04c56a42cd038e0eb4180W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S086e660122e04c56a42cd038e0eb4180W.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S61b9629c7deb4bb68abf764462e64dca5.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7fd4e2b5027d405e81cad34a5889818fL.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saf005e51d91b4e44aa5cf1aebe51c9b9j.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'Thickness', 'Standard', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Release Date', 'Autumn 2024', 'Season', 'Autumn/Winter']",https://www.aliexpress.us/item/3256809732778153.html?algo_pvid=d4f76d59-6399-459e-8acd-a0d56c17bb97&algo_exp_id=d4f76d59-6399-459e-8acd-a0d56c17bb97-13&pdp_ext_f=%7B%22order%22%3A%22930%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21152.36%2160.94%21%21%211045.01%21418.00%21%402103894417719649275961638e1033%2112000050764664242%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A338c20fe%3Bm03_new_user%3A-29895&curPageLogUid=NSu0xZc9cLaO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009919092905%7C_p_origin_prod%3A
