Name,Price,Images,Details,product_link
2024 Spring Autumn New Long Cotton Coat New Wool Blend Pure Color Casual Business Fashion Men's Clothing Slim Windbreaker Jacket,$8.56,"https://ae-pic-a1.aliexpress-media.com/kf/Sd6bd5ee400dd4b8198cfdf83b01aa2c5b.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7ae40674ae1e47cdb509ffe04e51e30eY.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sac870b83936942278dd1ecaf6961c67aY.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb757026455ea4790b7c584e4c80968dab.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S314dda8012e3440293224921c51b997db.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Broadcloth', 'Model Number', 'Cotton Coat', 'Detachable Part', 'NONE', 'Decoration', 'Pockets', 'Lining Material', 'COTTON', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turn-Down Collar', 'Material', 'COTTON,POLYESTER', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Brand Name', 'WANANSN', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806790179750.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-0&pdp_ext_f=%7B%22order%22%3A%22922%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2165.32%218.56%21%21%21447.99%2158.68%21%402102f0cc17743732173986518eaa44%2112000038915807405%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000202764517&curPageLogUid=zLc9YOUl8VjP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006976494502%7C_p_origin_prod%3A
Men's Double Collar Wool Coat Fashion Handsome Autumn Winter Business Style High Quality Middle-aged Men's Fashion Woolen Coat,$40.37,"https://ae-pic-a1.aliexpress-media.com/kf/S7381308f6d4b49ba8aab3bfc0033b36b0.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa62b36508b734335b316acfb35ba69cfh.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S61750fc7062546fcb23b349a61ba8fc4z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa87f63888a9947a6b3c02989d74a3da0g.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c8be10ba4fb48abb92d512288860656q.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Batik', 'Model Number', '564867845121', 'Detachable Part', 'NONE', 'Decoration', 'Button', 'Lining Material', 'COTTON', 'Thickness', 'Thick', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turn-Down Collar', 'Material', 'POLYESTER', 'Clothing Length', 'regular', 'Sleeve Length(cm)', 'Full', 'Style', 'Formal', 'Origin', 'Mainland China', 'CN', 'Sichuan', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806869405245.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-1&pdp_ext_f=%7B%22order%22%3A%22521%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21115.27%2140.37%21%21%21790.62%21276.90%21%402102f0cc17743732173986518eaa44%2112000039281799895%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352206&curPageLogUid=4MfMQlJCmktR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007055719997%7C_p_origin_prod%3A
Women Fashion Stand Collar Woolen Jacket Single Breasted Long Sleeve Female Coat 2025 Autumn Chic Street Office Short Outerwears,$23.27,"https://ae-pic-a1.aliexpress-media.com/kf/S012333a9606344df9085a3bb92a4ff87U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Se4aebd88cb934359b5dd31c88f9bf9bcN.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1cc30ebb56b7491ba2cba43190dc67df9.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa7f83e24b5734a269d33b9319bc80bb7s.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S70f6f5ffd5ee4115b966c2818c54d6e9K.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Non-Woven', 'Applicable Season', 'Spring And Autumn', 'Applicable Scene', 'Shopping', 'Cuff Style', 'CONVENTIONAL', 'Decoration', 'Button', 'Lining Material', 'POLYESTER', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turtleneck', 'Material', 'POLYESTER', 'Clothing Length', 'regular', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256809437377380.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-3&pdp_ext_f=%7B%22order%22%3A%22400%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2163.12%2127.77%21%21%21432.93%21190.49%21%402102f0cc17743732173986518eaa44%2112000049664107886%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=5Y4tYRYNK2U9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009623692132%7C_p_origin_prod%3A
Men Long Cotton Coat 2024 Autumn Winter New Wool Blend Pure Color Casual Business Fashion Slim Windbreaker Jacket Men Clothing,$21.77,"https://ae-pic-a1.aliexpress-media.com/kf/Sa2943b557f0f4ff498cf362fa396ce9ax.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa2943b557f0f4ff498cf362fa396ce9ax.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/See3a3383af434098b2ca349f8db87900B.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S34a192f8360d4cf09478d8f8647e6d4di.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfb70876019344ad6ae8f4b3cbff057bbO.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Broadcloth', 'Model Number', 'Long Cotton Coat', 'Detachable Part', 'NONE', 'Decoration', 'Pockets', 'Lining Material', 'COTTON', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turn-Down Collar', 'Material', 'COTTON,POLYESTER', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Brand Name', 'WANANSN', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256806811884272.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-2&pdp_ext_f=%7B%22order%22%3A%22385%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2162.55%2126.27%21%21%21429.01%21180.18%21%402102f0cc17743732173986518eaa44%2112000038994364095%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=hpk9zslTCsQr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006998199024%7C_p_origin_prod%3A
Men's Faux Fur Coat Contrast Animal Print Lapel Neck Open Front Long Sleeve Long Jacket Winter Warm Outwear,$18.63,"https://ae-pic-a1.aliexpress-media.com/kf/S2e5390d752934648a14f84e8669f60ceB.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S7587f23ef5e0490c867435f93d9cafc8D.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sdec0845f99fc4640a10a46aa628284d7r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S58b60eedeb1749298aebc03392e506e9X.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sde2d41e9e7334c64abbf1eb76f0188cdW.jpg_220x220q75.jpg_.avif","['whether full opening', 'No', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Other', 'Applicable Season', 'Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Broadcloth', 'Detachable Part', 'NONE', 'Decoration', 'NONE', 'Lining Material', '100% Polyester', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Open Stitch', 'Pattern Type', 'Leopard', 'Collar', 'Turn-Down Collar', 'Material', 'Acrylic', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Origin', 'Mainland China', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256808008370287.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-4&pdp_ext_f=%7B%22order%22%3A%22334%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2136.14%2123.13%21%21%21247.86%21158.63%21%402102f0cc17743732173986518eaa44%2112000044195500296%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=TbpTHDLoiNQO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008194685039%7C_p_origin_prod%3A
Autumn Winter Men's Woolen Coats Business Casual Fashion Double Breasted Long Woolen Trench Male England Style Wool Blends Coat,$35.81,"https://ae-pic-a1.aliexpress-media.com/kf/Sb68d8ebe420f43298298ff58771aa7a00.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S9df52206de0149a0a9977678fc6e680bF.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S337be5be3758487297acf996c0eb26c8T.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5cf5e22c7bda44689ae24efe90c8bb11V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5cf9696bba4a44bdbbf2524f6df7e7f3s.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Woolen', 'Decoration', 'Button', 'Lining Material', 'POLYESTER', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Double Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turn-Down Collar', 'Material', 'POLYESTER', 'Clothing Length', 'regular', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Brand Name', 'FAVOCENT', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256807571573785.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-5&pdp_ext_f=%7B%22order%22%3A%22325%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2180.62%2140.31%21%21%2180.62%2140.31%21%402102f0cc17743732173986518eaa44%2112000042103729524%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=6OOAg6zDl3bG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007757888537%7C_p_origin_prod%3A
Unisex Retro Ethnic Pattern Print Plush Thick Long-Sleeved Sweater Cardigan Coat,$21.40,"https://ae-pic-a1.aliexpress-media.com/kf/S0944c3cec9994989a212ec24c1016809u.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S60bd16f56bc84ffdaf97de8f03551bb1L.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4d97b6799d4949109a6089303d8ef723U.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S475a1c10717c4eaba60f5f95ed99703ad.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfb04dbf47d47438294b1292427175dd4F.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Broadcloth', 'Detachable Part', 'NONE', 'Decoration', 'Pockets', 'Lining Material', 'POLYESTER', 'Thickness', 'Standard', 'Hooded', 'Yes', 'Closure Type', 'Zipper', 'Pattern Type', 'Print', 'Collar', 'O-Neck', 'Material', 'POLYESTER', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Brand Name', 'MCDV', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256807287837342.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-7&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2134.54%2125.90%21%21%2134.54%2125.90%21%402102f0cc17743732173986518eaa44%2112000040898733271%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=EYTenNqTyRNF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007474152094%7C_p_origin_prod%3A
BROWON Brand Business Casual Trench Coat Men Chinese Style Solid Color Winter Coat Men 2025 Autumn and Winter Wool Coat for Men,$37.32,"https://ae-pic-a1.aliexpress-media.com/kf/Sc6ec7047c408406ea5721d341c77edf0A.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc6ec7047c408406ea5721d341c77edf0A.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc6cfacd8d10a44b4aea5678303b6080cr.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5457818e1f9e4dac83587f0d98799941R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sec3c31fb167a42f9993c38fd9e868689g.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Business', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Woolen', 'Model Number', 'Business Casual Jacket', 'Detachable Part', 'NONE', 'Decoration', 'NONE', 'Lining Material', 'POLYESTER', 'Thickness', 'Thick', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Mandarin Collar', 'Material', 'POLYESTER,Wool,Other', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Smart Casual', 'Brand Name', 'BROWON', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men', 'Color', 'Gray/Black/Navy/Wine Red', 'Size', 'M-4xl', 'Fabric', '25%Wool+63.3%Polyester+11.4%other']",https://www.aliexpress.us/item/3256805893869307.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-8&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2192.94%2141.82%21%21%2192.94%2141.82%21%402102f0cc17743732173986518eaa44%2112000035637668543%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=GNqVhViqGQeb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006080184059%7C_p_origin_prod%3A
Men Long Cotton Coat 2025 Autumn Winter Wool Blend Pure Color Business Casual Slim Fit Windbreaker Jacket Fashion Men Clothing,$20.63,"https://ae-pic-a1.aliexpress-media.com/kf/Sa790f745edd44f9896499af1afa26250P.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sa790f745edd44f9896499af1afa26250P.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S898d011f3fe742a79bb090f4de5cbcdfN.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S01154d0eeda04b3f89ca7806bdea7604O.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S66d47ae0dd6248009f4159205b17de31R.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Broadcloth', 'Model Number', 'Cotton Coat', 'Detachable Part', 'NONE', 'Decoration', 'Pockets', 'Lining Material', 'COTTON', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turn-Down Collar', 'Material', 'Other,POLYESTER,COTTON', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256804269507928.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-9&pdp_ext_f=%7B%22order%22%3A%22203%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2143.07%2117.13%21%21%21295.43%21117.53%21%402102f0cc17743732173986518eaa44%2112000029235497975%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=Es20QrdlbXRC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004455822680%7C_p_origin_prod%3A
New Men's Coat Woolen Overcoat Windbreaker Solid Color Trench Autumn and Winter Outerwear Cardigan Jaqueta Masculina,$3.83,"https://ae-pic-a1.aliexpress-media.com/kf/S4558ba66e98348d8808391ac06cf1721A.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4558ba66e98348d8808391ac06cf1721A.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3132ce94c39845abbb1322ec186857a1V.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S711e6517dea14bb4836fbe9a89dc0b26e.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saa2c5f7259a44406ab24a0f04d19f138b.jpg_220x220q75.jpg_.avif","['whether full opening', 'Yes', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Autumn And Winter', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Sleeve Style', 'regular', 'Cuff Style', 'CONVENTIONAL', 'Fabric Type', 'Knitted', 'Model Number', 'JW8821', 'Detachable Part', 'NONE', 'Decoration', 'NONE', 'Lining Material', 'POLYESTER', 'Thickness', 'Standard', 'Hooded', 'No', 'Closure Type', 'Single Breasted', 'Pattern Type', 'Solid', 'Collar', 'Turn-Down Collar', 'Material', 'POLYESTER', 'Clothing Length', 'long（26+inch）', 'Sleeve Length(cm)', 'Full', 'Style', 'Casual', 'Brand Name', 'DOIYTTS', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Outerwear Type', 'Wool & Blends', 'Gender', 'Men']",https://www.aliexpress.us/item/3256804559318431.html?algo_pvid=f3a1f798-3c0b-4281-9d7e-82d9bd02431a&algo_exp_id=f3a1f798-3c0b-4281-9d7e-82d9bd02431a-10&pdp_ext_f=%7B%22order%22%3A%22193%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.15%218.33%21%21%219.15%218.33%21%402102f0cc17743732173986518eaa44%2112000030320340986%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad4fadb6%3Bm03_new_user%3A-29895&curPageLogUid=22AvUCX2D8B1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004745633183%7C_p_origin_prod%3A
