Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Cartier Eyewear,CARTIER PICCADILLY CT0092O,$883.00,"https://www.fashioneyewear.com/products/cartier-piccadilly-ct0092o?variant=42628962812133#,https://www.fashioneyewear.com/cdn/shop/products/ct0092o00102copy.jpg?v=1753879478&width=2048,https://www.fashioneyewear.com/cdn/shop/products/ct0092o00101copy.jpg?v=1753879478&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Gold
Frame Shape: Rectangle
Material: Metal
Lens Width: 53 mm
Lens Height:
Bridge Width: 19 mm
Arm Length: 140 mm
Made In Italy",https://www.fashioneyewear.com/products/cartier-piccadilly-ct0092o?variant=42628962812133
Cartier Eyewear,CARTIER CT0594O,$980.00,"https://www.fashioneyewear.com/cdn/shop/files/CT0594O-001-cat-xxl.jpg?v=1755672198&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0594O-001-front-xxl.jpg?v=1755672198&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0594O-001-zoom-xxl.jpg?v=1755672198&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Gold
Frame Shape: Oval
Material: Metal
Lens Width: 54 mm
Lens Height: 36 mm
Bridge Width: 20 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/cartier-ct0594o?variant=47557925077221
Cartier Eyewear,CARTIER CT0572O,"$1,174.00","https://www.fashioneyewear.com/cdn/shop/files/CT0572O-001-cat-xxl.jpg?v=1755859279&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0572O-001-front-xxl.jpg?v=1755859279&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0572O-001-zoom-xxl.jpg?v=1755859279&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Gold
Frame Shape: Square
Material: Metal
Lens Width: 51 mm
Lens Height: 45 mm
Bridge Width: 20 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/cartier-ct0572o?variant=47557926224101
Cartier Eyewear,CARTIER CT0485O,"$2,238.00","https://www.fashioneyewear.com/cdn/shop/files/CT0485O-001-cat-xxl.jpg?v=1753868796&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0485O-001-front-xxl.jpg?v=1753868796&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0485O-001-zoom-xxl.jpg?v=1753868796&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 002 Gold
Frame Shape: Rectangle
Material: Metal
Lens Width: 55 mm
Lens Height: 33 mm
Bridge Width: 18 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/cartier-ct0485o?variant=44264970289381
Cartier Eyewear,CARTIER CT0377O,"$3,451.00","https://www.fashioneyewear.com/cdn/shop/products/CT0377O00153-1.png?v=1669383744&width=2048,https://www.fashioneyewear.com/cdn/shop/products/CT0377O00153-2.png?v=1684159528&width=2048,https://www.fashioneyewear.com/cdn/shop/products/CT0377O00153-3.png?v=1684159528&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Gold-Black
Frame Shape: Rectangle
Material: Metal
Lens Width: 53 mm
Lens Height:
Bridge Width: 21 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/cartier-ct0377o?variant=43716286644453
Cartier Eyewear,CARTIER IBIZA CT0052O,"$1,974.00","https://www.fashioneyewear.com/products/cartier-ibiza-ct0052o?variant=42628958683365#,https://www.fashioneyewear.com/cdn/shop/files/CT0052O005_02.jpg?v=1753868795&width=2048,https://www.fashioneyewear.com/cdn/shop/products/30002195005_1.jpg?v=1753868795&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 004 Palladium-Brown
Frame Shape: Rectangle
Material: Metal
Lens Width: 53 mm
Lens Height: 32 mm
Bridge Width: 18 mm
Arm Length: 140 mm
Made In Italy",https://www.fashioneyewear.com/products/cartier-ibiza-ct0052o?variant=42628958683365
Cartier Eyewear,CARTIER CT0452OA,$511.00,"https://www.fashioneyewear.com/cdn/shop/files/CT0452OA-001-cat-xxl_d0cc4bad-2235-4997-b4cd-328c0a1109e8.jpg?v=1696262825&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0452OA-001-front-xxl_11b6e5a1-3b08-42ca-8dbe-6caf0dcff115.jpg?v=1696262826&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0452OA-001-zoom-xxl_352138ab-d0f0-43ea-9eb1-e3ef7e6e2828.jpg?v=1696262825&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Black
Frame Shape: Rectangle
Material: Acetate
Lens Width: 53 mm
Lens Height: 43 mm
Bridge Width: 17 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/cartier-ct0452oa?variant=44244144292069
Cartier Eyewear,CARTIER CT0406O,$990.00,"https://www.fashioneyewear.com/products/cartier-ct0406o?variant=43901102981349#,https://www.fashioneyewear.com/cdn/shop/files/CT0406O001_02.jpg?v=1699352640&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0406O001_01.jpg?v=1699352660&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Gold
Frame Shape: Rectangle
Material: Metal
Lens Width: 56 mm
Lens Height: 39 mm
Bridge Width: 20 mm
Arm Length: 145 mm
Made in Italy",https://www.fashioneyewear.com/products/cartier-ct0406o?variant=43901102981349
Cartier Eyewear,CARTIER CT0286O,"$1,974.00","https://www.fashioneyewear.com/products/cartier-ct0286o?variant=42628962353381#,https://www.fashioneyewear.com/cdn/shop/products/ct0286o002-02.jpg?v=1753354483&width=2048,https://www.fashioneyewear.com/cdn/shop/products/ct0286o002-01.jpg?v=1753354483&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 002 Gold-Brown
Frame Shape: Rectangle
Material: Metal
Lens Width: 56 mm
Lens Height: 39 mm
Bridge Width: 17 mm
Arm Length: 145 mm
Made In Italy",https://www.fashioneyewear.com/products/cartier-ct0286o?variant=42628962353381
Cartier Eyewear,CARTIER CT0518O,"$1,121.00","https://www.fashioneyewear.com/cdn/shop/files/CT0518O-001-cat-xxl.jpg?v=1726740555&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0518O-001-front-xxl.jpg?v=1726740555&width=2048,https://www.fashioneyewear.com/cdn/shop/files/CT0518O-001-fom-xxl.jpg?v=1726740555&width=2048","• Authorised Cartier stockist
• Supplied with original Cartier case
Colour Code: 001 Gold
Frame Shape: Square
Material: Metal
Lens Width: 51 mm
Lens Height: 40 mm
Bridge Width: 20 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/cartier-ct0518o?variant=46110230118629
