Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Miu Miu,MIU MIU VMU01X,$459.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_01XV__19P1O1__P21__shad__qt_b79ec452-4bf7-410e-ad66-2af645df8604.jpg?v=1761038722&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_01XV__19P1O1__P21__shad__fr_4f083c4f-60b4-432f-b0a6-09e48ccb0e94.jpg?v=1761038722&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_01XV__19P1O1__P21__shad__lt_a6273458-c3ca-4161-830e-0e82df6b240f.jpg?v=1761038722&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 1AB1O1 Black
Frame Shape: Oval
Material: Acetate
Lens Width: 50 mm
Lens Height: 35 mm
Bridge Width: 18 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu01x?variant=46273647870181
Miu Miu,MIU MIU VMU09X,$459.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_09XV__VAU1O1__P21__shad__qt_b9186edd-257d-4b73-a6f1-74e94d01bffc.jpg?v=1761038646&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_09XV__VAU1O1__P21__shad__fr_49380172-2839-4297-980e-52179d3dd53e.jpg?v=1761038646&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_09XV__VAU1O1__P21__shad__lt_e552f82e-c069-479b-92e9-d901bcb0f0d8.jpg?v=1761038646&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: VAU1O1 Honey Havana
Frame Shape: Oval
Material: Acetate
Lens Width: 53 mm
Lens Height: 35 mm
Bridge Width: 17 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu09x?variant=45214496686309
Miu Miu,MIU MIU VMU03Y,$489.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_03YV__26E1O1__P21__shad__qt_e2fcc4b6-4613-45b5-9ccb-f5757f0d2feb.jpg?v=1760693441&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_03YV__26E1O1__P21__shad__fr_bb4891e8-e9d0-4950-b5ff-893884a4b812.jpg?v=1760693441&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_03YV__26E1O1__P21__shad__lt_5aa5df96-035f-4130-96b4-e0fa513dc994.jpg?v=1760693441&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 26E1O1 Striped Tobacco
Frame Shape: Square
Material: Acetate
Lens Width: 54 mm
Lens Height: 46 mm
Bridge Width: 17 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu03y?variant=47916366266597
Miu Miu,MIU MIU VMU04U,$459.00,"https://www.fashioneyewear.com/products/miu-miu-vmu04u?variant=44451949281509#,https://www.fashioneyewear.com/cdn/shop/files/0MU_04UV__1AB1O1_030A_6e1b8753-7797-4e1d-9cd7-4795f2ef0eaa.jpg?v=1753800799&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04UV__1AB1O1_000A_c6393061-6436-4a9f-b2f4-912a436c7409.jpg?v=1753800799&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 1AB1O1 Black
Frame Shape: Square
Material: Acetate
Lens Width: 52 mm
Lens Height: 43 mm
Bridge Width: 19 mm
Arm Length: 135 mm",https://www.fashioneyewear.com/products/miu-miu-vmu04u?variant=44451949281509
Miu Miu,MIU MIU VMU04Y,$518.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_04YV__14L1O1__P21__shad__qt_8d111285-8106-4f54-82a2-5d2c2a560ce9.jpg?v=1760703396&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04YV__14L1O1__P21__shad__fr_21d03fb8-2b66-4877-b200-113a81d7cd9f.jpg?v=1760703395&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04YV__14L1O1__P21__shad__lt_98fd9541-5bb0-4b46-81f5-5eef883249a1.jpg?v=1760703396&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 14L1O1 Havana Honey
Frame Shape: Rectangle
Material: Acetate
Lens Width: 54 mm
Lens Height: 34 mm
Bridge Width: 19 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu04y?variant=47922231247077
Miu Miu,MIU MIU VMU02X,$400.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_02XV__1AB1O1__P21__shad__qt_df141f30-551f-45a6-afa5-a480184c50b2.jpg?v=1753800932&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_02XV__1AB1O1__P21__shad__fr_3252e270-f03f-4ccd-9ace-073914bd59f5.jpg?v=1753800932&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_02XV__1AB1O1__P21__shad__lt_7a9cd9b2-bfa1-4103-b1e0-a48e5fb917b3.jpg?v=1753800932&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 1AB1O1 Black
Frame Shape: Cat Eye
Material: Acetate
Lens Width: 52 mm
Lens Height: 38 mm
Bridge Width: 17 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu02x?variant=45214499209445
Miu Miu,MIU MIU VMU02W,$459.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_02WV__19P1O1__P21__shad__qt_23177cdb-4cb5-4b13-a91c-16cb8286cb41.jpg?v=1753707251&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_02WV__19P1O1__P21__shad__fr_886e986e-b31b-4e86-917e-c5322a06bd73.jpg?v=1753707251&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_02WV__19P1O1__P21__shad__lt_60c4dc81-32e4-4178-87f0-70472eec4ca5.jpg?v=1753707251&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 19P1O1 Havana Ivy
Frame Shape: Round
Material: Acetate
Lens Width: 50 mm
Lens Height: 43 mm
Bridge Width: 20 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu02w?variant=46758461898981
Miu Miu,MIU MIU VMU50W,$489.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_50WV__1BC1O1__P21__shad__qt_e3fef4b8-556d-4f61-b331-0eacfa289ada.jpg?v=1748960200&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_50WV__1BC1O1__P21__shad__fr_0008d674-2e1d-4ce7-a84f-d7dc292e4571.jpg?v=1748960200&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_50WV__1BC1O1__P21__shad__lt_94c2c58a-381a-480a-b792-37fb3167a9d9.jpg?v=1748960200&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: ZVN1O1 Pale Gold
Frame Shape: Square
Material: Metal
Lens Width: 53 mm
Lens Height: 42 mm
Bridge Width: 19 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu50w?variant=46758461767909
Miu Miu,MIU MIU VMU51W,$489.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_51WV__ZVN1O1__P21__shad__qt_cdf354cf-dce8-42db-adae-775fc4abcd89.jpg?v=1753708103&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_51WV__ZVN1O1__P21__shad__fr_d07ff6dc-d94b-43dd-89dc-2ee610c5b82d.jpg?v=1753708103&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_51WV__ZVN1O1__P21__shad__lt_6652c79a-ee79-45eb-bb75-52ea196ad1fc.jpg?v=1753708103&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: ZVN1O1 Pale Gold
Frame Shape: Square
Material: Metal
Lens Width: 53 mm
Lens Height: 42 mm
Bridge Width: 19 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu51w?variant=46758461571301
Miu Miu,MIU MIU VMU04W,$459.00,"https://www.fashioneyewear.com/cdn/shop/files/0MU_04WV__12U1O1__P21__shad__qt_abf27eda-708f-4ff6-897f-01b30cf4e415.jpg?v=1748960199&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04WV__12U1O1__P21__shad__fr_c8c69a64-bbda-4ccb-9f2e-d65bb70a66eb.jpg?v=1748960199&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04WV__12U1O1__P21__shad__lt_e39f6df2-e106-4d3d-84ac-de0c502ca826.jpg?v=1748960199&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case
Colour Code: 14L1O1 Havana Honey
Frame Shape: Rectangle
Material: Acetate
Lens Width: 53 mm
Lens Height: 36 mm
Bridge Width: 19 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/miu-miu-vmu04w?variant=46758461178085
