Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Oakley,OAKLEY HOLBROOK RX OX8156,$187.00,"https://www.fashioneyewear.com/products/oakley-holbrook-rx-ox8156?variant=42629106270437#,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox8156__815601_030a.jpg?v=1753865008&width=2048,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox8156__815601_000a.jpg?v=1753865008&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 01 Satin Black
Frame Shape: Square
Material: Acetate
Lens Width: 54 mm
Lens Height: 42 mm
Bridge Width: 18 mm
Arm Length: 137 mm",https://www.fashioneyewear.com/products/oakley-holbrook-rx-ox8156?variant=42629106270437
Oakley,OAKLEY SOCKET 5.5 OX3218,$227.00,"https://www.fashioneyewear.com/products/oakley-socket-5-5-ox3218?variant=42629078679781#,https://www.fashioneyewear.com/cdn/shop/products/0ox3218__321804_030a.jpg?v=1753868845&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0ox3218__321804_000a.jpg?v=1753873042&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 01 Polished Black
Frame Shape: Rectangle
Material: Metal
Lens Width: 54 mm
Lens Height: 30 mm
Bridge Width: 18 mm
Arm Length: 136 mm",https://www.fashioneyewear.com/products/oakley-socket-5-5-ox3218?variant=42629078679781
Oakley,OAKLEY WHEEL HOUSE OX8166,$242.00,"https://www.fashioneyewear.com/products/oakley-wheel-house-ox8166?variant=42629102338277#,https://www.fashioneyewear.com/cdn/shop/products/0ox8166__816605_030a.jpg?v=1749805357&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0ox8166__816605_000a.jpg?v=1749805357&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 02 Polished Clear
Frame Shape: Rectangle
Material: Acetate
Lens Width: 54 mm
Lens Height: 40 mm
Bridge Width: 16 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/oakley-wheel-house-ox8166?variant=42629102338277
Oakley,OAKLEY RX TRILLBE X OX8130,$172.00,"https://www.fashioneyewear.com/products/oakley-rx-trillbe-x-ox8130?variant=42629085855973#,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox8130__813003_030a.jpg?v=1749805581&width=2048,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox8130__813003_000a.jpg?v=1749805581&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 03 Polished Clear
Frame Shape: Round
Material: Acetate
Lens Width: 52 mm
Lens Height: 43 mm
Bridge Width: 18 mm
Arm Length: 141 mm",https://www.fashioneyewear.com/products/oakley-rx-trillbe-x-ox8130?variant=42629085855973
Oakley,OAKLEY PITCHMAN R CARBON OX8149,$297.00,"https://www.fashioneyewear.com/products/oakley-pitchman-r-carbon-ox8149?variant=42629081563365#,https://www.fashioneyewear.com/cdn/shop/products/0ox8149__814901_030a.jpg?v=1753868823&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0ox8149__814901_000a.jpg?v=1753868823&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 02 Satin Grey Smoke
Frame Shape: Round
Material: Acetate
Lens Width: 50 mm
Lens Height:
Bridge Width:
Arm Length:",https://www.fashioneyewear.com/products/oakley-pitchman-r-carbon-ox8149?variant=42629081563365
Oakley,OAKLEY CROSSLINK ZERO OX8076,$187.00,"https://www.fashioneyewear.com/products/oakley-crosslink-zero-ox8076?variant=42629076910309#,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox8076__807603_030a.jpg?v=1647618197&width=2048,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox8076__807603_000a.jpg?v=1647618197&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 03 Matte Black
Frame Shape: Rectangle
Material: Acetate
Lens Width: 56 mm
Lens Height: 35 mm
Bridge Width: 16 mm
Arm Length: 138 mm",https://www.fashioneyewear.com/products/oakley-crosslink-zero-ox8076?variant=42629076910309
Oakley,OAKLEY WINGFOLD EVR OX5118,$318.00,"https://www.fashioneyewear.com/products/oakley-wingfold-evr-ox5118?variant=42629087035621#,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox5118__511803_030a.jpg?v=1647618333&width=2048,https://www.fashioneyewear.com/cdn/shop/products/luxbs0ox5118__511803_000a.jpg?v=1647618333&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 03 Cement
Frame Shape: Rectangle
Material: Metal
Lens Width: 53 mm
Lens Height: 31 mm
Bridge Width: 18 mm
Arm Length: 139 mm",https://www.fashioneyewear.com/products/oakley-wingfold-evr-ox5118?variant=42629087035621
Oakley,OAKLEY LIZARDS OX5113,$318.00,"https://www.fashioneyewear.com/products/oakley-lizards-ox5113?variant=42629081006309#,https://www.fashioneyewear.com/cdn/shop/products/0ox5113__511301_030a.jpg?v=1753868821&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0ox5113__511301_000a.jpg?v=1753868821&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 01 Satin Black
Frame Shape: Rectangle
Material: Metal
Lens Width: 54 mm
Lens Height: 38 mm
Bridge Width: 18 mm
Arm Length: 135 mm",https://www.fashioneyewear.com/products/oakley-lizards-ox5113?variant=42629081006309
Oakley,OAKLEY HEX JECTOR OX8032,$187.00,"https://www.fashioneyewear.com/products/oakley-hex-jector-ox8032?variant=42629083627749#,https://www.fashioneyewear.com/cdn/shop/products/0ox8032__803202_030a.jpg?v=1753714434&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0ox8032__803202_000a.jpg?v=1753714434&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 02 Satin Grey Smoke
Frame Shape: Rectangle
Material: Acetate
Lens Width: 55 mm
Lens Height: 36 mm
Bridge Width: 16 mm
Arm Length: 141 mm",https://www.fashioneyewear.com/products/oakley-hex-jector-ox8032?variant=42629083627749
Oakley,OAKLEY EXCHANGE OX8055,$242.00,"https://www.fashioneyewear.com/products/oakley-exchange-ox8055?variant=43013017829605#,https://www.fashioneyewear.com/cdn/shop/products/0OX8055__805503_030A.jpg?v=1749805698&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0OX8055__805503_000A.jpg?v=1749805698&width=2048","• Authorised Oakley stockist
• Supplied with original Oakley case
Colour Code: 03 Polished Clear
Frame Shape: Rectangle
Material: Acetate
Lens Width: 56 mm
Lens Height: 43 mm
Bridge Width: 17 mm
Arm Length: 136 mm",https://www.fashioneyewear.com/products/oakley-exchange-ox8055?variant=43013017829605
