Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Prada Eyewear,PRADA VPR C50VD,$430.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C50VD__5AV1O1__P21__shad__qt_4f1a5eaa-fb7c-4f04-9fed-c876242be762.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C50VD__5AV1O1__P21__shad__fr_202fae7e-1bf9-4340-869e-06539a71626d.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C50VD__5AV1O1__P21__shad__lt_ef321b6b-d025-40e3-9d1b-c1f0f2300911.jpg?v=1760693418&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 5AV1O1 Gunmetal
Frame Shape: Square
Material: Metal
Lens Width: 55 mm
Lens Height: 37 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c50vd?variant=47916364529893
Prada Eyewear,PRADA VPR C08,$489.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C08V__20H1O1__P21__shad__qt_6315f5c5-dc1e-45c9-92e0-9e2079172060.jpg?v=1760693426&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C08V__20H1O1__P21__shad__fr_86764ada-fad3-4a1d-8932-a9d07e6270fd.jpg?v=1760693426&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C08V__20H1O1__P21__shad__lt_6faeee18-0735-4631-94fd-a54279c38650.jpg?v=1760693426&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 20H1O1 Transparent Chocolate
Frame Shape: Rectangle
Material: Acetate
Lens Width: 52 mm
Lens Height: 40 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c08?variant=47916363481317
Prada Eyewear,PRADA VPR C03,$430.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C03V__16K1O1__P21__shad__qt_bf2651c2-d7cc-4d64-a619-332e751416c2.jpg?v=1761057520&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C03V__16K1O1__P21__shad__fr_949b5e5f-dcd2-4e23-8e66-efbd2c21730a.jpg?v=1761057520&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C03V__16K1O1__P21__shad__lt_03c333da-5b00-4268-8638-a969477995cf.jpg?v=1761057520&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 16K1O1 Black
Frame Shape: Square
Material: Acetate
Lens Width: 55 mm
Lens Height: 40 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c03?variant=47916364071141
Prada Eyewear,PRADA VPR C04,$518.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C04V__17N1O1__P21__shad__qt_c416a317-a8f5-40e2-94f6-4e9545488b0c.jpg?v=1760703394&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C04V__17N1O1__P21__shad__fr_df83389a-495d-4dc6-82a1-92461ebb8f14.jpg?v=1760703395&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C04V__17N1O1__P21__shad__lt_45dc3166-47c1-4469-8ad0-abfb3f796095.jpg?v=1760703395&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 18T1O1 Transparent Terra
Frame Shape: Square
Material: Acetate
Lens Width: 51 mm
Lens Height: 43 mm
Bridge Width: 22 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c04?variant=47922230591717
Prada Eyewear,PRADA VPR C02,$489.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C02V__16K1O1__P21__shad__qt_911d045c-8307-49a2-8a51-1f8179b54d6c.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C02V__16K1O1__P21__shad__fr_bd7b9886-3064-4fa6-9320-4b524cb5c0c5.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C02V__16K1O1__P21__shad__lt_c100ea17-06e2-4427-81fc-c391f41e5b8a.jpg?v=1760693418&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 16K1O1 Black
Frame Shape: Aviator
Material: Acetate
Lens Width: 56 mm
Lens Height: 35 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c02?variant=47916366004453
Prada Eyewear,PRADA VPR C10,$459.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C10V__16K1O1__P21__shad__qt_93bc35d0-060f-4554-bb80-90db55eef58d.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C10V__16K1O1__P21__shad__fr_48f65528-e4ed-4822-ba86-281a82a20b37.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C10V__16K1O1__P21__shad__lt_36fc0253-b6d1-4c30-8f1f-2094ad252341.jpg?v=1760693418&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 16K1O1 Black
Frame Shape: Butterfly
Material: Acetate
Lens Width: 54 mm
Lens Height: 41 mm
Bridge Width: 17 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c10?variant=47916365512933
Prada Eyewear,PRADA VPR C11,$459.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_C11V__17N1O1__P21__shad__qt_b2ff8ab0-191c-407f-92e2-11179967c1a3.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C11V__17N1O1__P21__shad__fr_fdd45184-8fcb-4298-b9a7-b76a5d1b1da0.jpg?v=1760693418&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_C11V__17N1O1__P21__shad__lt_d79518e1-e643-4c17-9c2d-271f8aa4f56a.jpg?v=1760693418&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 17N1O1 Root Tortoise
Frame Shape: Butterfly
Material: Acetate
Lens Width: 53 mm
Lens Height: 45 mm
Bridge Width: 17 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-c11?variant=47916366659813
Prada Eyewear,PRADA VPR B50,$518.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_B50V__1BC1O1__P21__shad__qt_07dd5567-46f7-412a-967c-0c9246a6a240.jpg?v=1748960206&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_B50V__1BC1O1__P21__shad__fr_abb5ecc1-98e2-4561-ad4f-c03a254c04de.jpg?v=1748960206&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_B50V__1BC1O1__P21__shad__lt_f5066ef2-3edc-498e-8ca2-bcb4fff69c6c.jpg?v=1748960206&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 1BC1O1 Silver
Frame Shape: Aviator
Material: Metal
Lens Width: 59 mm
Lens Height: 46 mm
Bridge Width: 17 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/prada-vpr-b50?variant=46758464159973
Prada Eyewear,PRADA VPR B55,$518.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_B55V__21E1O1__P21__shad__qt_91bb3541-fc57-405e-b34d-faa4eebb54a4.jpg?v=1748960211&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_B55V__21E1O1__P21__shad__fr_57b67aa9-c869-4e64-85e7-c071ef749386.jpg?v=1748960211&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_B55V__21E1O1__P21__shad__lt_5aab1eed-fa8e-496f-b023-da391175f9fe.jpg?v=1748960211&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 21E1O1 Pale Gold-Root Tortoise
Frame Shape: Oval
Material: Metal
Lens Width: 52 mm
Lens Height: 41 mm
Bridge Width: 21 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-b55?variant=46758464979173
Prada Eyewear,PRADA VPR B11,$518.00,"https://www.fashioneyewear.com/cdn/shop/files/0PR_B11V__16K1O1__P21__shad__qt_49c5172e-d5bb-48f8-9008-eae6dc7ba137.jpg?v=1748960221&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_B11V__16K1O1__P21__shad__fr_1b33620b-5064-4648-9927-ced8fac58ef5.jpg?v=1748960221&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0PR_B11V__16K1O1__P21__shad__lt_fb189cae-d825-41a7-9872-585e65851a62.jpg?v=1748960221&width=2048","• Authorised Prada stockist
• Supplied with original Prada case
Colour Code: 17N1O1 Root Tortoise
Frame Shape: Rectangle
Material: Acetate
Lens Width: 52 mm
Lens Height: 44 mm
Bridge Width: 20 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/prada-vpr-b11?variant=46758464323813
