Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Ray-Ban Meta,RAY-BAN META WAYFARER RW4006,$329.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4006__601_71__P21__shad__qt.jpg?v=1736160235&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4006__601_71__P21__shad__fr.jpg?v=1736160606&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4006__601_71__P21__shad__lt.jpg?v=1736160606&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case & cloth

Colour Code: 601ST3 Black/Grey Polarised
Frame Shape: Wayfarer
Material: Acetate

Lens Width: 50 mm
Lens Height: 41 mm
Bridge Width: 22 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-wayfarer-rw4006?variant=46391565713637
Ray-Ban Meta,RAY-BAN META SKYLER RW4010,$379.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_MF__trans.jpg?v=1753960497&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_MF__P21__shad__qt.jpg?v=1753960497&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_MF__P21__shad__al31.jpg?v=1753960497&width=2048","â€¢ Authorised Ray-Ban Meta stockist
â€¢ Supplied with original Ray-Ban Meta case
Colour Code: 601/MF Black/Clear-Blue Photochromic
Frame Shape: Cat Eye
Material: Acetate
Lens Width: 52 mm
Lens Height: 42 mm
Bridge Width: 20 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-skyler-rw4010
Ray-Ban Meta,RAY-BAN META WAYFARER RW4006,$299.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4006__601_SB__P21__shad__qt.jpg?v=1753697475&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4006__601_SB__P21__shad__fr.jpg?v=1753697475&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4006__601_SB__P21__shad__lt.jpg?v=1753697475&width=2048","â€¢ Authorised Ray-Ban Meta stockist
â€¢ Supplied with original Ray-Ban Meta case
Colour Code: 601/SB Black/Clear-Blue Light Filter
Frame Shape: Wayfarer
Material: Acetate
Lens Width: 50 mm
Lens Height: 41 mm
Bridge Width: 22 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-wayfarer-rw4006-1
Ray-Ban Meta,RAY-BAN META HEADLINER RW4009,$329.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4009__601_9A__P21__shad__qt.jpg?v=1736160960&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4009__601_9A__P21__shad__fr.jpg?v=1736160960&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4009__601_9A__P21__shad__lt.jpg?v=1736160960&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case & cloth

Colour Code: 601/9A Black/G-15 Green Polarised
Frame Shape: Round
Material: Acetate

Lens Width: 50 mm
Lens Height: 43 mm
Bridge Width: 23 mm
Arm Length: 150 mm
",https://www.fashioneyewear.com/products/ray-ban-meta-headliner-rw4009
Ray-Ban Meta,RAY-BAN META SKYLER RW4010,$299.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_SB__P21__shad__qt.jpg?v=1754478433&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_SB__P21__noshad__fr.jpg?v=1754478433&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_SB__P21__shad__cfr.jpg?v=1754478433&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case

Colour Code: 601/SB Black
Frame Shape: Cat Eye
Material: Acetate

Lens Width: 52 mm
Lens Height: 42 mm
Bridge Width: 20 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-skyler-rw4010-2
Ray-Ban Meta,RAY-BAN META WAYFARER RW4008,$379.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4008__601S1M__P21__shad__qt_1.jpg?v=1753961902&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4008__601S1M__P21__shad__qt.png?v=1753961902&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4008__601S1M__P21__shad__al31_0d18ba6f-090f-416a-94e5-382406173c94.png?v=1753961902&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case

Colour Code: 601S1M Black/Clear-Graphite Green Photochromic
Frame Shape: Wayfarer
Material: Acetate

Lens Width: 53 mm
Lens Height: 44 mm
Bridge Width: 22 mm
Arm Length: 155 mm",https://www.fashioneyewear.com/products/ray-ban-meta-wayfarer-rw4008
Ray-Ban Meta,RAY-BAN META WAYFARER RW4008,$299.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4008__601_SB__P21__shad__qt.jpg?v=1754477057&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4008__601_SB__P21__noshad__fr.jpg?v=1754477057&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4008__601_SB__P21__noshad__qt.jpg?v=1754477057&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case

Colour Code: 601/SB Black
Frame Shape: Wayfarer
Material: Acetate

Lens Width: 53 mm
Lens Height: 44 mm
Bridge Width: 22 mm
Arm Length: 155 mm",https://www.fashioneyewear.com/products/ray-ban-meta-wayfarer-rw4008-2
Ray-Ban Meta,RAY-BAN META SKYLER RW4010,$329.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_9A__P21__shad__qt.jpg?v=1736161172&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_9A__P21__shad__fr.jpg?v=1736161266&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4010__601_9A__P21__shad__lt.jpg?v=1736161266&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case & cloth

Colour Code: 601/9A Black/G-15 Green Polarised
Frame Shape: Cat Eye
Material: Acetate

Lens Width: 52 mm
Lens Height: 42 mm
Bridge Width: 20 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-skyler-rw4010-1
Ray-Ban Meta,RAY-BAN META HEADLINER RW4013,$379.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4013__601SSB__P21__shad__qt.jpg?v=1762947010&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4013__601SSB__P21__shad__fr.jpg?v=1762947024&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4013__601SSB__P21__shad__lt.jpg?v=1762947024&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case

Colour Code: 601SSB Matte Black
Frame Shape: Round
Material: Acetate

Lens Width: 50 mm
Lens Height: 43 mm
Bridge Width: 23 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-headliner-rw4013-opt
Ray-Ban Meta,RAY-BAN META SKYLER RW4014,$459.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0RW4014__6701CH__P21__shad__qt_1_f6942554-bd4a-4c3a-b688-46dc1993c5b7.jpg?v=1762941485&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4014__6701CH__P21__shad__qt.jpg?v=1762941485&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RW4014__6701CH__P21__shad__al31.jpg?v=1762941485&width=2048","• Authorised Ray-Ban Meta stockist
• Supplied with original Ray-Ban Meta case

Colour Code: 6701CH Mystic Violet/Amethyst Photochromic
Frame Shape: Cat Eye
Material: Acetate

Lens Width: 52 mm
Lens Height: 42 mm
Bridge Width: 20 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-meta-skyler-rw4014-transition
