Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Ray-Ban,RAY-BAN RB7260,$210.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX7260__8462__P21__shad__qt_aa705aac-dbd7-464c-81a2-56fe80c85ac9.jpg?v=1760693421&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX7260__8462__P21__shad__fr_d95ece14-26ed-4125-931c-bb5dd2410e12.jpg?v=1760693421&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX7260__8462__P21__shad__lt_40f59502-8d7e-47e1-b7ed-da4dfa7f783e.jpg?v=1760693421&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 8462 Transparent Blue
Frame Shape: Rectangle
Material: Acetate
Lens Width: 56 mm
Lens Height: 42 mm
Bridge Width: 19 mm
Arm Length: 150 mm",https://www.fashioneyewear.com/products/ray-ban-rb7260?variant=47916363677925
Ray-Ban,RAY-BAN RB7047,$176.00,"https://www.fashioneyewear.com/products/ray-ban-rb7047?variant=42384720527589#,https://www.fashioneyewear.com/cdn/shop/products/0rx7047__2000_030a_converted_24489.jpg?v=1642699534&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0rx7047__2000_000a_converted_24489.jpg?v=1642699534&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 5196 Matte Black
Frame Shape: Rectangle
Material: Acetate
Lens Width: 54 mm
Lens Height:
Bridge Width: 17 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/ray-ban-rb7047?variant=42384720527589
Ray-Ban,RAY-BAN BERNARD RB5430,$210.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX5430__2000__P21__shad__qt_d4885ab9-89f0-4001-a7e6-541b5ac535a8.jpg?v=1714038763&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX5430__2000__P21__shad__fr_533fc2d5-6a96-40a3-b708-2097d250a551.jpg?v=1714038770&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX5430__2000__P21__shad__lt_2c0e68d5-9817-4c84-a1d0-a329b7e55dd8.jpg?v=1714038766&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 2000 Black
Frame Shape: Round
Material: Acetate
Lens Width: 51 mm
Lens Height: 47 mm
Bridge Width: 21 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/ray-ban-bernard-rb5430?variant=45307453243621
Ray-Ban,RAY-BAN RB7199,$249.00,"https://www.fashioneyewear.com/products/ray-ban-rb7199?variant=43013033525477#,https://www.fashioneyewear.com/cdn/shop/products/0RX7199__5204_030A.jpg?v=1753868855&width=2048,https://www.fashioneyewear.com/cdn/shop/products/0RX7199__5204_000A.jpg?v=1753868855&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 5915 Sand Grey
Frame Shape: Rectangle
Material: Acetate
Lens Width: 54 mm
Lens Height: 43 mm
Bridge Width: 18 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/ray-ban-rb7199?variant=43013033525477
Ray-Ban,RAY-BAN RB3767V,$195.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX3767V__2501__P21__shad__qt_47c24704-cfb9-45fb-aa92-d1ba70673efc.jpg?v=1760960094&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX3767V__2501__P21__shad__fr_508808ff-a7e9-4889-ba57-63e2655a6a39.jpg?v=1760960094&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX3767V__2501__P21__shad__lt_855f1c26-36eb-42e3-a28d-570eec334270.jpg?v=1760960094&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 2501 Silver
Frame Shape: Oval
Material: Metal
Lens Width: 52 mm
Lens Height: 36 mm
Bridge Width: 18 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/ray-ban-rb3767v?variant=47916364202213
Ray-Ban,RAY-BAN RB7553,$276.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX7553__3217__P21__shad__qt_454efdac-178b-4d67-b366-8933b230a487.jpg?v=1769180695&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX7553__3217__P21__shad__fr_88035734-daf2-410c-b030-3042b084fa97.jpg?v=1769180695&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX7553__3217__P21__shad__lt_dbb7f976-33b1-4b87-8505-17e6d0d4d594.jpg?v=1769180695&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 3217 Rose Gold
Frame Shape: Round
Material: Metal
Lens Width: 50 mm
Lens Height: 44 mm
Bridge Width: 20 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/ray-ban-rb7553?variant=47916366463205
Ray-Ban,RAY-BAN RB7551,$263.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX7551__3219__P21__shad__qt_9ce96874-c557-4008-86ed-7f84846627ea.jpg?v=1760693424&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX7551__3219__P21__shad__fr_5b919c3d-11c3-4c55-94e2-9df271a58314.jpg?v=1760693424&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX7551__3219__P21__shad__lt_86b4e73a-812b-49a4-948b-1fc082027c1a.jpg?v=1760693424&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 3219 Silver
Frame Shape: Rectangle
Material: Metal
Lens Width: 54 mm
Lens Height: 36 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/ray-ban-rb7551?variant=47916368855269
Ray-Ban,RAY-BAN RB5445,$186.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX5445__2000__P21__shad__qt_fa626aad-1887-423a-abfb-44ecc4e75f2d.jpg?v=1760693427&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX5445__2000__P21__shad__fr_ad0ca088-91ce-4e0b-b59f-8bb60157f511.jpg?v=1760693427&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX5445__2000__P21__shad__lt_2e03be86-8e9d-46c8-9245-94127ae16e03.jpg?v=1760693427&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 8456 Striped Blue
Frame Shape: Square
Material: Acetate
Lens Width: 54 mm
Lens Height: 36 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/ray-ban-rb5445?variant=47916368756965
Ray-Ban,RAY-BAN RB5446,$186.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX5446__2000__P21__shad__qt_5535911d-4155-4a7a-bec9-c4c39874e90a.jpg?v=1760693430&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX5446__2000__P21__shad__fr_5942d0c7-fb41-423d-8f67-d8b4232b73c8.jpg?v=1760693430&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX5446__2000__P21__shad__lt_a3d4f47e-d653-46b2-bf50-0eea5311d058.jpg?v=1760693430&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 2012 Havana
Frame Shape: Square
Material: Acetate
Lens Width: 51 mm
Lens Height: 41 mm
Bridge Width: 19 mm
Arm Length: 145 mm",https://www.fashioneyewear.com/products/ray-ban-rb5446?variant=47916365414629
Ray-Ban,RAY-BAN RB6532,$249.00,"https://www.fashioneyewear.com/cdn/shop/files/0RX6532__2502__P21__shad__qt_8365e167-4381-440b-9e14-2a839667e39d.jpg?v=1748960200&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX6532__2502__P21__shad__fr_35f16d47-fede-4f3e-9e9f-baca6f473774.jpg?v=1748960200&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0RX6532__2502__P21__shad__lt_bd2d38f1-4b3b-46cb-9654-193d34ca3e25.jpg?v=1748960201&width=2048","• Authorised Ray-Ban stockist
• Supplied with original Ray-Ban case
Colour Code: 2502 Gunmetal
Frame Shape: Square
Material: Acetate
Lens Width: 55 mm
Lens Height: 45 mm
Bridge Width: 18 mm
Arm Length: 140 mm",https://www.fashioneyewear.com/products/ray-ban-rb6532?variant=46758478577893
