Brand Name,Product Name,Product Price,Images,Product Details,Product Link
Miu Miu,MIU MIU SMU54Y,$667.00 ,"https://www.fashioneyewear.com/products/miu-miu-smu54y?variant=44180325466341#,https://www.fashioneyewear.com/cdn/shop/files/0MU_54YS__5AK30B_030A_2ce76ce5-5b5b-4cbd-98f3-a8d64de64cb7.jpg?v=1764153197&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_54YS__5AK30B_000A_0837e00b-f4bc-4475-8fc4-ccca6e1bdb26.jpg?v=1764153197&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu54y?variant=44180325466341
Miu Miu,MIU MIU SMU A54,$578.00 ,"https://www.fashioneyewear.com/products/miu-miu-smu-a54?variant=46758462390501#,https://www.fashioneyewear.com/cdn/shop/files/0MU_A54S__ZVN80O__P21__shad__qt_79a5bbc7-7638-4a50-9ff5-4ca6bd8cca73.jpg?v=1763563075&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_A54S__ZVN80O__P21__shad__bk_e8aa4b2f-8a87-4e1a-aa14-7104e5cc9c3a.jpg?v=1763563075&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-a54?variant=46758462390501
Miu Miu,MIU MIU SMU B05,$578.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_B05S__16K90A__P21__shad__qt_374b9795-eb69-4d80-abe0-6f99367e5ec1.jpg?v=1760693440&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B05S__16K90A__P21__shad__fr_10fa589b-30ab-43ad-9c33-880efc2d50ab.jpg?v=1760693440&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B05S__16K90A__P21__shad__lt_606e188c-8949-4284-8f08-323f2b21c6d7.jpg?v=1760693440&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-b05?variant=47916368888037
Miu Miu,MIU MIU SMU04Z,$518.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_04ZS__1AB5S0__P21__noshad__qt_d52d27d9-88c5-40c3-a5b9-036f8bdd5c90.jpg?v=1765459331&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04ZS__1AB5S0__P21__noshad__fr_a4eb7925-b1c5-4599-8178-09cc83b5e51a.jpg?v=1765459331&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_04ZS__1AB5S0__P21__shad__lt_db447fc7-6a5c-499b-b29a-d282924ac0bc.jpg?v=1765459331&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu04z?variant=44451946528997
Miu Miu,MIU MIU SMU B03,$518.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_B03S__16K90Q__P21__shad__qt_0d3fdfc3-a5fd-4bcf-a631-dc6bbc11a2d6.jpg?v=1760703397&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B03S__16K90Q__P21__shad__fr_88e786db-d0b1-435d-b894-2874315329a8.jpg?v=1760703397&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B03S__16K90Q__P21__shad__lt_256d1bc5-a34f-42e6-a42f-9fae91c0279d.jpg?v=1760703397&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-b03?variant=47922232787173
Miu Miu,MIU MIU SMU52Y,$548.00 ,"https://www.fashioneyewear.com/products/miu-miu-smu52y?variant=44451945840869#,https://www.fashioneyewear.com/cdn/shop/files/0MU_52YS__ZVN5D1_030A_311803e5-f6f0-443f-b91d-d43e5092bf02.jpg?v=1763563446&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_52YS__ZVN5D1_000A_9916ffd8-03c7-4a0d-99df-a1df408ab70f.jpg?v=1764666469&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu52y?variant=44451945840869
Miu Miu,MIU MIU SMU B50,$578.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_B50S__ZVN80O__P21__shad__qt_24daf7c6-8b06-4402-b246-1f5de1f18a9c.jpg?v=1763563207&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B50S__ZVN80O__P21__shad__fr_5e2359b9-d0f2-4994-ba4f-084c0e3383d2.jpg?v=1763563207&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B50S__ZVN80O__P21__shad__lt_0da58f3f-0a01-49b0-9140-8d27412d508b.jpg?v=1763563207&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-b50?variant=47916365676773
Miu Miu,MIU MIU SMU B04,$578.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_B04S__14L09Z__P21__shad__qt_5498cbe9-8778-4190-bbba-8a013a3159ee.jpg?v=1760693441&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B04S__14L09Z__P21__shad__fr_be9f847f-dd13-4448-949f-7643a5c7f7a9.jpg?v=1760693441&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B04S__14L09Z__P21__shad__lt_134c7744-bbeb-48dd-b2d1-8b47aa5b9c24.jpg?v=1760693441&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-b04?variant=47916368167141
Miu Miu,MIU MIU SMU B01,$548.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_B01S__26E10R__P21__shad__qt_fc6672cb-5298-4a77-9454-6b4eefb18f8c.jpg?v=1760693441&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B01S__26E10R__P21__shad__fr_936db074-b8c0-4ce6-9dd3-dd6fd85ff091.jpg?v=1760693440&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_B01S__26E10R__P21__shad__lt_d210493b-18a4-422f-befb-ebb02051284a.jpg?v=1760693441&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-b01?variant=47916367577317
Miu Miu,MIU MIU SMU A07,$578.00 ,"https://www.fashioneyewear.com/cdn/shop/files/0MU_A07S__16K90Q__P21__shad__qt_8e2fabc3-50f9-46fd-a048-919d517943d1.jpg?v=1760703390&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_A07S__16K90Q__P21__shad__fr_eb6fbc27-4395-4568-9941-14a184c37808.jpg?v=1760703390&width=2048,https://www.fashioneyewear.com/cdn/shop/files/0MU_A07S__16K90Q__P21__shad__lt_4b2cce32-3f61-4cfa-b7ea-010423f5763a.jpg?v=1760703390&width=2048","• Authorised Miu Miu stockist
• Supplied with original Miu Miu case & cloth
Colour Code: 5AK30B Gold/Light Grey
Frame Shape: Rectangle
Material: Metal
Lens Width: 80 mm
Lens Height: 51 mm
Bridge Width: 14 mm
Arm Length: 110 mm",https://www.fashioneyewear.com/products/miu-miu-smu-a07?variant=47922232393957
