Product Name,Price,Product Image,Produkttypen,Bitte beachten Sie,Für,Obermaterialien,Schuhsohle,Komforteigenschaften,Ausstattungen,Schuhtechnologie,Verschluss,Innenausstattung,Siegel,Serie,Obermaterial,Innenfutter,Ausstattung,Produkttyp,vegan,Innenausstattungen,Schuhtechnologien,Farbe,Stil,Serien,Stile,Bemerkung,Schuhweite,Muster,Verschlüsse,Farben
New Balance 530,"69,99 €",https://cdn.idealo.com/folder/Product/200603/5/200603576/s1_produktbild_gross/new-balance-530.jpg,"Chunky-Sneaker, Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Mesh, Textil",Kautschuk,"atmungsaktiv, gepolstert","Zuglasche, verstärkte Schuhspitze",New Balance ABZORB,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,,,,,,,,,,,,,
Adidas Samba OG,"19,32 €",https://cdn.idealo.com/folder/Product/5824/9/5824995/s1_produktbild_gross/adidas-samba-og.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,gepolstert,,,mit Schnürung,Ortholite Einlegesohle,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Adidas Samba,Leder,Synthetik,,,,,,,,,,,,,,
Adidas Handball Spezial,"19,32 €",https://cdn.idealo.com/folder/Product/437/6/437636/s1_produktbild_gross/adidas-handball-spezial.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Handball Spezial,Wildleder,Synthetik,verstärkte Schuhspitze,,,,,,,,,,,,,
Adidas Campus 00s,"50,00 €",https://cdn.idealo.com/folder/Product/202068/0/202068046/s1_produktbild_gross/adidas-campus-00s.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,Kautschuk,leichtgewichtig,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Campus,Veloursleder,Textil,,Low-Top-Sneaker,nein,,,,,,,,,,,
Adidas Handball Spezial Women,"69,74 €",https://cdn.idealo.com/folder/Product/203143/1/203143198/s1_produktbild_gross/adidas-handball-spezial-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Handball Spezial,Veloursleder,"Synthetik, Textil",,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Gazelle Bold Women,"45,59 €",https://cdn.idealo.com/folder/Product/202260/4/202260433/s1_produktbild_gross/adidas-gazelle-bold-women.jpg,"Low-Top-Sneaker, Plateau-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,atmungsaktiv,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Adidas Gazelle,Veloursleder,Synthetik,,,,,,,,,,,,,,
Converse Chuck Taylor All Star Hi,"29,99 €",https://cdn.idealo.com/folder/Product/2867/3/2867368/s1_produktbild_gross/converse-chuck-taylor-all-star-hi.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Canvas, Textil",Gummi,"flexibel, atmungsaktiv",,,mit Schnürung,,,Converse All Star,,Textil,Overlays,High-Top-Sneaker,,,,,,,,,,,,
Skechers Uno - Stand On Air Women,"24,99 €",https://cdn.idealo.com/folder/Product/200833/4/200833460/s1_produktbild_gross/skechers-uno-stand-on-air-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Synthetik, Kunstleder",Gummi,"atmungsaktiv, gepolstert, leichtgewichtig","Overlays, verstärkte Schuhspitze",,mit Schnürung,,,,,"Synthetik, Textil",,Low-Top-Sneaker,,"gepolsterter Knöchelbereich, Memory-Foam, Wechselfußbett",,,,,,,,,,
Nike Air Force 1 '07,"71,10 €",https://cdn.idealo.com/folder/Product/1370/4/1370489/s1_produktbild_gross/nike-air-force-1-07.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,Kautschuk,"atmungsaktiv, gepolstert, leichtgewichtig",,Nike Air Sole (Dämpfung),mit Schnürung,gepolsterter Knöchelbereich,,Nike Air Force 1,Leder,Textil,gepolsterte Zunge,,,,,,,,,,,,,
New Balance 574,"50,15 €",https://cdn.idealo.com/folder/Product/2825/9/2825987/s1_produktbild_gross/new-balance-574.jpg,"Retro-Sneaker, Low-Top-Sneaker","Der Schuh fällt klein aus., Die Angebote können verschiedene Größen beinhalten.",,,Gummi,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Fair Labor Association",New Balance 574,,Synthetik,verstärkte Schuhspitze,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",,,,,,,,,
Asics Gel-NYC (1201A789),"96,95 €",https://cdn.idealo.com/folder/Product/202763/5/202763575/s1_produktbild_gross/asics-gel-nyc-1201a789.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,,,,,,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, bluesign",,,,,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Gazelle Indoor,"59,99 €",https://cdn.idealo.com/folder/Product/3008/9/3008966/s1_produktbild_gross/adidas-gazelle-indoor.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,,Adidas Gazelle,Leder,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
Reebok Club C 85,"25,97 €",https://cdn.idealo.com/folder/Product/5243/1/5243160/s1_produktbild_gross/reebok-club-c-85.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,,Reebok Club C,Leder,,,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 574 Core,"71,50 €",https://cdn.idealo.com/folder/Product/6369/9/6369914/s1_produktbild_gross/new-balance-574-core.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Mesh, Veloursleder",Gummi,atmungsaktiv,"Overlays, verstärkte Schuhspitze",,mit Schnürung,,"Leather Working Group, Better Cotton Initiative, Sustainable Apparel Coalition, Fair Labor Association",New Balance 574,,Synthetik,,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",,,,,,,,,
Adidas Samba OG Women,"58,99 €",https://cdn.idealo.com/folder/Product/6198/4/6198426/s1_produktbild_gross/adidas-samba-og-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Leder, Veloursleder",Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Samba,,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
Reebok Classic Leather,"22,98 €",https://cdn.idealo.com/folder/Product/1200/0/1200056/s1_produktbild_gross/reebok-classic-leather.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,Gummi,flexibel,,,mit Schnürung,Wechselfußbett,,Reebok Classic Leather,Leder,Textil,Overlays,,,,,,,,,,,,,
Nike Shox TL,"119,00 €",https://cdn.idealo.com/folder/Product/6724/3/6724390/s1_produktbild_gross/nike-shox-tl.jpg,"Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Mesh",Gummi,"leichtgewichtig, atmungsaktiv",,,mit Schnürung,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",Nike Shox,,Textil,Reflektoren,,,,"Nike Shox, Flyknit",,,,,,,,,
