name,price,img,Description
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","₨5,268.21","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15411/r/145.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15411/r/150.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15411/r/145.jpg","Description
Gluten Free
Non GMO LE Certified
Amino Acids for Immune Support
Dietary Supplement
Glutathione, Cysteine & C is a powerful antioxidant supplement with targeted nutrition that provides intracellular antioxidant support and encourages healthy liver function.
Suggested use
Read the entire label and follow the directions carefully.
Take one (1) capsule one to three times daily on an empty stomach, or as recommended by a healthcare practitioner.
Other ingredients
Vegetable cellulose (capsule), microcrystalline cellulose, stearic acid, vegetable stearate, silica.
Warnings
Store tightly closed in a cool, dry place.
Keep out of reach of children.
Do not exceed recommended dose.
Do not purchase if outer seal is damaged.
Consult with your physician if you are undergoing treatment for a medical condition or if you are pregnant or lactating.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"Nutricost, L-Arginine & L-Citrulline, 120 Capsules","₨3,423.64","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67124/r/8.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67124/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67124/r/8.jpg","Description
Dietary Supplement
Nutricost® Quality Guaranteed
Third Party Tested
GMP Compliant Facility
Non-GMO Product
Gluten-Free
Suggested use
As a dietary supplement, take 1 capsule daily with 8-12 oz of water or as directed by your healthcare professional.
Other ingredients
Gelatin capsule, silica, magnesium stearate (vegetable source).
Made and quality tested in the USA with globally sourced ingredients.
Warnings
For healthy individuals 18 years and older. Consult a healthcare professional prior to use if you are pregnant or nursing, taking medication, or have a medical condition. Keep out of reach of children. Do not use if safety seal is broken or missing. 
Store in a cool, dry place.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"EVLution Nutrition, L-Arginine + L-Citrulline, 120 Veggie Capsules","₨4,091.07","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/evl/evl02921/r/10.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/evl/evl02921/r/11.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/evl/evl02921/r/20.jpg","Description
Dietary Supplement
Endurance + Workout Support
L-Arginine+L-Citrulline, when combined with proper diet and exercise, is designed to support:
Nitric Oxide
Increased Endurance
Vasodilation
Workout Performance
Suggested use
As a dietary supplement, take 2 capsules of L-Arginine+L-Citrulline daily preferably with a meal or as recommended by a physician.
Other ingredients
Veggie capsule, microcrystalline cellulose, magnesium stearate, silicon dioxide.
This product is made in the USA, has been distributed and manufactured by a (GMP) registered facility and contains ingredients of domestic and international origin.
Warnings
Not for use by those with pre-existing medical conditions; those taking any medications; those under the age of 18 or women that are contemplating pregnancy, pregnant or nursing. Keep out of reach of children and pets.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"Nutricost, L-Arginine + L-Citrulline, 240 Capsules","₨5,220.57","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67125/r/8.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67125/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67125/r/8.jpg","Description
750 mg Per Servings
Dietary Supplement
Nutricost® Quality Guaranteed
GMP Compliant Facility
Non-GMO Product
Third Party Tested
Gluten Free
Suggested use
As a dietary supplement, take 1 capsule daily with 8-12 oz of water or as directed by your healthcare professional.
Other ingredients
Gelatin capsule, silica, magnesium stearate (vegetable source).
Warnings
For healthy individuals 18 years and older. Consult a healthcare professional prior to use if you are pregnant or nursing, taking medication, or have a medical condition. Keep out of reach of children. Do not use if safety seal is broken or missing.
Store in a cool, dry place.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"Thorne, Amino Complex, Berry, 8 oz (228 g)","₨14,164.96","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr00464/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr00464/r/66.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr00464/r/61.jpg","Description
Berry Flavored Amino Acids
Dietary Supplement
Muscle/Tendon
Metabolism
Foundational
NSF - Certified Sport
Gluten Free
Optimize your workout results and build the lean muscle mass that boosts strength. The Amino Complex formula also enhances cellular energy production.

Amino acids are the building blocks of protein. They fuel muscle gain and other physiological functions, including enzyme production, hormone regulation, cognitive ability, neurotransmitter balance, metabolism, and energy production.. As we age, we lose muscle mass, which can cause other health issues, so it is important to promote the growth of lean muscle mass.

Of the 20 amino acids in total, nine are classified as essential amino acids (EAAs), those the body cannot produce itself. Therefore, they must be consumed through diet and supplementation to support the body’s internal production of energy.

Thorne’s Amino Complex is a comprehensive blend of essential amino acids, which is high in branched-chain amino acids (BCAAs) – a group of amino acids validated through clinical trials to promote the growth of lean muscle mass and enhance muscle strength.

EAAs benefit the body in multiple ways:
Support muscle repair and recovery  
Reduce muscle soreness 
Increase energy production 
Promote healthy blood sugar  
Support cardiovascular health 
Strengthen connective tissue
Amino Complex’s formula supports sports, fitness, and training-related activities.. Additionally, it promotes the growth of muscle mass in individuals who need to preserve muscle mass, including the elderly.
Amino Complex comes in two flavors – lemon and berry – and is lightly sweetened. It mixes easily with warm or cold liquids, and contains flavors and sweeteners derived from natural sources.
It is best taken after a workout to facilitate the recovery process. It’s an ideal formula for active individuals, individuals managing calories, or anyone who has difficulty consuming whole foods or protein powders, particularly after heavy exercise.
Because athletes need to know their supplements are trustworthy and compliant, every batch of an NSF Certified for Sport® product is tested for compliance with label claims and to ensure the absence of more than 200 substances banned by many major athletic organizations.
Suggested use
Mix 1 scoop with at least 8 ounces of water one to two times daily or as recommended by your health-care practitioner.
Other ingredients
Flavor, citric acid, stevia extract (leaf), fruit and vegetable juice (color).
Warnings
Tamper Evident: Use only if bottle is sealed. Store tightly sealed in a cool, dry place.
If pregnant or nursing, do not use this product. 
Consuming this product can expose you to chemicals, including lead, which are known to the State of California to cause birth defects or other reproductive harm. 
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"NOW Foods, Sports, Amino Complete, 360 Veg Capsules","₨9,527.41","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00013/r/36.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00013/r/42.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00013/r/46.jpg","Description
Amino Acids
Protein Blend
20 Aminos
With Vit. B-6
Informed Sport.com - Trusted by Sport
A Dietary Supplement
Informed Choice.org - Trusted by Sport
Steroid Free
Kosher Dairy
Non-GMO
GMP Quality Assured
Suggested use
Take 4 capsules daily, preferably with juice.
Other ingredients
Hypromellose (cellulose capsule), hydroxypropyl cellulose, stearic acid (vegetable source) and silicon dioxide.
Contains milk and soy.

Not manufactured with wheat, gluten, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens.
Warnings
Caution: For adults only. Consult physician if pregnant/nursing, taking medication, or have a medical condition. Keep out of reach of children.
Natural color variation may occur in this product.
Store in a cool, dry, dark place after opening.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"NOW Foods, Sports, Arginine & Citrulline, 120 Veg Capsules","₨5,264.05","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00037/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00037/r/29.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00037/r/34.jpg","Description
500 mg /250 mg
Amino Acids 
Protein Metabolism
Muscle Maintenance
Keto Friendly 
Vegan
Non-GMO
GMP Quality Assured
A Dietary Supplement
Kosher
Halal
Arginine and citrulline are two amino acids that are integral to protein metabolism and utilization, as well as to the maintenance of muscle tissue. Both are key intermediates in the urea cycle, where they participate in the detoxification of ammonia via the production of urea. In addition, any arginine not converted to urea enters general circulation where it is distributed to various tissues and metabolized for other uses such as protein synthesis.
Suggested use
Take 1 capsule 2 times daily.
Other ingredients
Hypromellose (cellulose capsule), stearic acid (vegetable source), silicon dioxide.
Not manufactured with wheat, gluten, soy, milk, egg, fish, shellfish, tree nut or sesame ingredients. Produced in a GMP facility that processes other ingredients containing these allergens.
Warnings
For adults only. Consult physician if pregnant/nursing, taking medication (especially antihypertensives, nitrates, or other heart medications), or have a medical condition (especially herpes, kidney impairment and/or glaucoma). Keep out of reach of children.
Natural color variation may occur in this product.
Store in a cool, dry, dark place after opening.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"NOW Foods, Sports, Amino Complete, Amino Acids, 120 Veg Capsules","₨3,960.87","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00011/r/0.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00011/r/6.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00011/r/10.jpg","Description
Protein Blend
20 Aminos
With Vit. B-6
Informed Sport.com - Trusted by Sport
A Dietary Supplement
Informed Choice.org - Trusted by Sport
Steroid Free
Kosher Dairy
Non-GMO
GMP Quality Assured
Suggested use
Take 4 capsules daily, preferably with juice.
Other ingredients
Hypromellose (cellulose capsule), hydroxypropyl cellulose, stearic acid (vegetable source) and silicon dioxide.

Contains milk and soy.

Not manufactured with wheat, gluten, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens.
Warnings
Caution: For adults only. Consult physician if pregnant/nursing, taking medication, or have a medical condition. Keep out of reach of children.

Natural color variation may occur in this product.

Store in a cool, dry, dark place after opening.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"EVLution Nutrition, L-Arginine+l-Citrulline, Unflavored, 5.29 oz (150 g)","₨4,860.03","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/evl/evl02927/r/10.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/evl/evl02927/r/19.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/evl/evl02927/r/21.jpg","Description
1,000 mg L-Arginine + 1,000 mg L-Citrulline
Vegan
Vasodilation Support
Endurance
Workout Support
Gluten Free
Dietary Supplement
L-arginine+l-citrulline, when combined with proper exercise, is designed to support:
Nitric Oxide
Increased Endurance
Vasodilation
Workout Performance
Suggested use
As a dietary supplement, mix 1 scoop with water, juice or your beverage of choice, or as recommended by a physician.
Other ingredients
None. 
This product is made in the USA, has been distributed and manufactured by a (GMP) registered facility and contains ingredients of domestic and international origin.
Warnings
Not for use by those under the age of 18. Do not use if you are nursing or pregnant. Keep out of reach of children and pets. Store product at room temperature. Do not expose to excessive heat or moisture.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
"NOW Foods, Sports, Arginine & Citrulline, 240 Veg Capsules","₨9,767.93","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00038/r/12.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00038/r/18.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00038/r/22.jpg","Description
500 mg /250 mg
Amino Acids
Protein Metabolism 
Nitric Oxide Precursor 
Keto Friendly
Kosher
Non-GMO
A Dietary Supplement
GMP Quality Assured
Arginine and citrulline are two amino acids that are integral to protein metabolism and utilization, as well as to the maintenance of muscle tissue. Both are key intermediates in the urea cycle, where they participate in the detoxification of ammonia via the production of urea. In addition, any arginine not converted to urea enters general circulation where it is distributed to various tissues and metabolized for other uses such as protein synthesis.
Suggested use
Take 1 capsule 2 times daily.
Other ingredients
Hypromellose (cellulose capsule), silicon dioxide, stearic acid (vegetable source), calcium citrate and microcrystalline cellulose. 
Not manufactured with wheat, gluten, soy, corn, milk, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens.
Warnings
For adults only. Consult physician if pregnant/nursing, taking medication (especially antihypertensives, nitrates, or other heart medications), or have a medical condition (especially herpes, kidney, impairment and/or glaucoma). Keep out of reach of children.
Natural color variation may occur in this product.
Store in a cool, dry, dark place after opening.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb."
