name,price,img,Description
"NOW Foods, NAC, 1,000 mg, 120 Tablets","₨6,847.05","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00185/r/22.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00185/r/28.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00185/r/32.jpg",
"NOW Foods, NAC with Selenium, 100 Capsules","₨4,263.83","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00085/r/37.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00085/r/39.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00085/r/37.jpg",
"Life Extension, N-Acetyl-L-Cysteine, 600 mg, 60 Capsules","₨3,642.42","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15436/r/114.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15436/r/119.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15436/r/114.jpg",
"Doctor's Best, NAC Detox Regulators, 60 Veggie Caps","₨2,786.51","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00279/r/110.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00279/r/115.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00279/r/110.jpg",
"NOW Foods, NAC, 600 mg, 250 Capsules","₨9,312.33","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00086/r/68.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00086/r/70.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00086/r/55.jpg",
"Thorne, NAC, 90 Capsules (500 mg per Capsule)","₨8,961.51","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr56002/r/15.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr56002/r/21.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr56002/r/23.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"NOW Foods, NAC, 1,000 mg, 60 Tablets","₨3,519.15","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00184/r/8.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00184/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00184/r/8.jpg",
"Swanson, NAC, 600 mg, 100 Vegan Capsules","₨3,512.45","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv01854/r/48.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv01854/r/53.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/rajQKy4WxkU/0.jpg",
"California Gold Nutrition, N-Acetyl-L-Cysteine with Molybdenum and Selenium, 120 Veggie Capsules","₨5,113.26","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lkn/lkn01639/r/143.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lkn/lkn01639/r/145.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lkn/lkn01639/r/146.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lkn/lkn01639/r/141.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lkn/lkn01639/r/144.jpg",
"Doctor's Best, NAC Detox Regulators, 180 Veggie Caps",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00517/r/34.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00517/r/36.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00517/r/34.jpg",
