name,price,img,Description
"NatureWise, Organic Turmeric Curcumin, 180 Vegan Capsules","₨7,758.93","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ntw/ntw00611/r/43.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ntw/ntw00611/r/45.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ntw/ntw00611/r/43.jpg",
"Doctor's Best, High Absorption Curcumin, 120 Veggie Caps","₨10,912.22","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00107/r/170.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00107/r/175.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00107/r/170.jpg",
"NOW Foods, CurcuBrain, Cognitive Support, 400 mg, 50 Veg Capsules","₨7,531.60","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02395/r/22.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02395/r/28.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02395/r/32.jpg",
"California Gold Nutrition, Curcumin C3 Complex® with BioPerine® Black Pepper Extract, Turmeric Curcumin Complex, Enhanced Bioavailablity, 120 Veggie Capsules","₨10,254.27","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00940/r/184.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00940/r/189.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00940/r/192.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00940/r/193.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00940/r/135.jpg",
"California Gold Nutrition, Silymarin Complex, Milk Thistle Extract Plus Dandelion, Artichoke, Curcumin C3 Complex®, Ginger, and BioPerine®, 120 Veggie Capsules",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00956/r/134.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00956/r/139.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00956/r/115.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00956/r/142.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00956/r/121.jpg",
"Life Extension, Curcumin Elite, Turmeric Extract, 60 Vegetarian Capsules","₨7,740.14","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex24076/r/41.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex24076/r/44.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex24076/r/41.jpg",
"NOW Foods, Turmeric Curcumin, 120 Veg Capsules (665 mg per Capsule)","₨11,407.59","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now04639/r/41.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now04639/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now04639/r/51.jpg",
"Swanson, Turmeric & Black Pepper, 90 Vegan Capsule","₨3,590.62","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11877/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11877/r/29.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/rajQKy4WxkU/0.jpg",
"Thorne, Curcumin Phytosome, 120 Capsules (500 mg per Capsule)","₨17,344.85","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr00479/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr00479/r/66.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr00479/r/61.jpg",
"Natural Factors, CurcuminRich, Theracurmin, 30 mg, 120 Vegetarian Capsules","₨9,897.23","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nfs/nfs04539/r/46.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nfs/nfs04539/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nfs/nfs04539/r/38.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
