name,price,img,Description
"Advanced Clinicals, Vitamin C Brightening Serum, 1.75 fl oz (52 ml)","₨2,801.77","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00801/r/92.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00801/r/93.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00801/r/94.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Advanced Clinicals, Retinol, Advanced Firming Cream, 16 oz (454 g)","₨3,467.81","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00638/r/62.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00638/r/68.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00638/r/71.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"CosRx, Acne Pimple Master Patch, 24 Patches","₨1,022.42","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/crx/crx47024/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/crx/crx47024/r/14.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/crx/crx47024/r/13.jpg",
"Advanced Clinicals, Vitamin C, Advanced Brightening Cream, 16 oz (454 g)","₨3,469.89","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00880/r/80.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00880/r/86.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00880/r/89.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"PanOxyl, Acne Foaming Wash, For Face & Body, Maximum Strength, 5.5 oz (156 g)","₨4,154.67","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pxl/pxl22855/r/109.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pxl/pxl22855/r/107.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pxl/pxl22855/r/108.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Advanced Clinicals, Retinol Anti-Wrinkle Serum, 1.75 fl oz (52 ml)","₨2,902.45","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00797/r/81.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00797/r/82.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00797/r/83.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Dr. Althea, 345 Relief Cream , 1.69 fl oz (50 ml)","₨8,146.07","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/aea/aea25139/r/19.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/aea/aea25139/r/21.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/aea/aea25139/r/18.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Advanced Clinicals, Hyaluronic Serum, 1.75 fl oz (52 ml)","₨2,794.83","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00878/r/95.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00878/r/96.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/adc/adc00878/r/97.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Beauty of Joseon, Revive Eye Serum, Ginseng + Retinal, 1.01 fl oz (30 ml)","₨4,625.76","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boj/boj31614/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boj/boj31614/r/62.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boj/boj31614/r/63.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Nubian Heritage, African Black Soap, Body Wash, 13 fl oz (384 ml)","₨4,031.41","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nbh/nbh10603/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nbh/nbh10603/r/31.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nbh/nbh10603/r/27.jpg",
