name,img,Description,price
"California Gold Nutrition, Baby Vitamin D3 Drops, 10 mcg (400 IU), 0.34 fl oz (10 ml)","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01034/r/139.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01034/r/140.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01034/r/131.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01034/r/145.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01034/r/110.jpg",,
"Kids Smart, Kids Smart®, Hi DHA-Omega 3 Fish Oil, Fruit, 30 Chewable Burstlets","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bgl/bgl80505/r/125.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bgl/bgl80505/r/128.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bgl/bgl80505/r/117.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",,"₨2,828.83"
"ChildLife Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118 ml)","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10200/r/117.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10200/r/122.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10200/r/131.jpg",,"₨2,555.64"
"Boiron, Camilia®, Teething Relief, 1 Month+, 30 Doses, 0.034 fl oz (1 ml) Each","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boi/boi05409/r/99.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boi/boi05409/r/100.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boi/boi05409/r/99.jpg",,"₨4,134.18"
"Nature's Way, Alive! Kids, Premium Gummy Multivitamin, Cherry, Grape & Orange, 90 Gummies","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy15789/r/44.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy15789/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/OtGkpL1kyYM/0.jpg",,"₨4,943.05"
"ChildLife Essentials, Essentials, Echinacea, Natural Orange, 1 fl oz (30 ml)","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10100/r/75.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10100/r/81.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10100/r/75.jpg",,"₨2,772.87"
"Nordic Naturals, Children's DHA™ Gummy Chews, Ages 3+, Tropical Punch, 30 Gummies (355 mg per gummy)","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nor/nor01709/r/87.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nor/nor01709/r/88.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nor/nor01709/r/87.jpg",,"₨6,072.00"
"ChildLife Essentials, Vitamin D3, Natural Berry, 12.5 mcg (500 IU), 1 fl oz (30 ml)","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10900/r/82.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10900/r/88.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10900/r/82.jpg",,"₨2,278.12"
"California Gold Nutrition, Kid’s Omega-3 Fish Oil, Natural Strawberry, 60 Fish Gelatin Softgels","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02270/r/9.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02270/r/14.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02270/r/17.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02270/r/20.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02270/r/18.jpg",,"₨3,448.16"
"Nature's Way, Alive! Kids, Gummy Multivitamin, Cherry, Orange & Grape , 60 Gummies","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy15788/r/40.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy15788/r/43.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/u7W-isNuazc/0.jpg",,"₨3,256.90"
