name,price,img,Description
"Doctor's Best, Lutein, Lutemax 2020, 60 Softgels","₨3,734.70","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00369/r/81.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00369/r/86.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00369/r/81.jpg",
"Clear Eyes, Maximum Redness Relief, Lubricant/Redness Reliever Eye Drops, 0.5 fl oz (15 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cey/cey66577/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cey/cey66577/r/31.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cey/cey66577/r/32.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"21st Century, Healthy Eyes, Lutein and Antioxidants, 60 Tablets","₨1,606.83","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27452/r/39.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27452/r/44.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen27452/r/39.jpg",
"Xlear, Xylitol Saline Nasal Spray, Daily Relief, 1.5 fl oz (45 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/xlr/xlr00000/r/33.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/xlr/xlr00000/r/34.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/xlr/xlr00000/r/32.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"California Gold Nutrition, AstaCarotenoid Complex with Lutein, Lycopene, Astaxanthin, and Vitamin A, 30 Veggie Softgels",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01206/r/73.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01206/r/76.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01206/r/51.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01206/r/81.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01206/r/63.jpg",
"Swanson, Lutein & Bilberry, 120 Softgels","₨3,815.40","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv02990/r/32.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv02990/r/34.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/rajQKy4WxkU/0.jpg",
"Life Extension, MacuGuard, Ocular Support with Saffron & Astaxanthin, 60 Softgels","₨9,789.00","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19936/r/115.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19936/r/120.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19936/r/115.jpg",
"NutriBiotic, Nasal Spray, 1 fl oz (29.5 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nbc/nbc01050/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nbc/nbc01050/r/57.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nbc/nbc01050/r/60.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Life Extension, MacuGuard, Ocular Support with Saffron, 60 Softgels","₨5,463.63","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19926/r/96.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19926/r/97.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19926/r/96.jpg",
"Life Extension, Eye Pressure Support with Mirtogenol, 30 Vegetarian Capsules","₨8,878.39","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15143/r/139.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15143/r/141.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15143/r/139.jpg",
