name,price,img,Description
"Carlson, Wild Norwegian, Cod Liver Oil, Natural Lemon , 16.9 fl oz (500 ml)","₨12,260.72","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01352/r/45.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01352/r/49.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01352/r/45.jpg",
"Carlson, Wild Norwegian, Cod Liver Oil Gems, 1,000 mg, 100 Soft Gels","₨4,430.11","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01301/r/45.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01301/r/50.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01301/r/45.jpg",
"Carlson, Wild Norwegian, Cod Liver Oil Gems, 250 Soft Gels","₨9,920.79","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01302/r/97.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01302/r/102.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01302/r/97.jpg",
"NOW Foods, Cod Liver Oil, 1,000 mg, 180 Softgels","₨5,693.04","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01744/r/72.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01744/r/78.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01744/r/82.jpg",
"Nordic Naturals, Arctic Cod Liver Oil, Lemon, 180 Soft Gels","₨13,525.51","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nor/nor57885/r/57.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nor/nor57885/r/60.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nor/nor57885/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Carlson, Wild Norwegian, Cod Liver Oil, Natural Lemon, 8.4 fl oz (250 ml)","₨8,049.67","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01351/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01351/r/51.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01351/r/47.jpg",
"Carlson, Kid's, Norwegian Cod Liver Oil, Natural Lemon, 8.4 fl oz (250 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01353/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01353/r/65.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01353/r/61.jpg",
"NOW Foods, Cod Liver Oil, 1,000 mg, 90 Softgels","₨3,030.03","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01743/r/34.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01743/r/39.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01743/r/44.jpg",
"Carlson, Wild Norwegian Cod Liver Oil, 16.9 fl oz (500 ml)","₨12,260.72","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01322/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01322/r/51.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01322/r/47.jpg",
"21st Century, Norwegian Cod Liver Oil, 400 mg, 110 Softgels","₨2,122.78","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen21168/r/32.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen21168/r/38.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cen/cen21168/r/40.jpg",
