name,price,img,Description
"California Gold Nutrition, Omega-3 Premium Fish Oil, 100 Fish Gelatin Softgels (1,100 mg per Softgel)","₨3,801.99","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mli/mli00952/r/218.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mli/mli00952/r/223.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mli/mli00952/r/208.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mli/mli00952/r/238.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mli/mli00952/r/233.jpg",
"California Gold Nutrition, Omega 800 Ultra-Concentrated Omega-3 Fish Oil, kd-pur Triglyceride Form, 30 Fish Gelatin Softgels (1,000 mg per Softgel)","₨3,090.85","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01251/r/156.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01251/r/159.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01251/r/155.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01251/r/170.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01251/r/143.jpg",
"NOW Foods, Omega-3 Fish Oil, 1,000 mg, 180 EPA - 120 DHA, 100 Softgels","₨2,681.98","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01650/r/38.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01650/r/41.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01650/r/38.jpg",
"California Gold Nutrition, Omega-3, Premium Fish Oil, 240 Fish Gelatin Softgels","₨8,280.43","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01330/r/231.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01330/r/228.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01330/r/197.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01330/r/198.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01330/r/177.jpg",
"Sports Research, Omega-3 Fish Oil, Triple Strength, 90 Softgels","₨9,589.16","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sre/sre01183/r/93.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sre/sre01183/r/98.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sre/sre01183/r/80.jpg",
"NOW Foods, Omega-3 Fish Oil, 200 Softgels","₨4,983.06","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01652/r/68.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01652/r/73.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01652/r/68.jpg",
"NOW Foods, Ultra Omega-3 Fish Oil, 180 Softgels","₨10,381.93","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01662/r/76.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01662/r/81.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01662/r/48.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01662/r/49.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01662/r/50.jpg",
"California Gold Nutrition, Omega 800 Ultra-Concentrated Omega-3 Fish Oil, KD-Pur Triglyceride Form, 90 Fish Gelatin Softgels (1,000 mg per Softgel)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01266/r/150.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01266/r/155.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01266/r/125.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01266/r/141.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01266/r/97.jpg",
"NOW Foods, Ultra Omega-3 Fish Oil, 90 Softgels","₨5,471.03","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01661/r/36.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01661/r/42.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now01661/r/39.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Carlson, Wild Caught Super Omega-3 Gems®, 100 + 30 Soft Gels","₨7,971.92","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01524/r/52.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01524/r/53.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/car/car01524/r/52.jpg",
"Life Extension, Super Omega-3, 240 Softgels","₨9,356.97","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19862/r/152.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19862/r/157.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex19862/r/152.jpg",
