name,price,img,Description
"Bragg, Organic Apple Cider Vinegar with The 'Mother', 16 fl oz (473 ml)","₨2,617.32","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bra/bra00116/r/41.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bra/bra00116/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bra/bra00116/r/41.jpg",
"Traditional Medicinals, Organic Dandelion Leaf & Root Tea, Caffeine Free, 16 Wrapped Tea Bags, 0.99 oz (28 g)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/tra/tra00235/r/52.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/tra/tra00235/r/53.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/tra/tra00235/r/51.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Celtic Sea Salt, Light Grey Celtic®, Vital Mineral Blend, 1 lb (454 g)","₨2,558.25","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/css/css10008/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/css/css10008/r/25.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/css/css10008/r/24.jpg",
"Yogi Tea, Raspberry Leaf, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)","₨1,549.85","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ygt/ygt45043/r/75.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ygt/ygt45043/r/76.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ygt/ygt45043/r/77.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Peanut Butter & Co., Old Fashioned Crunchy, Peanut Butter, 16 oz (454 g)","₨2,362.83","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pnb/pnb00028/r/51.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pnb/pnb00028/r/55.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pnb/pnb00028/r/51.jpg",
"Seapoint Farms, Dry Roasted Edamame, Sea Salt, 4 oz (113 g)",₨921.36,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sfm/sfm10200/r/15.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sfm/sfm10200/r/16.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sfm/sfm10200/r/15.jpg",
"YumEarth, Organic Pops, Assorted Flavors, 50 Individually Wrapped Pops, 10.9 oz (310 g)","₨3,674.54","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/yue/yue00186/r/31.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/yue/yue00186/r/33.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/yue/yue00186/r/34.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Uncle Lee's Tea, Dieter's 100% Natural Herbal Drink, No Caffeine, 30 Tea Bags, 2.12 oz (60 g)","₨1,402.60","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/unl/unl30603/r/62.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/unl/unl30603/r/60.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/unl/unl30603/r/59.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/unl/unl30603/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
"Wild Planet, Wild Sardines In Water, No Salt Added, 4.4 oz (125 g)","₨1,178.99","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/wld/wld00089/r/64.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/wld/wld00089/r/65.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/wld/wld00089/r/66.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/wld/wld00089/r/63.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
"iHerb Exclusive, Pantry Essentials, Anniversary Collection, 8 Piece Set",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10021/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10021/r/46.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10021/r/45.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10021/r/43.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10021/r/41.jpg",
