name,price,img,Description
"Sambucol, Black Elderberry, Effervescent Tablets + Vitamin C & Zinc, Age 4+, 15 Effervescent Tablets","₨2,798.07","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00129/r/142.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00129/r/145.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00129/r/134.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"Nature's Way, Sambucus, Immune Gummy, Elderberry, 60 Gummies",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy10486/r/124.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy10486/r/129.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/6_vc0-h551c/0.jpg",
"Sambucol, Kids, Black Elderberry, Advanced Immune Syrup, 2 Years & Older, Berry, 4 fl oz (120 ml)","₨3,933.12","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00118/r/131.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00118/r/132.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00118/r/130.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00118/r/129.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
"NOW Foods, Sambucus Zinc-C, 60 Lozenges","₨2,577.21","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03384/r/43.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03384/r/48.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03384/r/53.jpg",
"Nature's Way, Sambucus® Kids, Immune Gummy with Zinc & Vitamin C, Elderberry, 60 Gummies","₨5,675.47","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy12285/r/71.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy12285/r/74.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/LNAVQzyKcoA/0.jpg",
"Sambucol, Kids Black Elderberry Gummies + Vitamin C + Zinc, Ages 2+, 30 Gummies","₨3,808.24","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00160/r/82.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00160/r/88.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00160/r/82.jpg",
"Sambucol, Kids, Black Elderberry, Advanced Immune Syrup, Ages 2+, 8,360 mg, 7.8 fl oz (230 ml)","₨7,624.80","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00121/r/98.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00121/r/99.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00121/r/89.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00121/r/97.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
"Sambucol, Black Elderberry, Throat Relief, Soothing Lozenge With Honey, 20 Soft Lozenges","₨2,521.02","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00120/r/79.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00120/r/80.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00120/r/79.jpg",
"GummiKing, Elderberry for Kids, Immunity + Wellness, Lemon Raspberry, 60 Gummies","₨3,394.97","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/gum/gum00143/r/48.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/gum/gum00143/r/53.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/gum/gum00143/r/48.jpg",
"Sambucol, Black Elderberry Syrup, Advanced Immune, Vitamin C + Zinc, 4 fl oz (120 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00126/r/70.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00126/r/71.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00126/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00126/r/69.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
"Sambucol, Black Elderberry Immune Syrup, Original Formula, 16,720 mg, 7.8 fl oz (230 ml)","₨7,635.20","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00111/r/79.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00111/r/83.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00111/r/71.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sbl/sbl00111/r/80.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg",
