name,price,img,Description
"Swanson, Diosmin & Hesperidin, 60 Capsules","₨5,041.34","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv02720/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv02720/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/rajQKy4WxkU/0.jpg",
"Legendairy Milk, Pump Princess, 60 Vegan Capsules","₨6,486.97","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lgd/lgd00702/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lgd/lgd00702/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lgd/lgd00702/r/24.jpg",
"Legendairy Milk, Liquid Gold®, 60 Vegan Capsules","₨6,473.10","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lgd/lgd00700/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lgd/lgd00700/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lgd/lgd00700/r/24.jpg",
"Ready in Case, Aspirin, 81 mg, 300 Enteric Coated Tablets","₨1,832.77","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex44301/r/71.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex44301/r/67.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex44301/r/71.jpg",
"NOW Foods, Thyroid Energy, 90 Veg Capsules","₨4,269.38","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03368/r/40.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03368/r/45.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03368/r/50.jpg",
"Planetary Herbals, Cilantro Heavy Metal Detox™ with Chlorella, 4 fl oz (118.28 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ptf/ptf10658/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ptf/ptf10658/r/35.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ptf/ptf10658/r/30.jpg",
"NOW Foods, Kidney Cleanse, 90 Veg Capsules","₨4,218.04","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02463/r/23.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02463/r/28.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02463/r/33.jpg",
"Nature's Way, Blood Sugar Manager®, 90 Capsules","₨3,979.60","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy79200/r/75.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy79200/r/81.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://img.youtube.com/vi/7ysJFtQEmH4/0.jpg",
"NOW Foods, Blood Pressure Health, 90 Veg Capsules","₨6,090.82","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03066/r/25.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03066/r/31.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now03066/r/35.jpg",
"Solaray, Total Cleanse, Uric Acid, 60 VegCaps","₨6,340.81","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sor/sor35007/r/47.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sor/sor35007/r/51.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sor/sor35007/r/47.jpg",
