name,price,img,Description
"NOW Foods, Solutions, Sweet Almond Oil, Unscented, 4 fl oz (118 ml)","₨1,539.76","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07660/r/44.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07660/r/49.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07660/r/32.jpg",
"ZUM, Laundry Soap, Frankincense & Myrrh, 32 fl oz (0.94 l)","₨5,730.04","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ndg/ndg36220/r/48.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ndg/ndg36220/r/52.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ndg/ndg36220/r/48.jpg",
"NOW Foods, Solutions, Sweet Almond Oil, Pure Moisturizing Oil, Unscented, 16 fl oz (473 ml)","₨4,074.19","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07661/r/58.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07661/r/63.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07661/r/46.jpg",
"NOW Foods, Solutions, Certified Organic Jojoba Oil, 4 fl oz (118 ml)","₨3,539.97","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07713/r/12.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07713/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07713/r/16.jpg",
"Seventh Generation, Dishwasher Detergent Gel, Free & Clear, 2.62 lb (1.19 kg)","₨4,080.43","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sev/sev22170/r/67.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sev/sev22170/r/71.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sev/sev22170/r/67.jpg",
"NOW Foods, Solutions, Castor Oil, 16 fl oz (473 ml)","₨2,991.87","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07675/r/14.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07675/r/15.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now07675/r/19.jpg",
"Cliganic, Organic Jojoba Oil, For Oily & Combination Skin, 4 fl oz (120 ml)",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/clg/clg00703/r/86.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/clg/clg00703/r/87.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/clg/clg00703/r/88.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg",
"PEAKfresh USA, Produce Bags with Twist Ties, 10 Re-Usable Bags","₨1,327.00","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pea/pea00200/r/29.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pea/pea00200/r/28.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/pea/pea00200/r/29.jpg",
"iHerb Exclusive, Self-Care Essentials, Anniversary Collection, 8 Piece Set",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10022/r/56.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10022/r/54.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10022/r/53.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10022/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv10022/r/26.jpg",
"iHerb Exclusive, Shaker Cup, 7 Piece Set",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/54.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/41.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/28.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/40.jpg",
