name,price,img,Description
"Thorne, Adrenal Cortex, 60 Capsules (50 mg per Capsule)","₨5,492.54","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr80303/r/35.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr80303/r/37.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/thr/thr80303/r/35.jpg",
"Allergy Research Group, Thyroid, Natural Glandular, 40 mg, 100 Vegetarian Capsules","₨10,114.94","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/alg/alg71810/r/54.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/alg/alg71810/r/59.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/alg/alg71810/r/54.jpg",
"Codeage, Grass-Fed Beef Liver, 180 Vegetable Capsules (500 mg per Capsule)","₨8,669.53","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00809/r/72.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00809/r/77.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00809/r/72.jpg",
"Forest Leaf, Grass Fed Beef Liver, 180 Capsules (750 mg per Capsule)","₨8,510.54","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/frl/frl54629/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/frl/frl54629/r/29.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/frl/frl54629/r/24.jpg",
"Swanson, Argentinian Desiccated Beef Liver, 500 mg, 120 Capsules","₨2,659.31","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11198/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11198/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11198/r/24.jpg",
"Swanson, Adrenal Glandular, 350 mg, 60 Capsules","₨2,598.84","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11223/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11223/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11223/r/24.jpg",
"NOW Foods, Liver Caps, 100 Capsules","₨4,263.83","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02432/r/38.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02432/r/44.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02432/r/48.jpg",
"Codeage, Grass-Fed Beef Organs, 180 Vegetable Capsules","₨11,560.34","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00810/r/48.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00810/r/53.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00810/r/48.jpg",
"Dragon Herbs, Goat Placenta, 500 mg, 60 Capsules",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dra/dra00517/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dra/dra00517/r/33.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dra/dra00517/r/27.jpg",
"Nutricost, Grass-Fed Desiccated Beef Liver, 240 Capsules (750 mg per Capsule)","₨7,551.72","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67230/r/8.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67230/r/13.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67230/r/8.jpg",
"Swanson, Prostate Glandular, 150 mg, 60 Capsules","₨1,902.15","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11303/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11303/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11303/r/24.jpg",
"Dragon Herbs, Deer Placenta, 500 mg, 60 Capsules",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dra/dra00516/r/49.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dra/dra00516/r/54.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dra/dra00516/r/49.jpg",
"Emerald Laboratories, Thyroid Health, 60 Vegetable Capsules","₨11,131.92","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/emr/emr00224/r/50.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/emr/emr00224/r/55.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/emr/emr00224/r/50.jpg",
"Swanson, Kidney Glandular, 500 mg, 60 Capsules","₨2,639.89","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11225/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11225/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv11225/r/24.jpg",
"MuscleMeds, Carnivor Beef Aminos, 100% Pure Beef Protein, 300 Tablets","₨7,871.32","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mme/mme00275/r/22.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mme/mme00275/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mme/mme00275/r/22.jpg",
"Trace, Beef Liver, 180 Capsules","₨9,371.31","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/tmr/tmr00745/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/tmr/tmr00745/r/29.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/tmr/tmr00745/r/24.jpg",
"Solaray, Thyroid Caps™, Freeze Dried, 60 VegCaps","₨4,101.71","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sor/sor05210/r/35.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sor/sor05210/r/43.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sor/sor05210/r/35.jpg",
"Forest Leaf, Grass Fed Beef Organs, 180 Capsules","₨10,482.07","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/frl/frl03168/r/8.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/frl/frl03168/r/14.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/frl/frl03168/r/8.jpg",
