name,price,img,Description
"California Gold Nutrition, Sport, Whey Protein Isolate, Unflavored, 1 lb (454 g)","₨8,094.26","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01064/r/134.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01064/r/139.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01064/r/122.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01064/r/125.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01064/r/102.jpg",
"Optimum Nutrition, Gold Standard® 100% Whey Protein, Double Rich Chocolate, 5.05 lb (2.29 kg)","₨29,792.76","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02866/r/100.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02866/r/106.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02866/r/100.jpg",
"iHerb Exclusive, Shaker Cup, 7 Piece Set",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/54.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/41.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/28.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ppv/ppv02584/r/40.jpg",
"Garden of Life, RAW Organic Protein, Unflavored, 1 lb 3.75 oz (560 g)","₨12,477.42","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/gol/gol11415/r/56.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/gol/gol11415/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/gol/gol11415/r/64.jpg",
"Optimum Nutrition, Gold Standard® 100% Whey Protein, Double Rich Chocolate, 1.98 lb (899 g)","₨16,896.76","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02861/r/69.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02861/r/75.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02861/r/69.jpg",
"Orgain, Organic Protein™ Powder, Creamy Chocolate Fudge, 2.03 lb (920 g)","₨12,838.66","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/oga/oga00317/r/30.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/oga/oga00317/r/36.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/oga/oga00317/r/30.jpg",
"SlimFast, Original, Meal Replacement Shake Mix, Strawberries & Cream, 12.83 oz (364 g)","₨4,364.20","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/slf/slf02639/r/24.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/slf/slf02639/r/27.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/slf/slf02639/r/24.jpg",
"Optimum Nutrition, Serious Mass™, Chocolate, 6 lb (2.72 kg)","₨21,585.55","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02299/r/55.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02299/r/61.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02299/r/55.jpg",
"Orgain, Organic Protein™ Powder, Plant Based, Vanilla Bean, 2.03 lb (920 g)","₨12,838.66","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/oga/oga00325/r/62.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/oga/oga00325/r/67.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/oga/oga00325/r/62.jpg",
"Dymatize, ISO100® Hydrolyzed, 100% Whey Protein Isolate, Gourmet Vanilla, 1.34 lb (610 g)","₨14,270.36","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dyz/dyz35820/r/40.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dyz/dyz35820/r/46.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dyz/dyz35820/r/40.jpg",
