name,price,img,Description
"California Gold Nutrition, Gold C™, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","₨1,633.88","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/r/230.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/r/235.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/r/221.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/r/239.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/r/180.jpg",
"California Gold Nutrition, CollagenUP®, Hydrolyzed Marine Collagen Peptides with Hyaluronic Acid and Vitamin C, Unflavored, 7.26 oz (206 g)","₨5,633.61","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01033/r/247.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01033/r/248.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01033/r/249.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01033/r/231.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01033/r/225.jpg",
"California Gold Nutrition, CollagenUP®, Hydrolyzed Marine Collagen Peptides with Hyaluronic Acid and Vitamin C, Unflavored, 1.02 lb (464 g)","₨11,860.30","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01032/r/273.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01032/r/274.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01032/r/265.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01032/r/270.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01032/r/258.jpg",
"California Gold Nutrition, Vitamin C Gummies, 250 mg, with Vitamin A from 100% Beta-Carotene, 90 Vegetarian Gummies",,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01092/r/226.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01092/r/232.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01092/r/234.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01092/r/235.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01092/r/193.jpg",
"NOW Foods, C-1000, 250 Tablets","₨6,287.39","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00682/r/23.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00682/r/29.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00682/r/33.jpg",
"NeoCell, Grassfed Collagen Peptides + Vitamin C & Biotin, 270 Tablets","₨6,816.76","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nel/nel13262/r/72.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nel/nel13262/r/77.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nel/nel13262/r/72.jpg",
"ChildLife Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118 ml)","₨2,555.64","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10200/r/117.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10200/r/122.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cdl/cdl10200/r/131.jpg",
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","₨5,268.21","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15411/r/145.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15411/r/150.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex15411/r/145.jpg",
"NOW Foods, C-1000, 100 Tablets","₨2,913.24","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00680/r/25.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00680/r/31.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Authenticity_Graphic2_2025_009en-us.jpg,https://cloudinary.images-iherb.com/image/upload/w_240/f_auto,q_auto:eco/images/cms/banners/dPDP_Fresh_Graphic2_2025_003en-us.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00680/r/35.jpg",
"California Gold Nutrition, Immune Complex 4, 60 Veggie Capsules","₨2,213.20","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02545/r/9.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02545/r/14.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02545/r/17.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02545/r/18.jpg,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02545/r/19.jpg",
