Name,Price,Image_URLs,Product_Link,scraped,Description
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","₨5,268.21",,https://pk.iherb.com/pr/life-extension-glutathione-cysteine-c-100-capsules/47798,True,
"Nutricost, L-Arginine & L-Citrulline, 120 Capsules","₨3,423.64",,https://pk.iherb.com/pr/nutricost-l-arginine-l-citrulline-120-capsules/129418,True,
"EVLution Nutrition, L-Arginine + L-Citrulline, 120 Veggie Capsules","₨4,091.07",,https://pk.iherb.com/pr/evlution-nutrition-l-arginine-l-citrulline-120-veggie-capsules/128623,True,
"Nutricost, L-Arginine + L-Citrulline, 240 Capsules","₨5,220.57",,https://pk.iherb.com/pr/nutricost-l-arginine-l-citrulline-240-capsules/124137,True,
"Thorne, Amino Complex, Berry, 8 oz (228 g)","₨14,164.96",,https://pk.iherb.com/pr/thorne-amino-complex-berry-8-oz-228-g/58567,True,
"NOW Foods, Sports, Amino Complete, 360 Veg Capsules","₨9,527.41",,https://pk.iherb.com/pr/now-foods-sports-amino-complete-360-veg-capsules/5421,True,
"NOW Foods, Sports, Arginine & Citrulline, 120 Veg Capsules","₨5,264.05",,https://pk.iherb.com/pr/now-foods-sports-arginine-citrulline-120-veg-capsules/16279,True,
"NOW Foods, Sports, Amino Complete, Amino Acids, 120 Veg Capsules","₨3,960.87",,https://pk.iherb.com/pr/now-foods-sports-amino-complete-amino-acids-120-veg-capsules/102334,True,
"EVLution Nutrition, L-Arginine+l-Citrulline, Unflavored, 5.29 oz (150 g)","₨4,860.03",,https://pk.iherb.com/pr/evlution-nutrition-l-arginine-l-citrulline-unflavored-5-29-oz-150-g/129861,True,
"NOW Foods, Sports, Arginine & Citrulline, 240 Veg Capsules","₨9,767.93",,https://pk.iherb.com/pr/now-foods-sports-arginine-citrulline-240-veg-capsules/78202,True,
"NOW Foods, Tri-Amino, 120 Capsules","₨5,112.57",,https://pk.iherb.com/pr/now-foods-tri-amino-120-capsules/840,True,
"21st Century, Daily Amino Acid, 120 Tablets","₨3,014.53",,https://pk.iherb.com/pr/21st-century-daily-amino-acid-120-tablets/43874,True,
"NOW Foods, True Calm, 90 Veg Capsules","₨3,926.18",,https://pk.iherb.com/pr/now-foods-true-calm-90-veg-capsules/841,True,
"Optimum Nutrition, Superior Amino 2222, 320 Tablets","₨15,327.06",,https://pk.iherb.com/pr/optimum-nutrition-superior-amino-2222-320-tablets/36135,True,
"Thorne, Amino Complex, Lemon, 8.1 oz (231 g)","₨14,164.96",,https://pk.iherb.com/pr/thorne-amino-complex-lemon-8-1-oz-231-g/71890,True,
"California Gold Nutrition, Cardio Complex with CardioAmino Blend, CardioPhyto Blend and Coenzyme Q10, 180 Veggie Capsules","₨10,722.59",,https://pk.iherb.com/pr/california-gold-nutrition-cardio-complex-with-cardioamino-blend-cardiophyto-blend-and-coenzyme-q10-180-veggie-capsules/107590,True,
"California Gold Nutrition, Rexdrive™ Amino with L-Arginine HCl, L-Citrulline, Acetyl-L-Carnitine Arginate DiHydrochloride, and Glycine Propionyl-L-Carnitine HCl, Men's Formula, 60 Veggie Capsules","₨5,486.51",,https://pk.iherb.com/pr/california-gold-nutrition-rexdrive-amino-with-l-arginine-hcl-l-citrulline-acetyl-l-carnitine-arginate-dihydrochloride-and-glycine-propionyl-l-carnitine-hcl-men-s-formula-60-veggie-capsules/137936,True,
"Universal U, Classic Series, 100% Beef Aminos, 400 Tablets","₨9,494.19",,https://pk.iherb.com/pr/universal-u-classic-series-100-beef-aminos-400-tablets/27250,True,
"Source Naturals, Proline & L-Lysine, 550 mg, 120 Tablets","₨5,130.14",,https://pk.iherb.com/pr/source-naturals-proline-l-lysine-550-mg-120-tablets/1387,True,
"California Gold Nutrition, Total Amino with Vitamin B-6, and 20 Amino Acid Blend, 240 Veggie Capsules","₨6,664.79",,https://pk.iherb.com/pr/california-gold-nutrition-total-amino-with-vitamin-b-6-and-20-amino-acid-blend-240-veggie-capsules/97001,True,
"NOW Foods, Sports, Arginine & Citrulline Powder, 12 oz (340 g)","₨7,693.48",,https://pk.iherb.com/pr/now-foods-sports-arginine-citrulline-powder-12-oz-340-g/85183,True,
"Life Extension, Branched Chain Amino Acids, Free Form, 90 Capsules","₨4,553.02",,https://pk.iherb.com/pr/life-extension-branched-chain-amino-acids-free-form-90-capsules/29815,True,
"Micro Ingredients, L Arginine + L-Citrulline, 240 Bisected Tablets","₨7,069.76",,https://pk.iherb.com/pr/micro-ingredients-l-arginine-l-citrulline-240-bisected-tablets/152156,True,
"MuscleTech, Cell-Tech™ Creatine, Fruit Punch, 3 lbs (1.36 kg)","₨12,582.18",,https://pk.iherb.com/pr/muscletech-cell-tech-creatine-fruit-punch-3-lbs-1-36-kg/65220,True,
"Nutricology, Free Aminos, 100 Vegicaps","₨12,514.31",,https://pk.iherb.com/pr/nutricology-free-aminos-100-vegicaps/18826,True,
"Solgar, Essential  Amino Complex, 90 Vegetable Capsules","₨7,383.66",,https://pk.iherb.com/pr/solgar-essential-amino-complex-90-vegetable-capsules/9819,True,
"Jarrow Formulas, Arginine-Citrulline Sustain, 120 Tablets","₨8,375.71",,https://pk.iherb.com/pr/jarrow-formulas-arginine-citrulline-sustain-120-tablets/79953,True,
"Source Naturals, L-Arginine L-Citrulline Complex, 1,000 mg, 240 Tablets","₨9,850.72",,https://pk.iherb.com/pr/source-naturals-l-arginine-l-citrulline-complex-1-000-mg-240-tablets/19144,True,
"Bluebonnet Nutrition, Amino Acid , 750 mg, 180 Vegetable Capsules","₨14,532.22",,https://pk.iherb.com/pr/bluebonnet-nutrition-amino-acid-750-mg-180-vegetable-capsules/11418,True,
"Thorne, Amino Complex, Berry, 30 Stick Packs, 0.27 oz (7.7 g) Each","₨15,610.36",,https://pk.iherb.com/pr/thorne-amino-complex-berry-30-stick-packs-0-27-oz-7-7-g-each/151230,True,
"KAL, Amino Acid Complex 1000, 100 Tablets","₨5,970.10",,https://pk.iherb.com/pr/kal-amino-acid-complex-1000-100-tablets/19522,True,
"Source Naturals, L-Arginine L-Citrulline Complex, 120 Tablets","₨5,769.82",,https://pk.iherb.com/pr/source-naturals-l-arginine-l-citrulline-complex-120-tablets/8103,True,
"NOW Foods, Sports, Amino-9 Essentials™ Powder, 11.64 oz (330 g)","₨9,182.83",,https://pk.iherb.com/pr/now-foods-sports-amino-9-essentials-powder-11-64-oz-330-g/23658,True,
"Kaged, Pre-Workout, Pink Lemonade, 1.22 lb (552 g)","₨13,577.84",,https://pk.iherb.com/pr/kaged-pre-workout-pink-lemonade-1-22-lb-552-g/102864,True,
"Best Naturals, L-Arginine, L-Citrulline Complex, 250 Tablets","₨7,273.27",,https://pk.iherb.com/pr/best-naturals-l-arginine-l-citrulline-complex-250-tablets/125060,True,
"Universal U, Classic Series, 100% Beef Aminos, 200 Tablets","₨6,118.74",,https://pk.iherb.com/pr/universal-u-classic-series-100-beef-aminos-200-tablets/67555,True,
"Swanson, L-Arginine & L-Ornithine, 100 Capsules","₨3,445.84",,https://pk.iherb.com/pr/swanson-l-arginine-l-ornithine-100-capsules/117764,True,
"RSP Nutrition, AminoLean, Energy, Pink Lemonade, 8.68 oz (246 g)","₨9,164.09",,https://pk.iherb.com/pr/rsp-nutrition-aminolean-energy-pink-lemonade-8-68-oz-246-g/102927,True,
"Michael's Health, Arginine Citrulline, 90 Tablets","₨6,716.39",,https://pk.iherb.com/pr/michael-s-health-arginine-citrulline-90-tablets/117170,True,
"Country Life, Max-Amino Caps with Vitamin B-6, 180 Vegetarian Capsules","₨9,256.19",,https://pk.iherb.com/pr/country-life-max-amino-caps-with-vitamin-b-6-180-vegetarian-capsules/1724,True,
"RSP Nutrition, AminoLean Energy, Blackberry Pomegranate, 8.84 oz (250.5 g)","₨9,164.09",,https://pk.iherb.com/pr/rsp-nutrition-aminolean-energy-blackberry-pomegranate-8-84-oz-250-5-g/77962,True,
"Gaspari Nutrition, AminoMax 8000®, 325 Tablets","₨11,542.19",,https://pk.iherb.com/pr/gaspari-nutrition-aminomax-8000-325-tablets/104465,True,
"Thorne, Amino Complex, Lemon, 30 Stick Packs, 0.28 oz (7.8 g) Each","₨15,610.36",,https://pk.iherb.com/pr/thorne-amino-complex-lemon-30-stick-packs-0-28-oz-7-8-g-each/151228,True,
"Trace, Stress-X, 120 Tablets","₨12,252.40",,https://pk.iherb.com/pr/trace-stress-x-120-tablets/23203,True,
"Super Nutrition, Leucine Enriched Essential Amino Acids with  L-Leucine, L-Lysine, L-Threonine, and L-Isoleucine, Unflavored, 10.58 oz (300 g)","₨11,142.33",,https://pk.iherb.com/pr/super-nutrition-leucine-enriched-essential-amino-acids-with-l-leucine-l-lysine-l-threonine-and-l-isoleucine-unflavored-10-58-oz-300-g/139732,True,
"Life Extension, Arginine Ornithine Powder, 5.29 oz (150 g)","₨5,463.63",,https://pk.iherb.com/pr/life-extension-arginine-ornithine-powder-5-29-oz-150-g/16385,True,
"Ageless Foundation Laboratories, UltraMax Gold, Advanced Rejuvenation Formula with Alphatrophin, Valencia Orange, 22 Packets, 0.61 oz (17.4 g) Each","₨16,975.52",,https://pk.iherb.com/pr/ageless-foundation-laboratories-ultramax-gold-advanced-rejuvenation-formula-with-alphatrophin-valencia-orange-22-packets-0-61-oz-17-4-g-each/5320,True,
"Source Naturals, Amino Day™, 120 Tablets","₨7,339.88",,https://pk.iherb.com/pr/source-naturals-amino-day-120-tablets/1030,True,
