Name,Price,Images,Details
"Angostura Aromatic Bitters, Cocktail Bitters for Professional & Home Mixologists, 4 FL oz",$16.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_abe1bf42-338b-450f-b58d-92182fd99c38.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ca1cb21-76e6-4090-82e2-15a648d6bb63.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_280414aa-9c0b-4d58-95b2-6d3e9a7c8164.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3da8131c-8ad4-4377-9ca0-895ad8431a95.jpg","ANGOSTURA Aromatic Bitters is an essential ingredient, adding harmonious balance to contemporary cocktails and spirit-free beverages as well as the classics like a Manhattan, Old Fashioned, Pink Gin, Sazerac and much more. Recognized as the world’s first and best-selling cocktail bitters, ANGOSTURA aromatic bitters is still made with the same secret recipe developed in 1824. It is reddish-brown in hue with an aromatic bouquet of herbs, fruits and spices on the nose, stemming from the essence’s powerful mix of botanicals. Used by professional bartenders and aspiring mixologists, aromatic bitters completes any cocktail bitters set. ANGOSTURA aromatic bitters is an artfully balanced, versatile and unique flavor enhancer that can be used in sweet and savory cocktails, baked goods and other food recipes."
Rose's Grenadine Syrup,$6.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5601e16-0053-4e4f-9b69-4df1c9113f0b.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c1b1fe6-810d-4059-9630-e6d07d5a037b.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e4e08c3e-8a89-4fd7-9aed-b0d15c3e6f3d.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4745940f-6e4a-4321-afdc-da2cad9c51e3.jpg","For over a century, the name Rose’s has been trusted by bartenders and cocktail enthusiasts alike as an indispensable mixer. The rich taste of Rose’s Grenadine is sweetened for ultimate mixability into your favorite spirits and cocktails. Rose’s Grenadine is also a perfect accent for non-alcoholic beverages to add a splash of color and flavor. When it comes to a quality mixer, there are no exceptions or substitutions for the trusted brand Rose’s."
Jose Cuervo Margarita Mix Classic Lime,$8.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_975243c3-fd60-4106-acd8-caa17439f9e3.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_baf31121-a39a-4850-bef7-c13a722f1be1.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_04df8793-23dd-483f-929a-6d0352b2e476.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e22b0d8-0692-40d9-b5e4-86695ef11266.jpg","Jose Cuervo® Classic Lime Margarita Mix has a tart lime flavor that fades into creamy lemon. On the rocks or frozen with crushed ice, it is the easiest way to enjoy America’s favorite cocktail - just add Cuervo® tequila and serve!"
"Zing Zang Bloody Mary Mix, Non-Alcoholic Cocktail Mixer",$5.64,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa86f317-26ce-4d0e-a312-0176ce8e6964.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_294572ce-1949-46a7-92fa-1a6975791a54.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba1e90a9-a68e-4448-807a-29c09180d175.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0bb7c6e2-3f05-460b-bd7d-388fb47eb9d7.png","When you want the best Bloody Mary, start with Zing Zang Bloody Mary Mix. What began as one man’s homemade recipe is now the number one Bloody Mary mix in America with a delicious and bold taste loved by bartenders and consumers alike. Crafted with real, premium ingredients, Zing Zang is made with tomato juice, a unique blend of seven vegetable juices (including celery, carrot, lettuce, parsley, spinach, watercress and beet), a complex array of bold spices, Worcestershire sauce and hot sauce. Simply add vodka to make a bartender-quality classic Bloody Mary, or add a different spirit or beer to create a savory cocktail, like a Bloody Maria or a michelada. It’s so good, you can even skip the alcohol and enjoy this non-alcoholic drink mixer as a spicy mocktail all by itself. This versatile cocktail mixer is even tasty as a cooking marinade or a base for soup and chili. Zing Zang’s other award-winning, premium-quality cocktail mixes made with all-natural ingredients include Piña Colada, Sweet & Sour and several Margarita Mixes. Kick off the good times with a taste that makes every sip legendary. Zing Zang is always bold and always ready., • WHAT YOU GET: One 32 fl oz bottle of Zing Zang Bloody Mary Mix, non-alcoholic drink mix, • AMERICA’S FAVORITE: Award-winning and best-selling Bloody Mary cocktail mix in America with a taste trusted by both bartenders and consumers, • AUTHENTIC RECIPE: Crafted with tomato juice, a unique seven vegetable juice blend, a complex array of bold spices, Worcestershire sauce and hot sauce, • REAL INGREDIENTS: Does not contain high fructose corn syrup, artificial colors or artificial flavors, and is keto friendly with no added sugars, • JUST ADD ALCOHOL: Add vodka for the perfect Bloody Mary, or use your favorite spirit or beer to create bartender-quality cocktails, • BOLD AND DELICIOUS: Great taste for mocktails, and also tasty as a cooking ingredient in marinades, soups or chili recipes, • CONVENIENT PACKAGING: Easy to open, pour and store, the 32 fl oz bottle is perfect for a party, tailgate or to keep the home pantry stocked, • AWARD-WINNING PORTFOLIO: Enjoy other great-tasting Zing Zang cocktail mixers, including Piña Colada, Sweet & Sour, Daiquiri and Margarita Mix varieties"
Tres Agaves Organic Lime Margarita Mix,$10.99,https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_228557b8-df30-42b9-a536-944ed566c449.jpeg,"Tres Agaves Organic Lime Margarita Mix makes it easy to create real, organic margaritas at home. This USDA Certified Organic, gluten free, low calorie, low glycemic index mix is made with just four simple ingredients: organic agave nectar, organic lime juice, pure filtered water, and Vitamin C. With 68 calories per serving, this margarita mix creates a natural, lower calorie and great tasting margarita that's free from high fructose corn syrup. With just the right balance of sweet and sour, this organic margarita mix perfectly complements the unique flavor profile of Tres Agaves Tequila. Tres Agaves Organic Lime Margarita Mix won Gold in the Beverage Tasting Institute’s 90-point Award for Excellence. Simply shake this margarita mix with Tres Agaves Organic 100% de Agave Tequila and serve in your favorite rocks glass. This bottle of margarita mixer does not contain alcohol. Refrigerate the bottle after opening. In Tequila Valley, we trust., • Contains simple, easy to pronounce ingredients, including organic agave nectar, lime juice, pure filtered water and vitamin C, • Tres Agaves organic margarita mix is USDA Certified Organic, gluten free, low calorie, low glycemic index and naturally delicious, • Gold winner of Beverage Tasting Institute’s 90-point Award for Excellence, • Pair this margarita with tacos, burrito bowls, enchiladas or chips and salsa, • One 1L bottle of Tres Agaves Organic Lime Margarita Mix, contains only 68 calories per serving"
"Zing Zang Bloody Mary Mix, Non-Alcoholic Cocktail Mixer",$9.43,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a9bac302-eee0-4c0e-801f-57551dff0d43.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bbff9eac-5896-4a8c-aaaf-6db0744760cc.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13a3b21c-f177-4f72-a62e-5d13ee9367b6.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_64033d5e-16cf-4d1c-80b3-a8569c8114e8.png","When you want the best Bloody Mary, start with Zing Zang Bloody Mary Mix. What began as one man’s homemade recipe is now the number one Bloody Mary mix in America with a delicious and bold taste loved by bartenders and consumers alike. Zing Zang is made with tomato juice, seven vegetable juices (including celery, carrot, lettuce, parsley, spinach, watercress and beet), a complex array of bold spices, Worcestershire sauce and hot sauce. Simply add vodka to make a bartender-quality classic Bloody Mary, or add a different spirit or beer to create a savory cocktail, like a Bloody Maria or a michelada. It’s so good, you can even skip the alcohol and enjoy this non-alcoholic drink mixer as a spicy mocktail all by itself. This versatile cocktail mixer is even tasty as a cooking marinade or a base for soup and chili. Zing Zang’s other award-winning, premium-quality cocktail mixes made with all-natural ingredients include Piña Colada, Sweet & Sour and several Margarita Mixes. Kick off the good times with a taste that makes every sip legendary. Zing Zang is always bold and always ready., • WHAT YOU GET: One 1.75L bottle of Zing Zang Bloody Mary Mix, non-alcoholic drink mix, • AMERICA’S FAVORITE: Award-winning and best-selling Bloody Mary cocktail mix in America with a taste trusted by both bartenders and consumers, • AUTHENTIC RECIPE: Crafted with tomato juice, a unique seven vegetable juice blend, a complex array of bold spices, Worcestershire sauce and hot sauce, • REAL INGREDIENTS: Does not contain high fructose corn syrup, artificial colors or artificial flavors, and is keto friendly with no added sugars, • JUST ADD ALCOHOL: Add vodka for the perfect Bloody Mary, or use your favorite spirit or beer to create bartender-quality cocktails, • BOLD AND DELICIOUS: Great taste for mocktails, and also tasty as a cooking ingredient in marinades, soups or chili recipes, • CONVENIENT PACKAGING: Easy to open, pour and store, the 1.75L bottle is perfect for a party, tailgate or to keep the home pantry stocked, • AWARD-WINNING PORTFOLIO: Enjoy other great-tasting Zing Zang cocktail mixers, including Piña Colada, Sweet & Sour, Daiquiri and Margarita Mix varieties"
"Angostura Orange Bitters, Cocktail Bitters for Professional and Home Mixologists, 4 FL oz",$9.87,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_704e8054-5afa-4bda-a1b7-31bbd1fedd44.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e55127c-5d4e-41af-af4b-19a12defeeae.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e06b2ab5-a06d-426d-91dd-d5943125ddf1.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_169737b8-a945-4829-8c84-e5f60add6f79.jpg","ANGOSTURA Orange Cocktail Bitters is known as the essential ingredient in some of the world’s most famous and best loved cocktails. ANGOSTURA brings depth and unparalleled flavor to cocktails, mocktails, and culinary innovations. Made from premium, high quality ingredients, including citrus oils from tropical oranges and an array of unique local herbs and spices, ANGOSTURA orange bitters is versatile bitters that provides a bold flavor boost. Made with its own secret recipe, our orange bitters are a flavorful and essential addition to any cocktail bitters set. Use bitters for cocktails, like a Martini, Old Fashioned, or Negroni; in place of orange extract in baked goods or in main dishes for a splash of citrus flavor. ANGOSTURA bitters elevate classic and modern cocktails with a superior flavor profile."
Master of Mixes Cocktail Essentials Simple Syrup,$5.99,https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ca61b75-4596-4634-a615-6769f78ea8bc.png,"From 100% cane sugar. Truly premium. Simple Syrup is an essential ingredient in may of the most classic cocktails, such as daiquiris, mojitos, Tom Collins, and more! Its uses far outnumber its ingredients including sweetening cocktails, desserts, tea, lemonade and coffee. www.masterofmixes.com."
Torani Salted Caramel Syrup,$7.99,https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4cc51a0-367c-4d6d-95eb-675d4b5bfe7b.png,"Rich buttery caramel kicks things off. And just when you thought that was it, a touch of saltiness appears, and the ride continues. Hop on and enjoy. Bring the exciting flavor of salted caramel to your drinks with this Torani Salted Caramel Coffee Syrup. This flavor syrup will authentically enhance the taste of your drinks without being too strong or too sweet. This Torani coffee flavoring syrup simply delivers rich buttery caramel flavor with a pinch of salt into your favorite drinks and desserts. Bring creamy caramel flavor with a hint of salt to any drink. You can use this flavor for hot and iced coffee- and espresso-based beverages, as well as dessert cocktails and shakes. Made with pure cane sugar, natural flavors and cold-filtered water, Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of syrups to create unique custom flavors: This syrup is specially formulated to resist curdling in milk, so it's perfect for specialty coffee drinks like espresso-based drinks, coffee, or tea. This salted caramel syrup pairs well with flavors like brown sugar cinnamon, pumpkin, and maple. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the taste of rich, buttery caramel in this premium flavored syrup. Bold and aromatic, this syrup perfectly captures the flavor of salted caramel. Made with natural flavors, pure cane sugar, and cold filtered water. The warm brown hue captures the essence of salted caramel, Use in hot and iced coffee- and espresso-based beverages as well as dessert cocktails, shakes, and more. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Proudly created and produced in San Francisco, California USA"
Master of Mixes Margarita Salt,$2.39,https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_137ce005-356b-47b4-b2b0-92155b6c281b.jpeg,www.masterofmixes.com. Perfect for all margaritas! Elevate your spirits.
