Name,Price,Images,Details
High Noon Vodka Seltzer Variety 8 Pack,$22.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_516e2a5c-eae9-4fd0-af29-2f7fbc313576.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e845ad0-8186-4f6e-b7c0-fe929bec6a1a.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1bc783d-ec23-49dc-8add-e803e37c10af.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f6beb2f5-affd-4d51-9c98-13dc4a68e7e0.jpg","Live like the sun's out with High Noon Vodka Seltzer Variety 8 Pack. Made with real vodka & real juice, sparkling water and natural flavors, this gluten free hard seltzer has 100 calories and no added sugar. Each variety pack contains two cans each of Watermelon, Black Cherry, Grapefruit and Pineapple vodka seltzer. Just toss these cans in the cooler or the fridge for convenient drinks during your next sunny adventure. High Noon Vodka Seltzer is the perfect complement to an impromptu pool party or a backyard barbecue. Each can has 4.5% alcohol by volume. In addition to an 8-count mixed pack, High Noon hard seltzers are also available in a 12-count variety pack."
High Noon Tropical Pack Vodka Hard Seltzer Variety 8 Pack,$22.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49a7de20-4e57-4e5e-80aa-8541793ff068.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ca88ed6-52ec-40e5-8676-1cb9af3b1127.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_70a4afe3-601e-4538-b143-52ce9d38b2a0.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9f684de-9794-4172-b335-c730e1893dbb.jpg","High Noon Tropical Variety Pack takes you and your friends for an afternoon of island-hopping. Tropical 8 Pack includes: 2 Watermelon, 2 Mango, 2 Passionfruit and 2 Pineapple cans. Take a sip and find out why High Noon has been rated the best tasting Hard Seltzer. Best served and enjoyed chilled."
Tito's Handmade Handmade Vodka,$21.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75985267-7746-4f17-b6cc-70d66a8645dc.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08cb22a5-cdfd-4302-aeca-ef313f99ede4.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ebdac60f-28d9-4ccc-910c-23c545973998.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_71089354-4454-43b5-878d-d730c559573b.jpg","Tito’s Handmade Vodka is America's Original Craft Vodka produced in Austin, Texas. Tito’s is known for its high-quality product, charitable giving, and goal to make people happy while making the world a better place. Tito’s is crafted in old-fashioned pot stills with each batch taste-tested. Exceptionally smooth with an impeccably clean finish, our unflavored, low-calorie vodka is six times distilled, made from corn, and naturally gluten-free with no carbs or sugar*. From a Bloody Mary at brunch, a Transfusion on the golf course, or a simple Tito’s and soda with friends, make every occasion a celebration with Tito’s!, Tito’s Handmade Vodka turns spirits into love and goodness with Love, Tito’s, the philanthropic heart of the company, supporting thousands of nonprofit organizations across the U.S. — and around the world — amplifying their missions of disaster relief and response, community building, animal welfare, veteran services, and so much more., Available in Liter, 1.75L, 750mL, 375mL, 200mL, 100mL, and 50mL sizes. For more information, visit titosvodka.com., *(Average Analysis per 1.5 oz Tito’s Handmade Vodka: 98 calories, Carbohydrates 0 grams, Protein 0 grams, Fat 0 grams, Sugar 0 grams)"
Tito's Handmade Handmade Vodka,$33.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5bb1f370-f1f9-4588-9661-210f21c0bb56.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f514560d-d897-496c-9639-65da84e002f0.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_64ede0b9-bcf6-4151-9a04-89abfc2a5f1a.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_86bb661d-4bf5-4ad2-8632-e42e8c82eb55.jpg","Tito’s Handmade Vodka is America's Original Craft Vodka produced in Austin, Texas. Tito’s is known for its high-quality product, charitable giving, and goal to make people happy while making the world a better place. Tito’s is crafted in old-fashioned pot stills with each batch taste-tested. Exceptionally smooth with an impeccably clean finish, our unflavored, low-calorie vodka is six times distilled, made from corn, and naturally gluten-free with no carbs or sugar*. From a Bloody Mary at brunch, a Transfusion on the golf course, or a simple Tito’s and soda with friends, make every occasion a celebration with Tito’s!, Tito’s Handmade Vodka turns spirits into love and goodness with Love, Tito’s, the philanthropic heart of the company, supporting thousands of nonprofit organizations across the U.S. — and around the world — amplifying their missions of disaster relief and response, community building, animal welfare, veteran services, and so much more., Available in Liter, 1.75L, 750mL, 375mL, 200mL, 100mL, and 50mL sizes. For more information, visit titosvodka.com., *(Average Analysis per 1.5 oz Tito’s Handmade Vodka: 98 calories, Carbohydrates 0 grams, Protein 0 grams, Fat 0 grams, Sugar 0 grams)"
"NUTRL Vodka Hard Seltzer, Real Fruit Juice Variety Pack, Gluten Free, 8 Pack, 12 Fl Oz Slim Cans",$17.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a17a06e9-729a-4acb-a410-b5202f9da449.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ffc11a3c-128b-4fe6-a06d-6c11115021a0.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_578e9125-5a8c-496a-82f9-992a7556abc6.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43ce7125-2929-4f92-92a1-456d61540d52.jpg","NUTRL Real Fruit Juice Vodka Seltzer is an easy-to-drink hard seltzer that combines vodka with a deliciously fruity twist. This spiked seltzer variety pack includes flavored hard seltzers of watermelon seltzer, orange seltzer, cherry seltzer and pineapple seltzer. These alcoholic beverages are made with refreshingly simple, tasty and uncomplicated ingredients like vodka, seltzer water, and real fruit juice. They're that simple and even more refreshing. NUTRL Vodka Seltzer fruit drinks are gluten free with natural flavors, no added sugar, and 100 calories. These gluten free alcohol drinks have a 4.5% ABV and can be enjoyed cold or over ice right out of the can. No matter how you prefer them, these sugar free drinks are downright delicious, and the slim cans of NUTRL seltzer are easy to hold, store and transport wherever the party goes, whether you need crisp alcohol beverages or simple zero sugar drinks that can be enjoyed year-round, no matter the season. Real Vodka. Real Juice. Enjoy NUTRL Responsibly."
Jameson Original Irish Whiskey,$23.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b2bbde0-b597-412b-ab44-5f88240d9dd0.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2ea5719-e379-4aa5-b420-8459f177f1d9.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cedc2ca1-b9af-4387-9df9-0a67af1b9c60.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a20478a-bcb4-4672-b44a-5f24e0782b59.jpg","Jameson Irish Whiskey is a triple-distilled blended Irish whiskey made from the best-of-pot still and fine grain whiskeys. Jameson uses carefully selected ingredients like locally sourced barley from Ireland and water from the Dungourney River that flows right through its distillery. To achieve a signature smoothness, it's made with triple distilled Jameson Whiskey. This tradition began in 1780 and we continue this legacy. Next, it's aged in oak casks for a minimum of four years to achieve a classic Irish whiskey taste. This one-of-a-kind whiskey showcases the perfect balance of spicy, nutty and vanilla notes; hints of sweet sherry; and a smooth, lingering finish. Enjoy this liquor neat, on the rocks, or in classic cocktails and alcohol drinks like a Whiskey Sour or an Old Fashioned. You’ll taste the care and craftsmanship Jameson puts into its whiskeys from grain to glass, so live “without fear” or “Sine Metu,” as it proudly says on the label. Drink Responsibly., BLENDED IRISH WHISKEY: Crafted from the best pot still and fine grain whiskeys to create a one-of-a-kind blend, INCLUDES: One 750 mL bottle of Jameson Irish Whiskey; 80 proof or 40% alcohol by volume; Drink responsibly, SERVE IT YOUR WAY: Enjoy this alcohol neat; on the rocks; with a splash of water; or in a Jameson, Ginger & Lime cocktail, FLAVOR AND AROMA: Distinct flavor with spicy, nutty, vanilla notes, and hints of sweet sherry, balanced with a light floral fragrance, SIGNATURE DISTILLATION PROCESS: This Jameson Whiskey is triple distilled for its signature smoothness"
Patrón® Silver Tequila 100% De Agave,$62.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ac81f73-8f9b-42f6-b789-c5680fde03cb.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_79d7717a-8e39-4deb-87a0-65b542c1a871.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66fc3b2e-ad34-4c7d-b5ec-14c0d2bc4659.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_95c53c18-1f8e-43d7-a77d-cdc6e788110d.jpg","PATRON Silver Tequila is passionately handcrafted in Jalisco, Mexico using a few natural ingredients and offers the perfect balance of fresh agave flavor and undertones. Made from the finest 100% Weber Blue Agave and meticulously crafted in small batches, PATRON Silver Tequila is smooth and sweet, delivering an aroma of fruits and citrus, followed by a light peppery finish for a spirit that is as remarkable in quality as it is in taste. PATRON Silver is versatile, easy to be mixed, and enjoyed from the very first sip. When you want to show off your mixology skills, make PATRON Silver the ultimate spirit of choice to enjoy in an array of classic alcohol drinks like a Margarita, Mojito, Cosmo, Martini or Tequila Sunrise cocktail. At 40% alcohol by volume, the clear color of this exceptional tequila blanco is followed by its unique flavor that helps create a superior taste. PATRON tequila is passionately handcrafted by our familia of bold innovators who maintain a tireless dedication to achieve perfection in every drop. This unshakable confidence is embedded in the heart and soul of PATRON and leads to the 100% natural, simply perfect tequila that is PATRON Silver. Please Drink Responsibly., • One 750 ml bottle of Patron Silver Tequila, • Silver tequila that is passionately handcrafted from the finest 100% Weber Blue Agave and carefully distilled in small batches in Jalisco, Mexico, • Made from using only natural ingredients—water, agave, yeast—delivering a smooth and sweet taste, fresh agave, and hints of citrus, • The unique flavor of this tequila liquor is created through a three-day fermentation period and then is distilled, • PATRON Silver Tequila spirits are 40% alcohol by volume"
High Noon Tequila Hard Seltzer Variety 8 Pack,$26.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_821bff99-96a8-4d99-ac37-9d3cc77dac12.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bd02b928-4c65-4314-b0bf-d8233ad3df42.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_834b0be6-9145-41db-9cf1-5aef48bb3ff2.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f9f80d29-0591-46e1-962c-c04a37a24e90.jpg","Tequila lovers rejoice! High Noon’s sun will shine even brighter with the release of High Noon Tequila seltzer, made with real blanco tequila & real juice, sparkling water and natural flavors. Each High Noon Tequila Hard Seltzer flavor, Lime, Strawberry, Passionfruit, and Grapefruit, has fresh fruit flavors with a hint of sweetness, layered with Silver Tequila, and a sparkling finish. No sugar added, 100 calories, and gluten free hard seltzer."
Absolut Original Vodka,$22.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f9be6265-ed60-4fe7-8eac-0e3e12525c92.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08c9ecd8-870b-49ea-b090-2ba8247d1f82.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cedde9e7-2793-47b7-adcf-a50b1a484454.jpg, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b6b1550-2304-414c-b4ff-2cbeef891e48.jpg","Absolut Vodka is a rich, full-bodied vodka that blends beautifully with other aromas, making it perfect for enhancing the taste of your favorite drinks and cocktails. This premium vodka is crafted with quality ingredients like Swedish water and winter wheat grown in the fields of Ahus, Sweden, and delivers hints of dried fruit, caramel and vanilla with a fresh and fruity finish. Produced at the famous old distilleries near Ahus with more than 400 years of Swedish tradition, Absolut Vodka is sustainably crafted in an energy-efficient CO2-neutral distillery using a continuous distillation method to help achieve optimum purity. Enjoy this liquor neat or in a variety of alcohol drinks like a Vodka Soda, Vodka Martini or Bloody Mary. As one of the most famous vodkas in the world, Absolut continues to be a staple for your everyday get togethers and special moments with friends and family. Enjoy and Drink Responsibly., ICONIC VODKA: Swedish vodka with a bold and unique flavor that is versatile and perfect for mixing, INCLUDES: One 750 mL bottle of Absolut Original Vodka; 80 proof or 40% alcohol by volume; Enjoy and drink responsibly, BORN TO MIX: The hero in classic cocktails and alcohol drinks, from the Cosmopolitan and Espresso Martini to the Vodka Cranberry or Vodka Soda Cocktail, CRAFTED LOCALLY: Crafted with quality, local ingredients like Swedish water and winter wheat with no added sugar, EXPERTLY DISTILLED: Premium zero sugar alcohol distilled multiple times to help deliver a rich but clean taste and an exceptionally smooth mouthfeel"
Maker's Mark Bourbon Whisky,$29.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b0547df7-e136-49dd-bb01-b3f3c1aee929.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bae20b8f-872f-462f-bd0b-259645b79df8.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d4b20e7-5e7c-413f-b123-7f7d4e23fc2b.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eaeeab01-3175-4d8a-8517-58a2a0de7b08.png","If you're looking for a smooth, sweet and easy-to-drink whisky, you've found it. Maker's Mark Classic Bourbon was carefully developed by sixth-generation distiller Bill Samuels Sr. to be just that. Still made to his unique recipe, this full-flavored bourbon is subtly woody with flavors of vanilla, caramel and fruit. It's easy to drink neat, and can pull its weight in a cocktail. Mix it with ginger ale and lime for an effortless long drink. This one literally changed the way we think about bourbon, all because one man changed the way he thought about making it. Bill Samuels, Sr., wanted a whisky he would enjoy drinking. Never bitter or sharp, Maker's Mark is made with soft red winter wheat, instead of rye, for a one-of-a-kind, full-flavored bourbon that's approachably smooth. To ensure consistency, we still rotate every barrel by hand and age our bourbon to taste, not time. Just like Bill would have wanted. Once it's ready it's bottled at 90 proof, hand-dipped in our signature red wax. Just think of it as our seal of approval. Since its establishment, Maker's Mark has continually impressed critics, winning double gold at the San Francisco World Spirits Competition in 2020 and 2021., • Carefully sourced red winter wheat gives Maker's a unique sweetness, • Years of aging in new, seared American oak barrels adds tons of flavor, • Each bottle is still hand-dipped in our instantly recognizable red wax, • Every drop is crafted at Star Hill Farm, Loretto, Kentucky, • 2021 San Francisco World Spirits Competition Double Gold, • Delicious in a glass by itself, over ice or in your favorite cocktail."
New Amsterdam 80 PR Vodka,$13.99,"https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0d13640-afd2-40d9-8ab1-488f5d01bf05.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0f8b53b7-1854-4489-ba8b-c0aa9fbf4151.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_927ddd1c-9d4b-4f10-ad04-4035b89f39f4.png, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_856dd7dc-2c01-4c51-8bf9-7d18ff3470eb.png","New Amsterdam Vodka is five times distilled and three times filtered for a clean, crisp taste. This classic, award-winning vodka uses the finest grains, going through a unique distillation process to deliver unmatched smoothness in every sip. Ideal for a night out on the town, or a night in with your friends, New Amsterdam is perfect mixed into your favorite cocktails, and pairs well with home court wins, all your favorite people in one room, and unforgettable nights. Because here at New Amsterdam Vodka, we know that everyday wins feel like absolute triumphs when they happen with your crew."
