Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free
Corona Extra Beer 12 Pack Bottles,$18.99,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3abffbc-d19e-457b-b2f5-2f91a60afd1d.png 4x,"Corona Extra Mexican Beer is an even-keeled, light bodied, imported beer with fruity-honey aromas and a touch of malt. Brewed in Mexico since 1925, this bottled beer's flavor is refreshing, crisp, and well-balanced between hops and malt. Made from the finest-quality blend of filtered water, malted barley, hops, corn, and yeast, Corona Extra Beer has a refreshing, smooth taste that offers the perfect balance between heavier European import beer and lighter domestic beer. A Mexican lager style beer in 12 oz beer bottles, this Corona bottled beer 12 pack will keep the fridge stocked longer. Corona Extra cerveza is a great summer beer; enjoy it with friends at your next barbecue, beach day, tailgate, or evening get-together. A smooth-drinking beer, Corona Extra contains 148 calories* and 4.6% alcohol by volume. *Per 12 fl. oz. serving of average analysis: Calories 148, Carbs 13.9 grams, Protein 1.2 grams, Fat 0 grams. Relax responsibly®. Corona Extra® Beer. Imported by Crown Imports, Chicago, IL,• 12 pack of 12 fl oz bottles of Corona Extra Mexican Beer,• Even-keeled Corona beer with fruity-honey aromas,• Mexican import beer that pairs well with all types of food,• Mexican lager style light bodied beer with a refreshing, crisp, and well-balanced flavor,• Pilsner-style lager beer from Mexico with a golden hue","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Modelo Especial 12 Pack Cans,$18.49,$18.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46929582-b2b1-46b8-b0fa-d2375f4480ac.png 4x,"Full-Time Fans, this is our beer. Modelo Especial Mexican Beer is a rich, full-flavored pilsner beer that’s cheer-ready and perfect for game day. This lager beer's golden hue is complemented by its smooth notes of orange blossom honey and hint of herb. A light-hop character, tantalizing sweetness, and a crisp, clean finish make this smooth-drinking beer perfect for sharing with friends as your team takes the field. This imported beer 12 pack is also the ultimate way to tailgate like a Full-Time Fan. Pair this 143-calorie* import beer in 12 oz cans with game day apps such as wings, nachos, and sliders for a perfect match-up. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. *Per 12 fl. oz. serving of average analysis: Calories 143, Carbs 13.6 grams, Protein 1.1 grams, Fat 0 grams. Drink responsibly. Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL,• 12 pack of 12 fl oz cans of Modelo Especial Mexican Import Beer,• Mexican pilsner beer with smooth, full-flavored notes that’s perfect for cheering on your team,• Modelo cerveza that pairs well with game day apps such as wings, nachos, and sliders,• Cheer-ready balanced lager with a golden hue and a crisp, clean finish,• Import beer made in Mexico, made for game day","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Michelob Ultra Beer 12 Pack Cans,,$15.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_490e80d2-7031-448d-bce9-e1a59f54c001.png 4x,"Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish. Not only is this American beer made with no artificial colors or flavors, but it has just 95 calories and 2.6 grams of carbs per serving; by drinking Michelob ULTRA, you can enjoy a cold beer without compromising your active lifestyle. Enjoy these slim cans of beer during dinner, social gatherings or get-togethers that call for refreshing drinks. The handle on this twelve pack of Michelob Ultra beer cans makes it easy to transport with you anywhere.,12 pack of 12 fl oz cans of Michelob ULTRA Light Beer,Light beer perfect for those living active and balanced lifestyles,Crisp light lager beer with a refreshing finish,Made with barley, hops, yeast and water and without artificial flavors or colors in every case of beer,Michelob light beer contains 95 calories and 2.6 g of carbs per serving, and has a 4.2% ABV",,See above for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Modelo Especial 12 Pack Bottles,$18.99,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_85f72f29-97be-4003-9362-865c0faa690b.png 4x,"Full-Time Fans, this is our beer. Modelo Especial Mexican Beer is a rich, full-flavored pilsner beer that’s cheer-ready and perfect for game day. This lager beer's golden hue is complemented by its smooth notes of orange blossom honey and hint of herb. A light-hop character, tantalizing sweetness, and a crisp, clean finish make this smooth-drinking beer perfect for sharing with friends as your team takes the field. This imported beer 12 pack is also the ultimate way to tailgate like a Full-Time Fan. Pair this 143-calorie* import beer in 12 oz bottles with game day apps such as wings, nachos, and sliders for a perfect match-up. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. *Per 12 fl. oz. serving of average analysis: Calories 143, Carbs 13.6 grams, Protein 1.1 grams, Fat 0 grams. Drink responsibly. Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL,• 12 pack of 12 fl oz bottles of Modelo Especial Mexican Import Beer,• Mexican pilsner beer with smooth, full-flavored notes that’s perfect for cheering on your team,• Modelo cerveza that pairs well with game day apps such as wings, nachos, and sliders,• Cheer-ready balanced lager with a golden hue and a crisp, clean finish,• Import beer made in Mexico, made for game day","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Coors Light 12 Pack Cans,$13.99,$14.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e0879481-1d28-4e6f-8e78-5f7b175ef4a8.png 4x,"Crisp, clean and refreshing, Coors Light is an American-style light lager beer. This light beer has 4.2% ABV, 102 calories and 5 grams of carbs per 12-ounce serving. Full of Rocky Mountain refreshment, this light-calorie beer provides a light body with clean malt notes and low bitterness. Share this 12-pack of beer with friends and family all year long when you’re in need of refreshing drinks. Not only is Coors Light golden beer crafted with pure water, lager yeast, two-row barley malt, and four hop varieties, but it's cold lagered, cold filtered, and cold packaged to deliver an unforgettable beer-drinking experience. A case of Coors Light beer cans makes for great party drinks or for tailgating, barbecues, and any holiday that calls for beer. Coors Light American Lager takes pride in its process and ingredients that make it The World’s Most Refreshing Beer.,•You'll get twelve 12-ounce beer cans of Coors Light Beer, American Light Lager Beer,•Crisp, clean and refreshing American style light beer with a 4.2% ABV,•Light lager beer with a light body, malty notes and low bitterness,•American beer with 102 calories and 5 g of carbs per 12 fl oz serving,•Pick up an 12-pack of Coors beer to take to the tailgate, BBQ, camping trip, or any gathering with friends,•Makes a great party beer and is perfect to enjoy during holidays or while watching sports,•Single can makes it easy to bring refreshing drinks anywhere you need","Water, Barley Malt, Corn Syrup (dextrose), Yeast, Hop Extract.",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
White Claw Flavor #1 Hard Seltzer Variety 12 Pack Cans,,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dc126005-a08e-461b-b2a4-d9d037b2c5ad.png 4x,"Discover a wave of pure, crisp taste refreshment with White Claw® Hard Seltzer Variety Pack No.1. Crafted with quality ingredients, White Claw® Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavor. The original Variety Pack No.1 includes four refreshing flavors for everyone to enjoy with sweet Black Cherry, tropical Pineapple, ripe Raspberry, and zesty Natural Lime. Each 12oz can contains 100 calories, 5% alcohol, and 2g carbs, making them perfect to share in your best moments. They’re a great choice for backyard barbecues, sitting on the patio or porch, or entertaining family and friends at home. Please drink responsibly. 21+.,• White Claw® Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavor,• Variety Pack with twelve (12) 12oz cans of White Claw® Hard Seltzer,• Four (4) refreshing flavors: Sweet Black Cherry, tropical Pineapple, ripe Raspberry, and zesty Natural Lime,• Each 12oz can contains 100 calories, 5% alcohol, 2g carbs,• 100 Calories,• 5% Alcohol,• 2g Carbs,• Gluten Free","Natural Lime Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Lime Juice Concentrate, Sodium Citrate, Black Cherry Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Cherry Juice Concentrate, Sodium Citrate, Ruby Grapefruit Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Grapefruit Juice Concentrate, Sodium Citrate, Raspberry Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Raspberry Juice Concentrate, Sodium Citrate",,Contains alcohol,Gluten Free,,
"Bud Light American Lager Beer 12 Pack, 12 fl oz Cans",$18.59,$21.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6b6e47c1-3ddc-49f5-ae73-e8874a8b2cf6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d95308c1-fcca-4fc6-a0fd-a6d49fb0d37d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0347665b-19a9-4135-9af0-a5e5c806d97d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dab5f563-f72e-4de8-82ff-b094d7a54d5c.jpg 4x","Bud Light is a premium beer with incredible drinkability that has made it a top selling American beer that everybody knows and loves. This light beer is brewed using a combination of barley malts, rice and a blend of premium aroma hop varieties. Featuring a fresh, clean taste with subtle hop aromas, this light lager delivers ultimate refreshment with its delicate malt sweetness and crisp finish. Bud Light is made with no preservatives or artificial flavors. Grab this pack of beer cans when you're in charge of providing party drinks, are in need of cold beer for a tailgate or simply want to keep a pack in your fridge so you're ready when Bud Light calls your name.","Water, Barley, Rice, Hops",See below for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Modelo Especial 6 Pack Bottles,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_97476b68-1c43-4a84-a6fb-e0d2de2a62b8.png 4x,"Full-Time Fans, this is our beer. Modelo Especial Mexican Beer is a rich, full-flavored pilsner beer that’s cheer-ready and perfect for game day. This lager beer's golden hue is complemented by its smooth notes of orange blossom honey and hint of herb. A light-hop character, tantalizing sweetness, and a crisp, clean finish make this smooth-drinking beer perfect for sharing with friends as your team takes the field. This imported beer 6 pack is also the ultimate way to tailgate like a Full-Time Fan. Pair this 143-calorie* import beer in 12 oz bottles with game day apps such as wings, nachos, and sliders for a perfect match-up. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. *Per 12 fl. oz. serving of average analysis: Calories 143, Carbs 13.6 grams, Protein 1.1 grams, Fat 0 grams. Drink responsibly. Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL,• 6 pack of 12 fl oz bottles of Modelo Especial Mexican Import Beer,• Mexican pilsner beer with smooth, full-flavored notes that’s perfect for cheering on your team,• Modelo cerveza that pairs well with game day apps such as wings, nachos, and sliders,• Cheer-ready balanced lager with a golden hue and a crisp, clean finish,• Import beer made in Mexico, made for game day","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Heineken Lager Beer 12 Pack Bottles,,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_960c7134-04c3-4ff3-bb50-ca6f9319effd.png 4x,"Heineken Original Netherlands Lager Import Beer, 12 Pack, 12 fl oz Bottles, Heineken is a premium imported lager beer contains 142 calories per serving – 5% ABV, Heineken beer was first brewed in 1873, Imported from Holland, In a 12-ounce can or bottle, Heineken beer is made with three main ingredients: malted barley, hop extract and water, Slightly bitter beer brewed with our signature Heineken beer A-Yeast® , Mild bitter taste and a balanced hop aroma, Enjoy responsibly , Smooth, nicely blended bitterness, clean lager beer finish. For over 150 years, Heineken® has made a ceaseless commitment to premium taste and quality have made Heineken® the most iconic beer brand in the world. When you see the red star on the green bottle, you know every ice-cold, crisp sip will deliver that richly satisfying flavor with subtle fruity notes. Born in the Netherlands, a tradition of taste that has lived on for over a century and a half thanks to the simplicity and quality of the ingredients and the meticulous attention to the brewing process.","Water, Malted Barley, Hops.","Serve cold between 35 degrees F and 40 degrees F. Drink straight from bottle if that's what you like or: pour under 45 degrees into clean, cold beer glass with a full foamy head to keep air out and carbonation in.,Store cool and dark and don't let it get cold.,Open to open your world. Well, at least your pack as a start.","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Corona Extra 6 Pack Bottles,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c68675f-cf67-433c-9ff9-646935e0741c.png 4x,"Corona Extra Mexican Beer is an even-keeled, light bodied, imported beer with fruity-honey aromas and a touch of malt. Brewed in Mexico since 1925, this bottled beer's flavor is refreshing, crisp, and well-balanced between hops and malt. Made from the finest-quality blend of filtered water, malted barley, hops, corn, and yeast, Corona Extra Beer has a refreshing, smooth taste that offers the perfect balance between heavier European import beer and lighter domestic beer. A Mexican lager style beer in 12 oz beer bottles, this Corona bottled beer 6 pack is conveniently portable and ready for your next social gathering. Corona Extra cerveza is a great summer beer; enjoy it with friends at your next barbecue, beach day, tailgate, or evening get-together. A smooth-drinking beer, Corona Extra contains 148 calories* and 4.6% alcohol by volume. *Per 12 fl. oz. serving of average analysis: Calories 148, Carbs 13.9 grams, Protein 1.2 grams, Fat 0 grams. Relax responsibly®. Corona Extra® Beer. Imported by Crown Imports, Chicago, IL,• 6 pack of 12 fl oz bottles of Corona Extra Mexican Beer,• Even-keeled Corona beer with fruity-honey aromas,• Mexican import beer that pairs well with all types of food,• Mexican lager style light bodied beer with a refreshing, crisp, and well-balanced flavor,• Pilsner-style lager beer from Mexico with a golden hue","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
