Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Directions,Warnings,Ingredients,Peanut Free,"Craving a drink with a kick? The On the Rocks Tres Generaciones Jalapeno Pineapple Margarita RTD Cocktail is the perfect combination of sweet and spicy. Made with Plata tequila, triple sec, pineapple, and jalapeño peppers, this premium cocktail will bring the bar to you. Crafted with natural ingredients and cane sugar, it's free of preservatives and ready to serve. Simply pour over ice for a refreshing drink that's perfect for any occasion—whether it's an unconventional setting or not. Get your hands on this bar-quality cocktail today through Instacart same-day delivery or pickup."
High Noon Vodka Hard Seltzer Variety Pack 8,$26.49,$31.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b26ff98a-29ae-45f5-94f9-53641b3f7566.jpeg 4x,Gluten Free,,"Live like the sun's out with High Noon Vodka Seltzer Variety 8 Pack. Made with real vodka & real juice, sparkling water and natural flavors, this gluten free hard seltzer has 100 calories and no added sugar. Each variety pack contains two cans each of Watermelon, Black Cherry, Grapefruit and Pineapple vodka seltzer. Just toss these cans in the cooler or the fridge for convenient drinks during your next sunny adventure. High Noon Vodka Seltzer is the perfect complement to an impromptu pool party or a backyard barbecue. Each can has 4.5% alcohol by volume. In addition to an 8-count mixed pack, High Noon hard seltzers are also available in a 12-count variety pack.,• Variety pack of 2 (355 mL) cans of each of: Watermelon, Black Cherry, Grapefruit and Pineapple vodka seltzer,• Made with real vodka + real juice, sparkling water and natural flavors,• Gluten free hard seltzer with 100 calories, no added sugar, and 4.5% alcohol by volume,• Tasting notes of lively fruit flavors in a crisp, sparkling drink,• Enjoy by the pool, on the golf course, at a tailgate, or at any occasion under the sun",Refrigerate after opening.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Tito's Handmade Vodka,$25.19,$34.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2d105a9b-29ab-494c-8162-9fa2e7fe08aa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e6f2868-9814-4382-8857-14517d7d69ff.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e2a8b13-a6bc-463c-99ce-bbe33c86a4ca.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_642b6fb6-5444-43a6-99d6-0086254b1169.jpg 4x",Gluten Free,,"Tito’s Handmade Vodka is America's Original Craft Vodka produced in Austin, Texas. Tito’s is known for its high-quality product, charitable giving, and goal to make people happy while making the world a better place. Tito’s is crafted in old-fashioned pot stills with each batch taste-tested. Exceptionally smooth with an impeccably clean finish, our unflavored, low-calorie vodka is six times distilled, made from corn, and naturally gluten-free with no carbs or sugar*. From a Bloody Mary at brunch, a Transfusion on the golf course, or a simple Tito’s and soda with friends, make every occasion a celebration with Tito’s!,Tito’s Handmade Vodka turns spirits into love and goodness with Love, Tito’s, the philanthropic heart of the company, supporting thousands of nonprofit organizations across the U.S. — and around the world — amplifying their missions of disaster relief and response, community building, animal welfare, veteran services, and so much more.,Available in Liter, 1.75L, 750mL, 375mL, 200mL, and 50mL sizes. For more information, visit titosvodka.com.,*(Average Analysis per 1.5 oz Tito’s Handmade Vodka: 98 calories, Carbohydrates 0 grams, Protein 0 grams, Fat 0 grams, Sugar 0 grams)",Enjoy a classic Tito’s & Soda with a twist of lime. Whip up a Tito’s Transfusion with ginger ale and grape juice. Try a TitoRita as a twist on the traditional margarita. Or serve a Tito’s American Mule with zesty ginger beer and lime juice in a Tito’s Copper Mug.,"Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Tito's Handmade Vodka,$37.09,$39.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_426b7493-c07b-4116-b827-a6a285c31adc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1df4384-b259-43de-822f-92af2f82ca60.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1c9819b-401c-462e-aa82-f732f3d94179.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e29f358-fc0e-49b3-93dc-09e12d46cc96.jpg 4x",Gluten Free,,"Tito’s Handmade Vodka is America's Original Craft Vodka produced in Austin, Texas. Tito’s is known for its high-quality product, charitable giving, and goal to make people happy while making the world a better place. Tito’s is crafted in old-fashioned pot stills with each batch taste-tested. Exceptionally smooth with an impeccably clean finish, our unflavored, low-calorie vodka is six times distilled, made from corn, and naturally gluten-free with no carbs or sugar*. From a Bloody Mary at brunch, a Transfusion on the golf course, or a simple Tito’s and soda with friends, make every occasion a celebration with Tito’s!,Tito’s Handmade Vodka turns spirits into love and goodness with Love, Tito’s, the philanthropic heart of the company, supporting thousands of nonprofit organizations across the U.S. — and around the world — amplifying their missions of disaster relief and response, community building, animal welfare, veteran services, and so much more.,Available in Liter, 1.75L, 750mL, 375mL, 200mL, and 50mL sizes. For more information, visit titosvodka.com.,*(Average Analysis per 1.5 oz Tito’s Handmade Vodka: 98 calories, Carbohydrates 0 grams, Protein 0 grams, Fat 0 grams, Sugar 0 grams)",Enjoy a classic Tito’s & Soda with a twist of lime. Whip up a Tito’s Transfusion with ginger ale and grape juice. Try a TitoRita as a twist on the traditional margarita. Or serve a Tito’s American Mule with zesty ginger beer and lime juice in a Tito’s Copper Mug.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",100% Corn.,,
"NUTRL Vodka Hard Seltzer, Real Fruit Juice Variety Pack, Gluten Free, 8 Pack, 12 FL OZ Slim Cans",,$22.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a17a06e9-729a-4acb-a410-b5202f9da449.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_792bf341-18ad-4089-b367-384e6f20f008.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_584af06d-776a-4bc9-bf56-dab6e4120e68.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bded632c-fa9b-4035-b1a7-e48e7a1a9045.jpg 4x",Gluten Free,,"NUTRL Real Fruit Juice Vodka Seltzer is an easy-to-drink hard seltzer that combines vodka with a deliciously fruity twist. This spiked seltzer variety pack includes flavored hard seltzers of watermelon seltzer, orange seltzer, cherry seltzer and pineapple seltzer. These alcoholic beverages are made with refreshingly simple, tasty and uncomplicated ingredients like vodka, seltzer water, and real fruit juice. They're that simple and even more refreshing. NUTRL Vodka Seltzer fruit drinks are gluten free with natural flavors, no added sugar, and 100 calories. These gluten free alcohol drinks have a 4.5% ABV and can be enjoyed cold or over ice right out of the can. No matter how you prefer them, these sugar free drinks are downright delicious, and the slim cans of NUTRL seltzer are easy to hold, store and transport wherever the party goes, whether you need crisp alcohol beverages or simple zero sugar drinks that can be enjoyed year-round, no matter the season. Real Vodka. Real Juice. Enjoy NUTRL Responsibly.",{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Mango: Mango, Flavored Vodka and Carbonation. Watermelon: Watermelon, Flavored Vodka and Carbonation. Pineapple: Pineapple, Flavored Vodka and Carbonation. Cranberry: Cranberry, Flavored Vodka and Carbonation.",,
Jameson Original Irish Whiskey,$29.09,$46.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2855cfcb-de70-4c4a-92cd-8be19b48a42e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fdf6a376-13c0-4464-86cd-7f4a68a6bd5b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b24ea864-ce9a-4272-984d-ce3df199253e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_af0c8dc9-fa27-4c9c-931e-bc94a2616d09.jpg 4x",,,"Jameson Irish Whiskey is a triple-distilled blended Irish whiskey made from the best-of-pot still and fine grain whiskeys. Jameson uses carefully selected ingredients like locally sourced barley from Ireland and water from the Dungourney River that flows right through its distillery. To achieve a signature smoothness, it's made with triple distilled Jameson Whiskey. This tradition began in 1780 and we continue this legacy. Next, it's aged in oak casks for a minimum of four years to achieve a classic Irish whiskey taste. This one-of-a-kind whiskey showcases the perfect balance of spicy, nutty and vanilla notes; hints of sweet sherry; and a smooth, lingering finish. Enjoy this liquor neat, on the rocks, or in classic cocktails and alcohol drinks like a Whiskey Sour or an Old Fashioned. You’ll taste the care and craftsmanship Jameson puts into its whiskeys from grain to glass, so live “without fear” or “Sine Metu,” as it proudly says on the label. Drink Responsibly.,BLENDED IRISH WHISKEY: Crafted from the best pot still and fine grain whiskeys to create a one-of-a-kind blend,INCLUDES: One 750 mL bottle of Jameson Irish Whiskey; 80 proof or 40% alcohol by volume; Drink responsibly,SERVE IT YOUR WAY: Enjoy this alcohol neat; on the rocks; with a splash of water; or in a Jameson, Ginger & Lime cocktail,FLAVOR AND AROMA: Distinct flavor with spicy, nutty, vanilla notes, and hints of sweet sherry, balanced with a light floral fragrance,SIGNATURE DISTILLATION PROCESS: This Jameson Whiskey is triple distilled for its signature smoothness","On the rocks, or in a cocktail; Keep it classic with a Whiskey Sour or make a refreshing Irish Lemonade","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Malted and Unmalted Barley, Grain Whiskey.",,
BuzzBallz Lime 'Rita Chiller,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19eb422c-5c07-466b-91d2-d15c2cc60d24.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ccf6e8b6-9443-4f0f-8e2c-bc9f1d2d7ff8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9aba093f-65ea-4278-a4be-0711375b4b8e.jpg 4x",,,Have a ball. Go Texan. Colored with FD&C blue 1 and caramel color. Women owned.,Shake well.,Contains sulfites,Colored with FD&C Blue #1 and Caramel Color.,,
High Noon Tequila Hard Seltzer Variety Pack 8,$27.79,$34.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f7b7783-decb-462e-8080-d039e9f46aa8.jpeg 4x,Gluten Free,,"Tequila lovers rejoice! High Noon’s sun will shine even brighter with the release of High Noon Tequila seltzer, made with real blanco tequila & real juice, sparkling water and natural flavors. Each High Noon Tequila Hard Seltzer flavor, Lime, Strawberry, Passionfruit, and Grapefruit, has fresh fruit flavors with a hint of sweetness, layered with Silver Tequila, and a sparkling finish. No sugar added, 100 calories, and gluten free hard seltzer.,• The High Noon Tequila Seltzer 8 pack includes 2 (355ml) cans of each of: Lime, Strawberry, Grapefruit, & Passionfruit Tequila Seltzer,• Made with real blanco tequila + real juice, sparkling water and natural flavors,• Gluten free hard seltzer with 100 calories, no added sugar, and 4.5% alcohol by volume,• Tasting notes of fruit flavors with a hint of sweet, layered with silver tequila, a sparkling finish,• Enjoy by the pool, on the golf course, at a tailgate, or at any occasion under the sun","Best served cold.,Refrigerate after opening.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Patrón Silver Tequila 100% De Agave,$62.19,$79.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_61ebba72-a6ec-42c3-bb6f-1d288d92b01c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc8c4df1-4266-4358-85bc-d2c412a24616.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88433a8c-fc8c-4fe0-8b0e-96d0d474d5a6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_136b39e0-3bcc-40d7-8bb7-72f07fe95b60.jpg 4x",,,"PATRON Silver Tequila is passionately handcrafted in Jalisco, Mexico using a few natural ingredients and offers the perfect balance of fresh agave flavor and undertones. Made from the finest 100% Weber Blue Agave and meticulously crafted in small batches, PATRON Silver Tequila is smooth and sweet, delivering an aroma of fruits and citrus, followed by a light peppery finish for a spirit that is as remarkable in quality as it is in taste. PATRON Silver is versatile, easy to be mixed, and enjoyed from the very first sip. When you want to show off your mixology skills, make PATRON Silver the ultimate spirit of choice to enjoy in an array of classic alcohol drinks like a Margarita, Mojito, Cosmo, Martini or Tequila Sunrise cocktail. At 40% alcohol by volume, the clear color of this exceptional tequila blanco is followed by its unique flavor that helps create a superior taste. PATRON tequila is passionately handcrafted by our familia of bold innovators who maintain a tireless dedication to achieve perfection in every drop. This unshakable confidence is embedded in the heart and soul of PATRON and leads to the 100% natural, simply perfect tequila that is PATRON Silver. Please Drink Responsibly.,• One 750 ml bottle of Patron Silver Tequila,• Silver tequila that is passionately handcrafted from the finest 100% Weber Blue Agave and carefully distilled in small batches in Jalisco, Mexico,• Made from using only natural ingredients—water, agave, yeast—delivering a smooth and sweet taste, fresh agave, and hints of citrus,• The unique flavor of this tequila liquor is created through a three-day fermentation period and then is distilled,• PATRON Silver Tequila spirits are 40% alcohol by volume",{},"WARNING: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and, during pregnancy, can cause birth defects. For more information go to www.P65Warnings.ca.gov/alcohol.",Tequila.,,
Maker's Mark Bourbon Whisky,$33.09,$43.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ceea4e67-04c8-4ef5-8487-9bf5c9f13df6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_232628a6-5746-4510-8c34-14d85f787be9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45c4569a-bc54-441e-8fc3-a8a746b82aea.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fbe95062-7d9e-4adb-9c28-dab7615d3fbe.png 4x",,,"If you're looking for a smooth, sweet and easy-to-drink whisky, you've found it. Maker's Mark Classic Bourbon was carefully developed by sixth-generation distiller Bill Samuels Sr. to be just that. Still made to his unique recipe, this full-flavored bourbon is subtly woody with flavors of vanilla, caramel and fruit. It's easy to drink neat, and can pull its weight in a cocktail. Mix it with ginger ale and lime for an effortless long drink. This one literally changed the way we think about bourbon, all because one man changed the way he thought about making it. Bill Samuels, Sr., wanted a whisky he would enjoy drinking. Never bitter or sharp, Maker's Mark is made with soft red winter wheat, instead of rye, for a one-of-a-kind, full-flavored bourbon that's approachably smooth. To ensure consistency, we still rotate every barrel by hand and age our bourbon to taste, not time. Just like Bill would have wanted. Once it's ready it's bottled at 90 proof, hand-dipped in our signature red wax. Just think of it as our seal of approval. Since its establishment, Maker's Mark has continually impressed critics, winning double gold at the San Francisco World Spirits Competition in 2020 and 2021.,• Carefully sourced red winter wheat gives Maker's a unique sweetness,• Years of aging in new, seared American oak barrels adds tons of flavor,• Each bottle is still hand-dipped in our instantly recognizable red wax,• Every drop is crafted at Star Hill Farm, Loretto, Kentucky,• 2021 San Francisco World Spirits Competition Double Gold,• Delicious in a glass by itself, over ice or in your favorite cocktail.",{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Kentucky Straight Bourbon Whiskey.,,
Absolut Original Vodka,$25.19,$30.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8132ec4b-3713-4f26-9301-5a3357d78589.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_32b62cbd-181a-40d8-ba55-b3f10f46f588.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a5cbf05b-1344-442a-9406-9d16c7a4ff32.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ea1a5bc-4f37-4e4c-a792-c772c538c4b4.jpg 4x",Gluten Free,,"Absolut Vodka is a rich, full-bodied vodka that blends beautifully with other aromas, making it perfect for enhancing the taste of your favorite drinks and cocktails. This premium vodka is crafted with quality ingredients like Swedish water and winter wheat grown in the fields of Ahus, Sweden, and delivers hints of dried fruit, caramel and vanilla with a fresh and fruity finish. Produced at the famous old distilleries near Ahus with more than 400 years of Swedish tradition, Absolut Vodka is sustainably crafted in an energy-efficient CO2-neutral distillery using a continuous distillation method to help achieve optimum purity. Enjoy this liquor neat or in a variety of alcohol drinks like a Vodka Soda, Vodka Martini or Bloody Mary. As one of the most famous vodkas in the world, Absolut continues to be a staple for your everyday get togethers and special moments with friends and family. Enjoy and Drink Responsibly.,ICONIC VODKA: Swedish vodka with a bold and unique flavor that is versatile and perfect for mixing,INCLUDES: One 750 mL bottle of Absolut Original Vodka; 80 proof or 40% alcohol by volume; Enjoy and drink responsibly,BORN TO MIX: The hero in classic cocktails and alcohol drinks, from the Cosmopolitan and Espresso Martini to the Vodka Cranberry or Vodka Soda Cocktail,CRAFTED LOCALLY: Crafted with quality, local ingredients like Swedish water and winter wheat with no added sugar,EXPERTLY DISTILLED: Premium zero sugar alcohol distilled multiple times to help deliver a rich but clean taste and an exceptionally smooth mouthfeel","The hero in classic cocktails, from the Cosmopolitan & Espresso Martini to the Vodka Cranberry or Soda","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Winter Wheat, Pristine Water",,
